date,mp,home,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opponent,team
2020-12-23,25.95,1,1.0,6.0,0.167,1.0,5.0,0.2,1.0,2.0,0.5,0.0,9.0,9.0,4.0,0.0,0.0,1.0,0.0,4.0,-12.0,0.291,0.25,0.833,0.333,0.0,34.7,19.1,20.5,0.0,0.0,12.7,13.4,77.0,104.0,-1.1,"josh richardson,luka doncic,dorian finney-smith,tim hardaway jr.,dwight powell,maxi kleber,trey burke,jalen brunson,james johnson,willie cauley-stein,josh green","mikal bridges,devin booker,chris paul,deandre ayton,cameron johnson,cameron payne,jalen smith,jevon carter,langston galloway,damian jones"
2020-12-26,32.73,0,7.0,13.0,0.538,3.0,8.0,0.375,0.0,0.0,0.0,1.0,7.0,8.0,2.0,1.0,0.0,0.0,1.0,17.0,-1.0,0.654,0.654,0.615,0.0,2.9,22.8,12.2,9.5,1.4,0.0,0.0,16.6,133.0,103.0,7.0,"de'aaron fox,buddy hield,harrison barnes,richaun holmes,marvin bagley iii,tyrese haliburton,cory joseph","devin booker,chris paul,deandre ayton,mikal bridges,cameron johnson,damian jones,cameron payne,langston galloway,jevon carter,jalen smith,frank kaminsky"
2020-12-27,25.8,0,1.0,6.0,0.167,0.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,1.0,1.0,2.0,-4.0,0.167,0.167,0.667,0.0,0.0,14.3,6.7,12.6,0.0,0.0,14.3,12.1,55.0,107.0,-10.6,"buddy hield,harrison barnes,marvin bagley iii,de'aaron fox,richaun holmes,tyrese haliburton,cory joseph,kyle guy,jahmi'us ramsey,robert woodard ii,justin james","mikal bridges,devin booker,deandre ayton,chris paul,cameron johnson,cameron payne,frank kaminsky,langston galloway,jevon carter,ty-shon alexander,damian jones"
2020-12-29,20.98,1,6.0,11.0,0.545,5.0,8.0,0.625,4.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,3.0,21.0,15.0,0.823,0.773,0.727,0.364,5.0,6.0,5.4,9.8,2.5,0.0,0.0,28.5,167.0,95.0,20.6,"zion williamson,brandon ingram,steven adams,lonzo ball,josh hart,nickeil alexander-walker,jaxson hayes,kira lewis jr.,willy hernangomez","mikal bridges,deandre ayton,devin booker,chris paul,cameron payne,cameron johnson,jevon carter,dario saric,langston galloway,frank kaminsky,damian jones,ty-shon alexander"
2020-12-31,36.68,0,6.0,11.0,0.545,4.0,9.0,0.444,0.0,0.0,0.0,1.0,5.0,6.0,1.0,2.0,1.0,1.0,3.0,16.0,10.0,0.727,0.727,0.818,0.0,3.2,14.2,9.0,3.9,2.7,2.6,8.3,15.2,126.0,97.0,8.1,"donovan mitchell,mike conley,royce o'neale,rudy gobert,bojan bogdanovic,joe ingles,jordan clarkson,derrick favors,georges niang","mikal bridges,devin booker,chris paul,deandre ayton,cameron payne,dario saric,cameron johnson,jevon carter,langston galloway,frank kaminsky"
2021-01-01,29.3,0,1.0,5.0,0.2,0.0,4.0,0.0,2.0,2.0,1.0,0.0,3.0,3.0,4.0,0.0,0.0,1.0,4.0,4.0,-11.0,0.34,0.2,0.8,0.4,0.0,13.3,6.6,18.5,0.0,0.0,14.5,11.0,92.0,114.0,-4.5,"jamal murray,will barton,gary harris,nikola jokic,monte morris,pj dozier,jamychal green,isaiah hartenstein,facundo campazzo,r.j. hampton","deandre ayton,mikal bridges,devin booker,chris paul,cameron johnson,cameron payne,jevon carter,frank kaminsky,langston galloway"
2021-01-03,30.87,1,2.0,6.0,0.333,2.0,6.0,0.333,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,4.0,6.0,-5.0,0.5,0.5,1.0,0.0,0.0,7.6,4.0,9.2,0.0,0.0,0.0,9.3,113.0,127.0,-2.7,"paul george,kawhi leonard,nicolas batum,patrick beverley,serge ibaka,luke kennard,ivica zubac,reggie jackson","devin booker,mikal bridges,chris paul,deandre ayton,cameron johnson,dario saric,cameron payne,langston galloway,jevon carter"
2021-01-06,34.95,1,7.0,11.0,0.636,6.0,9.0,0.667,1.0,2.0,0.5,0.0,3.0,3.0,1.0,1.0,0.0,2.0,4.0,21.0,-2.0,0.884,0.909,0.818,0.182,0.0,9.6,5.0,4.5,1.5,0.0,14.4,18.4,128.0,123.0,4.9,"fred vanvleet,kyle lowry,pascal siakam,og anunoby,norman powell,yuta watanabe,chris boucher,alex len,malachi flynn,deandre' bembry","devin booker,chris paul,deandre ayton,mikal bridges,cameron johnson,jevon carter,dario saric,cameron payne,langston galloway"
2021-01-08,22.32,0,2.0,8.0,0.25,2.0,8.0,0.25,0.0,0.0,0.0,0.0,4.0,4.0,1.0,0.0,0.0,1.0,5.0,6.0,-9.0,0.375,0.375,1.0,0.0,0.0,19.0,9.9,6.6,0.0,0.0,11.1,18.2,74.0,109.0,-10.3,"jerami grant,blake griffin,delon wright,mason plumlee,josh jackson,saddiq bey,derrick rose,svi mykhailiuk,jahlil okafor,frank jackson,isaiah stewart,sekou doumbouya","devin booker,chris paul,deandre ayton,mikal bridges,dario saric,cameron johnson,cameron payne,jevon carter,langston galloway"
2021-01-09,26.9,0,2.0,7.0,0.286,2.0,7.0,0.286,4.0,4.0,1.0,0.0,8.0,8.0,4.0,1.0,0.0,0.0,1.0,10.0,7.0,0.571,0.429,1.0,0.571,0.0,29.1,15.5,16.8,1.8,0.0,0.0,15.1,130.0,114.0,3.1,"domantas sabonis,malcolm brogdon,myles turner,victor oladipo,aaron holiday,justin holiday,doug mcdermott,edmond sumner,cassius stanley","devin booker,mikal bridges,deandre ayton,chris paul,cameron johnson,dario saric,jevon carter,langston galloway"
2021-01-11,30.45,0,1.0,5.0,0.2,0.0,3.0,0.0,0.0,0.0,0.0,1.0,5.0,6.0,2.0,1.0,0.0,0.0,0.0,2.0,-13.0,0.2,0.2,0.6,0.0,3.4,16.4,10.0,8.4,1.6,0.0,0.0,7.4,71.0,132.0,-6.6,"bradley beal,rui hachimura,robin lopez,raul neto,deni avdija,davis bertans,moritz wagner,ish smith,garrison mathews,anthony gill,cassius winston","chris paul,devin booker,deandre ayton,mikal bridges,dario saric,cameron johnson,jevon carter,langston galloway,damian jones,ty-shon alexander"
2021-01-18,26.68,0,2.0,7.0,0.286,1.0,5.0,0.2,0.0,0.0,0.0,1.0,2.0,3.0,5.0,2.0,0.0,0.0,1.0,5.0,-1.0,0.357,0.357,0.714,0.0,4.2,8.8,6.4,24.7,3.7,0.0,0.0,11.1,116.0,110.0,3.7,"brandon clarke,ja morant,xavier tillman sr.,kyle anderson,dillon brooks,grayson allen,tyus jones,desmond bane,gorgui dieng,john konchar","devin booker,deandre ayton,chris paul,mikal bridges,cameron johnson,jevon carter,cameron payne,frank kaminsky,langston galloway"
2021-01-20,26.0,0,4.0,13.0,0.308,2.0,10.0,0.2,1.0,2.0,0.5,0.0,5.0,5.0,1.0,2.0,0.0,0.0,1.0,11.0,3.0,0.396,0.385,0.769,0.154,0.0,21.0,11.0,5.3,3.6,0.0,0.0,22.4,86.0,97.0,-1.7,"jae'sean tate,eric gordon,christian wood,victor oladipo,p.j. tucker,david nwaba,sterling brown,demarcus cousins,mason jones","deandre ayton,devin booker,mikal bridges,chris paul,cameron johnson,cameron payne,frank kaminsky,jevon carter"
2021-01-22,19.47,1,2.0,7.0,0.286,2.0,5.0,0.4,2.0,2.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,2.0,3.0,8.0,10.0,0.508,0.429,0.714,0.286,0.0,5.9,3.1,6.6,5.1,0.0,20.2,23.1,87.0,117.0,-4.3,"jamal murray,nikola jokic,gary harris,will barton,monte morris,michael porter jr.,jamychal green,pj dozier,facundo campazzo","mikal bridges,devin booker,chris paul,deandre ayton,cameron johnson,cameron payne,frank kaminsky,jevon carter"
2021-01-23,44.68,1,6.0,15.0,0.4,6.0,13.0,0.462,3.0,3.0,1.0,0.0,7.0,7.0,3.0,1.0,0.0,2.0,4.0,21.0,4.0,0.643,0.6,0.867,0.2,0.0,16.5,7.9,11.7,1.2,0.0,10.9,20.0,112.0,109.0,4.5,"jamal murray,nikola jokic,gary harris,will barton,monte morris,michael porter jr.,jamychal green,pj dozier,facundo campazzo","chris paul,deandre ayton,mikal bridges,cameron johnson,frank kaminsky,jevon carter,cameron payne,jalen smith,langston galloway"
