date,mp,home,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opponent,team
2020-12-23,19.23,0,2.0,6.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,7.0,1.0,1.0,1.0,0.0,1.0,4.0,14.0,0.333,0.333,0.0,0.0,22.2,16.6,19.4,5.8,2.3,3.7,0.0,12.7,112.0,108.0,-3.8,"ja morant,dillon brooks,jonas valanciunas,kyle anderson,grayson allen,brandon clarke,de'anthony melton,tyus jones,gorgui dieng,desmond bane","demar derozan,lonnie walker iv,keldon johnson,dejounte murray,rudy gay,devin vassell,patty mills"
2020-12-26,18.78,1,2.0,4.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,4.0,3.0,7.0,5.0,0.0,0.0,2.0,0.0,4.0,10.0,0.45,0.5,0.0,0.25,20.4,15.6,18.1,30.5,0.0,0.0,31.1,13.4,111.0,113.0,2.9,"pascal siakam,og anunoby,kyle lowry,fred vanvleet,chris boucher,norman powell,deandre' bembry","demar derozan,dejounte murray,keldon johnson,lonnie walker iv,patty mills,rudy gay,devin vassell,trey lyles"
2020-12-27,23.32,0,4.0,6.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,2.0,1.0,3.0,8.0,15.0,0.667,0.667,0.0,0.0,0.0,29.4,16.0,0.0,0.0,5.9,14.3,13.4,100.0,92.0,-0.6,"zion williamson,lonzo ball,brandon ingram,steven adams,josh hart,jaxson hayes","lonnie walker iv,demar derozan,dejounte murray,keldon johnson,rudy gay,patty mills,devin vassell,trey lyles"
2020-12-30,24.02,1,4.0,5.0,0.8,0.0,0.0,0.0,0.0,2.0,0.0,3.0,4.0,7.0,1.0,1.0,0.0,0.0,3.0,8.0,-1.0,0.68,0.8,0.0,0.4,12.8,20.5,16.3,6.2,2.0,0.0,0.0,11.0,148.0,121.0,-0.2,"lebron james,dennis schroder,anthony davis,kentavious caldwell-pope,kyle kuzma,montrezl harrell,wesley matthews,markieff morris,alfonzo mckinnie","demar derozan,dejounte murray,lonnie walker iv,keldon johnson,rudy gay,drew eubanks,patty mills,devin vassell,tre jones,keita bates-diop,luka samanic"
2021-01-01,20.35,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,2.0,5.0,3.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,4.0,14.2,8.9,11.5,19.7,0.0,0.0,42.0,10.3,64.0,114.0,-7.9,"lebron james,anthony davis,dennis schroder,kentavious caldwell-pope,wesley matthews,kyle kuzma,montrezl harrell,talen horton-tucker,markieff morris","demar derozan,keldon johnson,dejounte murray,lonnie walker iv,patty mills,rudy gay,drew eubanks,derrick white"
2021-01-03,24.42,1,5.0,8.0,0.625,0.0,0.0,0.0,1.0,1.0,1.0,4.0,3.0,7.0,4.0,0.0,0.0,0.0,3.0,11.0,-20.0,0.652,0.625,0.0,0.125,12.7,14.7,13.5,23.0,0.0,0.0,0.0,13.7,152.0,129.0,2.9,"royce o'neale,donovan mitchell,rudy gobert,bojan bogdanovic,mike conley,jordan clarkson,joe ingles,derrick favors,georges niang,miye oni,shaquille harrison,udoka azubuike,elijah hughes,juwan morgan","keldon johnson,demar derozan,dejounte murray,lonnie walker iv,rudy gay,devin vassell,patty mills,trey lyles,drew eubanks,tre jones,luka samanic"
2021-01-05,19.28,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,6.0,3.0,2.0,0.0,2.0,0.0,2.0,15.0,1.0,1.0,0.0,0.0,5.1,31.1,16.8,18.0,5.1,0.0,66.7,6.7,108.0,108.0,4.1,"luke kennard,kawhi leonard,nicolas batum,patrick beverley,serge ibaka,ivica zubac,reggie jackson,terance mann,amir coffey","dejounte murray,keldon johnson,lonnie walker iv,demar derozan,patty mills,rudy gay,devin vassell"
2021-01-07,15.72,0,1.0,3.0,0.333,0.0,0.0,0.0,1.0,1.0,1.0,3.0,3.0,6.0,2.0,0.0,0.0,1.0,3.0,3.0,9.0,0.436,0.333,0.0,0.333,20.4,21.3,20.8,15.3,0.0,0.0,22.5,12.9,120.0,112.0,-5.4,"lebron james,anthony davis,kyle kuzma,dennis schroder,wesley matthews,talen horton-tucker,alex caruso,montrezl harrell,markieff morris,alfonzo mckinnie","demar derozan,dejounte murray,keldon johnson,lonnie walker iv,patty mills,rudy gay,devin vassell,keita bates-diop,tre jones,trey lyles,luka samanic"
2021-01-09,16.42,0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,3.0,4.0,7.0,1.0,1.0,0.0,2.0,1.0,1.0,-3.0,0.129,0.0,0.0,0.667,17.9,27.5,22.4,7.3,3.0,0.0,34.0,15.9,61.0,110.0,-13.0,"malik beasley,d'angelo russell,karl-anthony towns,jarrett culver,juancho hernangomez,ricky rubio,anthony edwards,naz reid,jarred vanderbilt,jake layman","demar derozan,keldon johnson,dejounte murray,lonnie walker iv,patty mills,rudy gay,devin vassell"
2021-01-10,11.28,0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,-2.0,0.347,0.5,0.0,1.0,0.0,9.5,4.4,0.0,0.0,0.0,0.0,11.1,65.0,106.0,-12.6,"malik beasley,d'angelo russell,juancho hernangomez,jarrett culver,naz reid,ricky rubio,josh okogie,jarred vanderbilt,anthony edwards","dejounte murray,trey lyles,keldon johnson,lonnie walker iv,patty mills,rudy gay,devin vassell"
