date,mp,home,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opponent,team
2022-11-12,1.63,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,1.5,1.5,1.0,0.0,0.0,0.0,0.0,0.0,28.4,0.0,0.0,25.7,300.0,55.0,81.6,"terry rozier,kelly oubre jr.,lamelo ball,p.j. washington,mason plumlee,jalen mcdaniels,nick richards,theo maledon,james bouknight,jt thor,kai jones","max strus,caleb martin,bam adebayo,kyle lowry,jimmy butler,gabe vincent,duncan robinson,dewayne dedmon,haywood highsmith,nikola jovic"
2022-11-16,6.07,0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-8.0,0.0,0.0,0.667,0.0,0.0,22.6,12.2,0.0,0.0,0.0,0.0,24.1,0.0,123.0,-32.9,"og anunoby,scottie barnes,fred vanvleet,thaddeus young,dalano banton,chris boucher,juancho hernangomez,christian koloko,khem birch","caleb martin,jimmy butler,kyle lowry,max strus,nikola jovic,gabe vincent,dewayne dedmon,duncan robinson"
2022-11-18,17.52,0,1.0,2.0,0.5,0.0,1.0,0.0,2.0,4.0,0.5,1.0,5.0,6.0,1.0,0.0,0.0,0.0,1.0,4.0,-5.0,0.532,0.5,0.5,2.0,5.4,29.7,17.0,9.5,0.0,0.0,0.0,9.4,126.0,101.0,-2.3,"bradley beal,kyle kuzma,kristaps porzingis,monte morris,deni avdija,corey kispert,rui hachimura,taj gibson,will barton,daniel gafford","kyle lowry,caleb martin,max strus,haywood highsmith,nikola jovic,orlando robinson"
2022-11-20,11.9,0,4.0,6.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,8.0,1.0,0.667,0.667,0.0,0.0,8.6,0.0,5.1,27.1,4.4,0.0,14.3,26.7,113.0,120.0,5.9,"evan mobley,darius garland,jarrett allen,donovan mitchell,lamar stevens,cedi osman,isaac okoro,caris levert,raul neto,robin lopez,mamadi diakite,isaiah mobley","caleb martin,max strus,nikola jovic,kyle lowry,bam adebayo,haywood highsmith,duncan robinson,dewayne dedmon,orlando robinson"
2022-11-21,24.97,0,5.0,7.0,0.714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,10.0,0.0,0.714,0.714,0.0,0.0,0.0,9.6,4.5,7.6,1.9,0.0,0.0,11.4,142.0,105.0,1.0,"anthony edwards,karl-anthony towns,jaden mcdaniels,rudy gobert,d'angelo russell,taurean prince,naz reid,jordan mclaughlin,jaylen nowell,bryn forbes","kyle lowry,max strus,caleb martin,bam adebayo,nikola jovic,haywood highsmith,dewayne dedmon"
2022-11-23,17.72,1,2.0,6.0,0.333,0.0,2.0,0.0,2.0,2.0,1.0,4.0,2.0,6.0,2.0,2.0,0.0,1.0,3.0,6.0,8.0,0.436,0.333,0.333,0.333,21.7,11.8,16.9,16.1,5.4,0.0,12.7,18.6,115.0,97.0,0.3,"deni avdija,kyle kuzma,corey kispert,kristaps porzingis,jordan goodwin,will barton,anthony gill,daniel gafford,johnny davis,taj gibson","caleb martin,bam adebayo,kyle lowry,tyler herro,nikola jovic,haywood highsmith,gabe vincent,dewayne dedmon"
2022-11-25,11.55,1,2.0,3.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0,-10.0,0.667,0.667,0.0,0.0,9.9,16.6,13.6,0.0,0.0,0.0,0.0,11.4,143.0,113.0,-2.9,"kyle kuzma,bradley beal,kristaps porzingis,corey kispert,deni avdija,jordan goodwin,will barton,anthony gill,daniel gafford","kyle lowry,tyler herro,caleb martin,bam adebayo,nikola jovic,haywood highsmith,dru smith,dewayne dedmon"
2022-11-27,1.63,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,-20.5,"dejounte murray,trae young,john collins,de'andre hunter,onyeka okongwu,aj griffin,trent forrest,frank kaminsky,jalen johnson","caleb martin,tyler herro,bam adebayo,max strus,kyle lowry,haywood highsmith,dru smith,dewayne dedmon"
2022-12-20,7.85,1,1.0,2.0,0.5,0.0,0.0,0.0,1.0,2.0,0.5,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,-2.0,0.521,0.5,0.0,1.0,0.0,39.4,16.5,0.0,0.0,0.0,0.0,17.4,106.0,125.0,-7.4,"demar derozan,nikola vucevic,zach lavine,patrick williams,alex caruso,coby white,goran dragic,derrick jones jr.,andre drummond,ayo dosunmu","tyler herro,haywood highsmith,bam adebayo,victor oladipo,max strus,duncan robinson,dewayne dedmon,orlando robinson,nikola jovic"
2022-12-31,4.15,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,-5.0,0.694,1.0,0.0,1.0,26.9,0.0,13.4,0.0,0.0,0.0,0.0,14.6,144.0,136.0,0.0,"lauri markkanen,jordan clarkson,kelly olynyk,mike conley,jarred vanderbilt,walker kessler,collin sexton,malik beasley,rudy gay","bam adebayo,tyler herro,max strus,kyle lowry,haywood highsmith,victor oladipo,gabe vincent,duncan robinson,orlando robinson"
2023-01-10,32.87,1,3.0,6.0,0.5,1.0,2.0,0.5,5.0,5.0,1.0,2.0,3.0,5.0,3.0,0.0,0.0,1.0,3.0,12.0,0.0,0.732,0.583,0.333,0.833,6.8,10.4,8.6,16.5,0.0,0.0,10.9,11.6,153.0,117.0,1.6,"shai gilgeous-alexander,luguentz dort,josh giddey,jalen williams,eugene omoruyi,kenrich williams,mike muscala,isaiah joe,lindy waters iii,aaron wiggins,tre mann","max strus,gabe vincent,jimmy butler,orlando robinson,haywood highsmith,victor oladipo,dewayne dedmon"
2023-01-12,20.93,1,3.0,7.0,0.429,0.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,0.0,2.0,0.0,1.0,0.0,6.0,1.0,0.429,0.429,0.286,0.0,4.7,13.5,9.2,0.0,4.9,0.0,12.5,15.9,87.0,102.0,-4.0,"jrue holiday,bobby portis,brook lopez,pat connaughton,marjon beauchamp,jevon carter,jordan nwora,a.j. green,sandro mamukelashvili","gabe vincent,max strus,bam adebayo,jimmy butler,haywood highsmith,victor oladipo,orlando robinson"
2023-01-14,22.07,1,2.0,4.0,0.5,0.0,1.0,0.0,2.0,2.0,1.0,1.0,6.0,7.0,0.0,1.0,0.0,0.0,2.0,6.0,16.0,0.615,0.5,0.25,0.5,5.7,29.0,18.3,0.0,2.4,0.0,0.0,10.3,147.0,104.0,-1.0,"jrue holiday,brook lopez,pat connaughton,bobby portis,grayson allen,joe ingles,jevon carter,a.j. green,marjon beauchamp,sandro mamukelashvili,thanasis antetokounmpo","max strus,gabe vincent,bam adebayo,jimmy butler,haywood highsmith,victor oladipo,orlando robinson"
2023-02-24,5.15,0,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.5,0.5,0.5,0.0,0.0,20.3,9.1,34.9,0.0,0.0,0.0,16.5,114.0,127.0,1.6,"jevon carter,jrue holiday,grayson allen,brook lopez,giannis antetokounmpo,bobby portis,a.j. green,joe ingles,khris middleton,jae crowder,meyers leonard,marjon beauchamp,thanasis antetokounmpo","tyler herro,bam adebayo,gabe vincent,kevin love,jimmy butler,max strus,caleb martin,duncan robinson,victor oladipo,cody zeller,haywood highsmith"
2023-03-11,0.17,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.0,-6.8,"paolo banchero,wendell carter jr.,markelle fultz,franz wagner,gary harris,cole anthony,jalen suggs,bol bol,moritz wagner,chuma okeke,caleb houstan","bam adebayo,jimmy butler,gabe vincent,tyler herro,kevin love,kyle lowry,max strus,victor oladipo,omer yurtseven,cody zeller"
2023-04-06,4.75,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,-1.0,1.0,1.0,0.0,0.0,0.0,28.9,13.7,26.0,0.0,0.0,0.0,9.7,213.0,109.0,8.0,"joel embiid,james harden,tobias harris,p.j. tucker,de'anthony melton,shake milton,jalen mcdaniels,danuel house jr.,georges niang,paul reed,furkan korkmaz,montrezl harrell","tyler herro,jimmy butler,max strus,bam adebayo,gabe vincent,caleb martin,kyle lowry,kevin love,haywood highsmith,duncan robinson,omer yurtseven"
2023-04-07,30.6,0,4.0,8.0,0.5,1.0,4.0,0.25,3.0,3.0,1.0,3.0,4.0,7.0,1.0,1.0,1.0,0.0,4.0,12.0,18.0,0.644,0.563,0.5,0.375,9.0,13.9,11.3,4.3,1.5,3.1,0.0,12.3,149.0,110.0,0.4,"johnny davis,corey kispert,daniel gafford,delon wright,anthony gill,jay huff,quenton jackson,xavier cooks,jordan goodwin,kendrick nunn","haywood highsmith,duncan robinson,max strus,gabe vincent,cody zeller,victor oladipo,caleb martin,omer yurtseven,orlando robinson"
2023-04-09,18.52,1,6.0,7.0,0.857,4.0,4.0,1.0,2.0,3.0,0.667,0.0,5.0,5.0,1.0,2.0,0.0,2.0,1.0,18.0,13.0,1.082,1.143,0.571,0.429,0.0,25.9,14.9,8.8,5.2,0.0,19.4,24.4,145.0,99.0,18.0,"caleb houstan,wendell carter jr.,jalen suggs,franz wagner,markelle fultz,chuma okeke,bol bol,kevon harris,admiral schofield,goga bitadze,michael carter-williams","haywood highsmith,max strus,tyler herro,bam adebayo,gabe vincent,duncan robinson,udonis haslem,omer yurtseven,victor oladipo,cody zeller,orlando robinson,caleb martin,kyle lowry,kevin love"
2023-10-27,3.92,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,-5.0,0.0,0.0,1.0,0.0,0.0,24.5,12.3,0.0,12.3,0.0,50.0,22.1,0.0,91.0,-22.0,"jayson tatum,jrue holiday,derrick white,jaylen brown,kristaps porzingis,al horford,oshae brissett,payton pritchard,sam hauser","tyler herro,bam adebayo,jimmy butler,kyle lowry,kevin love,duncan robinson,dru smith,thomas bryant"
2023-10-28,25.37,0,4.0,8.0,0.5,0.0,3.0,0.0,0.0,0.0,0.0,3.0,2.0,5.0,0.0,2.0,0.0,0.0,1.0,8.0,-23.0,0.5,0.5,0.375,0.0,11.6,9.5,10.6,0.0,3.9,0.0,0.0,14.1,111.0,106.0,-1.6,"anthony edwards,karl-anthony towns,rudy gobert,mike conley,nickeil alexander-walker,naz reid,kyle anderson,shake milton,troy brown jr.,jordan mclaughlin,josh minott","tyler herro,bam adebayo,kyle lowry,nikola jovic,duncan robinson,dru smith,thomas bryant,orlando robinson,cole swider,r.j. hampton"
