date,mp,home,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opponent,team
2021-04-21,17.95,0,4.0,11.0,0.364,1.0,4.0,0.25,6.0,6.0,1.0,4.0,4.0,8.0,0.0,0.0,4.0,0.0,5.0,15.0,-3.0,0.55,0.409,0.364,0.545,24.3,26.1,25.2,0.0,0.0,18.8,0.0,34.1,132.0,110.0,5.4,"luke kennard,terance mann,ivica zubac,marcus morris,amir coffey,nicolas batum,demarcus cousins,daniel oturu","ja morant,xavier tillman sr.,grayson allen,kyle anderson,dillon brooks,desmond bane,brandon clarke,justise winslow,de'anthony melton,tyus jones,jontay porter,killian tillie,john konchar,sean mcdermott"
2021-04-23,24.77,0,10.0,14.0,0.714,0.0,2.0,0.0,3.0,4.0,0.75,0.0,3.0,3.0,2.0,1.0,1.0,1.0,4.0,23.0,8.0,0.73,0.714,0.143,0.286,0.0,12.9,6.5,11.9,1.9,3.2,6.0,28.1,135.0,123.0,5.9,"robert covington,cj mccollum,damian lillard,norman powell,jusuf nurkic,derrick jones jr.,anfernee simons","ja morant,dillon brooks,kyle anderson,grayson allen,xavier tillman sr.,de'anthony melton,brandon clarke,justise winslow,desmond bane"
2021-04-26,20.7,0,3.0,10.0,0.3,1.0,5.0,0.2,3.0,6.0,0.5,0.0,7.0,7.0,1.0,0.0,0.0,2.0,5.0,10.0,-5.0,0.396,0.35,0.5,0.6,0.0,34.5,17.5,8.6,0.0,0.0,13.7,30.7,71.0,117.0,-11.8,"michael porter jr.,facundo campazzo,nikola jokic,pj dozier,aaron gordon,austin rivers,jamychal green,shaquille harrison,vlatko cancar,bol bol,zeke nnaji","ja morant,grayson allen,jonas valanciunas,dillon brooks,kyle anderson,de'anthony melton,justise winslow,desmond bane,brandon clarke,tyus jones,john konchar,killian tillie,jontay porter"
2021-04-28,24.4,1,4.0,15.0,0.267,2.0,10.0,0.2,3.0,4.0,0.75,1.0,4.0,5.0,2.0,0.0,2.0,0.0,5.0,13.0,-13.0,0.388,0.333,0.667,0.267,4.1,16.7,10.4,13.5,0.0,7.6,0.0,29.4,88.0,127.0,-7.0,"norman powell,cj mccollum,robert covington,damian lillard,jusuf nurkic,anfernee simons,nassir little,cj elleby","ja morant,jonas valanciunas,grayson allen,dillon brooks,kyle anderson,de'anthony melton,desmond bane,brandon clarke,justise winslow,xavier tillman sr.,tyus jones,killian tillie,john konchar"
2021-05-01,21.35,0,3.0,6.0,0.5,0.0,2.0,0.0,1.0,1.0,1.0,2.0,5.0,7.0,0.0,0.0,2.0,2.0,4.0,7.0,-12.0,0.543,0.5,0.333,0.167,9.4,25.5,17.1,0.0,0.0,7.5,23.7,15.7,95.0,110.0,-8.6,"cole anthony,moritz wagner,wendell carter jr.,gary harris,r.j. hampton,mo bamba,chasson randle","dillon brooks,ja morant,desmond bane,jonas valanciunas,kyle anderson,de'anthony melton,xavier tillman sr.,tyus jones,justise winslow"
2021-05-03,19.95,1,4.0,8.0,0.5,2.0,4.0,0.5,5.0,6.0,0.833,0.0,3.0,3.0,0.0,0.0,0.0,1.0,1.0,15.0,-12.0,0.705,0.625,0.5,0.75,0.0,17.6,7.9,0.0,0.0,0.0,8.6,25.8,127.0,130.0,1.6,"julius randle,rj barrett,reggie bullock,taj gibson,elfrid payton,derrick rose,immanuel quickley,alec burks,norvel pelle,obi toppin","ja morant,dillon brooks,jonas valanciunas,kyle anderson,grayson allen,desmond bane,tyus jones,xavier tillman sr.,de'anthony melton"
2021-05-06,25.18,0,4.0,12.0,0.333,3.0,7.0,0.429,6.0,6.0,1.0,2.0,3.0,5.0,0.0,4.0,0.0,1.0,1.0,17.0,-14.0,0.581,0.458,0.583,0.5,8.3,16.3,11.8,0.0,8.0,0.0,6.4,26.7,120.0,104.0,8.4,"saddiq bey,cory joseph,frank jackson,isaiah stewart,sekou doumbouya,tyler cook,jahlil okafor,saben lee","ja morant,dillon brooks,jonas valanciunas,kyle anderson,desmond bane,brandon clarke,john konchar,de'anthony melton,tyus jones"
2021-05-08,25.68,0,7.0,17.0,0.412,3.0,10.0,0.3,3.0,3.0,1.0,1.0,3.0,4.0,2.0,3.0,1.0,2.0,5.0,20.0,2.0,0.546,0.5,0.588,0.176,4.0,10.2,7.3,15.0,5.7,3.0,9.8,33.5,109.0,92.0,4.8,"gary trent jr.,pascal siakam,khem birch,malachi flynn,yuta watanabe,jalen harris,deandre' bembry,stanley johnson","ja morant,dillon brooks,jonas valanciunas,kyle anderson,desmond bane,de'anthony melton,brandon clarke,tyus jones,john konchar"
2021-05-10,27.02,1,4.0,8.0,0.5,1.0,5.0,0.2,3.0,3.0,1.0,3.0,4.0,7.0,1.0,1.0,4.0,3.0,2.0,12.0,-9.0,0.644,0.563,0.625,0.375,11.6,13.4,12.6,4.7,1.7,9.6,24.4,19.4,107.0,105.0,-1.7,"lonzo ball,naji marshall,james johnson,willy hernangomez,nickeil alexander-walker,jaxson hayes,wenyen gabriel,kira lewis jr.,wes iwundu","ja morant,dillon brooks,kyle anderson,jonas valanciunas,desmond bane,de'anthony melton,brandon clarke,john konchar,tyus jones,xavier tillman sr."
2021-05-13,19.98,1,5.0,11.0,0.455,2.0,4.0,0.5,0.0,1.0,0.0,2.0,4.0,6.0,2.0,0.0,2.0,1.0,5.0,12.0,-2.0,0.524,0.545,0.364,0.091,14.1,19.6,17.4,14.6,0.0,8.7,8.0,25.8,114.0,108.0,-0.4,"delon wright,buddy hield,chimezie metu,maurice harkless,richaun holmes,justin james,terence davis,damian jones,louis king","ja morant,dillon brooks,jonas valanciunas,kyle anderson,desmond bane,brandon clarke,de'anthony melton,tyus jones,john konchar,xavier tillman sr."
