date,mp,home,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opponent,team
2020-12-23,20.62,1,3.0,6.0,0.5,0.0,1.0,0.0,4.0,5.0,0.8,2.0,8.0,10.0,2.0,0.0,0.0,0.0,0.0,10.0,7.0,0.61,0.5,0.167,0.833,9.5,43.3,25.3,15.0,0.0,0.0,0.0,17.1,145.0,103.0,5.2,"blake griffin,mason plumlee,jerami grant,killian hayes,delon wright,josh jackson,derrick rose,svi mykhailiuk,jahlil okafor,sekou doumbouya","josh okogie,karl-anthony towns,malik beasley,ricky rubio,jake layman,d'angelo russell,anthony edwards,naz reid,juancho hernangomez"
2020-12-26,19.73,0,5.0,7.0,0.714,3.0,3.0,1.0,1.0,2.0,0.5,3.0,3.0,6.0,0.0,1.0,0.0,0.0,3.0,14.0,9.0,0.888,0.929,0.429,0.286,14.6,15.5,15.0,0.0,2.4,0.0,0.0,16.3,180.0,107.0,14.3,"donovan mitchell,royce o'neale,bojan bogdanovic,mike conley,rudy gobert,joe ingles,jordan clarkson,derrick favors,georges niang,juwan morgan","malik beasley,d'angelo russell,josh okogie,karl-anthony towns,jake layman,ricky rubio,anthony edwards,naz reid,juancho hernangomez"
2020-12-27,29.42,0,4.0,11.0,0.364,0.0,4.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,0.0,1.0,1.0,5.0,4.0,8.0,-18.0,0.364,0.364,0.364,0.0,5.6,9.1,6.9,0.0,1.5,3.0,31.3,20.7,54.0,120.0,-15.6,"kyle kuzma,lebron james,dennis schroder,kentavious caldwell-pope,talen horton-tucker,montrezl harrell,wesley matthews,markieff morris,alex caruso,alfonzo mckinnie,kostas antetokounmpo","naz reid,malik beasley,d'angelo russell,jake layman,josh okogie,anthony edwards,ricky rubio,jordan mclaughlin,jarred vanderbilt,juancho hernangomez,jaden mcdaniels"
2020-12-29,25.5,0,0.0,10.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,6.0,10.0,0.0,1.0,1.0,1.0,1.0,0.0,-12.0,0.0,0.0,0.3,0.0,15.1,32.3,22.1,0.0,1.9,3.3,9.1,18.7,26.0,122.0,-19.0,"paul george,luke kennard,nicolas batum,patrick beverley,serge ibaka,reggie jackson,terance mann,ivica zubac,amir coffey,mfiondu kabengele,daniel oturu","d'angelo russell,malik beasley,ricky rubio,naz reid,anthony edwards,juancho hernangomez,jordan mclaughlin,jarred vanderbilt,jake layman,jaden mcdaniels"
2021-01-01,20.65,1,2.0,4.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,5.0,4.0,-8.0,0.5,0.5,0.25,0.0,5.1,5.8,5.4,0.0,0.0,0.0,33.3,11.9,73.0,130.0,-15.1,"bradley beal,deni avdija,raul neto,thomas bryant,rui hachimura,jerome robinson,ish smith,robin lopez,davis bertans,troy brown jr.,garrison mathews,anthony gill","malik beasley,d'angelo russell,ricky rubio,naz reid,anthony edwards,jordan mclaughlin,jake layman,juancho hernangomez,jarred vanderbilt,jaden mcdaniels"
2021-01-03,28.47,1,8.0,13.0,0.615,1.0,4.0,0.25,3.0,6.0,0.5,4.0,2.0,6.0,0.0,3.0,0.0,2.0,2.0,20.0,-9.0,0.639,0.654,0.308,0.462,17.3,8.4,12.8,0.0,5.2,0.0,11.3,28.1,117.0,124.0,-0.3,"jamal murray,nikola jokic,gary harris,will barton,monte morris,jamychal green,facundo campazzo,pj dozier,vlatko cancar,r.j. hampton,zeke nnaji","malik beasley,d'angelo russell,juancho hernangomez,naz reid,anthony edwards,jake layman,ricky rubio,jordan mclaughlin,jaden mcdaniels,jarred vanderbilt"
2021-01-05,22.2,0,2.0,5.0,0.4,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,6.0,1.0,0.0,0.0,2.0,2.0,4.0,4.0,0.4,0.4,0.2,0.0,5.1,25.7,15.4,5.7,0.0,0.0,28.6,12.9,71.0,123.0,-9.5,"nikola jokic,will barton,gary harris,jamal murray,facundo campazzo,monte morris,jamychal green,pj dozier,r.j. hampton","malik beasley,d'angelo russell,juancho hernangomez,anthony edwards,jarred vanderbilt,ricky rubio,jake layman,naz reid"
2021-01-07,19.58,0,3.0,6.0,0.5,1.0,3.0,0.333,0.0,0.0,0.0,3.0,2.0,5.0,2.0,0.0,0.0,1.0,1.0,7.0,-14.0,0.583,0.583,0.5,0.0,13.9,12.6,13.3,15.5,0.0,0.0,14.3,13.9,124.0,133.0,-2.4,"damian lillard,cj mccollum,robert covington,jusuf nurkic,derrick jones jr.,gary trent jr.,anfernee simons,nassir little,cj elleby","d'angelo russell,malik beasley,juancho hernangomez,anthony edwards,ricky rubio,jarred vanderbilt,naz reid,jake layman,jaden mcdaniels,jaylen nowell"
2021-01-09,30.62,1,4.0,6.0,0.667,0.0,0.0,0.0,2.0,4.0,0.5,1.0,7.0,8.0,3.0,0.0,0.0,1.0,4.0,10.0,-4.0,0.644,0.667,0.0,0.667,3.7,22.4,13.7,12.6,0.0,0.0,11.4,12.7,129.0,118.0,-1.3,"demar derozan,keldon johnson,dejounte murray,lonnie walker iv,patty mills,rudy gay,jakob poeltl,devin vassell","malik beasley,d'angelo russell,karl-anthony towns,juancho hernangomez,ricky rubio,anthony edwards,naz reid,jarred vanderbilt,jake layman"
2021-01-10,19.92,1,1.0,5.0,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,4.0,0.0,1.0,2.0,1.0,2.0,8.0,0.2,0.2,0.2,0.0,0.0,13.9,7.5,30.5,0.0,3.8,28.6,16.2,56.0,93.0,-5.1,"dejounte murray,trey lyles,keldon johnson,lonnie walker iv,patty mills,rudy gay,jakob poeltl,devin vassell","malik beasley,d'angelo russell,juancho hernangomez,naz reid,ricky rubio,josh okogie,jarred vanderbilt,anthony edwards"
2021-01-13,10.08,1,1.0,2.0,0.5,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,-6.0,0.347,0.5,0.5,1.0,0.0,18.3,10.0,0.0,0.0,0.0,0.0,12.2,66.0,120.0,-13.0,"brandon clarke,jonas valanciunas,dillon brooks,tyus jones,kyle anderson,grayson allen,de'anthony melton,xavier tillman sr.,desmond bane","d'angelo russell,karl-anthony towns,malik beasley,juancho hernangomez,josh okogie,ricky rubio,anthony edwards,jarred vanderbilt,naz reid"
2021-01-18,19.2,0,3.0,6.0,0.5,0.0,0.0,0.0,1.0,2.0,0.5,2.0,5.0,7.0,0.0,3.0,1.0,3.0,3.0,7.0,-4.0,0.509,0.5,0.0,0.333,10.0,33.8,20.1,0.0,7.2,4.9,30.4,21.3,75.0,89.0,-2.3,"kevin huerter,clint capela,de'andre hunter,john collins,trae young,brandon goodwin","malik beasley,d'angelo russell,jarred vanderbilt,naz reid,josh okogie,anthony edwards,jordan mclaughlin,jaden mcdaniels"
2021-01-20,15.02,1,3.0,6.0,0.5,0.0,0.0,0.0,1.0,2.0,0.5,1.0,2.0,3.0,1.0,1.0,1.0,1.0,0.0,7.0,6.0,0.509,0.5,0.0,0.333,7.4,13.3,10.5,12.1,3.4,5.2,12.7,24.2,97.0,98.0,1.6,"nikola vucevic,aaron gordon,evan fournier,cole anthony,khem birch,terrence ross,gary clark","malik beasley,d'angelo russell,naz reid,josh okogie,jarred vanderbilt,jaden mcdaniels,anthony edwards,jordan mclaughlin"
2021-01-22,18.55,1,6.0,13.0,0.462,1.0,5.0,0.2,2.0,2.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,0.0,4.0,15.0,-15.0,0.54,0.5,0.385,0.154,5.0,6.0,5.4,21.1,0.0,5.4,0.0,32.3,113.0,127.0,0.0,"kevin huerter,trae young,clint capela,john collins,de'andre hunter,cam reddish,danilo gallinari,brandon goodwin,onyeka okongwu,bruno fernando","jarred vanderbilt,malik beasley,naz reid,d'angelo russell,josh okogie,anthony edwards,jaden mcdaniels,ricky rubio,jordan mclaughlin,jake layman,jaylen nowell"
2021-01-23,24.78,1,6.0,9.0,0.667,2.0,4.0,0.5,2.0,4.0,0.5,0.0,5.0,5.0,0.0,1.0,0.0,0.0,4.0,16.0,1.0,0.743,0.778,0.444,0.444,0.0,21.1,10.5,0.0,1.9,0.0,0.0,17.6,147.0,107.0,3.2,"zion williamson,brandon ingram,lonzo ball,steven adams,josh hart,nickeil alexander-walker,jaxson hayes","malik beasley,ricky rubio,naz reid,josh okogie,jarred vanderbilt,anthony edwards,jaden mcdaniels,jordan mclaughlin"
2021-01-25,14.72,0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,4.0,5.0,0.532,0.0,0.0,2.0,0.0,7.1,3.5,0.0,0.0,0.0,21.0,12.6,99.0,133.0,-12.0,"stephen curry,draymond green,andrew wiggins,kelly oubre jr.,kevon looney,damion lee,james wiseman,mychal mulder,kent bazemore,eric paschall,jordan poole,nico mannion","malik beasley,ricky rubio,jarred vanderbilt,naz reid,josh okogie,anthony edwards,jaden mcdaniels,jordan mclaughlin,jake layman,ashton hagans"
2021-02-27,14.02,0,1.0,6.0,0.167,0.0,1.0,0.0,1.0,2.0,0.5,3.0,2.0,5.0,0.0,0.0,1.0,1.0,0.0,3.0,-20.0,0.218,0.167,0.167,0.333,19.0,12.9,16.0,0.0,0.0,5.3,12.7,21.5,63.0,118.0,-13.4,"russell westbrook,bradley beal,garrison mathews,rui hachimura,moritz wagner,raul neto,deni avdija,davis bertans,alex len,robin lopez,troy brown jr.,anthony gill","karl-anthony towns,anthony edwards,josh okogie,ricky rubio,jarred vanderbilt,jaylen nowell,jordan mclaughlin,naz reid,jaden mcdaniels,juancho hernangomez"
2021-02-28,9.1,1,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,-6.0,0.0,0.0,0.667,0.0,0.0,25.1,11.6,15.1,5.0,0.0,0.0,13.3,18.0,106.0,-7.3,"devin booker,chris paul,mikal bridges,deandre ayton,frank kaminsky,jae crowder,cameron johnson,dario saric,jevon carter,cameron payne,jalen smith","anthony edwards,karl-anthony towns,ricky rubio,josh okogie,jarred vanderbilt,jake layman,jordan mclaughlin,jaylen nowell,naz reid,jaden mcdaniels,juancho hernangomez"
2021-03-03,14.02,1,2.0,8.0,0.25,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,1.0,2.0,4.0,-5.0,0.25,0.25,0.125,0.0,12.9,7.4,10.4,0.0,0.0,0.0,11.1,25.1,58.0,131.0,-20.3,"p.j. washington,gordon hayward,bismack biyombo,terry rozier,lamelo ball,miles bridges,cody martin,malik monk,caleb martin,jalen mcdaniels","anthony edwards,karl-anthony towns,jake layman,ricky rubio,jarred vanderbilt,jaden mcdaniels,jordan mclaughlin,jaylen nowell,naz reid"
2021-03-19,9.72,0,2.0,4.0,0.5,0.0,1.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,5.0,3.0,0.512,0.5,0.25,0.5,0.0,0.0,0.0,18.2,4.9,0.0,17.0,27.4,90.0,107.0,-5.0,"devin booker,mikal bridges,chris paul,jae crowder,deandre ayton,dario saric,cameron payne,langston galloway,frank kaminsky,jalen smith","anthony edwards,karl-anthony towns,ricky rubio,jaden mcdaniels,josh okogie,jaylen nowell,juancho hernangomez,jake layman,naz reid,jarred vanderbilt"
2021-03-22,8.22,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,-4.0,0.0,0.0,1.0,0.0,0.0,14.6,6.6,0.0,0.0,0.0,0.0,5.2,0.0,125.0,-19.4,"shai gilgeous-alexander,moses brown,aleksej pokusevski,theo maledon,isaiah roby,ty jerome,kenrich williams,svi mykhailiuk,justin jackson","karl-anthony towns,ricky rubio,anthony edwards,jake layman,jarred vanderbilt,jaylen nowell,josh okogie,naz reid,jaden mcdaniels,juancho hernangomez"
2021-03-24,7.82,1,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-6.0,0.174,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.2,38.0,135.0,-19.7,"maxi kleber,josh richardson,kristaps porzingis,dorian finney-smith,luka doncic,jalen brunson,tim hardaway jr.,dwight powell,trey burke,tyler bey,nate hinton,josh green","anthony edwards,karl-anthony towns,ricky rubio,jaden mcdaniels,jarred vanderbilt,juancho hernangomez,jaylen nowell,naz reid,jake layman"
2021-03-27,4.35,1,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,-8.0,0.5,0.5,0.5,0.0,0.0,27.6,13.6,0.0,0.0,0.0,0.0,20.4,98.0,137.0,-9.7,"jae'sean tate,kevin porter jr.,john wall,kelly olynyk,sterling brown,kenyon martin jr.,d.j. wilson,anthony lamb","jaden mcdaniels,anthony edwards,karl-anthony towns,malik beasley,ricky rubio,jaylen nowell,juancho hernangomez,jordan mclaughlin,naz reid,jake layman,jarred vanderbilt"
2021-03-29,16.28,0,3.0,10.0,0.3,1.0,4.0,0.25,1.0,1.0,1.0,2.0,1.0,3.0,0.0,1.0,1.0,0.0,3.0,8.0,-12.0,0.383,0.35,0.4,0.1,9.8,7.2,8.8,0.0,2.9,5.4,0.0,24.5,93.0,107.0,-4.1,"james harden,kyrie irving,joe harris,bruce brown,deandre jordan,jeff green,blake griffin,nic claxton,timothe luwawu-cabarrot","karl-anthony towns,jaden mcdaniels,anthony edwards,malik beasley,ricky rubio,jordan mclaughlin,jaylen nowell,naz reid,juancho hernangomez"
2021-03-31,3.73,1,0.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-3.0,0.174,0.0,0.5,1.0,0.0,33.8,15.9,0.0,0.0,0.0,0.0,34.5,41.0,109.0,-26.8,"rj barrett,julius randle,reggie bullock,elfrid payton,nerlens noel,alec burks,taj gibson,immanuel quickley,obi toppin","karl-anthony towns,jaden mcdaniels,anthony edwards,malik beasley,ricky rubio,jaylen nowell,jordan mclaughlin,naz reid,juancho hernangomez,jake layman"
2021-04-02,3.78,0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,8.0,1.064,1.0,0.0,2.0,0.0,0.0,0.0,0.0,25.6,0.0,0.0,22.5,229.0,71.0,44.1,"ja morant,dillon brooks,jonas valanciunas,grayson allen,kyle anderson,brandon clarke,de'anthony melton,xavier tillman sr.,tyus jones,desmond bane,sean mcdermott,john konchar,jontay porter,killian tillie","karl-anthony towns,jordan mclaughlin,anthony edwards,malik beasley,jaden mcdaniels,naz reid,jaylen nowell,josh okogie,juancho hernangomez,jake layman,jarred vanderbilt"
2021-04-03,8.65,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,3.0,-14.0,1.5,1.5,1.0,0.0,0.0,14.6,7.1,0.0,0.0,0.0,50.0,10.8,105.0,130.0,-3.8,"seth curry,ben simmons,tobias harris,joel embiid,danny green,shake milton,matisse thybulle,furkan korkmaz","karl-anthony towns,jordan mclaughlin,anthony edwards,jaden mcdaniels,josh okogie,jake layman,naz reid,jaylen nowell,jarred vanderbilt,juancho hernangomez"
2021-04-05,6.92,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.3,0.0,0.0,0.0,5.8,59.0,115.0,-11.7,"de'aaron fox,harrison barnes,richaun holmes,tyrese haliburton,buddy hield,delon wright,terence davis,maurice harkless","anthony edwards,karl-anthony towns,ricky rubio,jaden mcdaniels,josh okogie,juancho hernangomez,d'angelo russell,naz reid,jordan mclaughlin,jake layman"
2021-04-07,18.3,0,3.0,5.0,0.6,1.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,3.0,2.0,0.0,1.0,1.0,2.0,8.0,-9.0,0.68,0.7,0.2,0.4,12.8,7.3,10.2,13.1,0.0,4.0,14.5,15.0,134.0,135.0,-0.6,"caris levert,justin holiday,goga bitadze,edmond sumner,doug mcdermott,t.j. mcconnell,aaron holiday,jeremy lamb,kelan martin,oshae brissett","jaden mcdaniels,karl-anthony towns,anthony edwards,ricky rubio,jake layman,d'angelo russell,jordan mclaughlin,naz reid,juancho hernangomez"
2021-04-09,5.13,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,27.9,12.6,0.0,0.0,0.0,0.0,0.0,0.0,135.0,-16.8,"jaylen brown,marcus smart,jayson tatum,kemba walker,robert williams,tristan thompson,grant williams,payton pritchard,romeo langford","jaden mcdaniels,karl-anthony towns,anthony edwards,josh okogie,ricky rubio,d'angelo russell,juancho hernangomez,jordan mclaughlin,naz reid"
2021-04-11,6.93,1,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,5.0,-1.0,1.25,1.25,0.5,0.0,0.0,0.0,0.0,0.0,6.9,0.0,33.3,19.6,109.0,109.0,12.5,"zach lavine,nikola vucevic,patrick williams,thaddeus young,daniel theis,coby white,troy brown jr.,lauri markkanen,denzel valentine","karl-anthony towns,anthony edwards,josh okogie,jaden mcdaniels,ricky rubio,naz reid,d'angelo russell,jordan mclaughlin,juancho hernangomez"
2021-04-13,14.93,1,1.0,6.0,0.167,1.0,5.0,0.2,1.0,2.0,0.5,0.0,3.0,3.0,2.0,0.0,0.0,1.0,0.0,4.0,-1.0,0.291,0.25,0.833,0.333,0.0,21.9,9.5,24.0,0.0,0.0,12.7,21.9,65.0,128.0,-11.4,"joe harris,kevin durant,nic claxton,jeff green,chris chiozza,landry shamet,blake griffin,timothe luwawu-cabarrot,bruce brown,deandre jordan,alize johnson,reggie perry","anthony edwards,jaden mcdaniels,ricky rubio,josh okogie,naz reid,jordan mclaughlin,jarred vanderbilt,d'angelo russell,jaylen nowell,juancho hernangomez,jake layman"
2021-04-14,3.95,1,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,126.0,-26.9,"jrue holiday,khris middleton,bobby portis,donte divincenzo,brook lopez,thanasis antetokounmpo,pat connaughton,bryn forbes,p.j. tucker,jordan nwora,mamadi diakite,sam merrill","anthony edwards,naz reid,jaden mcdaniels,josh okogie,ricky rubio,d'angelo russell,juancho hernangomez,jarred vanderbilt,jordan mclaughlin,jaylen nowell,jake layman"
2021-04-18,4.13,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,95.2,0.0,0.0,0.0,10.7,217.0,132.0,16.5,"paul george,marcus morris,kawhi leonard,ivica zubac,reggie jackson,terance mann,luke kennard,demarcus cousins,amir coffey,daniel oturu,malik fitts","anthony edwards,jaden mcdaniels,karl-anthony towns,ricky rubio,josh okogie,d'angelo russell,jordan mclaughlin,naz reid,juancho hernangomez,jarred vanderbilt,jake layman"
2021-10-27,5.57,0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,2.0,0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.174,0.0,1.0,1.0,0.0,20.5,8.8,0.0,0.0,0.0,0.0,19.8,47.0,123.0,-17.9,"cj mccollum,damian lillard,robert covington,nassir little,jusuf nurkic,anfernee simons,cody zeller,dennis smith jr.,larry nance jr.,greg brown iii,cj elleby","ja morant,de'anthony melton,desmond bane,jaren jackson jr.,steven adams,kyle anderson,ziaire williams,john konchar,brandon clarke,tyus jones,sam merrill,xavier tillman sr.,santi aldama,killian tillie"
2021-11-05,9.98,0,2.0,3.0,0.667,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,6.0,-2.0,0.773,0.667,0.0,0.667,8.0,15.0,10.5,39.4,0.0,0.0,0.0,16.6,170.0,122.0,11.7,"bradley beal,kentavious caldwell-pope,kyle kuzma,daniel gafford,spencer dinwiddie,deni avdija,raul neto,montrezl harrell,aaron holiday,corey kispert","ja morant,jaren jackson jr.,desmond bane,de'anthony melton,steven adams,kyle anderson,ziaire williams,tyus jones,xavier tillman sr.,brandon clarke,sam merrill,santi aldama,killian tillie,john konchar"
2021-11-15,5.05,1,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,1.23,1.25,0.5,0.5,0.0,17.0,10.0,0.0,0.0,0.0,0.0,20.2,250.0,103.0,21.2,"jalen green,christian wood,jae'sean tate,daniel theis,kevin porter jr.,alperen sengun,kenyon martin jr.,garrison mathews,danuel house jr.,david nwaba,josh christopher,armoni brooks,usman garuba","ja morant,desmond bane,jaren jackson jr.,dillon brooks,steven adams,ziaire williams,brandon clarke,kyle anderson,de'anthony melton,tyus jones,sam merrill,xavier tillman sr.,john konchar,santi aldama"
2021-11-20,7.87,0,2.0,4.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,4.0,-9.0,0.5,0.5,0.25,0.0,0.0,0.0,0.0,36.3,6.3,0.0,20.0,27.1,81.0,138.0,-0.6,"d'angelo russell,anthony edwards,jarred vanderbilt,karl-anthony towns,patrick beverley,malik beasley,jaden mcdaniels,taurean prince,naz reid,jordan mclaughlin,nathan knight,jaylen nowell,jake layman,leandro bolmaro","ja morant,jaren jackson jr.,desmond bane,kyle anderson,steven adams,john konchar,ziaire williams,xavier tillman sr.,tyus jones,brandon clarke,santi aldama,killian tillie"
2021-11-26,12.0,1,2.0,3.0,0.667,1.0,2.0,0.5,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,5.0,7.0,0.727,0.833,0.667,0.333,0.0,11.4,4.7,13.8,0.0,0.0,22.5,15.8,99.0,139.0,-4.0,"clint capela,trae young,bogdan bogdanovic,kevin huerter,john collins,cam reddish,danilo gallinari,delon wright,gorgui dieng,timothe luwawu-cabarrot","desmond bane,jaren jackson jr.,dillon brooks,steven adams,ja morant,tyus jones,de'anthony melton,kyle anderson,john konchar,ziaire williams,killian tillie,xavier tillman sr.,santi aldama,brandon clarke"
2021-11-28,8.78,1,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,-7.0,0.0,0.0,0.333,0.0,0.0,16.6,9.3,10.9,0.0,0.0,0.0,13.5,24.0,99.0,-15.6,"chimezie metu,de'aaron fox,tyrese haliburton,terence davis,alex len,davion mitchell,buddy hield,tristan thompson,louis king,marvin bagley iii,damian jones,jahmi'us ramsey","desmond bane,tyus jones,jaren jackson jr.,dillon brooks,steven adams,john konchar,kyle anderson,de'anthony melton,ziaire williams,brandon clarke,killian tillie,santi aldama,xavier tillman sr."
2021-12-02,14.43,1,5.0,8.0,0.625,1.0,2.0,0.5,0.0,2.0,0.0,1.0,3.0,4.0,6.0,2.0,0.0,0.0,1.0,11.0,19.0,0.619,0.688,0.25,0.25,10.4,21.2,16.8,46.0,7.0,0.0,0.0,25.9,162.0,76.0,17.1,"ty jerome,tre mann,luguentz dort,jeremiah robinson-earl,darius bazley,isaiah roby,aleksej pokusevski,mike muscala","steven adams,tyus jones,jaren jackson jr.,desmond bane,dillon brooks,santi aldama,john konchar,xavier tillman sr.,de'anthony melton,killian tillie,brandon clarke"
2021-12-06,1.27,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.3,200.0,102.0,30.4,"kyle lowry,jimmy butler,p.j. tucker,duncan robinson,dewayne dedmon,caleb martin,tyler herro,gabe vincent,omer yurtseven,max strus,kz okpala","dillon brooks,jaren jackson jr.,tyus jones,desmond bane,steven adams,de'anthony melton,john konchar,xavier tillman sr.,santi aldama,ziaire williams,yves pons,killian tillie"
