date,mp,home,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opponent,team
2020-12-23,6.28,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.2,0.0,0.0,100.0,6.8,57.0,106.0,-9.7,"pascal siakam,kyle lowry,og anunoby,fred vanvleet,norman powell,chris boucher,deandre' bembry,terence davis,malachi flynn,stanley johnson","brandon ingram,steven adams,zion williamson,lonzo ball,josh hart,nickeil alexander-walker"
2020-12-25,3.25,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,-9.0,0.0,0.0,0.0,0.0,35.2,0.0,19.4,47.6,0.0,0.0,50.0,26.5,49.0,121.0,-14.8,"tyler herro,duncan robinson,bam adebayo,meyers leonard,jimmy butler,goran dragic,andre iguodala,precious achiuwa,maurice harkless,kz okpala,chris silva","zion williamson,brandon ingram,lonzo ball,steven adams,josh hart"
2020-12-27,17.15,1,2.0,3.0,0.667,0.0,0.0,0.0,2.0,2.0,1.0,0.0,4.0,4.0,0.0,0.0,0.0,1.0,4.0,6.0,-15.0,0.773,0.667,0.0,0.667,0.0,23.8,10.9,0.0,0.0,0.0,20.5,11.9,122.0,100.0,-6.1,"lonnie walker iv,demar derozan,dejounte murray,keldon johnson,rudy gay,jakob poeltl,patty mills,devin vassell,trey lyles","zion williamson,lonzo ball,brandon ingram,steven adams,josh hart"
2020-12-29,11.77,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,6.0,1.0,1.0,2.0,0.0,0.0,0.0,-14.0,0.0,0.0,0.0,0.0,21.5,35.5,29.1,11.0,4.5,22.1,0.0,0.0,204.0,97.0,11.9,"mikal bridges,deandre ayton,devin booker,chris paul,jae crowder,cameron payne,cameron johnson,jevon carter,dario saric,langston galloway,frank kaminsky,damian jones,ty-shon alexander","zion williamson,brandon ingram,steven adams,lonzo ball,josh hart,nickeil alexander-walker,kira lewis jr.,willy hernangomez"
2020-12-31,14.17,0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,5.0,6.0,1.0,0.0,2.0,2.0,3.0,0.0,17.0,0.0,0.0,0.0,1.0,7.2,33.2,20.7,7.7,0.0,21.2,41.0,14.7,27.0,70.0,-12.9,"shai gilgeous-alexander,darius bazley,al horford,george hill,luguentz dort,theo maledon,aleksej pokusevski,isaiah roby,hamidou diallo,mike muscala,josh hall,kenrich williams,moses brown","lonzo ball,steven adams,brandon ingram,zion williamson,josh hart,nickeil alexander-walker,kira lewis jr."
2021-01-02,16.6,1,1.0,3.0,0.333,0.0,0.0,0.0,4.0,4.0,1.0,4.0,4.0,8.0,0.0,1.0,0.0,0.0,3.0,6.0,0.0,0.63,0.333,0.0,1.333,26.3,25.1,25.7,0.0,3.0,0.0,0.0,11.9,167.0,114.0,-0.7,"fred vanvleet,kyle lowry,og anunoby,pascal siakam,chris boucher,norman powell,stanley johnson,alex len,terence davis","brandon ingram,lonzo ball,zion williamson,steven adams,josh hart,nickeil alexander-walker"
2021-01-04,13.87,1,4.0,5.0,0.8,0.0,0.0,0.0,1.0,1.0,1.0,2.0,3.0,5.0,0.0,0.0,1.0,1.0,1.0,9.0,-6.0,0.827,0.8,0.0,0.2,14.4,24.9,19.3,0.0,0.0,8.0,15.5,19.0,139.0,105.0,7.6,"malcolm brogdon,victor oladipo,domantas sabonis,myles turner,aaron holiday,justin holiday,doug mcdermott,t.j. mcconnell","brandon ingram,lonzo ball,zion williamson,steven adams,josh hart,nickeil alexander-walker"
2021-01-06,13.72,1,2.0,3.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,4.0,-5.0,0.667,0.667,0.0,0.0,0.0,14.9,7.8,0.0,0.0,0.0,0.0,9.2,131.0,113.0,-5.6,"shai gilgeous-alexander,darius bazley,luguentz dort,george hill,al horford,mike muscala,hamidou diallo,theo maledon,kenrich williams,isaiah roby","brandon ingram,lonzo ball,steven adams,zion williamson,josh hart,nickeil alexander-walker"
2021-01-08,3.28,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.5,0.0,0.0,0.0,0.0,239.0,134.0,-4.6,"gordon hayward,devonte' graham,terry rozier,p.j. washington,bismack biyombo,miles bridges,lamelo ball,caleb martin,cody martin","lonzo ball,brandon ingram,steven adams,zion williamson,josh hart,nickeil alexander-walker"
2021-01-13,19.02,0,2.0,6.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,10.0,2.0,0.0,0.0,0.0,1.0,4.0,-3.0,0.333,0.333,0.0,0.0,28.0,32.4,30.0,13.7,0.0,0.0,0.0,14.6,122.0,125.0,-2.3,"kawhi leonard,paul george,patrick beverley,nicolas batum,serge ibaka,ivica zubac,luke kennard,marcus morris","brandon ingram,josh hart,nickeil alexander-walker,steven adams,kira lewis jr."
2021-01-15,7.95,0,4.0,5.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,0.0,0.0,1.0,1.0,2.0,8.0,8.0,0.8,0.8,0.0,0.0,14.7,36.2,26.5,0.0,0.0,10.8,16.7,33.1,121.0,104.0,11.5,"anthony davis,lebron james,dennis schroder,kentavious caldwell-pope,kyle kuzma,montrezl harrell,alex caruso,markieff morris,wesley matthews,talen horton-tucker,alfonzo mckinnie","brandon ingram,zion williamson,steven adams,josh hart,nickeil alexander-walker,kira lewis jr.,naji marshall"
2021-01-17,15.87,0,4.0,6.0,0.667,0.0,0.0,0.0,3.0,3.0,1.0,1.0,5.0,6.0,0.0,0.0,0.0,1.0,1.0,11.0,1.0,0.751,0.667,0.0,0.5,7.8,36.0,22.4,0.0,0.0,0.0,12.0,22.3,141.0,125.0,0.1,"richaun holmes,harrison barnes,de'aaron fox,marvin bagley iii,buddy hield,tyrese haliburton,cory joseph,chimezie metu","brandon ingram,zion williamson,nickeil alexander-walker,steven adams,josh hart,kira lewis jr."
2021-01-19,15.02,0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,2.0,-17.0,0.5,0.5,0.0,0.0,0.0,8.2,3.5,0.0,0.0,0.0,33.3,8.7,63.0,130.0,-14.1,"royce o'neale,donovan mitchell,rudy gobert,bojan bogdanovic,mike conley,jordan clarkson,joe ingles,derrick favors,georges niang,miye oni,shaquille harrison,udoka azubuike,jarrell brantley","zion williamson,brandon ingram,steven adams,lonzo ball,nickeil alexander-walker,josh hart,kira lewis jr.,willy hernangomez,naji marshall"
2021-01-21,15.62,0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,3.0,3.0,0.798,1.0,0.0,2.0,0.0,15.8,7.7,7.9,3.0,0.0,34.7,7.7,105.0,123.0,-1.3,"donovan mitchell,royce o'neale,mike conley,rudy gobert,bojan bogdanovic,jordan clarkson,joe ingles,derrick favors,georges niang,udoka azubuike,shaquille harrison,juwan morgan,miye oni","zion williamson,brandon ingram,steven adams,lonzo ball,josh hart,nickeil alexander-walker,willy hernangomez,naji marshall,kira lewis jr."
2021-01-23,17.2,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,3.0,1.0,1.0,1.0,3.0,1.0,2.0,-8.0,0.532,1.0,0.0,2.0,6.1,12.1,9.1,7.5,2.7,4.9,61.5,11.4,52.0,112.0,-6.0,"malik beasley,ricky rubio,naz reid,josh okogie,jarred vanderbilt,jarrett culver,anthony edwards,jaden mcdaniels,jordan mclaughlin","zion williamson,brandon ingram,lonzo ball,steven adams,josh hart,nickeil alexander-walker"
2021-01-27,14.63,1,4.0,4.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,8.0,-6.0,0.82,1.0,0.0,0.5,0.0,6.7,3.7,0.0,0.0,0.0,0.0,14.1,148.0,116.0,-2.9,"bradley beal,jordan bell,robin lopez,raul neto,garrison mathews,jerome robinson,alex len,cassius winston,anthony gill","brandon ingram,steven adams,zion williamson,lonzo ball,nickeil alexander-walker,josh hart"
