date,mp,home,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opponent,team
2020-12-23,37.63,1,13.0,24.0,0.542,3.0,8.0,0.375,4.0,4.0,1.0,0.0,5.0,5.0,4.0,2.0,1.0,0.0,3.0,33.0,8.0,0.641,0.604,0.333,0.167,0.0,16.8,7.2,16.2,2.6,2.3,0.0,29.4,136.0,119.0,9.5,"jrue holiday,khris middleton,giannis antetokounmpo,brook lopez,donte divincenzo,pat connaughton,bobby portis,bryn forbes,d.j. wilson,sam merrill","marcus smart,jayson tatum,daniel theis,tristan thompson,grant williams,payton pritchard,robert williams"
2020-12-25,30.53,1,11.0,25.0,0.44,0.0,4.0,0.0,5.0,9.0,0.556,5.0,3.0,8.0,3.0,0.0,1.0,2.0,5.0,27.0,-25.0,0.466,0.44,0.16,0.36,14.6,13.1,14.0,23.9,0.0,3.3,6.5,40.1,104.0,132.0,3.9,"kyrie irving,kevin durant,spencer dinwiddie,joe harris,deandre jordan,jarrett allen,landry shamet,caris levert,jeff green,taurean prince,timothe luwawu-cabarrot,bruce brown,reggie perry","jayson tatum,marcus smart,daniel theis,tristan thompson,payton pritchard,grant williams,aaron nesmith,javonte green,carsen edwards,tremont waters"
2020-12-27,33.6,0,8.0,13.0,0.615,0.0,1.0,0.0,2.0,2.0,1.0,0.0,2.0,2.0,4.0,2.0,1.0,2.0,4.0,18.0,1.0,0.648,0.615,0.077,0.154,0.0,6.8,3.7,20.0,2.8,2.3,12.6,21.1,120.0,108.0,1.9,"domantas sabonis,t.j. warren,malcolm brogdon,myles turner,aaron holiday,justin holiday,doug mcdermott,t.j. mcconnell","jayson tatum,marcus smart,tristan thompson,daniel theis,payton pritchard,grant williams,robert williams"
2020-12-29,34.37,0,7.0,13.0,0.538,1.0,2.0,0.5,5.0,10.0,0.5,0.0,2.0,2.0,2.0,4.0,0.0,1.0,2.0,20.0,-1.0,0.575,0.577,0.154,0.769,0.0,8.0,3.5,9.2,5.7,0.0,5.4,23.3,116.0,107.0,3.3,"domantas sabonis,malcolm brogdon,victor oladipo,myles turner,t.j. warren,justin holiday,doug mcdermott,aaron holiday,t.j. mcconnell","jayson tatum,marcus smart,tristan thompson,daniel theis,payton pritchard,javonte green,robert williams,grant williams"
2020-12-30,28.95,1,15.0,21.0,0.714,7.0,10.0,0.7,5.0,6.0,0.833,1.0,4.0,5.0,4.0,1.0,0.0,4.0,1.0,42.0,22.0,0.888,0.881,0.476,0.286,3.9,14.4,9.4,27.5,1.6,0.0,14.5,40.5,147.0,108.0,20.2,"kyle anderson,dillon brooks,jonas valanciunas,tyus jones,grayson allen,desmond bane,brandon clarke,gorgui dieng,john konchar,sean mcdermott","marcus smart,jayson tatum,daniel theis,robert williams,payton pritchard,grant williams,aaron nesmith,carsen edwards,tremont waters"
2021-01-01,37.57,0,12.0,21.0,0.571,1.0,7.0,0.143,0.0,0.0,0.0,2.0,7.0,9.0,2.0,3.0,2.0,4.0,3.0,25.0,-9.0,0.595,0.595,0.333,0.0,5.9,18.3,12.5,10.8,3.8,4.7,16.0,29.5,101.0,91.0,5.1,"jerami grant,saddiq bey,mason plumlee,josh jackson,killian hayes,derrick rose,delon wright,isaiah stewart,svi mykhailiuk,sekou doumbouya","marcus smart,jayson tatum,tristan thompson,daniel theis,grant williams,payton pritchard,robert williams,carsen edwards"
2021-01-03,34.88,0,13.0,16.0,0.813,5.0,8.0,0.625,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,6.0,2.0,31.0,1.0,0.969,0.969,0.5,0.0,0.0,3.7,1.9,13.3,0.0,0.0,27.3,27.6,120.0,133.0,4.4,"jerami grant,blake griffin,mason plumlee,killian hayes,josh jackson,derrick rose,saddiq bey,delon wright,isaiah stewart,svi mykhailiuk,sekou doumbouya,jahlil okafor","jayson tatum,marcus smart,tristan thompson,daniel theis,payton pritchard,robert williams"
2021-01-04,33.93,0,7.0,16.0,0.438,1.0,2.0,0.5,4.0,4.0,1.0,0.0,5.0,5.0,3.0,1.0,0.0,4.0,2.0,19.0,4.0,0.535,0.469,0.125,0.25,0.0,13.6,7.6,13.6,1.4,0.0,18.4,26.1,99.0,110.0,-4.2,"fred vanvleet,pascal siakam,kyle lowry,og anunoby,chris boucher,terence davis,norman powell,malachi flynn,stanley johnson,alex len,yuta watanabe","jayson tatum,tremont waters,tristan thompson,daniel theis,payton pritchard,grant williams,robert williams,aaron nesmith"
2021-01-06,36.77,0,8.0,23.0,0.348,3.0,9.0,0.333,2.0,2.0,1.0,1.0,11.0,12.0,5.0,2.0,2.0,1.0,4.0,21.0,-8.0,0.44,0.413,0.391,0.087,2.5,33.4,16.5,20.7,2.8,5.8,4.0,29.2,104.0,105.0,5.1,"tyler herro,bam adebayo,jimmy butler,duncan robinson,kelly olynyk,goran dragic,andre iguodala,precious achiuwa","jayson tatum,marcus smart,daniel theis,tristan thompson,grant williams,payton pritchard,robert williams,carsen edwards"
2021-01-08,37.67,1,9.0,19.0,0.474,3.0,6.0,0.5,6.0,6.0,1.0,3.0,10.0,13.0,5.0,2.0,0.0,5.0,4.0,27.0,21.0,0.624,0.553,0.316,0.316,9.1,28.3,19.0,21.6,2.4,0.0,18.8,28.2,116.0,101.0,5.3,"bradley beal,rui hachimura,russell westbrook,thomas bryant,deni avdija,davis bertans,ish smith,moritz wagner,garrison mathews,robin lopez,raul neto","marcus smart,jayson tatum,daniel theis,payton pritchard,javonte green"
