date,mp,home,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opponent,team
2020-12-23,13.88,1,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,1.0,2.0,0.0,-3.0,0.0,0.0,1.0,0.0,0.0,14.4,7.9,18.2,0.0,0.0,25.0,12.7,31.0,108.0,-13.2,"josh richardson,luka doncic,dorian finney-smith,tim hardaway jr.,dwight powell,maxi kleber,trey burke,jalen brunson,james johnson,willie cauley-stein,josh green","mikal bridges,devin booker,chris paul,jae crowder,deandre ayton,cameron johnson,cameron payne,jalen smith,langston galloway,damian jones"
2020-12-26,7.3,0,1.0,6.0,0.167,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,-3.0,0.167,0.167,0.833,0.0,0.0,14.6,6.8,0.0,6.5,0.0,0.0,34.4,36.0,95.0,-15.9,"de'aaron fox,buddy hield,harrison barnes,richaun holmes,marvin bagley iii,tyrese haliburton,cory joseph","devin booker,chris paul,jae crowder,deandre ayton,mikal bridges,cameron johnson,damian jones,cameron payne,langston galloway,jalen smith,frank kaminsky"
2020-12-27,10.12,0,2.0,4.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,5.0,-6.0,0.625,0.625,0.5,0.0,0.0,12.2,5.7,0.0,4.8,0.0,0.0,17.6,114.0,96.0,3.4,"buddy hield,harrison barnes,marvin bagley iii,de'aaron fox,richaun holmes,tyrese haliburton,cory joseph,kyle guy,jahmi'us ramsey,robert woodard ii,justin james","mikal bridges,devin booker,deandre ayton,chris paul,jae crowder,cameron johnson,cameron payne,frank kaminsky,langston galloway,ty-shon alexander,damian jones"
2020-12-29,18.73,1,0.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,-3.0,0.0,0.0,0.6,0.0,0.0,6.7,3.1,6.9,0.0,0.0,0.0,12.5,18.0,101.0,-16.3,"zion williamson,brandon ingram,steven adams,lonzo ball,josh hart,nickeil alexander-walker,jaxson hayes,kira lewis jr.,willy hernangomez","mikal bridges,deandre ayton,devin booker,chris paul,jae crowder,cameron payne,cameron johnson,dario saric,langston galloway,frank kaminsky,damian jones,ty-shon alexander"
2020-12-31,11.1,0,4.0,5.0,0.8,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,9.0,13.0,0.9,0.9,0.2,0.0,0.0,28.2,14.9,0.0,0.0,0.0,0.0,20.9,162.0,100.0,12.8,"donovan mitchell,mike conley,royce o'neale,rudy gobert,bojan bogdanovic,joe ingles,jordan clarkson,derrick favors,georges niang","jae crowder,mikal bridges,devin booker,chris paul,deandre ayton,cameron payne,dario saric,cameron johnson,langston galloway,frank kaminsky"
2021-01-01,14.87,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,12.0,0.0,0.0,1.0,0.0,0.0,17.5,8.6,17.5,0.0,0.0,0.0,3.2,97.0,113.0,-3.4,"jamal murray,will barton,gary harris,nikola jokic,monte morris,pj dozier,jamychal green,isaiah hartenstein,facundo campazzo,r.j. hampton","deandre ayton,mikal bridges,devin booker,chris paul,jae crowder,cameron johnson,cameron payne,frank kaminsky,langston galloway"
2021-01-03,3.33,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0,-10.5,"paul george,kawhi leonard,nicolas batum,patrick beverley,serge ibaka,luke kennard,ivica zubac,reggie jackson","devin booker,mikal bridges,chris paul,jae crowder,deandre ayton,cameron johnson,dario saric,cameron payne,langston galloway"
2021-01-06,17.07,1,2.0,4.0,0.5,2.0,4.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,2.0,6.0,10.0,0.75,0.75,1.0,0.0,0.0,6.5,3.4,0.0,0.0,12.8,20.0,13.6,99.0,119.0,1.3,"fred vanvleet,kyle lowry,pascal siakam,og anunoby,norman powell,yuta watanabe,chris boucher,alex len,malachi flynn,deandre' bembry","jae crowder,devin booker,chris paul,deandre ayton,mikal bridges,cameron johnson,dario saric,cameron payne,langston galloway"
2021-01-08,14.78,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,7.8,14.3,11.2,26.2,6.8,0.0,0.0,0.0,240.0,95.0,11.7,"jerami grant,blake griffin,delon wright,mason plumlee,josh jackson,saddiq bey,derrick rose,svi mykhailiuk,jahlil okafor,frank jackson,isaiah stewart,sekou doumbouya","devin booker,chris paul,deandre ayton,mikal bridges,jae crowder,dario saric,cameron johnson,cameron payne,langston galloway"
2021-01-09,16.48,0,4.0,7.0,0.571,2.0,5.0,0.4,0.0,0.0,0.0,0.0,3.0,3.0,1.0,3.0,1.0,0.0,5.0,10.0,3.0,0.714,0.714,0.714,0.0,0.0,17.8,9.5,8.5,8.9,4.6,0.0,19.7,130.0,97.0,11.8,"domantas sabonis,malcolm brogdon,myles turner,victor oladipo,aaron holiday,justin holiday,doug mcdermott,edmond sumner,cassius stanley","devin booker,mikal bridges,deandre ayton,chris paul,jae crowder,cameron johnson,dario saric,langston galloway"
