date,mp,home,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opponent,team
2020-12-23,18.05,0,6.0,10.0,0.6,0.0,2.0,0.0,2.0,2.0,1.0,0.0,4.0,4.0,2.0,0.0,2.0,0.0,4.0,14.0,21.0,0.643,0.6,0.2,0.2,0.0,23.1,12.8,19.7,0.0,10.2,0.0,25.4,138.0,95.0,7.2,"patrick williams,coby white,lauri markkanen,wendell carter jr.,zach lavine,otto porter jr.,ryan arcidiacono,chandler hutchison,daniel gafford,adam mokoka","trae young,de'andre hunter,danilo gallinari,cam reddish,kevin huerter,bogdan bogdanovic,bruno fernando,brandon goodwin,nathan knight,skylar mays"
2020-12-26,27.3,0,4.0,9.0,0.444,0.0,3.0,0.0,5.0,5.0,1.0,3.0,7.0,10.0,0.0,1.0,2.0,2.0,4.0,13.0,15.0,0.58,0.444,0.333,0.556,10.5,24.6,17.6,0.0,1.7,7.0,15.2,19.2,113.0,100.0,-1.3,"kyle anderson,ja morant,dillon brooks,grayson allen,jonas valanciunas,desmond bane,brandon clarke,tyus jones,john konchar,gorgui dieng","trae young,de'andre hunter,cam reddish,bogdan bogdanovic,kevin huerter,bruno fernando,brandon goodwin,nathan knight"
2020-12-28,26.15,1,4.0,7.0,0.571,1.0,1.0,1.0,6.0,6.0,1.0,2.0,3.0,5.0,2.0,0.0,1.0,2.0,5.0,15.0,0.0,0.778,0.643,0.143,0.857,9.4,10.2,9.9,11.2,0.0,3.2,17.2,19.6,142.0,126.0,-1.5,"jerami grant,mason plumlee,saddiq bey,killian hayes,josh jackson,delon wright,isaiah stewart,svi mykhailiuk,sekou doumbouya","trae young,de'andre hunter,cam reddish,clint capela,bogdan bogdanovic,kevin huerter,bruno fernando"
2020-12-30,30.57,0,12.0,20.0,0.6,2.0,5.0,0.4,4.0,5.0,0.8,4.0,6.0,10.0,1.0,1.0,0.0,1.0,4.0,30.0,5.0,0.676,0.65,0.25,0.25,13.1,20.5,16.7,5.6,1.5,0.0,4.3,28.8,143.0,134.0,4.5,"kevin durant,kyrie irving,joe harris,timothe luwawu-cabarrot,deandre jordan,jarrett allen,caris levert,taurean prince,landry shamet,jeff green","de'andre hunter,cam reddish,trae young,clint capela,bogdan bogdanovic,kevin huerter,bruno fernando,danilo gallinari"
2021-01-01,25.47,0,9.0,14.0,0.643,2.0,5.0,0.4,0.0,0.0,0.0,2.0,6.0,8.0,2.0,0.0,1.0,0.0,3.0,20.0,9.0,0.714,0.714,0.357,0.0,8.4,23.6,16.2,14.5,0.0,3.8,0.0,24.4,149.0,98.0,11.9,"kevin durant,kyrie irving,joe harris,timothe luwawu-cabarrot,deandre jordan,caris levert,jarrett allen,landry shamet,taurean prince,jeff green,bruce brown,chris chiozza,reggie perry","trae young,cam reddish,de'andre hunter,clint capela,bogdan bogdanovic,kevin huerter,brandon goodwin,bruno fernando,nathan knight,skylar mays"
2021-01-02,34.13,1,3.0,10.0,0.3,1.0,5.0,0.2,3.0,4.0,0.75,0.0,4.0,4.0,5.0,0.0,1.0,2.0,3.0,10.0,7.0,0.425,0.35,0.5,0.4,0.0,11.7,6.0,22.8,0.0,2.3,14.5,17.1,97.0,106.0,-1.9,"larry nance jr.,collin sexton,darius garland,andre drummond,cedi osman,javale mcgee,dean wade","trae young,de'andre hunter,clint capela,cam reddish,kevin huerter,bogdan bogdanovic,brandon goodwin,bruno fernando"
2021-01-04,33.08,1,8.0,15.0,0.533,2.0,4.0,0.5,0.0,0.0,0.0,3.0,5.0,8.0,1.0,2.0,0.0,1.0,3.0,18.0,11.0,0.6,0.6,0.267,0.0,9.9,17.7,13.7,5.1,3.0,0.0,6.3,21.3,119.0,111.0,3.6,"rj barrett,julius randle,elfrid payton,mitchell robinson,reggie bullock,austin rivers,immanuel quickley,kevin knox","trae young,de'andre hunter,clint capela,cam reddish,kevin huerter,bogdan bogdanovic,brandon goodwin"
2021-01-06,31.78,1,9.0,16.0,0.563,0.0,0.0,0.0,5.0,7.0,0.714,4.0,7.0,11.0,1.0,1.0,0.0,2.0,4.0,23.0,-12.0,0.603,0.563,0.0,0.438,11.4,19.9,15.7,6.7,1.5,0.0,9.5,27.2,114.0,101.0,6.3,"gordon hayward,devonte' graham,p.j. washington,terry rozier,bismack biyombo,lamelo ball,miles bridges,caleb martin,cody martin","trae young,de'andre hunter,cam reddish,clint capela,kevin huerter,brandon goodwin,bogdan bogdanovic,nathan knight"
2021-01-09,30.27,0,4.0,7.0,0.571,1.0,1.0,1.0,3.0,6.0,0.5,6.0,4.0,10.0,0.0,1.0,0.0,0.0,4.0,12.0,0.0,0.622,0.643,0.143,0.857,18.3,17.6,18.0,0.0,1.7,0.0,0.0,13.3,145.0,121.0,-1.4,"p.j. washington,gordon hayward,terry rozier,devonte' graham,bismack biyombo,lamelo ball,miles bridges,caleb martin,cody martin","trae young,de'andre hunter,clint capela,bogdan bogdanovic,cam reddish,kevin huerter,brandon goodwin,nathan knight"
2021-01-11,24.15,1,4.0,7.0,0.571,4.0,7.0,0.571,0.0,0.0,0.0,1.0,6.0,7.0,1.0,0.0,0.0,1.0,0.0,12.0,25.0,0.857,0.857,1.0,0.0,3.6,22.5,12.9,6.8,0.0,0.0,12.5,13.4,146.0,98.0,7.6,"dakota mathias,tyrese maxey,danny green,joel embiid,isaiah joe,paul reed,tony bradley","clint capela,trae young,cam reddish,de'andre hunter,kevin huerter,brandon goodwin,bruno fernando,nathan knight,skylar mays"
