date,mp,home,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opponent,team
2020-12-31,36.57,1,8.0,20.0,0.4,2.0,8.0,0.25,4.0,4.0,1.0,1.0,5.0,6.0,9.0,1.0,1.0,5.0,0.0,22.0,-4.0,0.506,0.45,0.4,0.2,3.2,13.4,8.8,34.2,1.3,2.1,18.7,30.5,103.0,116.0,-4.2,"buddy hield,harrison barnes,richaun holmes,de'aaron fox,marvin bagley iii,tyrese haliburton,cory joseph","james harden,p.j. tucker,christian wood,danuel house jr.,eric gordon,jae'sean tate,demarcus cousins,sterling brown"
2021-01-02,37.23,1,11.0,22.0,0.5,2.0,8.0,0.25,4.0,6.0,0.667,1.0,3.0,4.0,6.0,3.0,2.0,5.0,0.0,28.0,-4.0,0.568,0.545,0.364,0.273,3.3,6.9,5.4,35.5,4.0,4.2,16.9,36.7,105.0,96.0,6.5,"harrison barnes,buddy hield,de'aaron fox,richaun holmes,marvin bagley iii,cory joseph,kyle guy","danuel house jr.,christian wood,p.j. tucker,eric gordon,sterling brown,jae'sean tate,demarcus cousins,david nwaba"
2021-01-04,33.0,1,4.0,10.0,0.4,1.0,3.0,0.333,5.0,5.0,1.0,1.0,3.0,4.0,4.0,0.0,0.0,2.0,2.0,14.0,-13.0,0.574,0.45,0.3,0.5,3.0,11.5,6.8,24.1,0.0,0.0,14.1,19.7,112.0,125.0,-3.1,"luka doncic,dorian finney-smith,josh richardson,willie cauley-stein,maxi kleber,tim hardaway jr.,james johnson,jalen brunson,dwight powell,trey burke,wes iwundu","james harden,p.j. tucker,christian wood,david nwaba,eric gordon,jae'sean tate,sterling brown,demarcus cousins,bruno caboclo,brodric thomas"
2021-01-06,37.13,0,12.0,20.0,0.6,0.0,3.0,0.0,4.0,4.0,1.0,1.0,5.0,6.0,3.0,2.0,1.0,5.0,1.0,28.0,3.0,0.643,0.6,0.15,0.2,3.6,15.8,10.1,16.5,2.6,2.0,18.7,31.9,107.0,113.0,1.8,"malcolm brogdon,domantas sabonis,victor oladipo,myles turner,aaron holiday,justin holiday,t.j. mcconnell,doug mcdermott","james harden,david nwaba,p.j. tucker,demarcus cousins,eric gordon,jae'sean tate,sterling brown"
2021-01-08,28.75,1,5.0,11.0,0.455,3.0,4.0,0.75,1.0,2.0,0.5,0.0,3.0,3.0,4.0,0.0,0.0,0.0,3.0,14.0,26.0,0.589,0.591,0.364,0.182,0.0,9.8,5.5,15.7,0.0,0.0,0.0,19.1,130.0,100.0,-4.8,"gary clark,nikola vucevic,cole anthony,jordan bone,khem birch,karim mane,terrence ross,mo bamba","james harden,p.j. tucker,christian wood,david nwaba,eric gordon,sterling brown,demarcus cousins,jae'sean tate,mason jones,kenyon martin jr.,bruno caboclo"
2021-01-10,34.43,1,5.0,14.0,0.357,2.0,4.0,0.5,2.0,2.0,1.0,1.0,9.0,10.0,5.0,1.0,2.0,4.0,3.0,14.0,-28.0,0.47,0.429,0.286,0.143,2.7,31.4,15.2,23.2,1.3,4.5,21.2,21.7,89.0,110.0,-1.4,"dennis schroder,lebron james,anthony davis,kentavious caldwell-pope,kyle kuzma,montrezl harrell,alex caruso,talen horton-tucker,alfonzo mckinnie,markieff morris","james harden,christian wood,p.j. tucker,david nwaba,eric gordon,jae'sean tate,sterling brown,demarcus cousins,mason jones,bruno caboclo,kenyon martin jr."
2021-01-12,29.9,1,4.0,11.0,0.364,0.0,1.0,0.0,2.0,3.0,0.667,0.0,0.0,0.0,5.0,2.0,1.0,3.0,0.0,10.0,-18.0,0.406,0.364,0.091,0.273,0.0,0.0,0.0,25.4,3.1,3.1,19.6,21.0,79.0,115.0,-5.6,"lebron james,anthony davis,dennis schroder,kentavious caldwell-pope,kyle kuzma,montrezl harrell,alex caruso,talen horton-tucker,markieff morris,alfonzo mckinnie","james harden,christian wood,p.j. tucker,david nwaba,jae'sean tate,eric gordon,sterling brown,demarcus cousins,mason jones,kenyon martin jr.,bruno caboclo"
2021-01-23,20.7,0,3.0,9.0,0.333,0.0,4.0,0.0,1.0,2.0,0.5,1.0,0.0,1.0,8.0,0.0,0.0,1.0,1.0,7.0,10.0,0.354,0.333,0.444,0.222,5.9,0.0,2.6,46.3,0.0,0.0,9.2,22.4,116.0,117.0,-6.9,"jalen brunson,tim hardaway jr.,luka doncic,josh green,willie cauley-stein,trey burke,wes iwundu,boban marjanovic,james johnson,tyrell terry,tyler bey,nate hinton","eric gordon,demarcus cousins,p.j. tucker,jae'sean tate,david nwaba,kenyon martin jr.,mason jones,sterling brown,brodric thomas"
2021-01-26,24.05,1,9.0,21.0,0.429,1.0,6.0,0.167,5.0,6.0,0.833,1.0,1.0,2.0,5.0,1.0,0.0,3.0,0.0,24.0,11.0,0.508,0.452,0.286,0.286,4.3,4.2,4.2,52.4,2.0,0.0,11.3,46.7,102.0,93.0,4.9,"bradley beal,robin lopez,russell westbrook,anthony gill,jerome robinson,garrison mathews,raul neto,jordan bell,alex len,cassius winston","victor oladipo,p.j. tucker,demarcus cousins,jae'sean tate,eric gordon,david nwaba,sterling brown,danuel house jr."
2021-01-28,29.73,1,6.0,16.0,0.375,3.0,7.0,0.429,5.0,6.0,0.833,0.0,5.0,5.0,6.0,0.0,1.0,2.0,0.0,20.0,3.0,0.536,0.469,0.438,0.375,0.0,17.2,8.4,34.2,0.0,3.1,9.7,30.0,111.0,106.0,3.5,"gary trent jr.,damian lillard,derrick jones jr.,anfernee simons,nassir little","victor oladipo,christian wood,p.j. tucker,jae'sean tate,eric gordon,sterling brown,danuel house jr.,david nwaba,demarcus cousins"
2021-01-30,26.08,0,5.0,12.0,0.417,4.0,6.0,0.667,1.0,2.0,0.5,0.0,2.0,2.0,9.0,1.0,1.0,2.0,4.0,15.0,3.0,0.582,0.583,0.5,0.167,0.0,7.7,4.0,46.3,1.7,3.7,13.4,23.9,121.0,106.0,4.0,"brandon ingram,zion williamson,lonzo ball,steven adams,nickeil alexander-walker,josh hart,jaxson hayes,kira lewis jr.,wenyen gabriel","christian wood,p.j. tucker,victor oladipo,jae'sean tate,danuel house jr.,eric gordon,sterling brown,david nwaba,demarcus cousins,mason jones"
2021-02-01,21.7,0,7.0,12.0,0.583,4.0,5.0,0.8,0.0,0.0,0.0,1.0,5.0,6.0,5.0,2.0,1.0,3.0,1.0,18.0,9.0,0.75,0.75,0.417,0.0,4.7,23.0,14.0,33.0,4.2,4.0,20.0,28.2,129.0,93.0,12.6,"darius bazley,shai gilgeous-alexander,theo maledon,al horford,luguentz dort,kenrich williams,aleksej pokusevski,hamidou diallo,mike muscala,isaiah roby,justin jackson,josh hall,moses brown","p.j. tucker,christian wood,victor oladipo,jae'sean tate,danuel house jr.,eric gordon,demarcus cousins,sterling brown,mason jones"
2021-02-04,27.92,0,6.0,17.0,0.353,4.0,9.0,0.444,6.0,6.0,1.0,0.0,1.0,1.0,8.0,0.0,0.0,7.0,0.0,22.0,34.0,0.56,0.471,0.529,0.353,0.0,3.7,2.0,44.8,0.0,0.0,26.3,42.2,98.0,114.0,-5.2,"ja morant,dillon brooks,brandon clarke,kyle anderson,xavier tillman sr.,desmond bane,de'anthony melton,gorgui dieng,tyus jones,john konchar","p.j. tucker,eric gordon,jae'sean tate,christian wood,danuel house jr.,sterling brown,demarcus cousins,mason jones"
2021-02-06,32.02,1,10.0,19.0,0.526,1.0,5.0,0.2,6.0,9.0,0.667,1.0,1.0,2.0,7.0,0.0,1.0,2.0,3.0,27.0,-10.0,0.588,0.553,0.263,0.474,3.5,3.2,3.3,45.6,0.0,2.4,8.0,33.7,119.0,112.0,5.7,"demar derozan,dejounte murray,derrick white,jakob poeltl,keldon johnson,patty mills,rudy gay,drew eubanks,devin vassell","victor oladipo,demarcus cousins,p.j. tucker,jae'sean tate,eric gordon,danuel house jr.,david nwaba,sterling brown"
2021-02-09,34.42,0,11.0,23.0,0.478,2.0,8.0,0.25,1.0,6.0,0.167,0.0,4.0,4.0,6.0,0.0,0.0,3.0,2.0,25.0,-15.0,0.488,0.522,0.348,0.261,0.0,13.9,6.1,36.9,0.0,0.0,10.5,35.6,94.0,139.0,-4.9,"lonzo ball,brandon ingram,steven adams,zion williamson,josh hart,willy hernangomez,kira lewis jr.,nickeil alexander-walker,jaxson hayes,wenyen gabriel","eric gordon,jae'sean tate,p.j. tucker,demarcus cousins,danuel house jr.,sterling brown,david nwaba,mason jones"
2021-02-11,35.93,1,5.0,13.0,0.385,4.0,9.0,0.444,3.0,6.0,0.5,0.0,6.0,6.0,7.0,1.0,0.0,5.0,2.0,17.0,-6.0,0.543,0.538,0.692,0.462,0.0,19.1,8.8,36.9,1.4,0.0,24.2,26.3,91.0,104.0,-1.7,"kendrick nunn,jimmy butler,bam adebayo,kelly olynyk,duncan robinson,andre iguodala,max strus,gabe vincent,precious achiuwa","jae'sean tate,demarcus cousins,p.j. tucker,victor oladipo,danuel house jr.,eric gordon,sterling brown,david nwaba"
2021-02-13,30.63,0,9.0,20.0,0.45,3.0,6.0,0.5,5.0,6.0,0.833,0.0,2.0,2.0,4.0,2.0,0.0,2.0,0.0,26.0,-4.0,0.574,0.525,0.3,0.3,0.0,8.2,3.5,33.2,3.2,0.0,8.1,35.0,113.0,123.0,8.1,"julius randle,nerlens noel,reggie bullock,rj barrett,elfrid payton,alec burks,derrick rose,immanuel quickley,taj gibson,obi toppin,kevin knox,austin rivers,theo pinson","eric gordon,p.j. tucker,jae'sean tate,demarcus cousins,sterling brown,danuel house jr.,david nwaba,ray spalding,mason jones"
2021-02-15,34.92,0,10.0,26.0,0.385,1.0,7.0,0.143,8.0,10.0,0.8,1.0,2.0,3.0,11.0,1.0,1.0,5.0,2.0,29.0,-11.0,0.477,0.404,0.269,0.385,3.0,6.5,4.7,51.7,1.2,2.2,14.1,39.3,99.0,121.0,-1.3,"rui hachimura,bradley beal,russell westbrook,moritz wagner,garrison mathews,davis bertans,raul neto,robin lopez,deni avdija","david nwaba,jae'sean tate,danuel house jr.,demarcus cousins,sterling brown,mason jones,ray spalding"
