date,mp,home,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opponent,team
2020-12-23,29.55,1,6.0,11.0,0.545,1.0,1.0,1.0,2.0,6.0,0.333,3.0,10.0,13.0,2.0,1.0,1.0,1.0,4.0,15.0,-4.0,0.55,0.591,0.091,0.545,10.8,36.1,23.5,8.3,1.5,2.3,6.8,20.9,113.0,118.0,-1.0,"demar derozan,lonnie walker iv,keldon johnson,dejounte murray,rudy gay,devin vassell,patty mills,jakob poeltl","ja morant,dillon brooks,kyle anderson,grayson allen,brandon clarke,de'anthony melton,tyus jones,gorgui dieng,desmond bane"
2020-12-26,28.93,1,2.0,6.0,0.333,1.0,3.0,0.333,8.0,10.0,0.8,2.0,10.0,12.0,4.0,1.0,1.0,4.0,5.0,13.0,2.0,0.625,0.417,0.5,1.667,6.6,33.2,19.9,19.7,1.6,3.1,27.8,20.6,108.0,108.0,1.1,"trae young,de'andre hunter,cam reddish,bogdan bogdanovic,john collins,kevin huerter,bruno fernando,brandon goodwin,nathan knight","kyle anderson,ja morant,dillon brooks,grayson allen,desmond bane,brandon clarke,tyus jones,john konchar,gorgui dieng"
2020-12-28,39.12,0,6.0,11.0,0.545,0.0,1.0,0.0,2.0,2.0,1.0,0.0,14.0,14.0,2.0,1.0,3.0,1.0,2.0,14.0,9.0,0.589,0.545,0.091,0.182,0.0,35.8,17.9,8.0,1.2,7.0,7.8,13.4,120.0,92.0,4.3,"joe harris,timothe luwawu-cabarrot,caris levert,deandre jordan,taurean prince,chris chiozza,landry shamet,jeff green,jarrett allen","kyle anderson,dillon brooks,grayson allen,ja morant,tyus jones,brandon clarke,desmond bane,john konchar,gorgui dieng"
2020-12-30,24.17,0,7.0,11.0,0.636,1.0,1.0,1.0,5.0,7.0,0.714,4.0,7.0,11.0,1.0,0.0,0.0,5.0,2.0,20.0,-13.0,0.71,0.682,0.091,0.636,17.3,33.1,24.8,7.6,0.0,0.0,26.2,30.1,107.0,122.0,0.3,"jaylen brown,marcus smart,jayson tatum,daniel theis,robert williams,payton pritchard,grant williams,aaron nesmith,carsen edwards,tremont waters","kyle anderson,dillon brooks,tyus jones,grayson allen,desmond bane,brandon clarke,gorgui dieng,john konchar,sean mcdermott"
2021-01-01,25.78,0,6.0,9.0,0.667,0.0,0.0,0.0,2.0,4.0,0.5,3.0,7.0,10.0,1.0,1.0,0.0,2.0,3.0,14.0,17.0,0.651,0.667,0.0,0.444,13.3,27.1,20.7,5.8,1.9,0.0,15.7,21.7,114.0,92.0,-1.3,"bismack biyombo,terry rozier,gordon hayward,devonte' graham,p.j. washington,lamelo ball,miles bridges,caleb martin,jalen mcdaniels,cody martin,nick richards","brandon clarke,kyle anderson,tyus jones,dillon brooks,desmond bane,john konchar,gorgui dieng,sean mcdermott"
2021-01-03,26.22,1,7.0,14.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,3.0,7.0,10.0,1.0,1.0,0.0,2.0,5.0,14.0,-19.0,0.5,0.5,0.071,0.0,10.8,26.7,18.5,7.0,2.0,0.0,12.5,26.7,96.0,111.0,-3.4,"anthony davis,lebron james,dennis schroder,kyle kuzma,wesley matthews,talen horton-tucker,montrezl harrell,markieff morris,alfonzo mckinnie","kyle anderson,tyus jones,dillon brooks,brandon clarke,desmond bane,gorgui dieng,xavier tillman sr.,john konchar,grayson allen,sean mcdermott"
2021-01-05,25.7,1,4.0,13.0,0.308,0.0,1.0,0.0,5.0,5.0,1.0,2.0,9.0,11.0,2.0,1.0,1.0,4.0,1.0,13.0,-10.0,0.428,0.308,0.077,0.385,7.8,40.0,22.8,13.1,1.9,3.3,20.8,33.9,77.0,91.0,-3.7,"dennis schroder,anthony davis,lebron james,kyle kuzma,wesley matthews,talen horton-tucker,montrezl harrell,markieff morris","tyus jones,dillon brooks,kyle anderson,brandon clarke,desmond bane,gorgui dieng,xavier tillman sr.,de'anthony melton,grayson allen"
2021-01-07,27.53,1,6.0,11.0,0.545,1.0,2.0,0.5,4.0,4.0,1.0,3.0,7.0,10.0,3.0,1.0,1.0,2.0,5.0,17.0,-5.0,0.666,0.591,0.182,0.364,12.8,27.7,20.5,20.5,1.9,3.6,13.6,24.6,127.0,100.0,4.8,"isaac okoro,cedi osman,andre drummond,larry nance jr.,lamar stevens,javale mcgee,dean wade","brandon clarke,dillon brooks,kyle anderson,tyus jones,desmond bane,de'anthony melton,xavier tillman sr.,gorgui dieng,grayson allen"
2021-01-08,13.57,1,3.0,5.0,0.6,0.0,1.0,0.0,2.0,2.0,1.0,1.0,3.0,4.0,0.0,2.0,1.0,1.0,2.0,8.0,16.0,0.68,0.6,0.2,0.4,7.1,27.9,16.1,0.0,6.9,7.1,14.5,21.0,120.0,92.0,3.2,"caris levert,jeff green,jarrett allen,taurean prince,bruce brown,joe harris,landry shamet,timothe luwawu-cabarrot,deandre jordan,chris chiozza","brandon clarke,tyus jones,dillon brooks,kyle anderson,grayson allen,de'anthony melton,desmond bane,xavier tillman sr.,gorgui dieng"
2021-01-11,29.82,0,6.0,10.0,0.6,0.0,1.0,0.0,0.0,0.0,0.0,2.0,5.0,7.0,3.0,0.0,1.0,3.0,5.0,12.0,2.0,0.6,0.6,0.1,0.0,8.7,18.7,14.1,15.9,0.0,2.9,23.1,20.5,98.0,100.0,-5.7,"isaac okoro,larry nance jr.,andre drummond,cedi osman,javale mcgee,dean wade,lamar stevens","dillon brooks,tyus jones,kyle anderson,brandon clarke,desmond bane,de'anthony melton,xavier tillman sr.,grayson allen"
