date,mp,home,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opponent,team
2023-01-23,9.6,1,4.0,7.0,0.571,2.0,3.0,0.667,0.0,2.0,0.0,1.0,2.0,3.0,1.0,2.0,0.0,0.0,0.0,10.0,7.0,0.635,0.714,0.429,0.286,13.5,25.0,19.5,21.7,10.6,0.0,0.0,37.7,129.0,82.0,25.9,"jayson tatum,jaylen brown,al horford,derrick white,blake griffin,payton pritchard,grant williams,sam hauser,luke kornet,mfiondu kabengele,jd davison,justin jackson","paolo banchero,franz wagner,wendell carter jr.,markelle fultz,gary harris,cole anthony,bol bol,jalen suggs,moritz wagner"
2023-01-25,8.38,1,2.0,4.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,5.0,2.0,0.625,0.625,0.5,0.0,0.0,16.4,8.7,33.1,11.7,0.0,0.0,20.8,148.0,102.0,17.7,"chris duarte,buddy hield,myles turner,t.j. mcconnell,aaron nesmith,bennedict mathurin,oshae brissett,terry taylor,isaiah jackson,trevelin queen","paolo banchero,franz wagner,markelle fultz,wendell carter jr.,gary harris,cole anthony,jalen suggs,bol bol,mo bamba,moritz wagner"
2023-01-28,8.72,1,2.0,7.0,0.286,1.0,4.0,0.25,0.0,0.0,0.0,1.0,3.0,4.0,0.0,1.0,0.0,0.0,1.0,5.0,-1.0,0.357,0.357,0.571,0.0,13.8,48.6,29.8,0.0,5.7,0.0,0.0,36.5,78.0,119.0,-8.2,"nikola vucevic,demar derozan,zach lavine,patrick williams,ayo dosunmu,alex caruso,coby white,derrick jones jr.,goran dragic","wendell carter jr.,paolo banchero,franz wagner,markelle fultz,gary harris,cole anthony,jalen suggs,bol bol,moritz wagner,admiral schofield"
2023-01-30,9.78,0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.5,0.5,0.0,0.0,9.4,22.8,15.5,0.0,4.7,0.0,0.0,8.0,125.0,100.0,1.5,"james harden,joel embiid,tobias harris,p.j. tucker,de'anthony melton,tyrese maxey,georges niang,shake milton,montrezl harrell,matisse thybulle,paul reed","franz wagner,paolo banchero,markelle fultz,gary harris,wendell carter jr.,moritz wagner,jalen suggs,cole anthony,bol bol,mo bamba"
2023-02-03,9.88,0,4.0,5.0,0.8,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,3.0,0.0,1.0,0.0,0.0,1.0,9.0,-9.0,0.827,0.8,0.0,0.2,11.6,23.7,17.6,0.0,4.7,0.0,0.0,22.6,172.0,109.0,12.5,"anthony edwards,d'angelo russell,rudy gobert,jaden mcdaniels,kyle anderson,naz reid,taurean prince,jaylen nowell,matt ryan,nathan knight,austin rivers,luka garza,bryn forbes","franz wagner,paolo banchero,markelle fultz,gary harris,mo bamba,cole anthony,moritz wagner,bol bol,jalen suggs,kevon harris"
2023-02-05,11.03,0,3.0,7.0,0.429,0.0,1.0,0.0,0.0,0.0,0.0,4.0,3.0,7.0,0.0,0.0,1.0,0.0,0.0,6.0,-11.0,0.429,0.429,0.143,0.0,35.5,31.1,33.5,0.0,0.0,8.7,0.0,26.2,120.0,111.0,0.4,"lamelo ball,terry rozier,p.j. washington,mason plumlee,gordon hayward,jalen mcdaniels,dennis smith jr.,mark williams,jt thor","markelle fultz,paolo banchero,franz wagner,wendell carter jr.,gary harris,cole anthony,bol bol,moritz wagner,caleb houstan"
2023-02-07,11.95,1,1.0,5.0,0.2,0.0,2.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,1.0,0.0,1.0,0.0,0.0,2.0,-7.0,0.2,0.2,0.4,0.0,19.6,28.0,23.9,12.2,0.0,10.6,0.0,20.0,77.0,110.0,-4.6,"jalen brunson,jericho sims,rj barrett,julius randle,quentin grimes,immanuel quickley,obi toppin,isaiah hartenstein,miles mcbride","paolo banchero,franz wagner,markelle fultz,wendell carter jr.,gary harris,cole anthony,jalen suggs,moritz wagner,bol bol"
2023-02-09,11.0,1,0.0,3.0,0.0,0.0,0.0,0.0,3.0,4.0,0.75,1.0,2.0,3.0,1.0,3.0,1.0,0.0,0.0,3.0,5.0,0.315,0.0,0.0,1.333,9.3,22.4,15.2,9.3,13.2,8.6,0.0,18.0,99.0,77.0,11.6,"kentavious caldwell-pope,aaron gordon,nikola jokic,michael porter jr.,bruce brown,christian braun,ish smith,jeff green,vlatko cancar","franz wagner,paolo banchero,markelle fultz,wendell carter jr.,jalen suggs,cole anthony,moritz wagner,caleb houstan,bol bol"
2023-02-11,14.25,1,1.0,3.0,0.333,0.0,0.0,0.0,1.0,2.0,0.5,1.0,3.0,4.0,0.0,1.0,0.0,1.0,0.0,3.0,5.0,0.387,0.333,0.0,0.667,7.9,25.9,16.5,0.0,3.7,0.0,20.5,15.8,74.0,102.0,-5.5,"tyler herro,bam adebayo,gabe vincent,jimmy butler,caleb martin,max strus,haywood highsmith,orlando robinson,jamaree bouyea","franz wagner,paolo banchero,markelle fultz,wendell carter jr.,gary harris,jalen suggs,moritz wagner,cole anthony,bol bol"
2023-02-13,12.95,0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,0.0,1.0,0.0,1.0,1.0,0.0,-4.0,0.0,0.0,0.0,0.0,18.1,16.5,17.2,0.0,3.8,0.0,20.0,17.4,30.0,90.0,-15.1,"zach lavine,demar derozan,nikola vucevic,ayo dosunmu,patrick williams,coby white,andre drummond,goran dragic,derrick jones jr.,dalen terry","paolo banchero,markelle fultz,franz wagner,wendell carter jr.,gary harris,jalen suggs,moritz wagner,caleb houstan,bol bol"
2023-02-23,16.47,1,4.0,6.0,0.667,2.0,3.0,0.667,0.0,0.0,0.0,1.0,6.0,7.0,1.0,2.0,1.0,2.0,1.0,10.0,-7.0,0.833,0.833,0.5,0.0,5.7,43.7,22.4,10.7,5.8,6.2,25.0,19.9,112.0,87.0,13.8,"killian hayes,jaden ivey,bojan bogdanovic,isaiah stewart,jalen duren,james wiseman,isaiah livers,hamidou diallo,alec burks,cory joseph","paolo banchero,wendell carter jr.,franz wagner,markelle fultz,gary harris,jalen suggs,cole anthony,moritz wagner,bol bol"
2023-10-25,14.15,1,4.0,6.0,0.667,1.0,3.0,0.333,2.0,3.0,0.667,1.0,3.0,4.0,0.0,0.0,2.0,2.0,2.0,11.0,10.0,0.751,0.75,0.5,0.5,8.3,21.7,15.4,0.0,0.0,15.1,21.5,28.1,120.0,85.0,3.9,"fred vanvleet,jalen green,alperen sengun,jabari smith jr.,dillon brooks,jae'sean tate,jeff green,reggie bullock,jock landale,jeenathan williams,aaron holiday","paolo banchero,franz wagner,wendell carter jr.,markelle fultz,jalen suggs,cole anthony,joe ingles,gary harris,moritz wagner,goga bitadze,caleb houstan,chuma okeke"
2023-10-27,7.78,0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,-3.0,0.0,0.0,0.5,0.0,0.0,24.7,13.4,17.1,6.5,0.0,0.0,11.5,32.0,88.0,-8.1,"shaedon sharpe,jerami grant,deandre ayton,matisse thybulle,malcolm brogdon,robert williams,jabari walker,skylar mays","franz wagner,paolo banchero,jalen suggs,wendell carter jr.,markelle fultz,cole anthony,moritz wagner,gary harris,joe ingles"
2023-10-30,11.15,0,1.0,3.0,0.333,1.0,3.0,0.333,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0,1.0,3.0,-1.0,0.5,0.5,1.0,0.0,0.0,36.9,15.4,0.0,4.4,0.0,0.0,11.3,100.0,103.0,-1.7,"anthony davis,d'angelo russell,lebron james,austin reaves,taurean prince,christian wood,gabe vincent,cam reddish,jaxson hayes","franz wagner,wendell carter jr.,markelle fultz,paolo banchero,jalen suggs,cole anthony,gary harris,joe ingles,moritz wagner,goga bitadze"
