date,mp,home,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opponent,team
2021-03-15,3.25,0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.5,0.0,31.4,86.9,54.7,0.0,0.0,0.0,0.0,27.2,37.0,124.0,-26.4,"devin booker,jae crowder,deandre ayton,chris paul,mikal bridges,cameron payne,langston galloway,dario saric,jevon carter,frank kaminsky,jalen smith","dillon brooks,ja morant,kyle anderson,jonas valanciunas,desmond bane,grayson allen,brandon clarke,de'anthony melton,tyus jones,xavier tillman sr.,john konchar,sean mcdermott,killian tillie"
2021-03-27,6.53,0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,4.0,1.0,2.0,0.0,2.0,0.0,5.0,10.0,1.25,1.25,0.5,0.0,13.4,50.1,29.7,30.2,13.9,0.0,50.0,23.7,104.0,84.0,25.9,"joe ingles,donovan mitchell,bojan bogdanovic,royce o'neale,rudy gobert,jordan clarkson,miye oni,georges niang,derrick favors,trent forrest,juwan morgan,jarrell brantley,elijah hughes","ja morant,grayson allen,kyle anderson,jonas valanciunas,dillon brooks,brandon clarke,desmond bane,justise winslow,de'anthony melton,tyus jones,sean mcdermott,john konchar,killian tillie,xavier tillman sr."
2021-04-02,3.78,1,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,-8.0,0.0,0.0,1.0,0.0,0.0,28.8,13.8,0.0,0.0,0.0,50.0,43.7,0.0,112.0,-61.4,"karl-anthony towns,jordan mclaughlin,anthony edwards,malik beasley,jaden mcdaniels,naz reid,jaylen nowell,josh okogie,juancho hernangomez,jake layman,jarred vanderbilt,jarrett culver","ja morant,dillon brooks,jonas valanciunas,grayson allen,kyle anderson,brandon clarke,de'anthony melton,xavier tillman sr.,tyus jones,desmond bane,sean mcdermott,john konchar,killian tillie"
2021-04-04,1.45,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,-7.3,"tobias harris,ben simmons,seth curry,danny green,shake milton,matisse thybulle,furkan korkmaz,paul reed,isaiah joe,rayjon tucker,mason jones,ignas brazdeikis","ja morant,grayson allen,dillon brooks,jonas valanciunas,kyle anderson,desmond bane,brandon clarke,xavier tillman sr.,tyus jones,de'anthony melton,john konchar,sean mcdermott,killian tillie"
2021-04-07,4.07,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,-5.0,0.0,0.0,1.0,0.0,0.0,21.9,12.3,0.0,0.0,0.0,50.0,21.0,0.0,113.0,-40.4,"bogdan bogdanovic,trae young,onyeka okongwu,kevin huerter,nathan knight,brandon goodwin,skylar mays,bruno fernando","ja morant,grayson allen,kyle anderson,dillon brooks,jonas valanciunas,desmond bane,john konchar,xavier tillman sr.,tyus jones,killian tillie,sean mcdermott"
2021-04-17,0.68,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.0,-7.3,"jrue holiday,khris middleton,bryn forbes,giannis antetokounmpo,brook lopez,pat connaughton,p.j. tucker,bobby portis,thanasis antetokounmpo,mamadi diakite,sam merrill,jordan nwora","grayson allen,dillon brooks,kyle anderson,ja morant,jonas valanciunas,desmond bane,xavier tillman sr.,tyus jones,john konchar,killian tillie"
2021-04-21,1.75,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.5,1.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.6,300.0,131.0,53.4,"luke kennard,terance mann,ivica zubac,marcus morris,amir coffey,nicolas batum,demarcus cousins,daniel oturu","ja morant,xavier tillman sr.,grayson allen,kyle anderson,dillon brooks,desmond bane,brandon clarke,jaren jackson jr.,justise winslow,de'anthony melton,tyus jones,killian tillie,john konchar,sean mcdermott"
2021-04-26,4.12,0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-2.0,0.647,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.4,143.0,124.0,1.9,"michael porter jr.,facundo campazzo,nikola jokic,pj dozier,aaron gordon,austin rivers,jamychal green,shaquille harrison,vlatko cancar,bol bol,zeke nnaji","ja morant,grayson allen,jonas valanciunas,dillon brooks,kyle anderson,de'anthony melton,justise winslow,jaren jackson jr.,desmond bane,brandon clarke,tyus jones,john konchar,killian tillie"
2021-04-30,1.73,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.3,24.5,0.0,0.0,0.0,0.0,24.3,0.0,67.0,-22.9,"gary harris,cole anthony,moritz wagner,wendell carter jr.,mo bamba,r.j. hampton,chasson randle","dillon brooks,ja morant,kyle anderson,jonas valanciunas,desmond bane,de'anthony melton,xavier tillman sr.,brandon clarke,tyus jones,justise winslow,john konchar,sean mcdermott,killian tillie"
2021-05-11,5.22,1,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,4.0,6.0,1.0,1.0,0.0,0.0,0.0,19.6,11.6,0.0,0.0,0.0,33.3,26.0,99.0,117.0,-10.4,"tim hardaway jr.,dorian finney-smith,luka doncic,josh richardson,willie cauley-stein,jalen brunson,trey burke,maxi kleber,josh green,dwight powell,nate hinton,tyler bey,boban marjanovic","dillon brooks,ja morant,kyle anderson,xavier tillman sr.,desmond bane,john konchar,brandon clarke,de'anthony melton,killian tillie,tyus jones,justise winslow"
