date,mp,home,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opponent,team
2021-12-28,2.87,0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.7,0.0,137.0,-42.5,"jimmy butler,duncan robinson,gabe vincent,omer yurtseven,caleb martin,tyler herro,marcus garrett,kz okpala","spencer dinwiddie,corey kispert,daniel gafford,kyle kuzma,deni avdija,davis bertans,craig sword,isaiah todd,alize johnson"
2021-12-30,3.07,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,34.8,17.2,0.0,0.0,0.0,0.0,15.0,0.0,98.0,-26.3,"evan mobley,isaac okoro,kevin love,lauri markkanen,dean wade,rj nembhard jr.,lamar stevens,dylan windler","kyle kuzma,bradley beal,daniel gafford,kentavious caldwell-pope,corey kispert,deni avdija,anthony gill,jordan schakel,isaiah todd,joel ayayi,jaime echenique,craig sword"
2022-10-25,2.3,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,53.5,85.2,71.1,0.0,0.0,0.0,50.0,38.8,98.0,84.0,4.8,"cade cunningham,bojan bogdanovic,jaden ivey,isaiah stewart,saddiq bey,jalen duren,isaiah livers,hamidou diallo,killian hayes,cory joseph,kevin knox","monte morris,kyle kuzma,deni avdija,kristaps porzingis,bradley beal,will barton,rui hachimura,daniel gafford,delon wright,anthony gill,johnny davis,taj gibson,isaiah todd"
2022-10-30,18.33,0,3.0,4.0,0.75,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,6.0,8.0,0.75,0.75,0.25,0.0,0.0,13.1,5.3,17.4,2.7,8.2,20.0,11.6,121.0,111.0,3.9,"jaylen brown,marcus smart,jayson tatum,derrick white,al horford,grant williams,malcolm brogdon,sam hauser,luke kornet,payton pritchard,noah vonleh,justin jackson","bradley beal,kyle kuzma,kristaps porzingis,monte morris,deni avdija,rui hachimura,anthony gill,will barton,daniel gafford,johnny davis,taj gibson,jordan schakel,isaiah todd"
2022-11-04,7.72,1,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-5.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,20.7,0.0,0.0,0.0,11.8,24.0,139.0,-18.0,"kevin durant,royce o'neale,nic claxton,edmond sumner,joe harris,cam thomas,yuta watanabe,patty mills,david duke jr.,day'ron sharpe,markieff morris","bradley beal,anthony gill,kristaps porzingis,kyle kuzma,monte morris,deni avdija,will barton,corey kispert,rui hachimura,daniel gafford,taj gibson,johnny davis"
2022-11-06,26.03,0,4.0,7.0,0.571,1.0,4.0,0.25,0.0,0.0,0.0,4.0,4.0,8.0,5.0,2.0,1.0,0.0,3.0,9.0,12.0,0.643,0.643,0.571,0.0,13.9,16.0,14.9,27.4,3.9,3.0,0.0,11.7,158.0,102.0,13.5,"desmond bane,ja morant,dillon brooks,santi aldama,steven adams,brandon clarke,tyus jones,jake laravia,david roddy,john konchar,xavier tillman sr.","kyle kuzma,monte morris,kristaps porzingis,deni avdija,corey kispert,will barton,rui hachimura,daniel gafford,taj gibson,anthony gill"
2022-11-07,21.38,0,7.0,7.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,4.0,5.0,0.0,2.0,1.0,1.0,17.0,10.0,1.079,1.071,0.143,0.286,11.8,8.3,9.8,42.7,0.0,6.5,11.3,18.6,192.0,104.0,25.9,"terry rozier,dennis smith jr.,p.j. washington,kelly oubre jr.,mason plumlee,jalen mcdaniels,nick richards,james bouknight,jt thor,theo maledon","monte morris,kyle kuzma,kristaps porzingis,corey kispert,deni avdija,will barton,rui hachimura,anthony gill,daniel gafford,taj gibson"
2022-11-10,28.73,1,1.0,4.0,0.25,0.0,1.0,0.0,0.0,0.0,0.0,1.0,6.0,7.0,6.0,1.0,0.0,2.0,2.0,2.0,12.0,0.25,0.25,0.25,0.0,4.0,19.7,12.6,25.5,1.7,0.0,33.3,9.1,87.0,105.0,-3.1,"luka doncic,spencer dinwiddie,dorian finney-smith,reggie bullock,dwight powell,tim hardaway jr.,maxi kleber,josh green,javale mcgee,frank ntilikina,facundo campazzo,jaden hardy,theo pinson","kyle kuzma,deni avdija,corey kispert,monte morris,anthony gill,will barton,rui hachimura,daniel gafford"
2022-11-12,20.53,1,3.0,8.0,0.375,3.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,2.0,0.0,3.0,9.0,-8.0,0.563,0.563,0.375,0.0,5.7,5.0,5.3,12.6,2.3,8.7,0.0,17.7,124.0,106.0,4.2,"lauri markkanen,mike conley,kelly olynyk,jordan clarkson,jarred vanderbilt,malik beasley,collin sexton,rudy gay,talen horton-tucker,walker kessler,udoka azubuike,nickeil alexander-walker,simone fontecchio","deni avdija,kyle kuzma,kristaps porzingis,monte morris,corey kispert,rui hachimura,will barton,daniel gafford,vernon carey jr.,anthony gill"
2022-11-13,26.13,1,3.0,7.0,0.429,3.0,4.0,0.75,1.0,2.0,0.5,1.0,7.0,8.0,4.0,1.0,1.0,0.0,2.0,10.0,3.0,0.635,0.643,0.571,0.286,4.0,24.7,15.0,24.1,1.9,2.7,0.0,13.1,145.0,88.0,8.7,"john konchar,tyus jones,steven adams,santi aldama,dillon brooks,david roddy,jake laravia,brandon clarke,kennedy chandler","kyle kuzma,deni avdija,corey kispert,kristaps porzingis,monte morris,will barton,daniel gafford,rui hachimura"
