date,mp,home,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opponent,team
2020-12-27,16.25,0,2.0,5.0,0.4,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,4.0,-6.0,0.4,0.4,0.4,0.0,0.0,24.6,9.4,9.2,0.0,0.0,0.0,11.7,94.0,125.0,-9.1,"kyle kuzma,lebron james,dennis schroder,kentavious caldwell-pope,talen horton-tucker,montrezl harrell,wesley matthews,markieff morris,alex caruso,alfonzo mckinnie,kostas antetokounmpo","naz reid,malik beasley,d'angelo russell,jake layman,josh okogie,jarrett culver,anthony edwards,ricky rubio,jarred vanderbilt,juancho hernangomez,jaden mcdaniels"
2020-12-29,18.12,0,1.0,4.0,0.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,2.0,1.0,2.0,-2.0,0.25,0.25,0.25,0.0,0.0,0.0,0.0,69.4,0.0,0.0,33.3,14.4,93.0,134.0,-7.4,"paul george,luke kennard,nicolas batum,patrick beverley,serge ibaka,reggie jackson,terance mann,ivica zubac,amir coffey,mfiondu kabengele,daniel oturu","d'angelo russell,malik beasley,ricky rubio,jarrett culver,naz reid,anthony edwards,juancho hernangomez,jarred vanderbilt,jake layman,jaden mcdaniels"
2021-01-01,24.3,1,4.0,7.0,0.571,2.0,3.0,0.667,0.0,0.0,0.0,1.0,3.0,4.0,0.0,1.0,0.0,0.0,0.0,10.0,-4.0,0.714,0.714,0.429,0.0,4.3,14.8,9.2,0.0,1.9,0.0,0.0,11.8,149.0,125.0,0.9,"bradley beal,deni avdija,raul neto,thomas bryant,rui hachimura,jerome robinson,ish smith,robin lopez,davis bertans,troy brown jr.,garrison mathews,anthony gill","malik beasley,d'angelo russell,ricky rubio,naz reid,jarrett culver,anthony edwards,jake layman,juancho hernangomez,jarred vanderbilt,jaden mcdaniels"
2021-01-03,5.65,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,77.2,8.7,18.1,50.0,16.0,85.0,110.0,15.1,"jamal murray,nikola jokic,gary harris,will barton,monte morris,jamychal green,facundo campazzo,pj dozier,vlatko cancar,r.j. hampton,zeke nnaji","malik beasley,d'angelo russell,jarrett culver,juancho hernangomez,naz reid,anthony edwards,jake layman,ricky rubio,jaden mcdaniels,jarred vanderbilt"
2021-01-18,18.67,0,2.0,7.0,0.286,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,1.0,0.0,1.0,1.0,4.0,-15.0,0.286,0.286,0.429,0.0,0.0,13.9,5.9,33.3,2.5,0.0,12.5,17.7,74.0,107.0,-8.1,"kevin huerter,clint capela,de'andre hunter,john collins,trae young,brandon goodwin","malik beasley,d'angelo russell,jarred vanderbilt,naz reid,josh okogie,anthony edwards,jarrett culver,jaden mcdaniels"
2021-01-20,20.52,1,2.0,5.0,0.4,1.0,2.0,0.5,1.0,1.0,1.0,1.0,4.0,5.0,7.0,0.0,0.0,1.0,0.0,6.0,4.0,0.551,0.5,0.4,0.2,5.4,19.5,12.9,52.3,0.0,0.0,15.5,14.5,133.0,106.0,2.6,"nikola vucevic,aaron gordon,evan fournier,cole anthony,khem birch,terrence ross,gary clark","malik beasley,d'angelo russell,naz reid,josh okogie,jarred vanderbilt,jaden mcdaniels,anthony edwards,jarrett culver"
2021-01-22,12.67,1,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,3.0,5.0,1.0,0.0,1.0,0.0,2.0,6.0,0.532,0.0,0.0,2.0,7.3,17.6,12.0,47.4,3.9,0.0,34.7,9.8,126.0,117.0,2.9,"kevin huerter,trae young,clint capela,john collins,de'andre hunter,cam reddish,danilo gallinari,brandon goodwin,onyeka okongwu,bruno fernando","jarred vanderbilt,malik beasley,naz reid,d'angelo russell,josh okogie,anthony edwards,jaden mcdaniels,jarrett culver,ricky rubio,jake layman,jaylen nowell"
2021-01-23,19.7,1,4.0,7.0,0.571,2.0,2.0,1.0,1.0,2.0,0.5,1.0,0.0,1.0,4.0,1.0,0.0,2.0,0.0,11.0,10.0,0.698,0.714,0.286,0.286,5.3,0.0,2.6,33.3,2.4,0.0,20.2,20.4,124.0,111.0,4.8,"zion williamson,brandon ingram,lonzo ball,steven adams,josh hart,nickeil alexander-walker,jaxson hayes","malik beasley,ricky rubio,naz reid,josh okogie,jarred vanderbilt,jarrett culver,anthony edwards,jaden mcdaniels"
2021-01-25,22.4,0,7.0,12.0,0.583,1.0,2.0,0.5,0.0,0.0,0.0,0.0,2.0,2.0,5.0,1.0,0.0,2.0,2.0,15.0,2.0,0.625,0.625,0.167,0.0,0.0,9.3,4.6,44.6,2.1,0.0,14.3,24.4,118.0,128.0,2.8,"stephen curry,draymond green,andrew wiggins,kelly oubre jr.,kevon looney,damion lee,james wiseman,mychal mulder,kent bazemore,eric paschall,jordan poole,nico mannion","malik beasley,ricky rubio,jarred vanderbilt,naz reid,josh okogie,anthony edwards,jaden mcdaniels,jarrett culver,jake layman,ashton hagans"
2021-01-27,26.45,0,3.0,5.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,5.0,0.0,0.0,1.0,3.0,6.0,3.0,0.6,0.6,0.0,0.0,3.9,9.3,6.4,28.8,0.0,0.0,16.7,9.2,130.0,127.0,-6.3,"stephen curry,andrew wiggins,draymond green,kelly oubre jr.,kevon looney,james wiseman,damion lee,mychal mulder,eric paschall,kent bazemore,nico mannion,jordan poole","malik beasley,naz reid,jarred vanderbilt,ricky rubio,josh okogie,anthony edwards,jake layman,jaylen nowell,jaden mcdaniels,ashton hagans"
2021-01-29,4.28,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,26.1,0.0,12.6,32.0,0.0,0.0,0.0,10.4,88.0,125.0,-2.9,"tobias harris,joel embiid,ben simmons,seth curry,danny green,furkan korkmaz,matisse thybulle,shake milton,tyrese maxey,isaiah joe,tony bradley","malik beasley,anthony edwards,d'angelo russell,josh okogie,jaden mcdaniels,jarred vanderbilt,jaylen nowell,jake layman,ricky rubio"
