date,mp,home,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opponent,team
2021-10-20,28.7,0,2.0,7.0,0.286,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,10.0,3.0,0.0,0.0,1.0,2.0,4.0,-16.0,0.286,0.286,0.0,0.0,6.0,28.5,16.2,16.4,0.0,0.0,12.5,11.8,77.0,112.0,-7.1,"rudy gobert,donovan mitchell,bojan bogdanovic,royce o'neale,mike conley,jordan clarkson,joe ingles,eric paschall,jared butler,elijah hughes,malik fitts,miye oni","shai gilgeous-alexander,darius bazley,luguentz dort,derrick favors,theo maledon,kenrich williams,aleksej pokusevski,tre mann,isaiah roby,jeremiah robinson-earl,vit krejci"
2021-10-22,19.57,0,2.0,6.0,0.333,1.0,3.0,0.333,1.0,2.0,0.5,1.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,6.0,-21.0,0.436,0.417,0.5,0.333,4.7,6.0,5.3,33.7,2.3,4.3,12.7,16.5,99.0,116.0,0.8,"christian wood,kevin porter jr.,jae'sean tate,jalen green,daniel theis,eric gordon,alperen sengun,david nwaba,danuel house jr.,armoni brooks,josh christopher,usman garuba,kenyon martin jr.","luguentz dort,shai gilgeous-alexander,darius bazley,isaiah roby,kenrich williams,jeremiah robinson-earl,aleksej pokusevski,theo maledon,ty jerome,tre mann,mike muscala,derrick favors,vit krejci"
2021-10-24,33.57,1,8.0,13.0,0.615,1.0,2.0,0.5,2.0,3.0,0.667,1.0,7.0,8.0,7.0,4.0,0.0,2.0,2.0,19.0,-6.0,0.663,0.654,0.154,0.231,3.5,20.9,12.9,35.0,6.0,0.0,12.3,22.6,127.0,110.0,10.7,"seth curry,tyrese maxey,joel embiid,tobias harris,danny green,georges niang,matisse thybulle,furkan korkmaz,isaiah joe,paul reed","shai gilgeous-alexander,luguentz dort,darius bazley,derrick favors,kenrich williams,mike muscala,jeremiah robinson-earl,theo maledon,tre mann,aleksej pokusevski"
2021-10-26,27.18,1,3.0,10.0,0.3,1.0,3.0,0.333,0.0,0.0,0.0,2.0,7.0,9.0,4.0,1.0,1.0,2.0,2.0,7.0,0.0,0.35,0.35,0.3,0.0,7.4,30.9,18.1,23.0,1.8,4.1,16.7,19.9,82.0,105.0,-2.0,"stephen curry,draymond green,andrew wiggins,jordan poole,kevon looney,damion lee,andre iguodala,otto porter jr.,juan toscano-anderson,gary payton ii,chris chiozza,moses moody","shai gilgeous-alexander,luguentz dort,jeremiah robinson-earl,darius bazley,kenrich williams,theo maledon,mike muscala,aleksej pokusevski,tre mann,isaiah roby"
2021-10-27,32.22,1,7.0,13.0,0.538,2.0,5.0,0.4,2.0,3.0,0.667,0.0,2.0,2.0,10.0,1.0,0.0,4.0,2.0,18.0,-3.0,0.628,0.615,0.385,0.231,0.0,7.1,3.6,45.7,1.5,0.0,21.8,24.0,121.0,116.0,3.2,"anthony davis,russell westbrook,malik monk,kent bazemore,deandre jordan,austin reaves","shai gilgeous-alexander,luguentz dort,darius bazley,derrick favors,kenrich williams,isaiah roby,ty jerome,theo maledon,aleksej pokusevski,jeremiah robinson-earl,tre mann"
2021-10-30,27.77,0,5.0,11.0,0.455,0.0,2.0,0.0,0.0,1.0,0.0,0.0,4.0,4.0,6.0,1.0,1.0,1.0,2.0,10.0,-14.0,0.437,0.455,0.182,0.091,0.0,13.3,6.8,51.0,1.7,4.5,8.0,20.1,93.0,102.0,3.2,"jordan poole,stephen curry,draymond green,andrew wiggins,kevon looney,moses moody,otto porter jr.,andre iguodala,chris chiozza,juan toscano-anderson,gary payton ii,jonathan kuminga","luguentz dort,shai gilgeous-alexander,darius bazley,jeremiah robinson-earl,kenrich williams,ty jerome,aleksej pokusevski,mike muscala,derrick favors,isaiah roby,theo maledon"
2021-11-01,34.68,0,6.0,15.0,0.4,1.0,4.0,0.25,2.0,2.0,1.0,0.0,5.0,5.0,7.0,2.0,2.0,3.0,4.0,15.0,-9.0,0.472,0.433,0.267,0.133,0.0,12.8,6.8,36.3,2.8,5.5,15.9,23.1,96.0,97.0,3.7,"paul george,reggie jackson,nicolas batum,ivica zubac,terance mann,luke kennard,isaiah hartenstein,justise winslow,amir coffey","shai gilgeous-alexander,darius bazley,jeremiah robinson-earl,derrick favors,theo maledon,mike muscala,kenrich williams,aleksej pokusevski,ty jerome"
2021-11-04,31.9,0,2.0,9.0,0.222,0.0,2.0,0.0,1.0,2.0,0.5,3.0,5.0,8.0,8.0,3.0,1.0,4.0,2.0,5.0,8.0,0.253,0.222,0.222,0.222,10.0,13.9,12.2,35.4,4.6,2.5,28.8,18.2,78.0,98.0,-2.0,"anthony davis,russell westbrook,kent bazemore,deandre jordan,austin reaves,malik monk","shai gilgeous-alexander,luguentz dort,derrick favors,darius bazley,kenrich williams,ty jerome,aleksej pokusevski,jeremiah robinson-earl,mike muscala,theo maledon"
2021-11-07,27.2,1,3.0,10.0,0.3,1.0,6.0,0.167,0.0,0.0,0.0,2.0,5.0,7.0,4.0,0.0,0.0,4.0,1.0,7.0,-14.0,0.35,0.35,0.6,0.0,7.1,16.6,12.0,23.8,0.0,0.0,28.6,21.3,70.0,100.0,-9.0,"keldon johnson,dejounte murray,derrick white,drew eubanks,doug mcdermott,lonnie walker iv,thaddeus young,devin vassell,tre jones,bryn forbes,keita bates-diop","shai gilgeous-alexander,luguentz dort,darius bazley,jeremiah robinson-earl,kenrich williams,aleksej pokusevski,mike muscala,ty jerome,derrick favors,theo maledon,vit krejci"
2021-11-10,30.7,0,3.0,10.0,0.3,1.0,3.0,0.333,0.0,0.0,0.0,5.0,7.0,12.0,9.0,1.0,0.0,5.0,3.0,7.0,3.0,0.35,0.35,0.3,0.0,17.8,17.7,17.7,43.6,1.6,0.0,33.3,19.8,87.0,98.0,-1.8,"jonas valanciunas,nickeil alexander-walker,devonte' graham,garrett temple,josh hart,herbert jones,trey murphy iii,kira lewis jr.,jaxson hayes","shai gilgeous-alexander,luguentz dort,darius bazley,derrick favors,kenrich williams,aleksej pokusevski,tre mann,mike muscala,jeremiah robinson-earl,ty jerome"
