date,mp,home,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opponent,team
2020-12-29,0.78,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.1,0.0,122.0,-58.1,"nikola vucevic,evan fournier,markelle fultz,aaron gordon,terrence ross,michael carter-williams,chuma okeke,cole anthony,khem birch","shai gilgeous-alexander,justin jackson,luguentz dort,darius bazley,isaiah roby,hamidou diallo,theo maledon,mike muscala,aleksej pokusevski,kenrich williams"
2020-12-31,10.32,1,1.0,5.0,0.2,1.0,4.0,0.25,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,-20.0,0.255,0.3,0.8,0.4,0.0,9.9,4.7,0.0,0.0,0.0,0.0,25.9,49.0,120.0,-19.0,"lonzo ball,steven adams,brandon ingram,zion williamson,josh hart,nickeil alexander-walker,jaxson hayes,kira lewis jr.","shai gilgeous-alexander,darius bazley,al horford,george hill,luguentz dort,theo maledon,aleksej pokusevski,isaiah roby,hamidou diallo,mike muscala,kenrich williams,moses brown"
2021-01-04,7.3,0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,2.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.5,0.0,13.4,36.5,23.2,45.3,0.0,0.0,33.3,18.6,51.0,121.0,-14.8,"duncan robinson,tyler herro,bam adebayo,kelly olynyk,jimmy butler,goran dragic,precious achiuwa,andre iguodala,kendrick nunn,kz okpala,maurice harkless,chris silva","shai gilgeous-alexander,darius bazley,luguentz dort,george hill,al horford,isaiah roby,justin jackson,theo maledon,hamidou diallo,mike muscala,kenrich williams,moses brown"
2021-01-13,7.15,1,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.333,0.0,0.0,0.0,0.0,36.3,0.0,0.0,0.0,19.1,38.0,139.0,-15.3,"dennis schroder,lebron james,anthony davis,kentavious caldwell-pope,montrezl harrell,markieff morris,alex caruso,kyle kuzma,talen horton-tucker,alfonzo mckinnie","shai gilgeous-alexander,luguentz dort,darius bazley,isaiah roby,george hill,theo maledon,aleksej pokusevski,hamidou diallo,mike muscala,kenrich williams,moses brown,justin jackson"
2021-01-19,13.05,0,2.0,5.0,0.4,0.0,2.0,0.0,2.0,3.0,0.667,0.0,2.0,2.0,1.0,0.0,0.0,2.0,1.0,6.0,6.0,0.475,0.4,0.4,0.6,0.0,14.7,7.4,12.8,0.0,0.0,24.0,26.6,77.0,120.0,-11.9,"nikola jokic,gary harris,will barton,jamal murray,monte morris,pj dozier,facundo campazzo,jamychal green,isaiah hartenstein,r.j. hampton,bol bol,zeke nnaji,vlatko cancar","shai gilgeous-alexander,isaiah roby,luguentz dort,darius bazley,george hill,aleksej pokusevski,theo maledon,hamidou diallo,mike muscala,justin jackson,kenrich williams,moses brown"
2021-01-29,5.05,1,1.0,2.0,0.5,0.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-2.0,0.521,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.2,104.0,145.0,-10.8,"kyrie irving,joe harris,james harden,bruce brown,deandre jordan,jeff green,timothe luwawu-cabarrot,reggie perry,landry shamet,chris chiozza","theo maledon,luguentz dort,darius bazley,shai gilgeous-alexander,al horford,hamidou diallo,aleksej pokusevski,mike muscala,isaiah roby,kenrich williams,moses brown,justin jackson"
2021-02-01,7.57,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,0.0,0.0,1.0,1.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,40.5,20.0,32.5,0.0,0.0,100.0,5.6,76.0,130.0,-7.1,"p.j. tucker,christian wood,victor oladipo,jae'sean tate,john wall,danuel house jr.,eric gordon,demarcus cousins,sterling brown,mason jones","darius bazley,shai gilgeous-alexander,theo maledon,al horford,luguentz dort,kenrich williams,aleksej pokusevski,hamidou diallo,mike muscala,isaiah roby,justin jackson,moses brown"
2021-03-27,20.4,1,1.0,5.0,0.2,0.0,3.0,0.0,2.0,6.0,0.333,0.0,5.0,5.0,1.0,0.0,0.0,1.0,2.0,4.0,-11.0,0.262,0.2,0.6,1.2,0.0,23.5,11.5,7.4,0.0,0.0,11.6,18.6,55.0,112.0,-14.4,"jayson tatum,marcus smart,jaylen brown,robert williams,grant williams,payton pritchard,carsen edwards,aaron nesmith,luke kornet,moritz wagner,tremont waters","theo maledon,moses brown,aleksej pokusevski,isaiah roby,luguentz dort,kenrich williams,svi mykhailiuk,ty jerome"
2021-03-29,21.72,1,3.0,6.0,0.5,1.0,2.0,0.5,3.0,4.0,0.75,0.0,1.0,1.0,1.0,0.0,0.0,4.0,2.0,10.0,-9.0,0.644,0.583,0.333,0.667,0.0,4.9,2.5,7.0,0.0,0.0,34.0,23.3,86.0,133.0,-11.3,"luka doncic,kristaps porzingis,dorian finney-smith,josh richardson,maxi kleber,tim hardaway jr.,jalen brunson,josh green,dwight powell,trey burke,nate hinton,tyler bey,boban marjanovic","isaiah roby,aleksej pokusevski,moses brown,theo maledon,svi mykhailiuk,ty jerome,kenrich williams,tony bradley"
2021-03-31,20.97,1,0.0,4.0,0.0,0.0,2.0,0.0,5.0,8.0,0.625,0.0,5.0,5.0,4.0,0.0,0.0,2.0,1.0,5.0,17.0,0.332,0.0,0.5,2.0,0.0,22.0,11.6,23.5,0.0,0.0,21.0,18.7,85.0,109.0,-7.2,"fred vanvleet,pascal siakam,og anunoby,gary trent jr.,malachi flynn,chris boucher,stanley johnson,yuta watanabe","svi mykhailiuk,theo maledon,isaiah roby,moses brown,kenrich williams,justin jackson,tony bradley"
