date,mp,home,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opponent,team
2020-12-23,36.27,0,5.0,11.0,0.455,2.0,7.0,0.286,0.0,0.0,0.0,1.0,6.0,7.0,1.0,1.0,0.0,2.0,4.0,12.0,-9.0,0.545,0.545,0.636,0.0,2.8,20.4,10.6,4.5,1.3,0.0,15.4,16.0,94.0,105.0,-2.0,"mikal bridges,devin booker,chris paul,jae crowder,deandre ayton,cameron johnson,cameron payne,jalen smith,jevon carter,langston galloway,damian jones","luka doncic,dorian finney-smith,tim hardaway jr.,dwight powell,maxi kleber,trey burke,jalen brunson,james johnson,willie cauley-stein,josh green"
2020-12-25,27.38,0,6.0,12.0,0.5,2.0,5.0,0.4,3.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,4.0,17.0,-10.0,0.638,0.583,0.417,0.25,4.5,4.3,4.4,11.5,3.5,0.0,0.0,22.6,133.0,140.0,1.6,"lebron james,anthony davis,dennis schroder,kentavious caldwell-pope,montrezl harrell,kyle kuzma,wesley matthews,markieff morris,alex caruso,talen horton-tucker,alfonzo mckinnie","luka doncic,dorian finney-smith,tim hardaway jr.,dwight powell,trey burke,maxi kleber,willie cauley-stein,jalen brunson,james johnson,boban marjanovic,wes iwundu,josh green,tyrell terry"
2020-12-27,26.7,0,8.0,13.0,0.615,4.0,8.0,0.5,1.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,0.0,0.0,3.0,21.0,22.0,0.781,0.769,0.615,0.077,8.6,3.7,6.0,12.6,2.0,0.0,0.0,23.0,164.0,85.0,13.9,"luke kennard,paul george,patrick beverley,nicolas batum,serge ibaka,terance mann,reggie jackson,amir coffey,ivica zubac,mfiondu kabengele,daniel oturu","luka doncic,tim hardaway jr.,dorian finney-smith,dwight powell,james johnson,willie cauley-stein,trey burke,maxi kleber,jalen brunson,wes iwundu,josh green,boban marjanovic,tyrell terry"
2020-12-30,26.78,1,1.0,10.0,0.1,0.0,4.0,0.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,1.0,2.0,4.0,-23.0,0.184,0.1,0.4,0.2,3.5,4.7,4.0,11.1,0.0,3.6,8.4,18.4,54.0,123.0,-16.1,"gordon hayward,terry rozier,bismack biyombo,devonte' graham,p.j. washington,miles bridges,lamelo ball,jalen mcdaniels,caleb martin,cody martin,vernon carey jr.,nick richards","tim hardaway jr.,dwight powell,dorian finney-smith,luka doncic,maxi kleber,jalen brunson,trey burke,james johnson,josh green,willie cauley-stein,wes iwundu,boban marjanovic,tyrell terry"
2021-01-01,34.78,1,5.0,10.0,0.5,1.0,5.0,0.2,0.0,0.0,0.0,1.0,2.0,3.0,3.0,0.0,0.0,2.0,2.0,11.0,6.0,0.55,0.55,0.5,0.0,3.4,5.5,4.6,16.5,0.0,0.0,16.7,15.9,99.0,93.0,-1.1,"bam adebayo,duncan robinson,tyler herro,jimmy butler,andre iguodala,kelly olynyk,goran dragic,precious achiuwa,maurice harkless,kendrick nunn","tim hardaway jr.,luka doncic,dwight powell,dorian finney-smith,maxi kleber,trey burke,james johnson,jalen brunson,willie cauley-stein"
2021-01-03,35.85,0,5.0,14.0,0.357,3.0,7.0,0.429,3.0,4.0,0.75,2.0,2.0,4.0,2.0,0.0,1.0,3.0,5.0,16.0,-7.0,0.508,0.464,0.5,0.286,5.6,6.5,6.0,8.3,0.0,2.8,16.0,21.7,95.0,122.0,-5.3,"zach lavine,coby white,otto porter jr.,patrick williams,wendell carter jr.,thaddeus young,garrett temple,daniel gafford,denzel valentine","jalen brunson,dorian finney-smith,tim hardaway jr.,dwight powell,maxi kleber,trey burke,james johnson,willie cauley-stein,boban marjanovic,josh green,nate hinton,tyrell terry"
2021-01-04,30.78,0,4.0,10.0,0.4,2.0,7.0,0.286,5.0,5.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,6.0,15.0,15.0,0.615,0.5,0.7,0.5,4.1,0.0,1.8,0.0,1.7,0.0,7.6,19.5,124.0,108.0,-3.3,"james harden,p.j. tucker,john wall,christian wood,david nwaba,eric gordon,jae'sean tate,sterling brown,demarcus cousins,bruno caboclo,brodric thomas","luka doncic,dorian finney-smith,willie cauley-stein,maxi kleber,tim hardaway jr.,james johnson,jalen brunson,dwight powell,trey burke,wes iwundu"
2021-01-07,41.27,0,5.0,15.0,0.333,2.0,7.0,0.286,2.0,2.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,4.0,14.0,1.0,0.441,0.4,0.467,0.133,0.0,2.8,1.4,3.6,2.4,0.0,5.9,19.1,85.0,115.0,-9.2,"jamal murray,nikola jokic,gary harris,will barton,pj dozier,monte morris,jamychal green,isaiah hartenstein","luka doncic,dorian finney-smith,maxi kleber,willie cauley-stein,tim hardaway jr.,jalen brunson,boban marjanovic,dwight powell,james johnson,josh green"
2021-01-27,23.75,0,3.0,7.0,0.429,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,6.0,-11.0,0.429,0.429,0.143,0.0,0.0,9.4,4.7,0.0,2.1,0.0,12.5,15.7,71.0,122.0,-9.2,"rudy gobert,bojan bogdanovic,royce o'neale,joe ingles,mike conley,jordan clarkson,georges niang,juwan morgan,miye oni,udoka azubuike,jarrell brantley,shaquille harrison","tim hardaway jr.,luka doncic,kristaps porzingis,dorian finney-smith,james johnson,jalen brunson,trey burke,dwight powell,wes iwundu,willie cauley-stein,nate hinton,tyrell terry,josh green,boban marjanovic"
2021-01-29,25.05,0,3.0,8.0,0.375,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,4.0,6.0,-14.0,0.375,0.375,0.375,0.0,4.1,3.9,4.0,12.3,2.0,0.0,0.0,14.1,92.0,128.0,-5.9,"royce o'neale,mike conley,bojan bogdanovic,joe ingles,rudy gobert,jordan clarkson,juwan morgan,georges niang,miye oni,jarrell brantley,udoka azubuike,shaquille harrison","luka doncic,tim hardaway jr.,kristaps porzingis,dorian finney-smith,jalen brunson,james johnson,trey burke,dwight powell,willie cauley-stein,josh green,wes iwundu,boban marjanovic,tyrell terry"
2021-01-30,35.25,1,4.0,11.0,0.364,0.0,3.0,0.0,1.0,1.0,1.0,0.0,3.0,3.0,2.0,0.0,0.0,1.0,2.0,9.0,3.0,0.393,0.364,0.273,0.091,0.0,10.0,5.2,7.1,0.0,0.0,8.0,16.3,81.0,120.0,-8.1,"deandre ayton,chris paul,cameron johnson,mikal bridges,jae crowder,langston galloway,frank kaminsky","tim hardaway jr.,dorian finney-smith,luka doncic,willie cauley-stein,jalen brunson,james johnson,dwight powell,trey burke"
2021-02-01,36.67,1,9.0,16.0,0.563,2.0,6.0,0.333,4.0,4.0,1.0,2.0,3.0,5.0,4.0,2.0,0.0,2.0,3.0,24.0,4.0,0.676,0.625,0.375,0.25,6.4,8.5,7.5,20.8,2.6,0.0,10.1,23.3,131.0,110.0,7.7,"mikal bridges,chris paul,cameron johnson,deandre ayton,devin booker,langston galloway,jae crowder,frank kaminsky","luka doncic,dorian finney-smith,kristaps porzingis,maxi kleber,tim hardaway jr.,jalen brunson,willie cauley-stein,james johnson,trey burke"
2021-02-03,35.63,0,3.0,11.0,0.273,1.0,7.0,0.143,7.0,8.0,0.875,3.0,3.0,6.0,2.0,2.0,2.0,2.0,2.0,14.0,0.0,0.482,0.318,0.636,0.727,8.8,9.0,8.9,6.9,2.7,5.2,12.1,19.5,108.0,115.0,-1.7,"john collins,kevin huerter,trae young,clint capela,cam reddish,danilo gallinari,brandon goodwin","luka doncic,kristaps porzingis,maxi kleber,dorian finney-smith,tim hardaway jr.,jalen brunson,willie cauley-stein,trey burke,james johnson"
2021-02-04,31.05,1,2.0,9.0,0.222,2.0,7.0,0.286,0.0,0.0,0.0,1.0,0.0,1.0,5.0,1.0,0.0,1.0,1.0,6.0,-25.0,0.333,0.333,0.778,0.0,3.0,0.0,1.8,22.1,1.5,0.0,10.0,13.8,92.0,144.0,-7.3,"juan toscano-anderson,kelly oubre jr.,stephen curry,andrew wiggins,draymond green,damion lee,kent bazemore,mychal mulder","luka doncic,dorian finney-smith,kristaps porzingis,maxi kleber,tim hardaway jr.,jalen brunson,dwight powell,trey burke,james johnson,boban marjanovic,willie cauley-stein,josh green,wes iwundu"
