date,mp,home,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opponent,team
2021-12-22,1.95,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,1.064,1.5,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.4,166.0,120.0,55.3,"jayson tatum,jaylen brown,robert williams,marcus smart,romeo langford,payton pritchard,dennis schroder,aaron nesmith,justin jackson,bruno fernando","darius garland,lauri markkanen,ricky rubio,dean wade,cedi osman,denzel valentine,kevin love,luke kornet"
2021-12-26,30.83,1,3.0,5.0,0.6,1.0,3.0,0.333,0.0,0.0,0.0,0.0,5.0,5.0,4.0,1.0,0.0,2.0,3.0,7.0,31.0,0.7,0.7,0.6,0.0,0.0,15.6,8.2,12.1,1.5,0.0,28.6,8.8,116.0,95.0,-3.6,"yuta watanabe,svi mykhailiuk,d.j. wilson,chris boucher,dalano banton,tremont waters,juwan morgan,daniel oturu","darius garland,dean wade,ricky rubio,lauri markkanen,kevin love,denzel valentine,luke kornet,rj nembhard jr."
2021-12-28,13.82,0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,-2.0,0.347,0.0,1.0,1.0,0.0,8.9,4.0,18.8,0.0,0.0,0.0,9.7,110.0,124.0,-8.6,"garrett temple,herbert jones,devonte' graham,jonas valanciunas,gary clark,jaxson hayes,trey murphy iii,willy hernangomez","ricky rubio,dean wade,isaac okoro,lauri markkanen,evan mobley,kevin love,denzel valentine"
2022-01-02,7.83,0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,-6.0,0.0,0.0,1.0,0.0,13.6,29.2,21.1,0.0,0.0,0.0,33.3,17.8,26.0,116.0,-24.5,"evan mobley,lauri markkanen,jarrett allen,isaac okoro,lamar stevens,kevin love,brandon goodwin,dean wade","domantas sabonis,myles turner,justin holiday,keifer sykes,duane washington jr.,torrey craig,oshae brissett"
2022-01-04,15.5,0,2.0,7.0,0.286,1.0,5.0,0.2,3.0,3.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,8.0,9.0,0.481,0.357,0.714,0.429,6.7,0.0,3.6,24.0,3.6,6.0,0.0,25.7,116.0,116.0,8.4,"rj barrett,julius randle,alec burks,taj gibson,evan fournier,mitchell robinson,immanuel quickley,quentin grimes,obi toppin,miles mcbride","domantas sabonis,keifer sykes,duane washington jr.,myles turner,justin holiday,torrey craig,oshae brissett"
2022-01-05,6.95,1,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,16.8,0.0,0.0,0.0,12.6,35.0,135.0,-22.7,"kevin durant,james harden,kyrie irving,nic claxton,david duke jr.,patty mills,deandre' bembry,james johnson,blake griffin","keifer sykes,domantas sabonis,duane washington jr.,myles turner,justin holiday,oshae brissett,ahmad caver,nate hinton,terry taylor"
2022-03-18,9.42,0,1.0,4.0,0.25,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,-4.0,0.25,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.8,43.0,122.0,-20.6,"jalen green,christian wood,kevin porter jr.,garrison mathews,jae'sean tate,dennis schroder,alperen sengun,kenyon martin jr.,josh christopher,daishen nix","tyrese haliburton,malcolm brogdon,oshae brissett,buddy hield,goga bitadze,duane washington jr.,terry taylor,jalen smith"
2022-03-20,36.32,1,6.0,10.0,0.6,3.0,6.0,0.5,3.0,3.0,1.0,1.0,5.0,6.0,4.0,1.0,0.0,1.0,2.0,18.0,28.0,0.795,0.75,0.6,0.3,4.0,16.5,10.9,13.2,1.4,0.0,8.1,15.2,159.0,107.0,4.6,"trendon watford,josh hart,drew eubanks,brandon williams,cj elleby,greg brown iii,kris dunn,keon johnson,elijah hughes","oshae brissett,tyrese haliburton,goga bitadze,buddy hield,keifer sykes,terry taylor,duane washington jr.,jalen smith"
2022-03-23,31.0,1,2.0,8.0,0.25,1.0,5.0,0.2,0.0,0.0,0.0,0.0,5.0,5.0,4.0,1.0,0.0,0.0,2.0,5.0,7.0,0.313,0.313,0.625,0.0,0.0,21.5,9.9,15.9,1.6,0.0,0.0,11.2,91.0,113.0,-6.5,"davion mitchell,harrison barnes,damian jones,trey lyles,justin holiday,donte divincenzo,chimezie metu,jeremy lamb,alex len,neemias queta","tyrese haliburton,buddy hield,oshae brissett,goga bitadze,terry taylor,duane washington jr.,isaiah jackson"
2022-03-24,32.03,0,3.0,10.0,0.3,1.0,5.0,0.2,3.0,5.0,0.6,1.0,8.0,9.0,4.0,1.0,2.0,1.0,1.0,10.0,-27.0,0.41,0.35,0.5,0.5,3.1,31.5,15.7,17.4,1.5,5.9,7.6,17.5,94.0,128.0,-0.8,"ziaire williams,tyus jones,desmond bane,steven adams,jaren jackson jr.,john konchar,xavier tillman sr.,kyle anderson,de'anthony melton,santi aldama,jarrett culver","oshae brissett,goga bitadze,buddy hield,tyrese haliburton,terry taylor,duane washington jr.,keifer sykes"
2022-03-26,35.3,0,6.0,10.0,0.6,4.0,7.0,0.571,2.0,3.0,0.667,0.0,6.0,6.0,4.0,0.0,0.0,2.0,1.0,18.0,-29.0,0.795,0.8,0.7,0.3,0.0,23.3,10.6,21.9,0.0,0.0,15.0,18.0,132.0,149.0,4.2,"scottie barnes,pascal siakam,og anunoby,fred vanvleet,khem birch,chris boucher,precious achiuwa,armoni brooks,thaddeus young,dalano banton,yuta watanabe,svi mykhailiuk","oshae brissett,tyrese haliburton,buddy hield,jalen smith,terry taylor,keifer sykes"
2022-03-28,26.97,1,4.0,9.0,0.444,1.0,5.0,0.2,0.0,0.0,0.0,0.0,5.0,5.0,2.0,0.0,0.0,0.0,2.0,9.0,-16.0,0.5,0.5,0.556,0.0,0.0,27.0,13.1,9.4,0.0,0.0,0.0,14.7,112.0,140.0,-7.6,"trae young,kevin huerter,clint capela,delon wright,timothe luwawu-cabarrot,bogdan bogdanovic,onyeka okongwu,jalen johnson","tyrese haliburton,buddy hield,keifer sykes,goga bitadze,terry taylor,jalen smith"
2022-03-30,31.9,1,6.0,13.0,0.462,1.0,6.0,0.167,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,0.0,0.0,3.0,13.0,5.0,0.5,0.5,0.462,0.0,0.0,16.7,5.6,12.9,4.8,0.0,0.0,17.0,117.0,127.0,-0.6,"will barton,aaron gordon,nikola jokic,monte morris,jeff green,bones hyland,austin rivers,davon reed,demarcus cousins,bryn forbes","tyrese haliburton,buddy hield,terry taylor,goga bitadze,jalen smith,duane washington jr.,keifer sykes"
2022-04-01,14.07,0,2.0,6.0,0.333,1.0,4.0,0.25,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,6.0,-10.0,0.466,0.417,0.667,0.167,0.0,10.3,4.9,0.0,0.0,0.0,0.0,20.5,98.0,139.0,-11.4,"jayson tatum,jaylen brown,al horford,marcus smart,daniel theis,derrick white,grant williams,payton pritchard","buddy hield,oshae brissett,goga bitadze,tyrese haliburton,terry taylor,jalen smith,duane washington jr.,isaiah jackson,keifer sykes"
2022-04-03,17.07,1,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,-9.0,0.0,0.0,0.75,0.0,0.0,5.5,2.9,6.3,0.0,9.7,0.0,9.3,22.0,118.0,-10.3,"frank jackson,isaiah livers,saddiq bey,killian hayes,isaiah stewart,carsen edwards,braxton key,rodney mcgruder,kelly olynyk","tyrese haliburton,oshae brissett,terry taylor,buddy hield,goga bitadze,isaiah jackson,duane washington jr.,jalen smith"
2022-04-05,4.87,1,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,43.8,0.0,21.0,0.0,16.5,64.0,121.0,-0.5,"james harden,joel embiid,tyrese maxey,tobias harris,matisse thybulle,shake milton,danny green,georges niang,deandre jordan","buddy hield,tyrese haliburton,oshae brissett,terry taylor,isaiah jackson,jalen smith,duane washington jr.,t.j. mcconnell"
