date,mp,home,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opponent,team
2020-12-22,34.02,0,10.0,26.0,0.385,1.0,8.0,0.125,5.0,5.0,1.0,0.0,2.0,2.0,3.0,2.0,0.0,3.0,5.0,26.0,1.0,0.461,0.404,0.308,0.192,0.0,7.6,3.3,14.2,2.7,0.0,9.6,37.5,93.0,106.0,-3.3,"anthony davis,lebron james,dennis schroder,kentavious caldwell-pope,montrezl harrell,kyle kuzma,markieff morris,alex caruso,wesley matthews,talen horton-tucker","paul george,nicolas batum,patrick beverley,serge ibaka,ivica zubac,luke kennard,reggie jackson,terance mann,amir coffey,mfiondu kabengele"
2020-12-25,30.35,0,8.0,14.0,0.571,2.0,4.0,0.5,3.0,3.0,1.0,2.0,3.0,5.0,7.0,4.0,1.0,2.0,4.0,21.0,13.0,0.685,0.643,0.286,0.214,10.2,12.2,11.3,39.1,6.8,3.5,11.5,26.7,145.0,105.0,14.8,"nikola jokic,jamal murray,michael porter jr.,gary harris,monte morris,will barton,pj dozier,isaiah hartenstein,bol bol,facundo campazzo","paul george,nicolas batum,patrick beverley,serge ibaka,luke kennard,ivica zubac,reggie jackson,terance mann,mfiondu kabengele,amir coffey,daniel oturu"
2020-12-30,30.42,1,9.0,17.0,0.529,3.0,5.0,0.6,7.0,8.0,0.875,1.0,2.0,3.0,7.0,3.0,1.0,0.0,4.0,28.0,23.0,0.682,0.618,0.294,0.471,3.4,7.7,5.4,33.7,4.7,4.2,0.0,28.2,154.0,100.0,17.9,"derrick jones jr.,damian lillard,cj mccollum,robert covington,jusuf nurkic,anfernee simons,cj elleby","paul george,nicolas batum,serge ibaka,patrick beverley,reggie jackson,luke kennard,ivica zubac,terance mann,mfiondu kabengele,amir coffey,daniel oturu"
2021-01-01,38.68,0,8.0,19.0,0.421,2.0,4.0,0.5,2.0,4.0,0.5,4.0,12.0,16.0,9.0,0.0,3.0,0.0,2.0,20.0,8.0,0.482,0.474,0.211,0.211,11.0,33.8,22.3,48.4,0.0,7.9,0.0,24.9,127.0,111.0,12.9,"donovan mitchell,mike conley,royce o'neale,bojan bogdanovic,rudy gobert,joe ingles,derrick favors,jordan clarkson,georges niang","paul george,nicolas batum,serge ibaka,patrick beverley,luke kennard,ivica zubac,terance mann,reggie jackson,amir coffey"
2021-01-03,34.13,0,4.0,21.0,0.19,0.0,3.0,0.0,7.0,10.0,0.7,1.0,5.0,6.0,3.0,1.0,1.0,2.0,0.0,15.0,-11.0,0.295,0.19,0.143,0.476,3.4,19.5,11.0,12.3,1.5,3.3,7.3,38.0,70.0,114.0,-13.7,"devin booker,mikal bridges,chris paul,jae crowder,deandre ayton,cameron johnson,dario saric,cameron payne,langston galloway,jevon carter","paul george,nicolas batum,patrick beverley,serge ibaka,luke kennard,ivica zubac,reggie jackson"
2021-01-05,37.23,1,13.0,22.0,0.591,1.0,3.0,0.333,3.0,3.0,1.0,2.0,1.0,3.0,10.0,2.0,1.0,0.0,1.0,30.0,14.0,0.643,0.614,0.136,0.136,6.4,2.6,4.3,49.1,2.7,2.3,0.0,28.7,147.0,120.0,13.5,"dejounte murray,keldon johnson,lonnie walker iv,demar derozan,patty mills,rudy gay,jakob poeltl,devin vassell","luke kennard,nicolas batum,patrick beverley,serge ibaka,ivica zubac,reggie jackson,terance mann,amir coffey"
2021-01-06,34.52,0,7.0,12.0,0.583,0.0,3.0,0.0,7.0,7.0,1.0,0.0,4.0,4.0,4.0,1.0,1.0,7.0,2.0,21.0,14.0,0.696,0.583,0.25,0.583,0.0,12.6,6.7,21.2,1.4,2.5,31.7,27.7,102.0,104.0,1.5,"stephen curry,andrew wiggins,draymond green,kelly oubre jr.,james wiseman,damion lee,eric paschall,kent bazemore,kevon looney,mychal mulder","paul george,serge ibaka,patrick beverley,nicolas batum,luke kennard,marcus morris,ivica zubac,reggie jackson,mfiondu kabengele,terance mann"
2021-01-08,34.18,0,7.0,17.0,0.412,3.0,5.0,0.6,7.0,8.0,0.875,0.0,3.0,3.0,4.0,2.0,0.0,2.0,2.0,24.0,-1.0,0.585,0.5,0.294,0.471,0.0,11.7,5.6,18.6,3.0,0.0,8.9,29.6,120.0,121.0,4.2,"stephen curry,draymond green,andrew wiggins,kelly oubre jr.,james wiseman,damion lee,eric paschall,kent bazemore,mychal mulder,kevon looney","paul george,serge ibaka,nicolas batum,patrick beverley,luke kennard,marcus morris,ivica zubac,reggie jackson,terance mann,amir coffey,mfiondu kabengele,daniel oturu"
2021-01-10,38.22,1,14.0,22.0,0.636,7.0,9.0,0.778,0.0,0.0,0.0,0.0,2.0,2.0,4.0,3.0,0.0,2.0,0.0,35.0,-3.0,0.795,0.795,0.409,0.0,0.0,9.7,3.4,18.3,3.7,0.0,8.3,26.7,143.0,126.0,11.9,"coby white,zach lavine,garrett temple,patrick williams,wendell carter jr.,thaddeus young,denzel valentine,daniel gafford,adam mokoka","paul george,nicolas batum,serge ibaka,patrick beverley,marcus morris,luke kennard,ivica zubac,terance mann"
2021-01-13,38.85,1,8.0,18.0,0.444,2.0,4.0,0.5,10.0,11.0,0.909,1.0,5.0,6.0,9.0,2.0,0.0,2.0,1.0,28.0,10.0,0.613,0.5,0.222,0.611,3.2,13.7,8.8,44.3,2.7,0.0,8.1,32.0,130.0,115.0,7.3,"brandon ingram,josh hart,nickeil alexander-walker,steven adams,jaxson hayes,kira lewis jr.","paul george,patrick beverley,nicolas batum,serge ibaka,ivica zubac,luke kennard,marcus morris"
