date,mp,home,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opponent,team
2020-12-23,8.03,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,25.4,14.2,0.0,0.0,0.0,0.0,5.3,0.0,111.0,-10.9,"nikola vucevic,evan fournier,markelle fultz,aaron gordon,terrence ross,chuma okeke,cole anthony,michael carter-williams,khem birch","jimmy butler,bam adebayo,tyler herro,duncan robinson,maurice harkless,goran dragic,kelly olynyk,andre iguodala,precious achiuwa"
2020-12-29,30.8,1,6.0,17.0,0.353,1.0,6.0,0.167,2.0,2.0,1.0,1.0,2.0,3.0,6.0,1.0,1.0,1.0,0.0,15.0,-28.0,0.419,0.382,0.353,0.118,4.1,8.4,6.2,33.8,1.5,3.8,5.3,27.3,95.0,141.0,-3.6,"jrue holiday,khris middleton,giannis antetokounmpo,donte divincenzo,brook lopez,bobby portis,thanasis antetokounmpo,bryn forbes,pat connaughton,jordan nwora,d.j. wilson,sam merrill","tyler herro,bam adebayo,duncan robinson,maurice harkless,meyers leonard,kz okpala,kelly olynyk,precious achiuwa,max strus,goran dragic,chris silva"
2020-12-30,9.38,1,1.0,3.0,0.333,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,3.0,-7.0,0.436,0.333,0.333,0.333,0.0,0.0,0.0,14.7,5.0,0.0,22.5,19.5,83.0,104.0,-3.3,"giannis antetokounmpo,khris middleton,jrue holiday,donte divincenzo,brook lopez,bobby portis,pat connaughton,bryn forbes,thanasis antetokounmpo","tyler herro,bam adebayo,duncan robinson,andre iguodala,kelly olynyk,goran dragic,gabe vincent,precious achiuwa,maurice harkless"
2021-01-01,6.45,0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3,21.7,0.0,103.0,-27.1,"tim hardaway jr.,luka doncic,josh richardson,dwight powell,dorian finney-smith,maxi kleber,trey burke,james johnson,jalen brunson,willie cauley-stein","bam adebayo,duncan robinson,tyler herro,jimmy butler,andre iguodala,kelly olynyk,goran dragic,precious achiuwa,maurice harkless"
2021-01-04,5.98,1,4.0,6.0,0.667,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,8.0,-1.0,0.667,0.667,0.333,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,46.8,135.0,99.0,11.7,"shai gilgeous-alexander,darius bazley,luguentz dort,george hill,al horford,isaiah roby,justin jackson,theo maledon,hamidou diallo,mike muscala,kenrich williams,josh hall,moses brown","duncan robinson,tyler herro,bam adebayo,kelly olynyk,jimmy butler,goran dragic,precious achiuwa,andre iguodala,kz okpala,maurice harkless,chris silva"
2021-01-16,27.23,1,3.0,6.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,1.0,4.0,5.0,1.0,0.0,0.0,5.0,0.0,7.0,-1.0,0.583,0.583,0.333,0.0,5.2,19.6,12.6,6.6,0.0,0.0,45.5,19.2,63.0,129.0,-12.5,"jerami grant,blake griffin,mason plumlee,delon wright,josh jackson,derrick rose,isaiah stewart,sekou doumbouya,saddiq bey,svi mykhailiuk,saben lee,deividas sirvydis","duncan robinson,bam adebayo,kz okpala,kelly olynyk,gabe vincent,goran dragic,andre iguodala,precious achiuwa,max strus,chris silva"
2021-01-18,34.03,1,8.0,15.0,0.533,2.0,4.0,0.5,0.0,0.0,0.0,1.0,4.0,5.0,3.0,2.0,1.0,2.0,3.0,18.0,17.0,0.6,0.6,0.267,0.0,5.2,13.8,10.4,13.3,3.0,3.1,11.8,23.7,114.0,110.0,0.3,"blake griffin,mason plumlee,jerami grant,delon wright,derrick rose,josh jackson,svi mykhailiuk,isaiah stewart,sekou doumbouya,saddiq bey","duncan robinson,bam adebayo,goran dragic,kelly olynyk,kz okpala,maurice harkless,andre iguodala,precious achiuwa,gabe vincent"
2021-01-20,34.62,0,9.0,12.0,0.75,4.0,6.0,0.667,6.0,6.0,1.0,1.0,7.0,8.0,5.0,1.0,0.0,5.0,4.0,28.0,11.0,0.956,0.917,0.5,0.5,3.7,19.4,12.8,26.1,1.5,0.0,25.5,25.8,139.0,106.0,10.2,"og anunoby,fred vanvleet,pascal siakam,kyle lowry,terence davis,chris boucher,norman powell,stanley johnson","duncan robinson,bam adebayo,goran dragic,kelly olynyk,gabe vincent,andre iguodala,precious achiuwa,max strus"
2021-01-22,38.63,0,8.0,16.0,0.5,2.0,8.0,0.25,4.0,6.0,0.667,0.0,4.0,4.0,5.0,3.0,0.0,3.0,2.0,22.0,-27.0,0.59,0.563,0.5,0.375,0.0,12.4,6.5,26.9,3.9,0.0,13.9,26.8,105.0,106.0,4.6,"fred vanvleet,og anunoby,pascal siakam,norman powell,chris boucher,terence davis,malachi flynn,stanley johnson,yuta watanabe,deandre' bembry,jalen harris","duncan robinson,bam adebayo,goran dragic,gabe vincent,kelly olynyk,andre iguodala,max strus,precious achiuwa,maurice harkless,kz okpala"
2021-01-23,32.38,0,7.0,14.0,0.5,4.0,9.0,0.444,0.0,0.0,0.0,0.0,5.0,5.0,3.0,1.0,0.0,1.0,4.0,18.0,-4.0,0.643,0.643,0.643,0.0,0.0,19.5,9.5,14.1,1.4,0.0,6.7,20.0,112.0,124.0,0.7,"james harden,kevin durant,joe harris,kyrie irving,deandre jordan,jeff green,bruce brown,timothe luwawu-cabarrot,reggie perry","duncan robinson,bam adebayo,goran dragic,kelly olynyk,maurice harkless,andre iguodala,gabe vincent,precious achiuwa,kz okpala"
