date,mp,home,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opponent,team
2021-01-08,5.47,1,3.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,7.0,3.0,1.167,1.167,0.333,0.0,0.0,17.2,9.6,0.0,9.1,0.0,0.0,25.4,233.0,78.0,33.4,"gary clark,nikola vucevic,cole anthony,jordan bone,khem birch,karim mane,terrence ross,mo bamba","james harden,john wall,p.j. tucker,christian wood,david nwaba,eric gordon,sterling brown,demarcus cousins,jae'sean tate,mason jones,bruno caboclo"
2021-01-10,3.03,1,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.9,0.0,34.4,42.8,0.0,0.0,0.0,39.2,56.0,123.0,-17.9,"dennis schroder,lebron james,anthony davis,kentavious caldwell-pope,kyle kuzma,montrezl harrell,alex caruso,talen horton-tucker,alfonzo mckinnie,markieff morris","james harden,john wall,christian wood,p.j. tucker,david nwaba,eric gordon,jae'sean tate,sterling brown,demarcus cousins,mason jones,bruno caboclo"
2021-01-12,5.27,1,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,15.6,49.0,124.0,-6.4,"lebron james,anthony davis,dennis schroder,kentavious caldwell-pope,kyle kuzma,montrezl harrell,alex caruso,talen horton-tucker,markieff morris,alfonzo mckinnie","james harden,john wall,christian wood,p.j. tucker,david nwaba,jae'sean tate,eric gordon,sterling brown,demarcus cousins,mason jones,bruno caboclo"
2021-01-14,15.68,0,3.0,5.0,0.6,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,5.0,1.0,0.0,1.0,1.0,2.0,6.0,3.0,0.551,0.6,0.0,0.2,7.5,25.0,17.0,9.3,0.0,5.0,15.5,17.5,102.0,104.0,-3.7,"dejounte murray,demar derozan,keldon johnson,lonnie walker iv,patty mills,devin vassell,rudy gay,jakob poeltl","sterling brown,p.j. tucker,christian wood,jae'sean tate,david nwaba,demarcus cousins,mason jones"
2021-01-16,16.53,0,1.0,5.0,0.2,0.0,0.0,0.0,0.0,2.0,0.0,1.0,4.0,5.0,0.0,0.0,1.0,4.0,3.0,2.0,-2.0,0.17,0.2,0.0,0.4,5.5,20.7,13.3,0.0,0.0,3.8,40.5,24.3,25.0,99.0,-24.4,"demar derozan,dejounte murray,keldon johnson,lonnie walker iv,jakob poeltl,patty mills,rudy gay,devin vassell","christian wood,p.j. tucker,mason jones,jae'sean tate,david nwaba"
2021-01-22,2.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,-10.5,"jerami grant,blake griffin,delon wright,mason plumlee,josh jackson,isaiah stewart,derrick rose,saddiq bey,sekou doumbouya,svi mykhailiuk","eric gordon,victor oladipo,p.j. tucker,demarcus cousins,jae'sean tate,sterling brown,david nwaba,mason jones"
2021-01-23,20.25,0,3.0,9.0,0.333,0.0,2.0,0.0,2.0,2.0,1.0,4.0,2.0,6.0,0.0,1.0,3.0,0.0,4.0,8.0,14.0,0.405,0.333,0.222,0.222,24.3,9.7,16.2,0.0,2.4,12.3,0.0,20.8,118.0,100.0,-5.5,"jalen brunson,tim hardaway jr.,luka doncic,josh green,willie cauley-stein,trey burke,wes iwundu,boban marjanovic,james johnson,tyrell terry,tyler bey,nate hinton","eric gordon,demarcus cousins,p.j. tucker,john wall,jae'sean tate,david nwaba,mason jones,sterling brown,brodric thomas"
2021-03-11,32.3,0,6.0,9.0,0.667,1.0,1.0,1.0,0.0,0.0,0.0,5.0,4.0,9.0,0.0,0.0,3.0,2.0,2.0,13.0,-11.0,0.722,0.722,0.111,0.0,13.5,14.2,13.8,0.0,0.0,7.6,18.2,13.7,123.0,117.0,-1.2,"buddy hield,richaun holmes,de'aaron fox,harrison barnes,marvin bagley iii,cory joseph,tyrese haliburton,daquan jeffries,justin james,kyle guy","victor oladipo,sterling brown,jae'sean tate,eric gordon,kevin porter jr.,anthony lamb"
2021-03-12,28.52,0,6.0,15.0,0.4,0.0,4.0,0.0,3.0,5.0,0.6,6.0,4.0,10.0,1.0,3.0,1.0,1.0,1.0,15.0,-4.0,0.436,0.4,0.267,0.333,15.8,18.2,16.7,5.4,4.9,4.1,5.5,24.0,103.0,104.0,4.3,"donovan mitchell,rudy gobert,bojan bogdanovic,mike conley,royce o'neale,joe ingles,jordan clarkson,derrick favors,georges niang,miye oni","kevin porter jr.,sterling brown,jae'sean tate,anthony lamb,david nwaba,mason jones"
2021-03-14,30.97,1,6.0,10.0,0.6,2.0,3.0,0.667,7.0,8.0,0.875,2.0,2.0,4.0,3.0,2.0,1.0,2.0,2.0,21.0,-9.0,0.777,0.7,0.3,0.8,5.6,8.4,6.7,18.1,3.0,2.8,12.9,20.8,142.0,128.0,7.0,"jayson tatum,jaylen brown,kemba walker,tristan thompson,daniel theis,robert williams,marcus smart,payton pritchard,carsen edwards,aaron nesmith,grant williams,javonte green","victor oladipo,kevin porter jr.,sterling brown,jae'sean tate,anthony lamb,david nwaba,mason jones"
