date,mp,home,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opponent,team
2020-12-22,24.93,1,7.0,16.0,0.438,1.0,2.0,0.5,7.0,7.0,1.0,1.0,4.0,5.0,3.0,3.0,1.0,1.0,3.0,22.0,26.0,0.577,0.469,0.125,0.438,4.1,13.5,9.3,20.2,5.2,2.9,5.0,30.7,127.0,83.0,11.1,"andrew wiggins,stephen curry,kelly oubre jr.,james wiseman,eric paschall,jordan poole,juan toscano-anderson,marquese chriss,damion lee,kent bazemore,kevon looney,mychal mulder","kyrie irving,joe harris,spencer dinwiddie,deandre jordan,caris levert,landry shamet,jarrett allen,jeff green,taurean prince,reggie perry,bruce brown,timothe luwawu-cabarrot"
2020-12-25,33.4,0,9.0,16.0,0.563,3.0,4.0,0.75,8.0,9.0,0.889,0.0,4.0,4.0,3.0,2.0,0.0,2.0,3.0,29.0,31.0,0.726,0.656,0.25,0.563,0.0,10.6,6.4,15.4,3.0,0.0,9.1,30.2,141.0,98.0,9.3,"jayson tatum,marcus smart,jaylen brown,daniel theis,tristan thompson,payton pritchard,grant williams,aaron nesmith,javonte green,carsen edwards,tremont waters","kyrie irving,spencer dinwiddie,joe harris,deandre jordan,jarrett allen,landry shamet,caris levert,jeff green,taurean prince,timothe luwawu-cabarrot,bruce brown,reggie perry"
2020-12-27,36.35,0,9.0,15.0,0.6,5.0,7.0,0.714,6.0,9.0,0.667,0.0,3.0,3.0,4.0,0.0,1.0,3.0,3.0,29.0,7.0,0.765,0.767,0.467,0.6,0.0,7.5,4.0,22.9,0.0,2.1,13.7,25.9,129.0,107.0,10.5,"gordon hayward,devonte' graham,p.j. washington,terry rozier,bismack biyombo,miles bridges,lamelo ball,cody martin,caleb martin,jalen mcdaniels","kyrie irving,joe harris,deandre jordan,spencer dinwiddie,caris levert,jarrett allen,landry shamet,jeff green,timothe luwawu-cabarrot,taurean prince"
2020-12-30,34.98,1,11.0,22.0,0.5,2.0,6.0,0.333,9.0,9.0,1.0,1.0,10.0,11.0,9.0,1.0,1.0,4.0,1.0,33.0,1.0,0.636,0.545,0.273,0.409,3.0,28.6,16.1,31.7,1.3,2.6,13.4,34.8,127.0,126.0,7.6,"de'andre hunter,cam reddish,trae young,john collins,clint capela,bogdan bogdanovic,kevin huerter,bruno fernando,danilo gallinari","kyrie irving,joe harris,timothe luwawu-cabarrot,deandre jordan,jarrett allen,caris levert,taurean prince,landry shamet,jeff green"
2021-01-01,37.47,1,10.0,21.0,0.476,2.0,7.0,0.286,6.0,6.0,1.0,1.0,7.0,8.0,4.0,1.0,2.0,5.0,0.0,28.0,-1.0,0.592,0.524,0.333,0.286,2.7,19.9,11.0,23.1,1.3,4.7,17.5,33.0,103.0,115.0,7.5,"trae young,cam reddish,de'andre hunter,clint capela,john collins,bogdan bogdanovic,kevin huerter,brandon goodwin,bruno fernando,nathan knight,skylar mays","kyrie irving,joe harris,timothe luwawu-cabarrot,deandre jordan,caris levert,jarrett allen,landry shamet,taurean prince,jeff green,bruce brown,chris chiozza,reggie perry"
2021-01-03,37.62,1,8.0,15.0,0.533,2.0,7.0,0.286,10.0,12.0,0.833,0.0,11.0,11.0,7.0,0.0,0.0,6.0,1.0,28.0,11.0,0.69,0.6,0.467,0.8,0.0,24.6,14.0,30.0,0.0,0.0,22.8,29.3,115.0,115.0,2.5,"russell westbrook,bradley beal,rui hachimura,thomas bryant,deni avdija,davis bertans,robin lopez,raul neto,jerome robinson,ish smith","kyrie irving,joe harris,timothe luwawu-cabarrot,deandre jordan,caris levert,jarrett allen,landry shamet,jeff green,taurean prince"
2021-01-10,37.67,1,11.0,21.0,0.524,2.0,7.0,0.286,12.0,15.0,0.8,1.0,10.0,11.0,4.0,0.0,1.0,4.0,2.0,36.0,0.0,0.652,0.571,0.333,0.714,3.4,31.9,18.2,17.6,0.0,2.5,12.7,35.8,121.0,123.0,5.2,"shai gilgeous-alexander,darius bazley,george hill,al horford,luguentz dort,hamidou diallo,isaiah roby,theo maledon,aleksej pokusevski,kenrich williams,moses brown","caris levert,jarrett allen,joe harris,jeff green,taurean prince,timothe luwawu-cabarrot,landry shamet,deandre jordan,bruce brown"
2021-01-12,35.88,1,12.0,18.0,0.667,4.0,7.0,0.571,6.0,7.0,0.857,0.0,9.0,9.0,13.0,0.0,0.0,7.0,4.0,34.0,15.0,0.806,0.778,0.389,0.389,0.0,28.7,16.5,54.4,0.0,0.0,24.9,36.3,136.0,122.0,10.6,"will barton,jamal murray,nikola jokic,bol bol,pj dozier,monte morris,jamychal green,facundo campazzo,isaiah hartenstein,r.j. hampton","jarrett allen,joe harris,bruce brown,jeff green,caris levert,timothe luwawu-cabarrot,taurean prince,landry shamet"
2021-01-13,30.35,0,10.0,18.0,0.556,3.0,5.0,0.6,3.0,4.0,0.75,0.0,3.0,3.0,6.0,0.0,2.0,1.0,1.0,26.0,12.0,0.658,0.639,0.278,0.222,0.0,10.3,5.3,33.7,0.0,4.9,4.8,31.4,137.0,120.0,12.9,"julius randle,rj barrett,austin rivers,mitchell robinson,elfrid payton,kevin knox,immanuel quickley,nerlens noel,obi toppin","jeff green,bruce brown,deandre jordan,joe harris,timothe luwawu-cabarrot,chris chiozza,landry shamet,reggie perry"
2021-01-16,40.03,1,16.0,26.0,0.615,5.0,8.0,0.625,5.0,5.0,1.0,0.0,4.0,4.0,5.0,2.0,2.0,6.0,0.0,42.0,10.0,0.745,0.712,0.308,0.192,0.0,10.4,6.1,26.3,2.3,4.9,17.5,38.0,121.0,111.0,8.9,"nikola vucevic,aaron gordon,cole anthony,terrence ross,khem birch,gary clark,jordan bone","james harden,joe harris,jeff green,deandre jordan,timothe luwawu-cabarrot,bruce brown,landry shamet,reggie perry"
2021-01-18,35.7,1,10.0,21.0,0.476,2.0,4.0,0.5,8.0,9.0,0.889,0.0,9.0,9.0,6.0,0.0,2.0,3.0,5.0,30.0,0.0,0.601,0.524,0.19,0.429,0.0,22.8,13.4,24.8,0.0,4.0,10.7,34.1,119.0,115.0,3.5,"giannis antetokounmpo,jrue holiday,khris middleton,brook lopez,donte divincenzo,pat connaughton,bobby portis,bryn forbes","james harden,deandre jordan,jeff green,joe harris,bruce brown,landry shamet,reggie perry,timothe luwawu-cabarrot"
2021-01-20,50.15,0,12.0,25.0,0.48,3.0,9.0,0.333,11.0,13.0,0.846,1.0,11.0,12.0,8.0,1.0,4.0,2.0,2.0,38.0,2.0,0.618,0.54,0.36,0.52,2.3,24.9,13.6,27.1,1.0,6.7,6.1,28.3,132.0,121.0,10.4,"cedi osman,larry nance jr.,isaac okoro,collin sexton,andre drummond,taurean prince,jarrett allen","james harden,kyrie irving,jeff green,deandre jordan,joe harris,timothe luwawu-cabarrot,reggie perry,bruce brown"
2021-01-23,36.93,1,11.0,19.0,0.579,4.0,7.0,0.571,5.0,6.0,0.833,1.0,3.0,4.0,4.0,0.0,2.0,4.0,4.0,31.0,6.0,0.716,0.684,0.368,0.316,3.4,9.7,6.7,17.5,0.0,6.0,15.6,30.2,123.0,117.0,3.7,"duncan robinson,bam adebayo,goran dragic,kelly olynyk,maurice harkless,kendrick nunn,andre iguodala,gabe vincent,precious achiuwa,kz okpala","james harden,joe harris,kyrie irving,deandre jordan,jeff green,bruce brown,timothe luwawu-cabarrot,reggie perry"
2021-01-25,37.77,1,6.0,21.0,0.286,3.0,12.0,0.25,5.0,6.0,0.833,0.0,13.0,13.0,5.0,1.0,2.0,1.0,1.0,20.0,11.0,0.423,0.357,0.571,0.286,0.0,32.4,17.6,24.1,1.4,6.2,4.1,30.8,90.0,84.0,6.2,"duncan robinson,bam adebayo,goran dragic,kz okpala,kelly olynyk,kendrick nunn,andre iguodala,gabe vincent,precious achiuwa,max strus","kyrie irving,joe harris,james harden,deandre jordan,jeff green,bruce brown,timothe luwawu-cabarrot,reggie perry"
2021-01-27,42.13,0,13.0,26.0,0.5,3.0,7.0,0.429,3.0,4.0,0.75,1.0,4.0,5.0,2.0,0.0,2.0,1.0,2.0,32.0,-2.0,0.576,0.558,0.269,0.154,3.5,13.6,8.6,7.1,0.0,4.1,3.5,31.2,122.0,134.0,1.6,"de'andre hunter,trae young,john collins,kevin huerter,clint capela,cam reddish,danilo gallinari,brandon goodwin","james harden,kyrie irving,joe harris,deandre jordan,jeff green,bruce brown,timothe luwawu-cabarrot,reggie perry"
2021-01-31,37.57,0,11.0,19.0,0.579,2.0,4.0,0.5,13.0,13.0,1.0,0.0,7.0,7.0,6.0,2.0,1.0,5.0,4.0,37.0,6.0,0.748,0.632,0.211,0.684,0.0,18.3,10.6,21.3,2.3,1.9,16.8,31.8,133.0,128.0,3.3,"bradley beal,russell westbrook,rui hachimura,robin lopez,deni avdija,davis bertans,garrison mathews,ish smith,moritz wagner,alex len","kyrie irving,bruce brown,joe harris,deandre jordan,jeff green,landry shamet,timothe luwawu-cabarrot,reggie perry"
2021-02-02,38.17,1,11.0,13.0,0.846,1.0,1.0,1.0,5.0,5.0,1.0,0.0,9.0,9.0,0.0,0.0,1.0,5.0,3.0,28.0,-8.0,0.921,0.885,0.077,0.385,0.0,23.1,13.6,0.0,0.0,2.0,24.8,23.9,127.0,120.0,2.0,"kawhi leonard,nicolas batum,paul george,reggie jackson,serge ibaka,marcus morris,ivica zubac,luke kennard","james harden,kyrie irving,joe harris,jeff green,deandre jordan,bruce brown,timothe luwawu-cabarrot,landry shamet"
2021-02-05,19.1,1,3.0,8.0,0.375,1.0,3.0,0.333,1.0,2.0,0.5,0.0,6.0,6.0,5.0,1.0,1.0,3.0,4.0,8.0,10.0,0.45,0.438,0.375,0.25,0.0,34.3,18.6,39.9,2.5,3.9,25.3,27.0,89.0,114.0,-1.8,"pascal siakam,fred vanvleet,kyle lowry,norman powell,chris boucher,deandre' bembry,stanley johnson,yuta watanabe","james harden,joe harris,kyrie irving,bruce brown,deandre jordan,jeff green,landry shamet,timothe luwawu-cabarrot"
2021-02-13,33.27,0,8.0,19.0,0.421,1.0,6.0,0.167,3.0,4.0,0.75,0.0,5.0,5.0,6.0,0.0,2.0,4.0,0.0,20.0,22.0,0.482,0.447,0.316,0.211,0.0,17.2,8.8,22.5,0.0,5.2,16.2,31.1,93.0,111.0,-4.9,"stephen curry,andrew wiggins,draymond green,kelly oubre jr.,juan toscano-anderson,damion lee,eric paschall,kent bazemore,mychal mulder","james harden,kyrie irving,joe harris,bruce brown,jeff green,timothe luwawu-cabarrot,landry shamet,noah vonleh"
2021-04-07,18.93,1,5.0,5.0,1.0,2.0,2.0,1.0,5.0,5.0,1.0,1.0,6.0,7.0,5.0,0.0,1.0,6.0,1.0,17.0,22.0,1.181,1.2,0.4,1.0,7.7,29.3,20.9,33.1,0.0,4.1,45.5,28.2,126.0,105.0,12.7,"lonzo ball,james johnson,zion williamson,steven adams,jaxson hayes,wes iwundu,naji marshall,willy hernangomez,wenyen gabriel","kyrie irving,bruce brown,joe harris,jeff green,timothe luwawu-cabarrot,alize johnson,chris chiozza,nic claxton,blake griffin,reggie perry"
2021-04-10,23.83,1,8.0,17.0,0.471,1.0,4.0,0.25,5.0,5.0,1.0,1.0,6.0,7.0,5.0,0.0,1.0,8.0,0.0,22.0,-13.0,0.573,0.5,0.235,0.294,4.6,26.9,15.8,53.3,0.0,3.4,29.4,48.8,87.0,124.0,-0.9,"talen horton-tucker,kentavious caldwell-pope,markieff morris,andre drummond,dennis schroder,alfonzo mckinnie,alex caruso,montrezl harrell,kostas antetokounmpo,devontae cacok","joe harris,jeff green,kyrie irving,bruce brown,landry shamet,blake griffin,chris chiozza,nic claxton,timothe luwawu-cabarrot,alize johnson,reggie perry"
2021-04-13,27.17,0,11.0,15.0,0.733,4.0,6.0,0.667,5.0,6.0,0.833,0.0,4.0,4.0,4.0,0.0,0.0,4.0,1.0,31.0,32.0,0.879,0.867,0.4,0.4,0.0,12.4,7.0,26.6,0.0,0.0,18.5,32.0,136.0,99.0,14.7,"anthony edwards,jaden mcdaniels,ricky rubio,josh okogie,naz reid,jordan mclaughlin,jarred vanderbilt,d'angelo russell,jaylen nowell,jarrett culver,juancho hernangomez,jake layman","joe harris,nic claxton,jeff green,chris chiozza,landry shamet,blake griffin,timothe luwawu-cabarrot,bruce brown,deandre jordan,alize johnson,reggie perry"
2021-04-16,30.28,1,8.0,12.0,0.667,3.0,5.0,0.6,6.0,6.0,1.0,0.0,3.0,3.0,11.0,0.0,1.0,4.0,3.0,25.0,-5.0,0.854,0.792,0.417,0.5,0.0,12.5,6.4,50.8,0.0,3.2,21.5,26.8,150.0,118.0,11.2,"terry rozier,miles bridges,cody martin,vernon carey jr.,jalen mcdaniels,caleb martin,bismack biyombo,grant riller,nick richards","kyrie irving,joe harris,jeff green,deandre jordan,nic claxton,landry shamet,bruce brown,blake griffin,timothe luwawu-cabarrot,alize johnson,reggie perry"
2021-04-18,4.05,0,3.0,3.0,1.0,2.0,2.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,8.0,-3.0,1.031,1.333,0.667,0.667,0.0,25.8,13.0,0.0,0.0,24.7,0.0,45.6,146.0,107.0,61.8,"trevor ariza,duncan robinson,bam adebayo,kendrick nunn,andre iguodala,goran dragic,tyler herro,dewayne dedmon,kz okpala","kyrie irving,joe harris,bruce brown,blake griffin,landry shamet,nic claxton,jeff green,timothe luwawu-cabarrot,alize johnson"
2021-04-25,28.23,1,12.0,21.0,0.571,2.0,3.0,0.667,7.0,8.0,0.875,0.0,6.0,6.0,4.0,2.0,1.0,1.0,1.0,33.0,11.0,0.673,0.619,0.143,0.381,0.0,21.3,11.7,26.6,3.5,3.0,3.9,39.8,138.0,115.0,16.3,"devin booker,mikal bridges,cameron johnson,chris paul,deandre ayton,torrey craig,cameron payne,frank kaminsky,jevon carter,jalen smith","kyrie irving,jeff green,joe harris,landry shamet,deandre jordan,blake griffin,bruce brown"
2021-04-27,32.62,0,5.0,7.0,0.714,3.0,5.0,0.6,4.0,4.0,1.0,0.0,10.0,10.0,4.0,2.0,2.0,3.0,1.0,17.0,15.0,0.97,0.929,0.714,0.571,0.0,30.0,16.7,18.0,3.2,6.1,25.5,17.1,140.0,99.0,11.4,"fred vanvleet,kyle lowry,pascal siakam,khem birch,og anunoby,malachi flynn,yuta watanabe,stanley johnson,deandre' bembry","jeff green,kyrie irving,landry shamet,joe harris,blake griffin"
2021-04-29,36.35,0,16.0,24.0,0.667,2.0,4.0,0.5,8.0,8.0,1.0,0.0,3.0,3.0,10.0,1.0,0.0,2.0,3.0,42.0,14.0,0.763,0.708,0.167,0.333,0.0,8.1,4.5,51.0,1.3,0.0,6.8,34.1,150.0,109.0,16.5,"caris levert,oshae brissett,edmond sumner,malcolm brogdon,doug mcdermott,aaron holiday,justin holiday,t.j. mcconnell,kelan martin,cassius stanley","jeff green,landry shamet,joe harris,alize johnson,timothe luwawu-cabarrot,blake griffin,reggie perry"
2021-05-02,39.87,0,16.0,33.0,0.485,7.0,13.0,0.538,3.0,4.0,0.75,2.0,8.0,10.0,2.0,1.0,0.0,5.0,3.0,42.0,-8.0,0.604,0.591,0.394,0.121,4.7,20.5,12.3,11.1,1.2,0.0,12.6,40.1,112.0,112.0,8.6,"jrue holiday,khris middleton,giannis antetokounmpo,donte divincenzo,brook lopez,pat connaughton,p.j. tucker,bryn forbes","kyrie irving,joe harris,jeff green,deandre jordan,landry shamet,blake griffin,bruce brown,alize johnson"
2021-05-04,40.2,0,11.0,22.0,0.5,4.0,8.0,0.5,6.0,7.0,0.857,0.0,9.0,9.0,6.0,1.0,2.0,3.0,4.0,32.0,1.0,0.638,0.591,0.364,0.318,0.0,22.4,11.4,25.7,1.2,3.9,10.7,30.9,122.0,117.0,7.6,"giannis antetokounmpo,khris middleton,jrue holiday,donte divincenzo,brook lopez,bryn forbes,p.j. tucker,bobby portis,pat connaughton,thanasis antetokounmpo","kyrie irving,jeff green,joe harris,deandre jordan,blake griffin,landry shamet,bruce brown,nic claxton"
