date,mp,home,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opponent,team
2022-10-21,0.62,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,100.0,86.5,0.0,0.0,0.0,0.0,0.0,0.0,73.0,4.7,"dejounte murray,trae young,john collins,de'andre hunter,clint capela,justin holiday,onyeka okongwu,aaron holiday,jalen johnson","franz wagner,terrence ross,paolo banchero,wendell carter jr.,jalen suggs,cole anthony,r.j. hampton,mo bamba,chuma okeke,bol bol"
2022-10-22,18.75,1,1.0,4.0,0.25,0.0,1.0,0.0,1.0,2.0,0.5,0.0,3.0,3.0,1.0,1.0,0.0,1.0,2.0,3.0,2.0,0.307,0.25,0.25,0.5,0.0,17.9,9.0,6.0,2.6,0.0,17.0,13.2,66.0,127.0,-10.9,"jayson tatum,jaylen brown,derrick white,marcus smart,noah vonleh,grant williams,malcolm brogdon,blake griffin,sam hauser,luke kornet,payton pritchard","terrence ross,wendell carter jr.,franz wagner,paolo banchero,cole anthony,chuma okeke,bol bol,mo bamba,r.j. hampton"
2022-10-26,22.23,0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,0.0,2.0,3.0,0.0,-4.0,0.0,0.0,0.333,0.0,0.0,14.4,7.5,0.0,2.3,0.0,40.0,10.2,0.0,108.0,-14.2,"donovan mitchell,evan mobley,caris levert,dean wade,jarrett allen,cedi osman,kevin love,raul neto,isaac okoro","paolo banchero,franz wagner,wendell carter jr.,cole anthony,terrence ross,bol bol,caleb houstan,mo bamba,chuma okeke"
2022-10-28,5.52,1,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,-9.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,52.3,0.0,0.0,33.3,24.1,90.0,104.0,-2.3,"dennis smith jr.,gordon hayward,p.j. washington,kelly oubre jr.,mason plumlee,james bouknight,jalen mcdaniels,theo maledon,nick richards,jt thor,mark williams,kai jones,bryce mcgowens","paolo banchero,bol bol,wendell carter jr.,terrence ross,franz wagner,chuma okeke,r.j. hampton,caleb houstan,mo bamba,admiral schofield"
2022-10-30,17.07,0,3.0,4.0,0.75,2.0,3.0,0.667,4.0,5.0,0.8,1.0,2.0,3.0,1.0,0.0,0.0,2.0,3.0,12.0,-9.0,0.968,1.0,0.75,1.25,6.5,13.7,10.0,9.8,0.0,0.0,24.4,22.0,143.0,126.0,5.7,"luka doncic,spencer dinwiddie,dorian finney-smith,reggie bullock,javale mcgee,tim hardaway jr.,maxi kleber,christian wood,josh green,dwight powell","franz wagner,wendell carter jr.,paolo banchero,bol bol,terrence ross,chuma okeke,r.j. hampton,mo bamba,admiral schofield"
2022-11-01,6.23,0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-13.0,0.0,0.0,0.0,0.0,0.0,17.1,9.1,0.0,0.0,0.0,0.0,12.9,0.0,114.0,-20.3,"shai gilgeous-alexander,luguentz dort,josh giddey,jeremiah robinson-earl,jalen williams,aleksej pokusevski,tre mann,darius bazley,ousmane dieng,aaron wiggins,isaiah joe","paolo banchero,franz wagner,wendell carter jr.,bol bol,terrence ross,jalen suggs,r.j. hampton,caleb houstan,mo bamba,chuma okeke"
2022-11-03,20.83,1,4.0,7.0,0.571,2.0,3.0,0.667,2.0,3.0,0.667,4.0,1.0,5.0,0.0,1.0,0.0,1.0,2.0,12.0,12.0,0.721,0.714,0.429,0.429,24.9,5.2,14.2,0.0,2.2,0.0,10.7,18.3,145.0,125.0,3.0,"stephen curry,klay thompson,andrew wiggins,draymond green,kevon looney,jordan poole,jamychal green,ty jerome,moses moody,james wiseman","franz wagner,jalen suggs,paolo banchero,wendell carter jr.,bol bol,chuma okeke,r.j. hampton,mo bamba,caleb houstan"
2022-11-05,16.07,1,1.0,4.0,0.25,0.0,2.0,0.0,2.0,2.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0,-13.0,0.41,0.25,0.5,0.5,8.9,14.0,11.8,0.0,0.0,0.0,0.0,13.7,102.0,119.0,-8.3,"de'aaron fox,domantas sabonis,harrison barnes,kevin huerter,keegan murray,trey lyles,malik monk,davion mitchell,chimezie metu,terence davis,richaun holmes","franz wagner,paolo banchero,wendell carter jr.,bol bol,jalen suggs,chuma okeke,r.j. hampton,terrence ross,admiral schofield"
2022-11-07,15.13,1,0.0,5.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,0.0,2.0,1.0,1.0,0.0,1.0,4.0,2.0,-6.0,0.17,0.0,0.0,0.4,17.1,0.0,8.2,7.0,3.1,0.0,14.5,19.0,67.0,132.0,-19.8,"kevin porter jr.,jalen green,eric gordon,alperen sengun,jabari smith jr.,kenyon martin jr.,tari eason,usman garuba,daishen nix,garrison mathews","paolo banchero,jalen suggs,franz wagner,wendell carter jr.,bol bol,terrence ross,mo bamba,chuma okeke,caleb houstan"
2022-11-14,11.08,1,1.0,2.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,0.75,0.75,0.5,0.0,19.2,10.8,15.3,0.0,0.0,0.0,0.0,7.2,188.0,125.0,1.8,"p.j. washington,terry rozier,kelly oubre jr.,lamelo ball,mason plumlee,jalen mcdaniels,theo maledon,nick richards,james bouknight,kai jones","franz wagner,chuma okeke,wendell carter jr.,bol bol,jalen suggs,terrence ross,mo bamba,caleb houstan,r.j. hampton"
2022-11-16,6.18,1,2.0,2.0,1.0,0.0,0.0,0.0,5.0,5.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,1.071,1.0,0.0,2.5,17.6,0.0,8.9,29.3,0.0,0.0,0.0,28.0,228.0,132.0,34.9,"anthony edwards,karl-anthony towns,jaden mcdaniels,d'angelo russell,rudy gobert,kyle anderson,jordan mclaughlin,taurean prince,jaylen nowell,a.j. lawson,nathan knight,naz reid","franz wagner,bol bol,jalen suggs,chuma okeke,mo bamba,terrence ross,caleb houstan,admiral schofield,r.j. hampton"
2022-11-19,3.73,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,61.2,31.0,0.0,0.0,0.0,0.0,11.5,0.0,108.0,-15.6,"myles turner,tyrese haliburton,buddy hield,jalen smith,andrew nembhard,bennedict mathurin,aaron nesmith,oshae brissett,t.j. mcconnell,isaiah jackson,terry taylor","bol bol,jalen suggs,mo bamba,franz wagner,chuma okeke,r.j. hampton,terrence ross,caleb houstan,admiral schofield"
2022-11-21,13.87,0,1.0,4.0,0.25,0.0,1.0,0.0,0.0,0.0,0.0,4.0,2.0,6.0,1.0,1.0,1.0,2.0,1.0,2.0,-2.0,0.25,0.25,0.25,0.0,28.8,18.2,24.2,10.6,3.4,8.7,33.3,18.4,74.0,114.0,-4.6,"aaron nesmith,tyrese haliburton,myles turner,buddy hield,jalen smith,t.j. mcconnell,oshae brissett,bennedict mathurin,isaiah jackson,terry taylor,goga bitadze","mo bamba,franz wagner,bol bol,jalen suggs,chuma okeke,gary harris,terrence ross,admiral schofield,r.j. hampton,caleb houstan"
2022-11-28,15.53,0,1.0,5.0,0.2,0.0,2.0,0.0,2.0,3.0,0.667,1.0,1.0,2.0,0.0,1.0,0.0,2.0,2.0,4.0,-6.0,0.316,0.2,0.4,0.6,7.2,9.1,8.0,0.0,3.2,0.0,24.0,23.9,59.0,114.0,-16.2,"kevin durant,kyrie irving,nic claxton,royce o'neale,ben simmons,joe harris,seth curry,cam thomas,edmond sumner","bol bol,paolo banchero,gary harris,caleb houstan,franz wagner,r.j. hampton,admiral schofield,moritz wagner"
2022-11-30,13.22,1,4.0,4.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,9.0,-1.0,1.014,1.0,0.0,0.25,8.9,0.0,4.4,0.0,3.7,0.0,31.1,21.7,122.0,125.0,2.2,"dejounte murray,trae young,clint capela,john collins,de'andre hunter,jarrett culver,aj griffin,vit krejci,onyeka okongwu,trent forrest,frank kaminsky,aaron holiday","paolo banchero,franz wagner,bol bol,markelle fultz,gary harris,moritz wagner,cole anthony,terrence ross,caleb houstan,admiral schofield,r.j. hampton"
2022-12-02,6.68,0,1.0,2.0,0.5,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,-6.0,0.615,0.5,0.5,0.5,0.0,21.1,9.8,0.0,0.0,0.0,0.0,17.0,135.0,121.0,-0.9,"evan mobley,donovan mitchell,darius garland,lamar stevens,dean wade,caris levert,kevin love,isaac okoro,cedi osman,mamadi diakite,robin lopez","franz wagner,paolo banchero,moritz wagner,markelle fultz,bol bol,cole anthony,terrence ross,caleb houstan"
2022-12-03,20.97,0,2.0,4.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,3.0,2.0,0.0,0.0,0.0,1.0,5.0,5.0,0.625,0.625,0.25,0.0,6.4,12.7,9.5,13.7,0.0,0.0,0.0,8.8,143.0,129.0,-0.6,"fred vanvleet,og anunoby,scottie barnes,pascal siakam,christian koloko,gary trent jr.,chris boucher,thaddeus young,dalano banton,malachi flynn,khem birch,juancho hernangomez","bol bol,paolo banchero,franz wagner,moritz wagner,markelle fultz,terrence ross,caleb houstan,cole anthony,admiral schofield,r.j. hampton"
2022-12-07,9.62,1,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,0.532,0.0,0.0,2.0,10.6,0.0,5.2,13.8,5.4,0.0,0.0,8.6,154.0,108.0,5.7,"nicolas batum,ivica zubac,paul george,reggie jackson,kawhi leonard,terance mann,robert covington,amir coffey,moses brown","paolo banchero,franz wagner,moritz wagner,bol bol,markelle fultz,cole anthony,mo bamba,admiral schofield,caleb houstan,terrence ross"
2022-12-09,7.4,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,27.6,17.1,0.0,0.0,0.0,0.0,6.6,0.0,114.0,-8.4,"og anunoby,pascal siakam,fred vanvleet,scottie barnes,christian koloko,gary trent jr.,chris boucher,thaddeus young,khem birch","paolo banchero,franz wagner,moritz wagner,bol bol,markelle fultz,cole anthony,terrence ross,mo bamba,admiral schofield"
2022-12-11,16.0,1,2.0,7.0,0.286,2.0,4.0,0.5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,6.0,7.0,0.429,0.429,0.571,0.0,9.4,0.0,4.3,0.0,0.0,0.0,12.5,22.9,88.0,119.0,-9.9,"gary trent jr.,fred vanvleet,scottie barnes,pascal siakam,christian koloko,chris boucher,khem birch,thaddeus young,dalano banton","paolo banchero,franz wagner,markelle fultz,bol bol,moritz wagner,cole anthony,mo bamba,terrence ross,admiral schofield"
2022-12-14,3.87,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,-13.0,"trae young,de'andre hunter,aj griffin,clint capela,jalen johnson,bogdan bogdanovic,onyeka okongwu,justin holiday,trent forrest,jarrett culver","franz wagner,paolo banchero,markelle fultz,moritz wagner,bol bol,terrence ross,cole anthony,mo bamba,admiral schofield"
2022-12-16,5.3,0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,5.0,-1.0,1.25,1.25,0.5,0.0,0.0,18.9,10.0,0.0,9.0,0.0,0.0,15.1,250.0,90.0,32.5,"jayson tatum,jaylen brown,marcus smart,derrick white,al horford,malcolm brogdon,grant williams,robert williams,sam hauser,luke kornet,blake griffin","paolo banchero,franz wagner,markelle fultz,moritz wagner,bol bol,cole anthony,terrence ross,mo bamba,admiral schofield"
2022-12-18,18.55,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,12.0,0.0,0.0,1.0,0.0,5.3,5.1,5.2,0.0,0.0,0.0,0.0,2.4,62.0,102.0,-8.8,"jaylen brown,al horford,grant williams,marcus smart,derrick white,malcolm brogdon,robert williams,sam hauser,luke kornet,payton pritchard","paolo banchero,franz wagner,markelle fultz,moritz wagner,bol bol,cole anthony,terrence ross,mo bamba,admiral schofield"
2022-12-19,8.62,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,121.0,-10.4,"dejounte murray,trae young,de'andre hunter,bogdan bogdanovic,john collins,onyeka okongwu,aj griffin,jalen johnson,aaron holiday","paolo banchero,franz wagner,markelle fultz,moritz wagner,bol bol,terrence ross,cole anthony,mo bamba,admiral schofield"
2022-12-21,15.98,0,2.0,3.0,0.667,2.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,1.0,1.0,0.0,6.0,3.0,1.0,1.0,0.667,0.0,0.0,14.0,6.4,8.6,5.9,6.7,25.0,10.3,139.0,98.0,12.6,"kevin porter jr.,jalen green,eric gordon,alperen sengun,jabari smith jr.,kenyon martin jr.,tari eason,usman garuba,daishen nix,bruno fernando","paolo banchero,franz wagner,markelle fultz,moritz wagner,bol bol,cole anthony,mo bamba,terrence ross,admiral schofield"
2022-12-30,29.22,1,4.0,6.0,0.667,0.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,1.0,1.0,0.0,0.0,2.0,8.0,9.0,0.621,0.667,0.333,0.167,2.9,10.6,5.6,4.6,1.5,0.0,0.0,9.0,126.0,112.0,-2.6,"corey kispert,kristaps porzingis,kyle kuzma,monte morris,daniel gafford,rui hachimura,deni avdija,delon wright,will barton,anthony gill,jordan goodwin","paolo banchero,franz wagner,bol bol,markelle fultz,terrence ross,caleb houstan,admiral schofield"
