date,mp,home,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opponent,team
2020-12-23,14.45,1,2.0,4.0,0.5,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,3.0,6.0,6.0,0.615,0.5,0.0,0.5,7.1,9.0,7.9,0.0,3.2,0.0,0.0,13.7,138.0,103.0,-1.8,"jimmy butler,bam adebayo,tyler herro,duncan robinson,maurice harkless,goran dragic,kelly olynyk,andre iguodala,precious achiuwa,kendrick nunn","nikola vucevic,evan fournier,markelle fultz,aaron gordon,terrence ross,chuma okeke,cole anthony,michael carter-williams"
2020-12-26,16.92,0,4.0,6.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,3.0,8.0,5.0,0.667,0.667,0.0,0.0,0.0,28.4,14.6,7.7,0.0,0.0,0.0,14.1,138.0,109.0,-0.6,"bradley beal,russell westbrook,thomas bryant,deni avdija,ish smith,davis bertans,jerome robinson,robin lopez,troy brown jr.,raul neto","nikola vucevic,markelle fultz,aaron gordon,evan fournier,terrence ross,michael carter-williams,chuma okeke,cole anthony"
2020-12-27,19.93,0,1.0,6.0,0.167,0.0,0.0,0.0,4.0,4.0,1.0,2.0,5.0,7.0,2.0,0.0,1.0,0.0,1.0,6.0,18.0,0.387,0.167,0.0,0.667,10.7,25.6,18.3,13.9,0.0,3.7,0.0,16.7,113.0,111.0,-2.6,"bradley beal,deni avdija,thomas bryant,raul neto,troy brown jr.,davis bertans,ish smith,robin lopez,jerome robinson","markelle fultz,nikola vucevic,evan fournier,aaron gordon,terrence ross,michael carter-williams,cole anthony,chuma okeke,gary clark"
2020-12-29,13.58,0,3.0,4.0,0.75,0.0,0.0,0.0,1.0,2.0,0.5,1.0,1.0,2.0,0.0,2.0,0.0,2.0,4.0,7.0,0.0,0.717,0.75,0.0,0.5,7.2,8.0,7.6,0.0,6.9,0.0,29.1,21.3,99.0,95.0,-4.3,"shai gilgeous-alexander,justin jackson,luguentz dort,darius bazley,isaiah roby,hamidou diallo,theo maledon,mike muscala,aleksej pokusevski,kenrich williams,josh hall","nikola vucevic,evan fournier,markelle fultz,aaron gordon,terrence ross,michael carter-williams,chuma okeke,cole anthony"
2020-12-31,24.22,1,2.0,7.0,0.286,0.0,0.0,0.0,2.0,2.0,1.0,4.0,3.0,7.0,1.0,1.0,1.0,2.0,2.0,6.0,5.0,0.381,0.286,0.0,0.286,13.9,13.2,13.6,6.8,1.9,3.4,20.2,17.0,83.0,108.0,-5.3,"joel embiid,tobias harris,seth curry,ben simmons,danny green,shake milton,tyrese maxey,matisse thybulle,isaiah joe,dakota mathias","markelle fultz,nikola vucevic,aaron gordon,evan fournier,cole anthony,michael carter-williams,karim mane,chuma okeke,gary clark,jordan bone"
2021-01-02,15.23,1,2.0,4.0,0.5,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,5.0,-3.0,0.563,0.5,0.0,0.25,10.3,0.0,5.9,0.0,3.2,7.0,0.0,11.7,132.0,103.0,0.5,"shai gilgeous-alexander,darius bazley,luguentz dort,al horford,george hill,mike muscala,theo maledon,hamidou diallo,kenrich williams,aleksej pokusevski","nikola vucevic,markelle fultz,michael carter-williams,aaron gordon,terrence ross,gary clark,cole anthony"
2021-01-04,22.88,1,5.0,7.0,0.714,0.0,0.0,0.0,2.0,2.0,1.0,6.0,6.0,12.0,1.0,1.0,1.0,1.0,4.0,12.0,6.0,0.761,0.714,0.0,0.286,28.6,28.0,28.3,7.6,2.3,3.7,11.3,16.5,156.0,85.0,8.4,"collin sexton,larry nance jr.,andre drummond,cedi osman,lamar stevens,dean wade,javale mcgee,marques bolden","nikola vucevic,markelle fultz,aaron gordon,michael carter-williams,terrence ross,cole anthony,gary clark,mo bamba,jordan bone,karim mane"
2021-01-06,24.92,1,3.0,4.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,10.0,2.0,1.0,0.0,1.0,3.0,6.0,18.0,0.75,0.75,0.0,0.0,19.3,24.1,21.9,11.3,2.1,0.0,20.0,9.3,149.0,96.0,3.3,"collin sexton,cedi osman,larry nance jr.,isaac okoro,andre drummond,lamar stevens,javale mcgee,dean wade,marques bolden","nikola vucevic,gary clark,aaron gordon,markelle fultz,cole anthony,terrence ross,jordan bone,karim mane,mo bamba"
2021-01-08,22.97,0,4.0,7.0,0.571,1.0,1.0,1.0,2.0,2.0,1.0,2.0,3.0,5.0,2.0,0.0,0.0,0.0,1.0,11.0,-34.0,0.698,0.643,0.143,0.286,8.2,15.7,11.5,16.3,0.0,0.0,0.0,15.2,152.0,140.0,2.4,"james harden,john wall,p.j. tucker,christian wood,david nwaba,eric gordon,sterling brown,demarcus cousins,jae'sean tate,mason jones,kenyon martin jr.,bruno caboclo","gary clark,nikola vucevic,cole anthony,jordan bone,karim mane,terrence ross,mo bamba"
2021-01-09,23.85,0,4.0,4.0,1.0,0.0,0.0,0.0,4.0,5.0,0.8,3.0,5.0,8.0,0.0,3.0,0.0,0.0,1.0,12.0,-9.0,0.968,1.0,0.0,1.25,12.6,25.8,18.5,0.0,6.3,0.0,0.0,11.6,202.0,106.0,11.7,"tim hardaway jr.,luka doncic,maxi kleber,willie cauley-stein,josh green,wes iwundu,james johnson,trey burke,dwight powell,boban marjanovic","aaron gordon,nikola vucevic,cole anthony,terrence ross,gary clark,jordan bone"
2021-01-11,18.55,1,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,-20.0,0.333,0.333,0.0,0.0,11.0,6.5,8.9,7.1,0.0,0.0,0.0,6.8,113.0,129.0,-6.7,"khris middleton,jrue holiday,brook lopez,giannis antetokounmpo,donte divincenzo,bobby portis,pat connaughton,bryn forbes,thanasis antetokounmpo,d.j. wilson,sam merrill,jordan nwora","aaron gordon,nikola vucevic,cole anthony,jordan bone,terrence ross,gary clark,mo bamba,karim mane"
2021-01-15,32.85,0,5.0,8.0,0.625,0.0,1.0,0.0,2.0,2.0,1.0,7.0,5.0,12.0,2.0,1.0,0.0,1.0,1.0,12.0,-21.0,0.676,0.625,0.125,0.25,18.9,19.7,19.3,9.5,1.5,0.0,10.1,12.6,145.0,126.0,2.5,"marcus smart,jaylen brown,grant williams,tristan thompson,payton pritchard,javonte green,daniel theis,aaron nesmith,tremont waters","aaron gordon,cole anthony,nikola vucevic,jordan bone,gary clark,terrence ross,karim mane"
2021-01-16,24.67,0,3.0,9.0,0.333,0.0,2.0,0.0,3.0,4.0,0.75,1.0,3.0,4.0,2.0,0.0,1.0,0.0,2.0,9.0,-10.0,0.418,0.333,0.222,0.444,4.2,17.7,9.9,10.2,0.0,4.5,0.0,18.4,102.0,123.0,-7.6,"kevin durant,james harden,joe harris,jeff green,deandre jordan,timothe luwawu-cabarrot,bruce brown,landry shamet,reggie perry","nikola vucevic,aaron gordon,cole anthony,terrence ross,gary clark,jordan bone"
2021-01-18,24.77,0,1.0,4.0,0.25,0.0,0.0,0.0,3.0,4.0,0.75,1.0,6.0,7.0,1.0,2.0,0.0,0.0,2.0,5.0,-23.0,0.434,0.25,0.0,1.0,3.9,21.5,13.0,7.2,4.2,0.0,0.0,10.7,108.0,91.0,-0.1,"julius randle,rj barrett,mitchell robinson,elfrid payton,reggie bullock,austin rivers,immanuel quickley,nerlens noel,kevin knox,obi toppin","nikola vucevic,aaron gordon,cole anthony,terrence ross,gary clark,jordan bone"
2021-01-20,25.82,0,0.0,5.0,0.0,0.0,1.0,0.0,2.0,4.0,0.5,4.0,2.0,6.0,1.0,1.0,1.0,1.0,1.0,2.0,-12.0,0.148,0.0,0.2,0.8,15.5,8.6,12.3,5.2,2.0,3.7,12.9,12.9,63.0,102.0,-10.2,"malik beasley,d'angelo russell,naz reid,josh okogie,jarred vanderbilt,jaden mcdaniels,anthony edwards,jordan mclaughlin,jarrett culver","nikola vucevic,aaron gordon,evan fournier,cole anthony,terrence ross,gary clark"
2021-01-22,27.28,0,1.0,6.0,0.167,0.0,1.0,0.0,3.0,4.0,0.75,1.0,4.0,5.0,2.0,1.0,0.0,0.0,0.0,5.0,-3.0,0.322,0.167,0.167,0.667,4.0,17.7,10.4,9.5,1.9,0.0,0.0,12.7,96.0,117.0,-5.6,"domantas sabonis,myles turner,malcolm brogdon,doug mcdermott,justin holiday,t.j. mcconnell,jeremy lamb,aaron holiday,edmond sumner,goga bitadze","nikola vucevic,aaron gordon,cole anthony,evan fournier,terrence ross,gary clark"
2021-01-24,19.07,1,2.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,0.5,3.0,4.0,7.0,1.0,0.0,2.0,1.0,1.0,5.0,-6.0,0.868,1.0,0.0,1.0,16.8,24.6,20.5,7.4,0.0,9.7,25.8,9.1,146.0,107.0,4.0,"terry rozier,gordon hayward,devonte' graham,p.j. washington,bismack biyombo,lamelo ball,miles bridges,cody zeller,caleb martin","gary clark,nikola vucevic,evan fournier,cole anthony,terrence ross,jordan bone"
2021-01-25,25.82,1,3.0,4.0,0.75,0.0,0.0,0.0,2.0,2.0,1.0,5.0,3.0,8.0,3.0,1.0,0.0,1.0,1.0,8.0,4.0,0.82,0.75,0.0,0.5,23.2,11.2,16.5,15.3,1.8,0.0,17.0,9.7,169.0,109.0,4.5,"gordon hayward,devonte' graham,terry rozier,bismack biyombo,p.j. washington,miles bridges,lamelo ball,cody zeller,caleb martin","nikola vucevic,aaron gordon,evan fournier,cole anthony,terrence ross,gary clark"
2021-01-27,25.92,1,4.0,6.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,14.0,3.0,0.0,1.0,2.0,4.0,8.0,11.0,0.667,0.667,0.0,0.0,37.0,15.8,26.7,17.0,0.0,3.1,25.0,12.6,137.0,125.0,0.2,"de'aaron fox,harrison barnes,buddy hield,richaun holmes,marvin bagley iii,tyrese haliburton,cory joseph,justin james,chimezie metu,robert woodard ii","nikola vucevic,cole anthony,evan fournier,aaron gordon,terrence ross,gary clark,mo bamba,jordan bone"
2021-01-29,23.8,1,2.0,4.0,0.5,0.0,0.0,0.0,3.0,4.0,0.75,1.0,2.0,3.0,2.0,0.0,2.0,0.0,0.0,7.0,1.0,0.608,0.5,0.0,1.0,3.9,8.8,6.2,14.4,0.0,7.1,0.0,10.2,142.0,116.0,4.3,"kawhi leonard,paul george,nicolas batum,reggie jackson,serge ibaka,marcus morris,luke kennard,ivica zubac,terance mann,mfiondu kabengele,amir coffey,daniel oturu","cole anthony,aaron gordon,nikola vucevic,evan fournier,gary clark,terrence ross,mo bamba,jordan bone"
2021-01-31,25.65,0,3.0,7.0,0.429,1.0,3.0,0.333,1.0,2.0,0.5,3.0,3.0,6.0,0.0,1.0,2.0,2.0,2.0,8.0,4.0,0.508,0.5,0.429,0.286,12.5,12.5,12.5,0.0,1.9,7.3,20.2,17.7,92.0,114.0,-5.4,"kyle lowry,pascal siakam,fred vanvleet,terence davis,deandre' bembry,yuta watanabe,chris boucher,stanley johnson,malachi flynn","nikola vucevic,cole anthony,evan fournier,aaron gordon,terrence ross,gary clark,mo bamba,jordan bone"
