date,mp,home,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opponent,team
2022-01-09,19.92,1,7.0,18.0,0.389,3.0,8.0,0.375,0.0,0.0,0.0,1.0,2.0,3.0,1.0,0.0,1.0,2.0,3.0,17.0,-2.0,0.472,0.472,0.444,0.0,4.3,12.1,7.5,10.9,0.0,4.7,10.0,41.8,95.0,97.0,1.4,"evan mobley,lamar stevens,darius garland,jarrett allen,lauri markkanen,cedi osman,dylan windler,kevin love","stephen curry,andrew wiggins,kevon looney,draymond green,andre iguodala,jordan poole,otto porter jr.,gary payton ii,juan toscano-anderson"
2022-01-11,19.62,0,5.0,13.0,0.385,2.0,5.0,0.4,2.0,2.0,1.0,0.0,3.0,3.0,3.0,0.0,1.0,3.0,1.0,14.0,17.0,0.504,0.462,0.385,0.154,0.0,14.1,7.8,32.2,0.0,3.7,17.8,37.3,85.0,113.0,-1.7,"ja morant,desmond bane,ziaire williams,kyle anderson,jaren jackson jr.,brandon clarke,tyus jones,john konchar,xavier tillman sr.,de'anthony melton","stephen curry,andrew wiggins,kevon looney,juan toscano-anderson,otto porter jr.,gary payton ii,jordan poole,andre iguodala,damion lee,moses moody"
2022-01-13,20.57,0,3.0,11.0,0.273,2.0,7.0,0.286,3.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,11.0,-8.0,0.446,0.364,0.636,0.273,3.8,5.6,4.5,9.0,2.2,0.0,7.5,25.8,92.0,113.0,-1.3,"giannis antetokounmpo,khris middleton,grayson allen,bobby portis,wesley matthews,jordan nwora,donte divincenzo,george hill,pat connaughton,sandro mamukelashvili,thanasis antetokounmpo,lindell wigginton","stephen curry,andrew wiggins,kevon looney,gary payton ii,jordan poole,damion lee,jonathan kuminga,juan toscano-anderson,otto porter jr.,chris chiozza,andre iguodala"
2022-01-16,22.72,0,5.0,14.0,0.357,3.0,8.0,0.375,0.0,0.0,0.0,0.0,4.0,4.0,2.0,1.0,0.0,2.0,1.0,13.0,1.0,0.464,0.464,0.571,0.0,0.0,18.4,9.0,19.7,2.0,0.0,12.5,30.8,81.0,113.0,-2.1,"karl-anthony towns,anthony edwards,patrick beverley,jarred vanderbilt,d'angelo russell,jaylen nowell,malik beasley,jaden mcdaniels,naz reid,taurean prince,mckinley wright iv,nathan knight,josh okogie,jake layman,leandro bolmaro","jordan poole,andrew wiggins,otto porter jr.,kevon looney,jonathan kuminga,damion lee,andre iguodala,juan toscano-anderson,chris chiozza"
2022-01-18,22.3,1,6.0,13.0,0.462,3.0,8.0,0.375,6.0,6.0,1.0,0.0,3.0,3.0,4.0,2.0,0.0,1.0,1.0,21.0,16.0,0.671,0.577,0.615,0.462,0.0,12.4,6.2,40.8,4.5,0.0,6.0,33.2,136.0,87.0,19.0,"hamidou diallo,saddiq bey,isaiah stewart,cade cunningham,killian hayes,trey lyles,cory joseph,saben lee,rodney mcgruder,josh jackson","stephen curry,andrew wiggins,jonathan kuminga,kevon looney,otto porter jr.,jordan poole,juan toscano-anderson,gary payton ii,damion lee,moses moody,chris chiozza"
2022-01-20,23.1,1,6.0,17.0,0.353,0.0,7.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,2.0,1.0,12.0,-4.0,0.353,0.353,0.412,0.0,4.6,4.5,4.5,8.1,0.0,0.0,10.5,34.1,72.0,121.0,-16.5,"chris duarte,justin holiday,torrey craig,goga bitadze,keifer sykes,oshae brissett,jeremy lamb,isaiah jackson,duane washington jr.","stephen curry,andrew wiggins,kevon looney,jonathan kuminga,andre iguodala,jordan poole,gary payton ii,juan toscano-anderson,damion lee"
2022-01-25,25.63,1,6.0,12.0,0.5,3.0,5.0,0.6,0.0,0.0,0.0,0.0,2.0,2.0,6.0,0.0,0.0,1.0,0.0,15.0,26.0,0.625,0.625,0.417,0.0,0.0,6.7,3.9,29.8,0.0,0.0,7.7,21.4,136.0,102.0,7.5,"jalen brunson,luka doncic,dorian finney-smith,kristaps porzingis,maxi kleber,reggie bullock,josh green,frank ntilikina,tim hardaway jr.,marquese chriss,trey burke,theo pinson,dwight powell","stephen curry,andrew wiggins,kevon looney,otto porter jr.,jordan poole,damion lee,jonathan kuminga,gary payton ii,juan toscano-anderson,moses moody,chris chiozza"
2022-01-27,26.98,1,9.0,16.0,0.563,5.0,9.0,0.556,0.0,0.0,0.0,1.0,4.0,5.0,4.0,0.0,1.0,4.0,1.0,23.0,4.0,0.719,0.719,0.563,0.0,4.3,15.1,10.1,25.4,0.0,3.5,20.0,32.6,115.0,117.0,5.2,"anthony edwards,karl-anthony towns,jaden mcdaniels,jarred vanderbilt,d'angelo russell,jaylen nowell,malik beasley,taurean prince,naz reid,josh okogie,nathan knight,jordan mclaughlin","stephen curry,andrew wiggins,otto porter jr.,kevon looney,jordan poole,jonathan kuminga,gary payton ii,damion lee,juan toscano-anderson"
2022-01-29,26.78,1,5.0,14.0,0.357,2.0,8.0,0.25,4.0,4.0,1.0,2.0,4.0,6.0,2.0,1.0,1.0,0.0,1.0,16.0,-3.0,0.508,0.429,0.571,0.286,7.2,12.6,10.0,11.5,1.9,2.6,0.0,24.4,125.0,110.0,5.0,"kyrie irving,patty mills,kessler edwards,deandre' bembry,nic claxton,james johnson,bruce brown,cam thomas,blake griffin","andrew wiggins,stephen curry,kevon looney,otto porter jr.,jordan poole,gary payton ii,damion lee,juan toscano-anderson,jonathan kuminga"
2022-01-31,26.28,0,6.0,15.0,0.4,1.0,8.0,0.125,1.0,1.0,1.0,0.0,3.0,3.0,3.0,1.0,1.0,1.0,2.0,14.0,7.0,0.453,0.433,0.533,0.067,0.0,12.7,7.0,17.1,1.9,4.5,6.1,28.8,98.0,111.0,-6.7,"eric gordon,christian wood,kevin porter jr.,jalen green,jae'sean tate,garrison mathews,josh christopher,kenyon martin jr.,alperen sengun","stephen curry,andrew wiggins,kevon looney,moses moody,jordan poole,gary payton ii,juan toscano-anderson,jonathan kuminga,damion lee,chris chiozza"
