date,mp,home,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opponent,team
2020-12-22,25.3,1,10.0,16.0,0.625,4.0,7.0,0.571,2.0,2.0,1.0,1.0,3.0,4.0,4.0,0.0,0.0,1.0,3.0,26.0,32.0,0.77,0.75,0.438,0.125,4.0,10.0,7.3,33.0,0.0,0.0,5.6,26.9,152.0,98.0,13.6,"andrew wiggins,stephen curry,kelly oubre jr.,james wiseman,eric paschall,jordan poole,juan toscano-anderson,marquese chriss,damion lee,kent bazemore,kevon looney,mychal mulder","kevin durant,joe harris,spencer dinwiddie,deandre jordan,caris levert,landry shamet,jarrett allen,jeff green,taurean prince,reggie perry,bruce brown,timothe luwawu-cabarrot"
2020-12-25,33.4,0,13.0,21.0,0.619,7.0,10.0,0.7,4.0,4.0,1.0,1.0,5.0,6.0,8.0,1.0,0.0,1.0,4.0,37.0,31.0,0.813,0.786,0.476,0.19,4.0,13.3,9.6,51.5,1.5,0.0,4.2,32.6,169.0,100.0,22.4,"jayson tatum,marcus smart,jaylen brown,daniel theis,tristan thompson,payton pritchard,grant williams,aaron nesmith,javonte green,carsen edwards,tremont waters","kevin durant,spencer dinwiddie,joe harris,deandre jordan,jarrett allen,landry shamet,caris levert,jeff green,taurean prince,timothe luwawu-cabarrot,bruce brown,reggie perry"
2020-12-27,36.35,0,10.0,17.0,0.588,3.0,8.0,0.375,2.0,2.0,1.0,0.0,3.0,3.0,6.0,1.0,0.0,4.0,1.0,25.0,7.0,0.699,0.676,0.471,0.118,0.0,7.5,4.0,36.4,1.3,0.0,18.3,25.8,117.0,106.0,6.6,"gordon hayward,devonte' graham,p.j. washington,terry rozier,bismack biyombo,miles bridges,lamelo ball,cody martin,caleb martin,jalen mcdaniels","kevin durant,joe harris,deandre jordan,spencer dinwiddie,caris levert,jarrett allen,landry shamet,jeff green,timothe luwawu-cabarrot,taurean prince"
2020-12-30,34.0,1,10.0,27.0,0.37,3.0,11.0,0.273,2.0,2.0,1.0,0.0,2.0,2.0,6.0,2.0,0.0,1.0,4.0,25.0,-6.0,0.448,0.426,0.407,0.074,0.0,5.9,3.0,21.2,2.7,0.0,3.5,34.5,101.0,133.0,-7.0,"de'andre hunter,cam reddish,trae young,john collins,clint capela,bogdan bogdanovic,kevin huerter,bruno fernando,danilo gallinari","kevin durant,joe harris,timothe luwawu-cabarrot,deandre jordan,jarrett allen,caris levert,taurean prince,landry shamet,jeff green"
2021-01-01,33.12,1,6.0,21.0,0.286,2.0,11.0,0.182,4.0,4.0,1.0,3.0,8.0,11.0,4.0,2.0,0.0,1.0,0.0,18.0,-3.0,0.395,0.333,0.524,0.19,9.1,25.8,17.1,22.0,3.0,0.0,4.2,31.0,93.0,113.0,3.2,"trae young,cam reddish,de'andre hunter,clint capela,john collins,bogdan bogdanovic,kevin huerter,brandon goodwin,bruno fernando,nathan knight,skylar mays","kevin durant,joe harris,timothe luwawu-cabarrot,deandre jordan,caris levert,jarrett allen,landry shamet,taurean prince,jeff green,bruce brown,chris chiozza,reggie perry"
2021-01-03,39.05,1,10.0,20.0,0.5,2.0,7.0,0.286,8.0,8.0,1.0,0.0,5.0,5.0,10.0,2.0,2.0,5.0,3.0,30.0,11.0,0.638,0.55,0.35,0.4,0.0,10.8,6.1,44.4,2.3,3.5,17.5,30.6,119.0,112.0,6.4,"russell westbrook,bradley beal,rui hachimura,thomas bryant,deni avdija,davis bertans,robin lopez,raul neto,jerome robinson,ish smith","kevin durant,joe harris,timothe luwawu-cabarrot,deandre jordan,caris levert,jarrett allen,landry shamet,jeff green,taurean prince"
2021-01-05,29.58,1,12.0,19.0,0.632,5.0,7.0,0.714,0.0,0.0,0.0,0.0,6.0,6.0,5.0,3.0,0.0,2.0,3.0,29.0,22.0,0.763,0.763,0.368,0.0,0.0,18.7,10.6,24.9,4.8,0.0,9.5,30.4,137.0,89.0,16.4,"donovan mitchell,rudy gobert,mike conley,bojan bogdanovic,royce o'neale,joe ingles,jordan clarkson,derrick favors,miye oni,elijah hughes,udoka azubuike,trent forrest,shaquille harrison,georges niang","jarrett allen,bruce brown,taurean prince,jeff green,timothe luwawu-cabarrot,joe harris,caris levert,deandre jordan,reggie perry,landry shamet,chris chiozza"
2021-01-20,48.37,0,15.0,28.0,0.536,3.0,8.0,0.375,4.0,5.0,0.8,1.0,1.0,2.0,3.0,1.0,3.0,4.0,4.0,37.0,-7.0,0.613,0.589,0.286,0.179,2.4,2.4,2.4,12.0,1.0,5.2,11.7,30.6,112.0,127.0,1.1,"cedi osman,larry nance jr.,isaac okoro,collin sexton,andre drummond,taurean prince,jarrett allen","james harden,kevin durant,jeff green,deandre jordan,joe harris,timothe luwawu-cabarrot,reggie perry,bruce brown"
2021-01-22,30.83,0,14.0,24.0,0.583,4.0,9.0,0.444,6.0,6.0,1.0,1.0,0.0,1.0,5.0,0.0,1.0,2.0,3.0,38.0,-11.0,0.713,0.667,0.375,0.25,3.6,0.0,2.0,38.5,0.0,2.5,7.0,42.3,135.0,136.0,13.5,"isaac okoro,larry nance jr.,collin sexton,cedi osman,andre drummond,taurean prince,darius garland,jarrett allen,dylan windler,dean wade,lamar stevens","james harden,joe harris,deandre jordan,bruce brown,jeff green,timothe luwawu-cabarrot,landry shamet,reggie perry,chris chiozza"
2021-01-23,36.38,1,10.0,17.0,0.588,3.0,5.0,0.6,5.0,6.0,0.833,1.0,5.0,6.0,7.0,0.0,1.0,2.0,5.0,28.0,5.0,0.713,0.676,0.294,0.353,3.5,16.5,10.1,30.0,0.0,3.1,9.2,25.9,142.0,119.0,5.2,"duncan robinson,bam adebayo,goran dragic,kelly olynyk,maurice harkless,kendrick nunn,andre iguodala,gabe vincent,precious achiuwa,kz okpala","james harden,kevin durant,joe harris,deandre jordan,jeff green,bruce brown,timothe luwawu-cabarrot,reggie perry"
