date,mp,home,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opponent,team
2020-12-25,0.32,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,-4.3,"zion williamson,brandon ingram,lonzo ball,steven adams,josh hart,jaxson hayes","tyler herro,duncan robinson,bam adebayo,meyers leonard,jimmy butler,goran dragic,andre iguodala,precious achiuwa,maurice harkless,chris silva"
2020-12-29,27.43,1,1.0,4.0,0.25,0.0,3.0,0.0,1.0,2.0,0.5,1.0,3.0,4.0,0.0,1.0,0.0,0.0,1.0,3.0,-5.0,0.307,0.25,0.75,0.5,4.6,14.2,9.3,0.0,1.7,0.0,0.0,7.9,74.0,141.0,-10.0,"jrue holiday,khris middleton,giannis antetokounmpo,donte divincenzo,brook lopez,bobby portis,thanasis antetokounmpo,bryn forbes,pat connaughton,jordan nwora,d.j. wilson,sam merrill","tyler herro,bam adebayo,duncan robinson,maurice harkless,meyers leonard,kendrick nunn,kelly olynyk,precious achiuwa,max strus,goran dragic,chris silva"
2021-01-04,5.98,1,1.0,2.0,0.5,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,2.0,-1.0,0.347,0.5,0.0,1.0,0.0,32.7,18.9,0.0,8.2,0.0,25.8,30.2,44.0,72.0,-13.8,"shai gilgeous-alexander,darius bazley,luguentz dort,george hill,al horford,isaiah roby,justin jackson,theo maledon,hamidou diallo,mike muscala,kenrich williams,josh hall,moses brown","duncan robinson,tyler herro,bam adebayo,kelly olynyk,jimmy butler,goran dragic,precious achiuwa,andre iguodala,kendrick nunn,maurice harkless,chris silva"
2021-01-09,7.1,0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.5,0.0,32.2,0.0,13.5,14.7,0.0,0.0,0.0,11.2,91.0,120.0,-11.8,"deni avdija,rui hachimura,jerome robinson,raul neto,thomas bryant,ish smith,garrison mathews,troy brown jr.,davis bertans,robin lopez,moritz wagner","tyler herro,jimmy butler,duncan robinson,kelly olynyk,bam adebayo,goran dragic,andre iguodala,precious achiuwa,meyers leonard"
2021-01-16,27.43,1,6.0,9.0,0.667,4.0,5.0,0.8,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0,3.0,16.0,-15.0,0.889,0.889,0.556,0.0,5.1,0.0,2.5,8.1,0.0,0.0,30.8,22.5,99.0,133.0,-1.0,"jerami grant,blake griffin,mason plumlee,delon wright,josh jackson,derrick rose,isaiah stewart,sekou doumbouya,saddiq bey,svi mykhailiuk,saben lee,deividas sirvydis","duncan robinson,bam adebayo,kelly olynyk,gabe vincent,goran dragic,kendrick nunn,andre iguodala,precious achiuwa,max strus,chris silva"
2021-01-18,3.62,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,-14.9,"blake griffin,mason plumlee,jerami grant,delon wright,derrick rose,josh jackson,svi mykhailiuk,isaiah stewart,sekou doumbouya,saddiq bey","duncan robinson,bam adebayo,goran dragic,kelly olynyk,kendrick nunn,maurice harkless,andre iguodala,precious achiuwa,gabe vincent"
2021-01-22,4.33,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.4,28.8,0.0,0.0,0.0,0.0,0.0,0.0,101.0,-3.9,"fred vanvleet,og anunoby,pascal siakam,norman powell,chris boucher,terence davis,malachi flynn,stanley johnson,yuta watanabe,deandre' bembry,jalen harris","duncan robinson,bam adebayo,goran dragic,gabe vincent,kelly olynyk,kendrick nunn,andre iguodala,max strus,precious achiuwa,maurice harkless"
2021-01-23,9.78,0,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,3.0,-2.0,0.75,0.75,1.0,0.0,0.0,25.8,12.6,0.0,0.0,10.7,0.0,8.8,127.0,120.0,4.7,"james harden,kevin durant,joe harris,kyrie irving,deandre jordan,jeff green,bruce brown,timothe luwawu-cabarrot,reggie perry","duncan robinson,bam adebayo,goran dragic,kelly olynyk,maurice harkless,kendrick nunn,andre iguodala,gabe vincent,precious achiuwa"
2021-01-25,21.37,0,1.0,3.0,0.333,1.0,3.0,0.333,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,4.0,3.0,-4.0,0.5,0.5,1.0,0.0,0.0,5.2,2.4,7.8,0.0,0.0,25.0,8.7,78.0,112.0,-7.8,"kyrie irving,kevin durant,joe harris,james harden,deandre jordan,jeff green,bruce brown,timothe luwawu-cabarrot,reggie perry","duncan robinson,bam adebayo,goran dragic,kelly olynyk,kendrick nunn,andre iguodala,gabe vincent,precious achiuwa,max strus"
2021-01-27,25.98,1,0.0,3.0,0.0,0.0,2.0,0.0,1.0,2.0,0.5,0.0,5.0,5.0,2.0,1.0,0.0,1.0,2.0,1.0,-21.0,0.129,0.0,0.667,0.667,0.0,21.0,10.6,12.3,2.0,0.0,20.5,8.9,43.0,113.0,-8.8,"jamal murray,gary harris,nikola jokic,will barton,michael porter jr.,jamychal green,monte morris,facundo campazzo,r.j. hampton,zeke nnaji,bol bol,vlatko cancar","kendrick nunn,duncan robinson,bam adebayo,kelly olynyk,precious achiuwa,max strus,andre iguodala,gabe vincent"
