date,mp,home,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opponent,team
2020-12-23,8.57,1,4.0,5.0,0.8,2.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,11.0,2.0,1.011,1.0,0.4,0.2,0.0,11.7,6.4,35.9,0.0,0.0,0.0,28.0,189.0,108.0,29.4,"josh richardson,luka doncic,dorian finney-smith,tim hardaway jr.,dwight powell,maxi kleber,trey burke,jalen brunson,james johnson,willie cauley-stein,josh green","mikal bridges,devin booker,chris paul,jae crowder,deandre ayton,cameron johnson,cameron payne,jalen smith,jevon carter,damian jones"
2020-12-26,9.77,0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.9,0.0,114.0,-18.8,"de'aaron fox,buddy hield,harrison barnes,richaun holmes,marvin bagley iii,tyrese haliburton,cory joseph","devin booker,chris paul,jae crowder,deandre ayton,mikal bridges,cameron johnson,damian jones,cameron payne,jevon carter,jalen smith,frank kaminsky"
2020-12-27,14.3,0,3.0,4.0,0.75,2.0,3.0,0.667,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,5.0,1.014,1.0,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.8,185.0,108.0,8.5,"buddy hield,harrison barnes,marvin bagley iii,de'aaron fox,richaun holmes,tyrese haliburton,cory joseph,kyle guy,jahmi'us ramsey,robert woodard ii,justin james","mikal bridges,devin booker,deandre ayton,chris paul,jae crowder,cameron johnson,cameron payne,frank kaminsky,jevon carter,ty-shon alexander,damian jones"
2020-12-29,11.85,1,1.0,4.0,0.25,1.0,4.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,7.0,0.375,0.375,1.0,0.0,0.0,0.0,0.0,12.3,0.0,0.0,0.0,15.8,95.0,103.0,-4.5,"zion williamson,brandon ingram,steven adams,lonzo ball,josh hart,nickeil alexander-walker,jaxson hayes,kira lewis jr.,willy hernangomez","mikal bridges,deandre ayton,devin booker,chris paul,jae crowder,cameron payne,cameron johnson,jevon carter,dario saric,frank kaminsky,damian jones,ty-shon alexander"
2020-12-31,6.4,0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.5,0.0,0.0,32.6,17.2,36.6,0.0,0.0,0.0,14.5,60.0,99.0,-4.4,"donovan mitchell,mike conley,royce o'neale,rudy gobert,bojan bogdanovic,joe ingles,jordan clarkson,derrick favors,georges niang","jae crowder,mikal bridges,devin booker,chris paul,deandre ayton,cameron payne,dario saric,cameron johnson,jevon carter,frank kaminsky"
2021-01-01,6.93,0,2.0,3.0,0.667,2.0,2.0,1.0,3.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,10.0,1.042,1.0,0.667,1.0,18.2,0.0,9.2,0.0,0.0,0.0,0.0,29.3,203.0,117.0,33.7,"jamal murray,will barton,gary harris,nikola jokic,monte morris,pj dozier,jamychal green,isaiah hartenstein,facundo campazzo,r.j. hampton","deandre ayton,mikal bridges,devin booker,chris paul,jae crowder,cameron johnson,cameron payne,jevon carter,frank kaminsky"
2021-01-03,3.97,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-19.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,24.1,0.0,129.0,-29.6,"paul george,kawhi leonard,nicolas batum,patrick beverley,serge ibaka,luke kennard,ivica zubac,reggie jackson","devin booker,mikal bridges,chris paul,jae crowder,deandre ayton,cameron johnson,dario saric,cameron payne,jevon carter"
2021-01-06,4.92,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,22.7,11.8,0.0,0.0,0.0,100.0,9.4,0.0,124.0,-15.5,"fred vanvleet,kyle lowry,pascal siakam,og anunoby,norman powell,yuta watanabe,chris boucher,alex len,malachi flynn,deandre' bembry","jae crowder,devin booker,chris paul,deandre ayton,mikal bridges,cameron johnson,jevon carter,dario saric,cameron payne"
2021-01-08,11.9,0,6.0,9.0,0.667,5.0,8.0,0.625,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,17.0,12.0,0.944,0.944,0.889,0.0,0.0,17.8,9.3,0.0,0.0,0.0,0.0,34.1,163.0,110.0,32.8,"jerami grant,blake griffin,delon wright,mason plumlee,josh jackson,saddiq bey,derrick rose,svi mykhailiuk,jahlil okafor,frank jackson,isaiah stewart,sekou doumbouya","devin booker,chris paul,deandre ayton,mikal bridges,jae crowder,dario saric,cameron johnson,cameron payne,jevon carter"
2021-01-09,12.18,0,1.0,3.0,0.333,1.0,2.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,0.5,0.5,0.667,0.0,0.0,8.0,4.3,0.0,0.0,0.0,0.0,11.4,90.0,124.0,-9.5,"domantas sabonis,malcolm brogdon,myles turner,victor oladipo,aaron holiday,justin holiday,doug mcdermott,edmond sumner,cassius stanley","devin booker,mikal bridges,deandre ayton,chris paul,jae crowder,cameron johnson,dario saric,jevon carter"
