date,mp,home,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opponent,team
2020-12-23,34.38,0,6.0,9.0,0.667,3.0,4.0,0.75,1.0,1.0,1.0,1.0,5.0,6.0,2.0,1.0,1.0,1.0,3.0,16.0,0.0,0.847,0.833,0.444,0.111,3.1,15.5,9.3,7.0,1.3,2.1,9.6,12.4,151.0,111.0,4.3,"ja morant,dillon brooks,jonas valanciunas,kyle anderson,grayson allen,brandon clarke,de'anthony melton,tyus jones,gorgui dieng,desmond bane","demar derozan,keldon johnson,dejounte murray,rudy gay,devin vassell,patty mills,jakob poeltl"
2020-12-26,24.88,1,6.0,14.0,0.429,2.0,8.0,0.25,0.0,1.0,0.0,1.0,3.0,4.0,2.0,0.0,0.0,2.0,3.0,14.0,-13.0,0.485,0.5,0.571,0.071,3.9,11.8,7.8,10.9,0.0,0.0,12.2,25.8,91.0,114.0,-6.9,"pascal siakam,og anunoby,kyle lowry,fred vanvleet,chris boucher,norman powell,deandre' bembry","demar derozan,dejounte murray,keldon johnson,patty mills,rudy gay,jakob poeltl,devin vassell,trey lyles"
2020-12-27,34.13,0,6.0,14.0,0.429,4.0,7.0,0.571,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,4.0,16.0,-13.0,0.571,0.571,0.5,0.0,0.0,5.0,2.7,4.8,0.0,2.0,0.0,18.3,105.0,104.0,0.6,"zion williamson,lonzo ball,brandon ingram,steven adams,josh hart,jaxson hayes","demar derozan,dejounte murray,keldon johnson,rudy gay,jakob poeltl,patty mills,devin vassell,trey lyles"
2020-12-30,32.8,1,4.0,12.0,0.333,1.0,4.0,0.25,2.0,4.0,0.5,0.0,4.0,4.0,3.0,1.0,0.0,2.0,1.0,11.0,-3.0,0.4,0.375,0.333,0.333,0.0,15.0,6.8,12.9,1.5,0.0,12.7,21.5,77.0,123.0,-8.2,"lebron james,dennis schroder,anthony davis,kentavious caldwell-pope,kyle kuzma,montrezl harrell,wesley matthews,markieff morris,alfonzo mckinnie","demar derozan,dejounte murray,keldon johnson,jakob poeltl,rudy gay,drew eubanks,patty mills,devin vassell,tre jones,keita bates-diop,luka samanic"
2021-01-01,23.73,1,4.0,9.0,0.444,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,3.0,8.0,-10.0,0.444,0.444,0.111,0.0,0.0,3.8,2.0,21.7,0.0,0.0,0.0,16.6,101.0,117.0,-4.5,"lebron james,anthony davis,dennis schroder,kentavious caldwell-pope,wesley matthews,kyle kuzma,montrezl harrell,talen horton-tucker,markieff morris","demar derozan,keldon johnson,dejounte murray,jakob poeltl,patty mills,rudy gay,drew eubanks,derrick white"
2021-01-03,22.05,1,4.0,11.0,0.364,1.0,2.0,0.5,2.0,2.0,1.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,11.0,-14.0,0.463,0.409,0.182,0.182,7.0,0.0,4.3,0.0,0.0,4.5,0.0,21.3,105.0,129.0,-5.7,"royce o'neale,donovan mitchell,rudy gobert,bojan bogdanovic,mike conley,jordan clarkson,joe ingles,derrick favors,georges niang,miye oni,shaquille harrison,udoka azubuike,elijah hughes,juwan morgan","keldon johnson,demar derozan,dejounte murray,jakob poeltl,rudy gay,devin vassell,patty mills,trey lyles,drew eubanks,tre jones,luka samanic"
2021-01-05,30.07,0,3.0,9.0,0.333,1.0,5.0,0.2,2.0,3.0,0.667,0.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,9.0,-10.0,0.436,0.389,0.556,0.333,0.0,4.0,1.8,4.1,3.3,3.1,8.8,16.3,88.0,114.0,-5.5,"luke kennard,kawhi leonard,nicolas batum,patrick beverley,serge ibaka,ivica zubac,reggie jackson,terance mann,amir coffey","dejounte murray,keldon johnson,demar derozan,patty mills,rudy gay,jakob poeltl,devin vassell"
2021-01-07,26.58,0,6.0,11.0,0.545,2.0,4.0,0.5,0.0,0.0,0.0,1.0,5.0,6.0,2.0,0.0,1.0,1.0,1.0,14.0,-1.0,0.636,0.636,0.364,0.0,4.0,21.0,12.3,11.2,0.0,3.2,8.3,20.5,117.0,111.0,2.8,"lebron james,anthony davis,kyle kuzma,dennis schroder,wesley matthews,talen horton-tucker,alex caruso,montrezl harrell,markieff morris,alfonzo mckinnie","demar derozan,dejounte murray,keldon johnson,patty mills,rudy gay,jakob poeltl,devin vassell,keita bates-diop,tre jones,trey lyles,luka samanic"
2021-01-09,27.8,0,2.0,8.0,0.25,1.0,3.0,0.333,2.0,2.0,1.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,1.0,7.0,6.0,0.394,0.313,0.375,0.25,0.0,8.1,3.8,0.0,3.6,0.0,0.0,14.1,87.0,113.0,-6.3,"malik beasley,d'angelo russell,karl-anthony towns,jarrett culver,juancho hernangomez,ricky rubio,anthony edwards,naz reid,jarred vanderbilt,jake layman","demar derozan,keldon johnson,dejounte murray,patty mills,rudy gay,jakob poeltl,devin vassell"
2021-01-10,30.37,0,9.0,19.0,0.474,3.0,7.0,0.429,4.0,6.0,0.667,0.0,3.0,3.0,4.0,1.0,1.0,2.0,0.0,25.0,-4.0,0.578,0.553,0.368,0.316,0.0,10.5,4.9,29.0,1.6,2.9,8.5,33.9,108.0,100.0,12.0,"malik beasley,d'angelo russell,juancho hernangomez,jarrett culver,naz reid,ricky rubio,josh okogie,jarred vanderbilt,anthony edwards","dejounte murray,trey lyles,keldon johnson,patty mills,rudy gay,jakob poeltl,devin vassell"
2021-01-12,35.58,0,7.0,15.0,0.467,3.0,7.0,0.429,7.0,7.0,1.0,0.0,3.0,3.0,2.0,0.0,1.0,1.0,4.0,24.0,-1.0,0.664,0.567,0.467,0.467,0.0,8.8,4.1,8.5,0.0,2.4,5.2,23.7,126.0,106.0,1.3,"shai gilgeous-alexander,darius bazley,al horford,george hill,luguentz dort,hamidou diallo,mike muscala,aleksej pokusevski,theo maledon,isaiah roby,justin jackson,kenrich williams","keldon johnson,dejounte murray,trey lyles,patty mills,devin vassell,rudy gay,jakob poeltl"
2021-01-14,25.37,1,6.0,14.0,0.429,4.0,7.0,0.571,0.0,0.0,0.0,0.0,3.0,3.0,2.0,0.0,0.0,2.0,0.0,16.0,8.0,0.571,0.571,0.5,0.0,0.0,13.8,6.3,12.3,0.0,0.0,12.5,27.8,98.0,116.0,-1.7,"sterling brown,p.j. tucker,christian wood,jae'sean tate,david nwaba,demarcus cousins,kenyon martin jr.,mason jones","dejounte murray,demar derozan,keldon johnson,patty mills,devin vassell,rudy gay,jakob poeltl"
2021-01-16,28.98,1,2.0,8.0,0.25,0.0,4.0,0.0,4.0,5.0,0.8,0.0,3.0,3.0,0.0,0.0,1.0,0.0,3.0,8.0,11.0,0.392,0.25,0.5,0.625,0.0,9.4,4.6,0.0,0.0,3.2,0.0,13.8,93.0,94.0,-8.0,"christian wood,p.j. tucker,mason jones,jae'sean tate,david nwaba,kenyon martin jr.","demar derozan,dejounte murray,keldon johnson,jakob poeltl,patty mills,rudy gay,devin vassell"
2021-01-18,27.58,0,2.0,7.0,0.286,1.0,5.0,0.2,0.0,0.0,0.0,0.0,5.0,5.0,2.0,0.0,0.0,2.0,4.0,5.0,9.0,0.357,0.357,0.714,0.0,0.0,19.8,10.6,7.8,0.0,0.0,22.2,14.4,72.0,110.0,-13.4,"damian lillard,derrick jones jr.,robert covington,gary trent jr.,anfernee simons,nassir little","demar derozan,dejounte murray,keldon johnson,devin vassell,patty mills,rudy gay,jakob poeltl,tre jones,trey lyles"
2021-01-20,24.65,0,1.0,6.0,0.167,1.0,4.0,0.25,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,1.0,3.0,-18.0,0.25,0.25,0.667,0.0,0.0,14.2,6.0,0.0,0.0,0.0,14.3,11.6,45.0,123.0,-13.3,"stephen curry,andrew wiggins,kelly oubre jr.,draymond green,james wiseman,kent bazemore,eric paschall,kevon looney,damion lee,jordan poole,mychal mulder","dejounte murray,keldon johnson,demar derozan,devin vassell,jakob poeltl,patty mills,rudy gay,trey lyles,tre jones"
2021-01-22,29.15,1,3.0,9.0,0.333,3.0,7.0,0.429,0.0,0.0,0.0,0.0,6.0,6.0,3.0,0.0,0.0,0.0,2.0,9.0,4.0,0.5,0.5,0.778,0.0,0.0,21.0,10.9,13.7,0.0,0.0,0.0,13.6,115.0,127.0,-2.5,"tim hardaway jr.,luka doncic,kristaps porzingis,jalen brunson,josh green,james johnson,wes iwundu,trey burke,willie cauley-stein","demar derozan,keldon johnson,dejounte murray,patty mills,rudy gay,devin vassell,jakob poeltl,tre jones"
2021-01-24,29.53,1,6.0,13.0,0.462,2.0,5.0,0.4,2.0,2.0,1.0,0.0,2.0,2.0,1.0,3.0,0.0,0.0,3.0,16.0,4.0,0.576,0.538,0.385,0.154,0.0,6.4,3.5,4.2,4.9,0.0,0.0,20.7,115.0,99.0,0.6,"jerome robinson,bradley beal,russell westbrook,robin lopez,garrison mathews,cassius winston,alex len,anthony gill,jordan bell","dejounte murray,keldon johnson,demar derozan,devin vassell,rudy gay,jakob poeltl,patty mills,tre jones,keita bates-diop,trey lyles,luka samanic"
2021-01-27,31.12,1,6.0,9.0,0.667,2.0,4.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,3.0,14.0,5.0,0.778,0.778,0.444,0.0,0.0,3.1,1.8,4.2,0.0,0.0,18.2,15.7,124.0,116.0,-0.7,"marcus smart,jaylen brown,jayson tatum,kemba walker,daniel theis,tristan thompson,robert williams,javonte green,grant williams,aaron nesmith,carsen edwards","dejounte murray,demar derozan,keldon johnson,patty mills,jakob poeltl,rudy gay,devin vassell"
2021-01-29,28.57,1,1.0,5.0,0.2,1.0,2.0,0.5,0.0,0.0,0.0,0.0,5.0,5.0,3.0,0.0,0.0,4.0,2.0,3.0,4.0,0.3,0.3,0.4,0.0,0.0,21.5,10.8,11.9,0.0,0.0,44.4,14.5,51.0,119.0,-13.0,"nikola jokic,jamal murray,gary harris,will barton,monte morris,jamychal green,michael porter jr.,facundo campazzo,isaiah hartenstein,r.j. hampton,vlatko cancar,zeke nnaji","demar derozan,keldon johnson,dejounte murray,patty mills,jakob poeltl,devin vassell,rudy gay,keita bates-diop,tre jones,quinndary weatherspoon"
2021-01-30,25.35,1,5.0,9.0,0.556,2.0,5.0,0.4,0.0,0.0,0.0,0.0,1.0,1.0,5.0,1.0,1.0,1.0,2.0,12.0,-9.0,0.667,0.667,0.556,0.0,0.0,4.7,2.3,32.1,1.9,3.4,10.0,17.6,130.0,130.0,5.2,"dillon brooks,ja morant,brandon clarke,xavier tillman sr.,kyle anderson,de'anthony melton,gorgui dieng,tyus jones,desmond bane,john konchar","dejounte murray,demar derozan,keldon johnson,rudy gay,derrick white,patty mills,jakob poeltl,trey lyles,devin vassell,drew eubanks,tre jones,quinndary weatherspoon,keita bates-diop"
2021-02-01,15.93,1,2.0,6.0,0.333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,1.0,0.0,0.0,2.0,4.0,-20.0,0.333,0.333,0.167,0.0,0.0,28.7,12.7,0.0,3.0,0.0,0.0,16.0,66.0,129.0,-12.4,"kyle anderson,xavier tillman sr.,dillon brooks,brandon clarke,ja morant,tyus jones,de'anthony melton,desmond bane,gorgui dieng,john konchar","keldon johnson,demar derozan,dejounte murray,patty mills,derrick white,jakob poeltl,rudy gay,devin vassell,drew eubanks,trey lyles,keita bates-diop,quinndary weatherspoon"
2021-02-03,21.45,1,1.0,10.0,0.1,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,-16.0,0.1,0.1,0.3,0.0,0.0,4.8,2.4,5.5,0.0,0.0,0.0,19.7,27.0,115.0,-21.1,"naz reid,malik beasley,anthony edwards,d'angelo russell,josh okogie,ricky rubio,jaden mcdaniels,jaylen nowell,jarred vanderbilt,jake layman","demar derozan,jakob poeltl,dejounte murray,keldon johnson,patty mills,derrick white,devin vassell,trey lyles,drew eubanks"
