date,mp,home,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opponent,team
2021-05-05,0.98,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.5,0.0,106.0,-45.6,"domantas sabonis,caris levert,doug mcdermott,aaron holiday,oshae brissett,t.j. mcconnell,goga bitadze,justin holiday,kelan martin,cassius stanley","buddy hield,delon wright,maurice harkless,marvin bagley iii,richaun holmes,terence davis,damian jones,kyle guy,justin james,jahmi'us ramsey"
2021-05-09,1.63,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,56.5,33.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,-16.6,"darius bazley,aleksej pokusevski,moses brown,theo maledon,isaiah roby,svi mykhailiuk,josh hall,charlie brown jr.","delon wright,buddy hield,maurice harkless,richaun holmes,marvin bagley iii,terence davis,chimezie metu,damian jones,justin james,jahmi'us ramsey,kyle guy"
2021-05-11,11.08,1,1.0,3.0,0.333,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,2.0,2.0,-3.0,0.333,0.333,0.667,0.0,0.0,20.1,10.2,10.9,4.2,0.0,25.0,15.8,64.0,100.0,-12.4,"darius bazley,kenrich williams,aleksej pokusevski,moses brown,isaiah roby,svi mykhailiuk,tony bradley,charlie brown jr.","maurice harkless,delon wright,buddy hield,chimezie metu,richaun holmes,terence davis,damian jones,justin james,kyle guy,jahmi'us ramsey"
2021-05-13,9.33,0,1.0,2.0,0.5,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,3.0,10.0,0.615,0.5,0.0,0.5,10.5,30.3,18.6,27.9,0.0,0.0,0.0,11.2,164.0,121.0,2.3,"ja morant,dillon brooks,jonas valanciunas,kyle anderson,jaren jackson jr.,desmond bane,brandon clarke,de'anthony melton,tyus jones,john konchar,xavier tillman sr.","delon wright,buddy hield,chimezie metu,maurice harkless,richaun holmes,justin james,terence davis,damian jones"
2021-05-14,34.08,0,10.0,16.0,0.625,2.0,5.0,0.4,5.0,5.0,1.0,4.0,5.0,9.0,3.0,3.0,2.0,1.0,1.0,27.0,10.0,0.742,0.688,0.313,0.313,10.4,13.8,12.1,18.4,4.2,5.5,5.2,22.9,151.0,97.0,18.2,"justise winslow,killian tillie,xavier tillman sr.,tyus jones,desmond bane,john konchar,jontay porter,de'anthony melton","damian jones,buddy hield,delon wright,chimezie metu,maurice harkless,jahmi'us ramsey,terence davis,justin james,robert woodard ii"
2021-05-16,28.17,1,5.0,12.0,0.417,2.0,3.0,0.667,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,1.0,2.0,5.0,12.0,-15.0,0.5,0.5,0.25,0.0,0.0,11.9,5.7,15.3,5.1,3.6,14.3,22.4,88.0,112.0,-0.6,"joe ingles,bojan bogdanovic,royce o'neale,rudy gobert,mike conley,jordan clarkson,georges niang,derrick favors,miye oni,trent forrest,udoka azubuike,jarrell brantley,juwan morgan","damian jones,chimezie metu,buddy hield,delon wright,terence davis,jahmi'us ramsey,kyle guy,robert woodard ii"
2021-11-28,21.25,0,4.0,11.0,0.364,3.0,8.0,0.375,1.0,2.0,0.5,0.0,4.0,4.0,0.0,2.0,0.0,0.0,1.0,12.0,1.0,0.505,0.5,0.727,0.182,0.0,17.7,7.7,0.0,4.3,0.0,0.0,22.1,99.0,114.0,2.8,"desmond bane,tyus jones,jaren jackson jr.,dillon brooks,steven adams,john konchar,kyle anderson,de'anthony melton,ziaire williams,brandon clarke,killian tillie,santi aldama,xavier tillman sr.,jarrett culver","chimezie metu,de'aaron fox,tyrese haliburton,terence davis,alex len,davion mitchell,buddy hield,tristan thompson,marvin bagley iii,damian jones,jahmi'us ramsey"
2021-11-30,14.7,1,1.0,6.0,0.167,0.0,4.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,-10.0,0.291,0.167,0.667,0.333,0.0,8.0,3.8,0.0,0.0,0.0,0.0,20.9,65.0,124.0,-19.1,"anthony davis,russell westbrook,talen horton-tucker,deandre jordan,malik monk,austin reaves,kent bazemore","de'aaron fox,chimezie metu,richaun holmes,tyrese haliburton,terence davis,buddy hield,davion mitchell,alex len,damian jones,jahmi'us ramsey"
2021-12-01,13.52,0,2.0,4.0,0.5,1.0,2.0,0.5,3.0,3.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,8.0,-4.0,0.752,0.625,0.5,0.75,0.0,14.8,8.2,9.1,0.0,0.0,0.0,17.5,160.0,120.0,1.3,"reggie jackson,ivica zubac,marcus morris,serge ibaka,luke kennard,terance mann,brandon boston jr.,isaiah hartenstein,jay scrubb,keon johnson,justise winslow","tyrese haliburton,de'aaron fox,richaun holmes,terence davis,chimezie metu,davion mitchell,buddy hield,alex len"
2021-12-13,2.77,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.4,0.0,130.0,-21.3,"scottie barnes,gary trent jr.,pascal siakam,fred vanvleet,chris boucher,yuta watanabe,justin champagnie,svi mykhailiuk,malachi flynn,dalano banton","de'aaron fox,harrison barnes,tyrese haliburton,chimezie metu,alex len,buddy hield,marvin bagley iii,davion mitchell,terence davis,tristan thompson,damian jones"
2021-12-26,2.95,1,2.0,4.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,2.0,0.625,0.625,0.5,0.0,0.0,33.9,17.9,0.0,0.0,0.0,0.0,58.7,114.0,121.0,11.1,"desmond bane,ja morant,john konchar,steven adams,jaren jackson jr.,killian tillie,kyle anderson,tyus jones,brandon clarke,xavier tillman sr.,tyrell terry,shaq buchanan","harrison barnes,tyrese haliburton,de'aaron fox,chimezie metu,richaun holmes,damian jones,buddy hield,maurice harkless,terence davis,marvin bagley iii,tristan thompson,emmanuel mudiay,robert woodard ii,jahmi'us ramsey"
2022-01-25,12.0,0,2.0,5.0,0.4,1.0,2.0,0.5,1.0,2.0,0.5,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,6.0,-11.0,0.51,0.5,0.4,0.4,0.0,8.5,3.6,19.0,0.0,0.0,0.0,21.1,110.0,141.0,-2.6,"jayson tatum,robert williams,jaylen brown,marcus smart,al horford,grant williams,josh richardson,aaron nesmith,dennis schroder,payton pritchard,romeo langford","harrison barnes,tyrese haliburton,richaun holmes,marvin bagley iii,terence davis,davion mitchell,buddy hield,damian jones,jahmi'us ramsey,maurice harkless,robert woodard ii,neemias queta"
2022-01-26,6.73,0,1.0,6.0,0.167,0.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.155,0.167,0.333,0.167,0.0,37.5,15.8,0.0,0.0,0.0,0.0,40.5,33.0,124.0,-29.3,"trae young,john collins,clint capela,kevin huerter,de'andre hunter,delon wright,danilo gallinari,bogdan bogdanovic,onyeka okongwu,skylar mays,timothe luwawu-cabarrot,jalen johnson,gorgui dieng,kevin knox","tyrese haliburton,harrison barnes,davion mitchell,richaun holmes,marvin bagley iii,buddy hield,maurice harkless,damian jones,alex len,jahmi'us ramsey,neemias queta,robert woodard ii"
2022-01-31,8.38,0,1.0,3.0,0.333,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,3.0,0.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,54.9,0.0,0.0,0.0,15.4,133.0,123.0,5.4,"julius randle,evan fournier,rj barrett,mitchell robinson,kemba walker,alec burks,quentin grimes,nerlens noel,obi toppin,immanuel quickley,cam reddish,taj gibson,miles mcbride,jericho sims","tyrese haliburton,davion mitchell,harrison barnes,richaun holmes,maurice harkless,buddy hield,chimezie metu,damian jones,jahmi'us ramsey,neemias queta,robert woodard ii"
2022-02-02,3.63,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,-3.0,1.5,1.5,1.0,0.0,0.0,0.0,0.0,47.5,0.0,0.0,0.0,11.8,282.0,119.0,28.4,"james harden,kyrie irving,patty mills,nic claxton,kessler edwards,james johnson,cam thomas,blake griffin,bruce brown,deandre' bembry","tyrese haliburton,davion mitchell,maurice harkless,harrison barnes,richaun holmes,buddy hield,damian jones,chimezie metu"
