date,mp,home,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opponent,team
2022-10-30,19.0,1,1.0,7.0,0.143,1.0,4.0,0.25,2.0,2.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,5.0,2.0,0.317,0.214,0.571,0.286,5.9,4.7,5.2,15.1,0.0,0.0,0.0,17.2,99.0,108.0,-7.7,"anthony edwards,jaden mcdaniels,karl-anthony towns,d'angelo russell,rudy gobert,taurean prince,bryn forbes,kyle anderson,jaylen nowell,naz reid,austin rivers","keldon johnson,romeo langford,jakob poeltl,tre jones,keita bates-diop,doug mcdermott,zach collins,blake wesley,gorgui dieng"
2022-11-02,22.7,1,4.0,11.0,0.364,2.0,6.0,0.333,3.0,4.0,0.75,1.0,1.0,2.0,3.0,0.0,0.0,1.0,1.0,13.0,-11.0,0.509,0.455,0.545,0.364,3.9,5.0,4.4,22.2,0.0,0.0,7.3,23.6,108.0,134.0,-3.0,"scottie barnes,pascal siakam,gary trent jr.,og anunoby,christian koloko,chris boucher,precious achiuwa,dalano banton,khem birch,otto porter jr.,malachi flynn,thaddeus young,juancho hernangomez,jeff dowtin","keita bates-diop,tre jones,jakob poeltl,romeo langford,jeremy sochan,zach collins,doug mcdermott,jordan hall,josh richardson,gorgui dieng,charles bassey,dominick barlow"
2022-11-04,13.92,1,1.0,3.0,0.333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,0.333,0.333,0.333,0.0,0.0,32.3,13.1,8.9,0.0,0.0,0.0,9.5,82.0,116.0,-8.2,"paul george,reggie jackson,ivica zubac,marcus morris,luke kennard,john wall,norman powell,nicolas batum,amir coffey,terance mann","keldon johnson,tre jones,jakob poeltl,jeremy sochan,devin vassell,doug mcdermott,josh richardson,zach collins,keita bates-diop"
2022-11-05,22.62,0,2.0,7.0,0.286,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,2.0,0.0,4.0,-7.0,0.286,0.286,0.571,0.0,0.0,13.3,5.7,12.2,2.2,0.0,22.2,18.5,55.0,131.0,-14.2,"michael porter jr.,kentavious caldwell-pope,nikola jokic,jamal murray,aaron gordon,jeff green,bones hyland,bruce brown,deandre jordan,christian braun,vlatko cancar,davon reed","keldon johnson,jakob poeltl,jeremy sochan,tre jones,devin vassell,josh richardson,keita bates-diop,isaiah roby,doug mcdermott,gorgui dieng,jordan hall"
2022-11-19,9.6,0,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,4.0,0.75,0.75,1.0,0.0,0.0,14.3,6.4,16.1,0.0,0.0,0.0,9.0,168.0,131.0,0.5,"reggie jackson,marcus morris,ivica zubac,kawhi leonard,paul george,norman powell,terance mann,john wall,nicolas batum,moses brown,amir coffey,robert covington","jeremy sochan,keita bates-diop,keldon johnson,tre jones,jakob poeltl,charles bassey,isaiah roby,josh richardson,doug mcdermott,jordan hall,dominick barlow"
2022-11-20,5.65,0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,-7.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3,42.7,0.0,124.0,-47.5,"anthony davis,lonnie walker iv,austin reaves,troy brown jr.,patrick beverley,thomas bryant,dennis schroder,russell westbrook,kendrick nunn,wenyen gabriel,matt ryan,damian jones","keldon johnson,devin vassell,jeremy sochan,tre jones,gorgui dieng,charles bassey,doug mcdermott,josh richardson,keita bates-diop,isaiah roby,jordan hall,dominick barlow"
2022-11-25,13.7,1,1.0,3.0,0.333,1.0,2.0,0.5,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,3.0,7.0,0.5,0.5,0.667,0.0,0.0,17.5,7.1,10.2,0.0,0.0,25.0,11.4,85.0,110.0,-5.8,"anthony davis,lonnie walker iv,lebron james,troy brown jr.,dennis schroder,austin reaves,russell westbrook,kendrick nunn,wenyen gabriel,max christie,juan toscano-anderson","devin vassell,jeremy sochan,keldon johnson,tre jones,jakob poeltl,romeo langford,zach collins,isaiah roby,keita bates-diop,charles bassey,jordan hall"
2022-11-26,16.95,1,3.0,4.0,0.75,2.0,3.0,0.667,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,8.0,-12.0,1.0,1.0,0.75,0.0,0.0,8.6,3.3,12.7,0.0,0.0,20.0,11.4,153.0,138.0,0.3,"lonnie walker iv,lebron james,dennis schroder,troy brown jr.,thomas bryant,austin reaves,russell westbrook,wenyen gabriel,kendrick nunn","devin vassell,keldon johnson,tre jones,jeremy sochan,jakob poeltl,doug mcdermott,romeo langford,zach collins,isaiah roby,charles bassey"
2022-11-30,19.38,0,3.0,6.0,0.5,0.0,3.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,3.0,1.0,0.0,0.0,4.0,7.0,-3.0,0.509,0.5,0.5,0.333,0.0,0.0,0.0,22.1,2.5,0.0,0.0,15.1,120.0,123.0,-3.9,"luguentz dort,jalen williams,josh giddey,jeremiah robinson-earl,aleksej pokusevski,tre mann,ousmane dieng,kenrich williams,darius bazley,isaiah joe,aaron wiggins","devin vassell,keldon johnson,tre jones,keita bates-diop,zach collins,romeo langford,isaiah roby,doug mcdermott,alize johnson"
2022-12-02,19.95,1,2.0,8.0,0.25,1.0,4.0,0.25,0.0,0.0,0.0,0.0,4.0,4.0,3.0,0.0,1.0,3.0,2.0,5.0,-12.0,0.313,0.313,0.5,0.0,0.0,19.6,9.4,21.7,0.0,4.8,27.3,22.6,56.0,114.0,-10.5,"zion williamson,trey murphy iii,cj mccollum,dyson daniels,jonas valanciunas,jose alvarado,larry nance jr.,naji marshall,devonte' graham,garrett temple","keldon johnson,devin vassell,keita bates-diop,tre jones,zach collins,romeo langford,charles bassey,isaiah roby,alize johnson"
