date,mp,home,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opponent,team
2020-12-23,34.85,1,8.0,16.0,0.5,2.0,4.0,0.5,3.0,3.0,1.0,2.0,5.0,7.0,8.0,2.0,0.0,1.0,2.0,21.0,0.0,0.606,0.563,0.25,0.188,6.1,15.3,10.7,31.5,2.6,0.0,5.5,21.1,133.0,101.0,9.9,"julius randle,rj barrett,reggie bullock,elfrid payton,mitchell robinson,alec burks,obi toppin,kevin knox,immanuel quickley,nerlens noel,frank ntilikina,theo pinson","domantas sabonis,myles turner,victor oladipo,t.j. warren,doug mcdermott,justin holiday,t.j. mcconnell,aaron holiday"
2020-12-26,28.87,0,8.0,14.0,0.571,1.0,4.0,0.25,1.0,1.0,1.0,0.0,2.0,2.0,6.0,1.0,0.0,1.0,1.0,18.0,8.0,0.623,0.607,0.286,0.071,0.0,6.3,3.7,25.8,1.6,0.0,6.5,21.9,130.0,108.0,3.1,"zach lavine,wendell carter jr.,lauri markkanen,coby white,patrick williams,garrett temple,otto porter jr.,denzel valentine,daniel gafford,ryan arcidiacono,chandler hutchison,adam mokoka","domantas sabonis,t.j. warren,myles turner,victor oladipo,justin holiday,doug mcdermott,t.j. mcconnell,aaron holiday,kelan martin,cassius stanley,jalen lecque"
2020-12-27,36.33,1,11.0,20.0,0.55,2.0,7.0,0.286,1.0,2.0,0.5,0.0,5.0,5.0,5.0,2.0,0.0,5.0,0.0,25.0,-4.0,0.599,0.6,0.35,0.1,0.0,18.9,8.6,21.7,2.6,0.0,19.3,30.9,100.0,108.0,2.1,"jayson tatum,jaylen brown,marcus smart,tristan thompson,daniel theis,payton pritchard,grant williams,robert williams","domantas sabonis,t.j. warren,myles turner,aaron holiday,justin holiday,doug mcdermott,t.j. mcconnell"
2020-12-29,34.58,1,7.0,15.0,0.467,3.0,9.0,0.333,2.0,2.0,1.0,1.0,2.0,3.0,7.0,0.0,0.0,2.0,4.0,19.0,0.0,0.598,0.567,0.6,0.133,4.0,6.3,5.3,29.2,0.0,0.0,11.2,23.6,119.0,125.0,-0.1,"jayson tatum,jaylen brown,marcus smart,tristan thompson,daniel theis,payton pritchard,javonte green,robert williams,grant williams","domantas sabonis,victor oladipo,myles turner,t.j. warren,justin holiday,doug mcdermott,aaron holiday,t.j. mcconnell"
2020-12-31,36.93,1,5.0,13.0,0.385,2.0,4.0,0.5,5.0,6.0,0.833,0.0,4.0,4.0,5.0,3.0,0.0,2.0,2.0,17.0,29.0,0.543,0.462,0.308,0.462,0.0,11.3,6.0,18.3,3.9,0.0,11.3,20.6,112.0,98.0,0.8,"darius garland,collin sexton,larry nance jr.,andre drummond,cedi osman,javale mcgee,dean wade,marques bolden,lamar stevens","domantas sabonis,victor oladipo,myles turner,aaron holiday,doug mcdermott,justin holiday,kelan martin,t.j. mcconnell,edmond sumner,jalen lecque,cassius stanley"
2021-01-02,41.28,1,12.0,18.0,0.667,7.0,10.0,0.7,2.0,2.0,1.0,0.0,3.0,3.0,7.0,2.0,0.0,1.0,2.0,33.0,-4.0,0.874,0.861,0.556,0.111,0.0,9.4,4.2,40.6,2.5,0.0,5.0,23.1,164.0,115.0,19.1,"rj barrett,julius randle,elfrid payton,reggie bullock,mitchell robinson,austin rivers,nerlens noel,kevin knox,immanuel quickley","domantas sabonis,victor oladipo,myles turner,aaron holiday,justin holiday,doug mcdermott,t.j. mcconnell,kelan martin"
2021-01-04,45.75,0,8.0,18.0,0.444,4.0,9.0,0.444,1.0,2.0,0.5,0.0,7.0,7.0,11.0,3.0,1.0,0.0,1.0,21.0,9.0,0.556,0.556,0.5,0.111,0.0,15.3,8.2,35.7,3.2,1.6,0.0,19.4,129.0,104.0,8.5,"brandon ingram,lonzo ball,zion williamson,steven adams,josh hart,jaxson hayes,nickeil alexander-walker","victor oladipo,domantas sabonis,myles turner,aaron holiday,justin holiday,doug mcdermott,t.j. mcconnell"
2021-01-06,39.12,1,13.0,25.0,0.52,4.0,6.0,0.667,5.0,5.0,1.0,1.0,1.0,2.0,7.0,3.0,0.0,1.0,3.0,35.0,-1.0,0.643,0.6,0.24,0.2,3.0,3.4,3.2,33.0,3.7,0.0,3.5,31.6,134.0,107.0,12.6,"james harden,david nwaba,john wall,p.j. tucker,demarcus cousins,eric gordon,jae'sean tate,sterling brown","domantas sabonis,victor oladipo,myles turner,aaron holiday,justin holiday,t.j. mcconnell,doug mcdermott"
2021-01-09,39.23,1,7.0,20.0,0.35,3.0,6.0,0.5,5.0,5.0,1.0,2.0,4.0,6.0,9.0,0.0,0.0,2.0,1.0,22.0,-7.0,0.495,0.425,0.3,0.25,5.0,11.4,8.0,31.1,0.0,0.0,8.3,26.3,117.0,131.0,1.0,"devin booker,mikal bridges,deandre ayton,chris paul,jae crowder,cameron johnson,dario saric,jevon carter,langston galloway","domantas sabonis,myles turner,victor oladipo,aaron holiday,justin holiday,doug mcdermott,edmond sumner,cassius stanley"
2021-01-11,37.85,0,9.0,19.0,0.474,4.0,10.0,0.4,2.0,2.0,1.0,1.0,3.0,4.0,9.0,1.0,0.0,2.0,2.0,24.0,-5.0,0.604,0.579,0.526,0.105,2.7,11.2,6.3,32.1,1.2,0.0,9.1,23.7,126.0,127.0,3.3,"de'aaron fox,harrison barnes,richaun holmes,buddy hield,marvin bagley iii,tyrese haliburton,cory joseph","domantas sabonis,victor oladipo,justin holiday,myles turner,doug mcdermott,aaron holiday,edmond sumner"
