date,mp,home,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opponent,team
2021-01-06,18.18,0,4.0,9.0,0.444,2.0,6.0,0.333,2.0,2.0,1.0,2.0,0.0,2.0,2.0,0.0,0.0,3.0,3.0,12.0,-11.0,0.607,0.556,0.667,0.222,13.5,0.0,6.4,20.8,0.0,0.0,23.3,30.6,107.0,112.0,0.1,"stephen curry,andrew wiggins,draymond green,kelly oubre jr.,james wiseman,damion lee,eric paschall,kent bazemore,kevon looney,mychal mulder","paul george,kawhi leonard,serge ibaka,patrick beverley,nicolas batum,luke kennard,ivica zubac,reggie jackson,mfiondu kabengele,terance mann"
2021-01-08,17.72,0,1.0,7.0,0.143,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,-20.0,0.143,0.143,0.286,0.0,0.0,15.1,7.2,7.3,0.0,0.0,12.5,20.3,38.0,128.0,-19.2,"stephen curry,draymond green,andrew wiggins,kelly oubre jr.,james wiseman,damion lee,eric paschall,kent bazemore,mychal mulder,kevon looney","paul george,kawhi leonard,serge ibaka,nicolas batum,patrick beverley,luke kennard,ivica zubac,reggie jackson,terance mann,amir coffey,mfiondu kabengele,daniel oturu"
2021-01-10,25.07,1,3.0,8.0,0.375,3.0,5.0,0.6,2.0,2.0,1.0,2.0,5.0,7.0,0.0,0.0,0.0,1.0,3.0,11.0,1.0,0.619,0.563,0.625,0.25,8.1,36.8,18.4,0.0,0.0,0.0,10.1,16.7,123.0,133.0,-6.4,"coby white,zach lavine,garrett temple,patrick williams,wendell carter jr.,thaddeus young,denzel valentine,daniel gafford,adam mokoka","paul george,kawhi leonard,nicolas batum,serge ibaka,patrick beverley,luke kennard,ivica zubac,terance mann"
2021-01-13,20.5,1,3.0,8.0,0.375,2.0,4.0,0.5,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,2.0,8.0,2.0,0.5,0.5,0.5,0.0,0.0,15.6,8.4,0.0,0.0,0.0,11.1,22.0,77.0,120.0,-11.2,"brandon ingram,josh hart,nickeil alexander-walker,steven adams,jaxson hayes,kira lewis jr.","kawhi leonard,paul george,patrick beverley,nicolas batum,serge ibaka,ivica zubac,luke kennard"
2021-01-15,21.95,0,7.0,12.0,0.583,4.0,6.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,18.0,7.0,0.75,0.75,0.5,0.0,0.0,0.0,0.0,6.0,2.3,0.0,7.7,26.6,141.0,110.0,5.8,"harrison barnes,marvin bagley iii,richaun holmes,buddy hield,de'aaron fox,tyrese haliburton,chimezie metu,cory joseph,justin james,robert woodard ii","paul george,kawhi leonard,nicolas batum,reggie jackson,serge ibaka,terance mann,luke kennard,ivica zubac,amir coffey,daniel oturu,mfiondu kabengele"
2021-01-17,26.57,1,7.0,11.0,0.636,4.0,7.0,0.571,2.0,3.0,0.667,2.0,5.0,7.0,3.0,1.0,0.0,1.0,1.0,20.0,35.0,0.812,0.818,0.636,0.273,10.0,18.4,14.9,15.3,1.8,0.0,7.5,21.5,159.0,92.0,15.1,"justin holiday,domantas sabonis,malcolm brogdon,doug mcdermott,edmond sumner,t.j. mcconnell,aaron holiday,goga bitadze,cassius stanley,kelan martin,jalen lecque","paul george,kawhi leonard,patrick beverley,nicolas batum,ivica zubac,luke kennard,reggie jackson,terance mann,amir coffey,daniel oturu,mfiondu kabengele"
2021-01-20,26.32,1,2.0,8.0,0.25,2.0,5.0,0.4,2.0,2.0,1.0,0.0,4.0,4.0,1.0,1.0,0.0,1.0,2.0,8.0,6.0,0.45,0.375,0.625,0.25,0.0,15.9,8.4,4.9,1.8,0.0,10.1,16.4,87.0,97.0,-5.7,"richaun holmes,de'aaron fox,harrison barnes,marvin bagley iii,buddy hield,tyrese haliburton,cory joseph,chimezie metu,justin james","kawhi leonard,paul george,nicolas batum,patrick beverley,serge ibaka,luke kennard,ivica zubac,terance mann,mfiondu kabengele,reggie jackson,daniel oturu"
2021-01-22,24.25,1,3.0,7.0,0.429,1.0,3.0,0.333,0.0,0.0,0.0,1.0,3.0,4.0,0.0,0.0,1.0,2.0,2.0,7.0,11.0,0.5,0.5,0.429,0.0,5.8,13.8,10.3,0.0,0.0,4.4,22.2,16.5,85.0,112.0,-8.4,"shai gilgeous-alexander,darius bazley,luguentz dort,george hill,isaiah roby,hamidou diallo,theo maledon,mike muscala,aleksej pokusevski,kenrich williams","kawhi leonard,paul george,nicolas batum,patrick beverley,serge ibaka,luke kennard,ivica zubac,daniel oturu,mfiondu kabengele,terance mann"
2021-01-26,24.28,0,3.0,9.0,0.333,0.0,0.0,0.0,4.0,4.0,1.0,2.0,3.0,5.0,0.0,1.0,0.0,1.0,2.0,10.0,-5.0,0.465,0.333,0.0,0.444,7.9,14.1,10.7,0.0,2.1,0.0,8.5,21.0,100.0,116.0,-6.1,"trae young,de'andre hunter,john collins,kevin huerter,clint capela,brandon goodwin,danilo gallinari,skylar mays","reggie jackson,terance mann,nicolas batum,serge ibaka,luke kennard,ivica zubac,amir coffey"
2021-01-28,26.15,0,5.0,13.0,0.385,2.0,8.0,0.25,4.0,4.0,1.0,1.0,4.0,5.0,1.0,1.0,0.0,1.0,2.0,16.0,-8.0,0.542,0.462,0.615,0.308,3.7,14.7,9.2,6.8,1.9,0.0,6.3,26.6,112.0,110.0,-2.1,"bam adebayo,kendrick nunn,duncan robinson,tyler herro,kelly olynyk,gabe vincent,kz okpala,max strus,precious achiuwa","reggie jackson,nicolas batum,luke kennard,terance mann,serge ibaka,ivica zubac,amir coffey"
2021-01-29,23.85,0,5.0,10.0,0.5,2.0,4.0,0.5,1.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,13.0,6.0,0.623,0.6,0.4,0.1,0.0,3.9,2.1,11.2,4.1,3.6,0.0,19.1,131.0,89.0,10.5,"cole anthony,aaron gordon,nikola vucevic,evan fournier,gary clark,khem birch,terrence ross,mo bamba,jordan bone","kawhi leonard,paul george,nicolas batum,reggie jackson,serge ibaka,luke kennard,ivica zubac,terance mann,mfiondu kabengele,amir coffey,daniel oturu"
2021-01-31,28.28,0,4.0,8.0,0.5,3.0,6.0,0.5,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,11.0,9.0,0.688,0.688,0.75,0.0,0.0,12.4,6.9,0.0,0.0,0.0,0.0,13.5,133.0,129.0,-2.7,"julius randle,rj barrett,mitchell robinson,reggie bullock,elfrid payton,immanuel quickley,alec burks,taj gibson,austin rivers,obi toppin","kawhi leonard,paul george,reggie jackson,serge ibaka,ivica zubac,terance mann,luke kennard,amir coffey,mfiondu kabengele"
2021-02-02,30.58,0,6.0,10.0,0.6,3.0,6.0,0.5,1.0,1.0,1.0,0.0,4.0,4.0,0.0,1.0,1.0,0.0,2.0,16.0,-9.0,0.766,0.75,0.6,0.1,0.0,18.5,7.6,0.0,1.6,3.3,0.0,14.3,153.0,125.0,5.2,"james harden,kevin durant,kyrie irving,joe harris,jeff green,deandre jordan,bruce brown,timothe luwawu-cabarrot,landry shamet","kawhi leonard,nicolas batum,paul george,reggie jackson,serge ibaka,ivica zubac,luke kennard"
2021-02-03,23.22,0,1.0,3.0,0.333,0.0,2.0,0.0,1.0,2.0,0.5,0.0,3.0,3.0,0.0,0.0,0.0,2.0,1.0,3.0,-12.0,0.387,0.333,0.667,0.667,0.0,12.7,7.5,0.0,0.0,0.0,34.0,12.1,52.0,111.0,-12.1,"collin sexton,darius garland,taurean prince,isaac okoro,andre drummond,jarrett allen,lamar stevens,dylan windler,cedi osman,dean wade","paul george,kawhi leonard,nicolas batum,reggie jackson,serge ibaka,ivica zubac,luke kennard,terance mann,amir coffey,mfiondu kabengele"
2021-02-05,28.0,1,5.0,11.0,0.455,3.0,5.0,0.6,0.0,0.0,0.0,0.0,4.0,4.0,2.0,1.0,0.0,0.0,1.0,13.0,-4.0,0.591,0.591,0.455,0.0,0.0,14.9,8.5,10.3,1.8,0.0,0.0,17.7,130.0,126.0,1.7,"jayson tatum,kemba walker,grant williams,tristan thompson,daniel theis,carsen edwards,payton pritchard,robert williams","nicolas batum,kawhi leonard,serge ibaka,luke kennard,reggie jackson,ivica zubac,terance mann"
2021-02-07,25.13,1,5.0,11.0,0.455,3.0,5.0,0.6,3.0,3.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,16.0,9.0,0.649,0.591,0.455,0.273,0.0,11.9,5.5,0.0,0.0,0.0,0.0,19.9,139.0,119.0,3.0,"buddy hield,de'aaron fox,harrison barnes,richaun holmes,marvin bagley iii,tyrese haliburton,cory joseph,kyle guy,chimezie metu","kawhi leonard,reggie jackson,nicolas batum,serge ibaka,luke kennard,ivica zubac,terance mann"
2021-02-10,25.47,0,3.0,12.0,0.25,2.0,7.0,0.286,2.0,2.0,1.0,0.0,4.0,4.0,1.0,1.0,0.0,1.0,1.0,10.0,-1.0,0.388,0.333,0.583,0.167,0.0,14.2,8.3,5.3,1.9,0.0,7.2,23.8,86.0,114.0,-9.3,"malik beasley,karl-anthony towns,anthony edwards,ricky rubio,josh okogie,naz reid,jordan mclaughlin,jaden mcdaniels,jaylen nowell,jarred vanderbilt","kawhi leonard,nicolas batum,reggie jackson,serge ibaka,patrick beverley,terance mann,ivica zubac,luke kennard"
2021-02-12,24.6,0,6.0,10.0,0.6,6.0,8.0,0.75,2.0,2.0,1.0,2.0,4.0,6.0,1.0,0.0,1.0,1.0,1.0,20.0,7.0,0.919,0.9,0.8,0.2,10.5,19.0,15.0,5.1,0.0,3.7,8.4,22.8,166.0,115.0,14.1,"patrick williams,zach lavine,coby white,garrett temple,daniel gafford,thaddeus young,denzel valentine,luke kornet,ryan arcidiacono,adam mokoka","kawhi leonard,nicolas batum,reggie jackson,serge ibaka,patrick beverley,terance mann,luke kennard,ivica zubac,mfiondu kabengele"
2021-02-14,25.73,1,7.0,14.0,0.5,4.0,6.0,0.667,5.0,5.0,1.0,3.0,3.0,6.0,1.0,1.0,2.0,1.0,4.0,23.0,2.0,0.71,0.643,0.429,0.357,13.6,12.2,12.9,6.4,1.8,5.5,5.8,28.2,143.0,106.0,9.0,"collin sexton,isaac okoro,darius garland,jarrett allen,taurean prince,cedi osman,dylan windler,lamar stevens,javale mcgee,dean wade","reggie jackson,nicolas batum,serge ibaka,patrick beverley,luke kennard,terance mann,ivica zubac,amir coffey,mfiondu kabengele"
