date,mp,home,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opponent,team
2020-12-22,19.0,1,1.0,3.0,0.333,1.0,2.0,0.5,2.0,3.0,0.667,1.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,5.0,14.0,0.579,0.5,0.667,1.0,6.8,15.8,11.9,7.1,0.0,0.0,0.0,9.6,138.0,114.0,3.5,"paul george,kawhi leonard,nicolas batum,patrick beverley,serge ibaka,ivica zubac,luke kennard,reggie jackson,terance mann,amir coffey,mfiondu kabengele","anthony davis,lebron james,dennis schroder,kentavious caldwell-pope,montrezl harrell,kyle kuzma,alex caruso,wesley matthews,talen horton-tucker"
2020-12-25,15.33,1,3.0,5.0,0.6,3.0,5.0,0.6,0.0,0.0,0.0,3.0,4.0,7.0,2.0,1.0,0.0,0.0,0.0,9.0,3.0,0.9,0.9,1.0,0.0,22.9,32.1,27.4,15.0,3.2,0.0,0.0,13.3,204.0,114.0,20.1,"luka doncic,dorian finney-smith,tim hardaway jr.,josh richardson,dwight powell,trey burke,maxi kleber,willie cauley-stein,jalen brunson,james johnson,boban marjanovic,wes iwundu,josh green,tyrell terry","lebron james,anthony davis,dennis schroder,kentavious caldwell-pope,montrezl harrell,kyle kuzma,wesley matthews,alex caruso,talen horton-tucker,alfonzo mckinnie"
2020-12-27,15.1,1,3.0,7.0,0.429,1.0,4.0,0.25,0.0,0.0,0.0,1.0,5.0,6.0,1.0,0.0,2.0,1.0,3.0,7.0,1.0,0.5,0.5,0.571,0.0,8.8,27.4,20.3,7.9,0.0,9.3,12.5,22.1,96.0,79.0,-1.7,"naz reid,malik beasley,d'angelo russell,jake layman,josh okogie,jarrett culver,anthony edwards,ricky rubio,jordan mclaughlin,jarred vanderbilt,juancho hernangomez,jaden mcdaniels","kyle kuzma,lebron james,dennis schroder,kentavious caldwell-pope,talen horton-tucker,montrezl harrell,wesley matthews,alex caruso,alfonzo mckinnie,kostas antetokounmpo"
2020-12-28,6.75,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,-10.0,0.0,0.0,0.0,0.0,0.0,16.9,8.3,17.3,0.0,15.5,0.0,6.5,52.0,109.0,-0.2,"robert covington,cj mccollum,derrick jones jr.,damian lillard,jusuf nurkic,gary trent jr.,anfernee simons","anthony davis,dennis schroder,lebron james,kentavious caldwell-pope,montrezl harrell,kyle kuzma,wesley matthews,talen horton-tucker"
2020-12-30,19.38,0,1.0,3.0,0.333,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,1.0,0.0,0.0,1.0,3.0,2.0,-6.0,0.333,0.333,0.667,0.0,0.0,31.6,17.3,5.7,0.0,0.0,25.0,9.2,64.0,108.0,-6.9,"demar derozan,dejounte murray,lonnie walker iv,keldon johnson,jakob poeltl,rudy gay,drew eubanks,patty mills,devin vassell,tre jones,keita bates-diop,luka samanic","lebron james,dennis schroder,anthony davis,kentavious caldwell-pope,kyle kuzma,montrezl harrell,wesley matthews,alfonzo mckinnie"
2021-01-01,12.95,0,1.0,4.0,0.25,1.0,4.0,0.25,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,3.0,3.0,6.0,0.375,0.375,1.0,0.0,0.0,29.7,14.4,0.0,0.0,0.0,0.0,12.2,84.0,104.0,-10.0,"demar derozan,keldon johnson,dejounte murray,lonnie walker iv,jakob poeltl,patty mills,rudy gay,drew eubanks,derrick white","lebron james,anthony davis,dennis schroder,kentavious caldwell-pope,wesley matthews,kyle kuzma,montrezl harrell,talen horton-tucker"
2021-01-03,14.35,0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,0.0,6.6,3.4,8.2,0.0,0.0,0.0,6.2,33.0,110.0,-8.6,"kyle anderson,tyus jones,dillon brooks,brandon clarke,jonas valanciunas,desmond bane,gorgui dieng,xavier tillman sr.,john konchar,grayson allen,sean mcdermott","anthony davis,lebron james,dennis schroder,kyle kuzma,wesley matthews,talen horton-tucker,montrezl harrell,alfonzo mckinnie"
2021-01-05,14.47,0,2.0,6.0,0.333,1.0,3.0,0.333,0.0,0.0,0.0,2.0,4.0,6.0,1.0,0.0,0.0,0.0,3.0,5.0,-10.0,0.417,0.417,0.5,0.0,15.8,27.6,22.1,10.6,0.0,0.0,0.0,18.3,106.0,98.0,-1.8,"tyus jones,dillon brooks,kyle anderson,brandon clarke,jonas valanciunas,desmond bane,gorgui dieng,xavier tillman sr.,de'anthony melton,grayson allen","dennis schroder,anthony davis,lebron james,kyle kuzma,wesley matthews,talen horton-tucker,montrezl harrell"
2021-01-07,12.63,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,8.8,16.9,13.0,0.0,0.0,0.0,100.0,3.5,57.0,123.0,-11.1,"demar derozan,dejounte murray,keldon johnson,lonnie walker iv,patty mills,rudy gay,jakob poeltl,devin vassell,keita bates-diop,tre jones,trey lyles,luka samanic","lebron james,anthony davis,kyle kuzma,dennis schroder,wesley matthews,talen horton-tucker,alex caruso,montrezl harrell,alfonzo mckinnie"
2021-01-08,29.12,1,5.0,8.0,0.625,1.0,3.0,0.333,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,1.0,1.0,2.0,11.0,10.0,0.688,0.688,0.375,0.0,0.0,24.1,11.9,0.0,0.0,2.5,11.1,13.8,117.0,118.0,-1.6,"zach lavine,patrick williams,coby white,wendell carter jr.,otto porter jr.,thaddeus young,garrett temple,denzel valentine,daniel gafford,adam mokoka","dennis schroder,lebron james,wesley matthews,montrezl harrell,talen horton-tucker,kyle kuzma,alex caruso"
