date,mp,home,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opponent,team
2020-12-22,12.43,0,4.0,10.0,0.4,1.0,3.0,0.333,0.0,0.0,0.0,3.0,5.0,8.0,1.0,0.0,0.0,0.0,2.0,9.0,-6.0,0.45,0.45,0.3,0.0,20.3,41.1,29.7,17.9,0.0,0.0,0.0,30.4,103.0,109.0,3.2,"kyrie irving,kevin durant,joe harris,spencer dinwiddie,deandre jordan,caris levert,landry shamet,jarrett allen,jeff green,taurean prince,reggie perry,bruce brown,timothe luwawu-cabarrot","andrew wiggins,stephen curry,kelly oubre jr.,james wiseman,eric paschall,jordan poole,juan toscano-anderson,damion lee,kent bazemore,kevon looney,mychal mulder"
2020-12-25,14.28,0,1.0,4.0,0.25,0.0,2.0,0.0,2.0,4.0,0.5,0.0,5.0,5.0,1.0,0.0,2.0,2.0,1.0,4.0,-19.0,0.347,0.25,0.5,1.0,0.0,38.2,16.3,11.0,0.0,12.4,25.8,21.6,58.0,119.0,-6.7,"giannis antetokounmpo,khris middleton,jrue holiday,donte divincenzo,brook lopez,bobby portis,pat connaughton,d.j. wilson,bryn forbes,jordan nwora,thanasis antetokounmpo,torrey craig,sam merrill","stephen curry,james wiseman,eric paschall,andrew wiggins,kelly oubre jr.,jordan poole,damion lee,mychal mulder,juan toscano-anderson,kevon looney,kent bazemore"
2021-12-21,16.4,1,3.0,5.0,0.6,0.0,2.0,0.0,0.0,0.0,0.0,1.0,7.0,8.0,0.0,0.0,1.0,0.0,3.0,6.0,10.0,0.6,0.6,0.4,0.0,7.3,47.6,28.2,0.0,0.0,7.5,0.0,13.8,127.0,102.0,-3.4,"jaden mcdaniels,karl-anthony towns,d'angelo russell,malik beasley,leandro bolmaro,jaylen nowell,jordan mclaughlin,naz reid,nathan knight,jake layman","dorian finney-smith,jalen brunson,sterling brown,frank ntilikina,dwight powell,trey burke,theo pinson,boban marjanovic,jaquori mclaughlin,moses brown"
2021-12-23,12.95,1,6.0,11.0,0.545,0.0,2.0,0.0,1.0,2.0,0.5,3.0,2.0,5.0,0.0,2.0,0.0,3.0,6.0,13.0,-7.0,0.547,0.545,0.182,0.182,22.7,18.1,20.6,0.0,7.8,0.0,20.2,52.8,88.0,93.0,-7.2,"jrue holiday,khris middleton,pat connaughton,demarcus cousins,jordan nwora,george hill,grayson allen,wesley matthews","jalen brunson,dorian finney-smith,frank ntilikina,sterling brown,dwight powell,theo pinson,carlik jones,moses brown,george king"
2021-12-25,10.62,0,1.0,3.0,0.333,0.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,5.0,0.0,0.0,1.0,2.0,5.0,4.0,-6.0,0.515,0.333,0.0,0.667,10.3,37.7,24.6,0.0,0.0,8.4,34.0,22.6,79.0,105.0,-13.5,"donovan mitchell,rudy gobert,mike conley,royce o'neale,bojan bogdanovic,jordan clarkson,joe ingles,rudy gay","jalen brunson,frank ntilikina,kristaps porzingis,sterling brown,dwight powell,theo pinson,moses brown,george king,charlie brown jr."
2021-12-27,9.33,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,-5.0,1.0,1.0,0.0,0.0,0.0,13.2,6.9,0.0,0.0,0.0,50.0,9.2,68.0,123.0,-11.8,"damian lillard,nassir little,larry nance jr.,norman powell,anfernee simons,cj elleby,greg brown iii,brandon williams","dorian finney-smith,kristaps porzingis,jalen brunson,dwight powell,frank ntilikina,josh green,moses brown,charlie brown jr.,theo pinson,sterling brown,carlik jones,george king,boban marjanovic"
2021-12-31,18.48,0,4.0,5.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,1.0,1.0,2.0,8.0,9.0,0.8,0.8,0.0,0.0,0.0,40.4,22.7,0.0,0.0,4.2,16.7,15.3,117.0,99.0,-1.3,"tyrese haliburton,de'aaron fox,harrison barnes,richaun holmes,marvin bagley iii,buddy hield,davion mitchell,chimezie metu,damian jones,jahmi'us ramsey,robert woodard ii","dorian finney-smith,jalen brunson,kristaps porzingis,reggie bullock,dwight powell,josh green,sterling brown,theo pinson,carlik jones,charlie brown jr.,george king,moses brown"
2022-01-02,14.02,0,6.0,9.0,0.667,3.0,3.0,1.0,0.0,0.0,0.0,1.0,6.0,7.0,0.0,0.0,0.0,0.0,3.0,15.0,14.0,0.833,0.833,0.333,0.0,8.4,42.8,26.9,0.0,0.0,0.0,0.0,29.6,150.0,91.0,18.0,"aaron wiggins,josh giddey,ty jerome,aleksej pokusevski,isaiah roby,theo maledon,kenrich williams,mike muscala,derrick favors,rob edwards","luka doncic,dorian finney-smith,jalen brunson,dwight powell,maxi kleber,reggie bullock,tim hardaway jr.,josh green,sterling brown,moses brown,theo pinson"
2022-01-03,15.9,1,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,-3.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,7.2,0.0,6.1,95.0,105.0,-6.3,"nikola jokic,aaron gordon,facundo campazzo,will barton,austin rivers,davon reed,bones hyland,jamychal green,vlatko cancar,bol bol,rayjon tucker,carlik jones","luka doncic,jalen brunson,maxi kleber,dwight powell,dorian finney-smith,reggie bullock,tim hardaway jr.,josh green,sterling brown,frank ntilikina,theo pinson"
2022-01-05,4.1,1,1.0,3.0,0.333,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,3.0,-1.0,0.5,0.5,0.333,0.0,24.4,26.6,25.5,55.0,0.0,0.0,0.0,31.8,125.0,86.0,12.7,"stephen curry,andrew wiggins,draymond green,gary payton ii,kevon looney,jordan poole,juan toscano-anderson,damion lee,jonathan kuminga,quinndary weatherspoon,chris chiozza,moses moody","dorian finney-smith,maxi kleber,luka doncic,jalen brunson,dwight powell,reggie bullock,tim hardaway jr.,sterling brown,josh green,frank ntilikina,theo pinson"
