date,mp,home,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opponent,team
2020-12-23,32.2,0,7.0,8.0,0.875,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,8.0,6.0,0.0,0.0,0.0,4.0,14.0,-9.0,0.875,0.875,0.0,0.0,3.5,21.3,13.0,25.9,0.0,0.0,0.0,11.0,183.0,114.0,7.9,"josh okogie,karl-anthony towns,malik beasley,ricky rubio,jake layman,d'angelo russell,anthony edwards,jarrett culver,naz reid,juancho hernangomez","blake griffin,jerami grant,killian hayes,delon wright,josh jackson,derrick rose,svi mykhailiuk,jahlil okafor,sekou doumbouya"
2020-12-26,32.78,1,3.0,6.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,2.0,7.0,9.0,5.0,3.0,0.0,3.0,6.0,6.0,-2.0,0.5,0.5,0.167,0.0,6.6,22.9,14.7,25.5,4.4,0.0,33.3,11.9,95.0,98.0,-1.6,"collin sexton,darius garland,andre drummond,isaac okoro,kevin love,cedi osman,larry nance jr.,javale mcgee","blake griffin,jerami grant,delon wright,killian hayes,derrick rose,svi mykhailiuk,josh jackson,jahlil okafor,sekou doumbouya,saddiq bey"
2020-12-28,33.55,0,4.0,4.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,5.0,7.0,12.0,6.0,3.0,0.0,1.0,4.0,9.0,-4.0,1.014,1.0,0.0,0.25,13.2,25.7,18.5,23.0,4.4,0.0,18.4,6.7,186.0,123.0,7.4,"trae young,de'andre hunter,cam reddish,john collins,clint capela,bogdan bogdanovic,kevin huerter,bruno fernando","jerami grant,saddiq bey,killian hayes,josh jackson,delon wright,isaiah stewart,svi mykhailiuk,sekou doumbouya"
2020-12-29,24.82,1,0.0,5.0,0.0,0.0,1.0,0.0,2.0,4.0,0.5,5.0,5.0,10.0,2.0,0.0,1.0,3.0,2.0,2.0,-20.0,0.148,0.0,0.2,0.8,18.6,29.3,22.8,11.1,0.0,4.5,30.7,15.8,58.0,115.0,-13.4,"andrew wiggins,stephen curry,kelly oubre jr.,juan toscano-anderson,james wiseman,kevon looney,damion lee,eric paschall,mychal mulder,jordan poole","jerami grant,josh jackson,blake griffin,killian hayes,delon wright,derrick rose,isaiah stewart,saddiq bey,svi mykhailiuk,sekou doumbouya"
2021-01-01,29.6,1,3.0,5.0,0.6,0.0,0.0,0.0,2.0,4.0,0.5,5.0,12.0,17.0,1.0,2.0,1.0,1.0,1.0,8.0,8.0,0.592,0.6,0.0,0.8,16.5,45.3,30.0,5.2,3.2,3.1,12.9,10.9,126.0,83.0,6.0,"marcus smart,jaylen brown,jayson tatum,tristan thompson,daniel theis,grant williams,payton pritchard,robert williams,carsen edwards","jerami grant,saddiq bey,josh jackson,killian hayes,derrick rose,delon wright,isaiah stewart,svi mykhailiuk,sekou doumbouya"
2021-01-03,24.63,1,3.0,4.0,0.75,0.0,0.0,0.0,7.0,8.0,0.875,2.0,6.0,8.0,2.0,1.0,1.0,0.0,4.0,13.0,2.0,0.864,0.75,0.0,2.0,10.5,31.6,21.1,11.1,2.0,3.6,0.0,13.8,193.0,122.0,5.1,"jayson tatum,jaylen brown,marcus smart,tristan thompson,daniel theis,payton pritchard,robert williams","jerami grant,blake griffin,killian hayes,josh jackson,derrick rose,saddiq bey,delon wright,isaiah stewart,svi mykhailiuk,sekou doumbouya,jahlil okafor"
2021-01-04,19.98,0,2.0,7.0,0.286,0.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,8.0,6.0,1.0,0.0,2.0,1.0,4.0,-8.0,0.286,0.286,0.143,0.0,20.0,30.0,24.0,37.7,2.3,0.0,22.2,19.4,97.0,120.0,-1.3,"giannis antetokounmpo,khris middleton,jrue holiday,brook lopez,donte divincenzo,bobby portis,bryn forbes,jordan nwora,thanasis antetokounmpo","jerami grant,saddiq bey,killian hayes,svi mykhailiuk,derrick rose,sekou doumbouya,isaiah stewart,delon wright,rodney mcgruder,jahlil okafor"
2021-01-06,16.7,0,2.0,5.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,1.0,0.0,1.0,2.0,4.0,4.0,-22.0,0.4,0.4,0.0,0.0,10.8,21.0,15.3,8.9,0.0,6.1,28.6,16.9,78.0,125.0,-13.0,"khris middleton,jrue holiday,giannis antetokounmpo,brook lopez,donte divincenzo,bobby portis,bryn forbes,jordan nwora,thanasis antetokounmpo","jerami grant,blake griffin,delon wright,saddiq bey,isaiah stewart,svi mykhailiuk,sekou doumbouya,saben lee,jahlil okafor,derrick rose,rodney mcgruder,deividas sirvydis"
2021-01-08,32.95,1,2.0,4.0,0.5,0.0,0.0,0.0,8.0,8.0,1.0,1.0,5.0,6.0,3.0,3.0,1.0,2.0,3.0,12.0,20.0,0.798,0.5,0.0,2.0,3.2,17.5,10.1,14.3,4.5,4.1,21.0,13.1,141.0,92.0,6.1,"devin booker,chris paul,deandre ayton,mikal bridges,jae crowder,dario saric,cameron johnson,cameron payne,jevon carter,langston galloway","jerami grant,blake griffin,delon wright,josh jackson,saddiq bey,derrick rose,svi mykhailiuk,jahlil okafor,frank jackson,isaiah stewart,sekou doumbouya"
2021-01-10,25.9,1,3.0,5.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,8.0,3.0,2.0,1.0,1.0,6.0,6.0,-5.0,0.6,0.6,0.0,0.0,9.6,21.1,14.5,23.7,4.2,3.9,16.7,10.8,122.0,100.0,1.3,"donovan mitchell,rudy gobert,royce o'neale,mike conley,bojan bogdanovic,jordan clarkson,joe ingles,derrick favors,georges niang","jerami grant,delon wright,blake griffin,josh jackson,saddiq bey,svi mykhailiuk,isaiah stewart,frank jackson,jahlil okafor,sekou doumbouya"
