date,mp,home,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opponent,team
2022-10-18,1.87,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.5,1.5,1.0,0.0,0.0,51.4,26.8,0.0,0.0,0.0,0.0,20.4,300.0,105.0,46.1,"stephen curry,andrew wiggins,draymond green,kevon looney,klay thompson,jordan poole,jamychal green,donte divincenzo,james wiseman,jonathan kuminga,moses moody,ryan rollins","anthony davis,lebron james,russell westbrook,lonnie walker iv,patrick beverley,kendrick nunn,matt ryan,austin reaves,juan toscano-anderson,wenyen gabriel,scotty pippen jr.,cole swider"
2022-10-26,2.77,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,7.0,1.136,0.0,0.0,0.0,0.0,35.4,17.2,43.4,0.0,0.0,0.0,13.7,243.0,108.0,26.8,"nikola jokic,bruce brown,aaron gordon,jamal murray,kentavious caldwell-pope,christian braun,jeff green,bones hyland,deandre jordan,peyton watson,vlatko cancar,zeke nnaji,ish smith,jack white,davon reed","anthony davis,lebron james,lonnie walker iv,patrick beverley,austin reaves,troy brown jr.,kendrick nunn,damian jones,juan toscano-anderson,matt ryan,wenyen gabriel"
2022-11-04,1.28,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.2,0.0,144.0,-45.0,"lauri markkanen,mike conley,kelly olynyk,jordan clarkson,jarred vanderbilt,collin sexton,talen horton-tucker,malik beasley,walker kessler,rudy gay,nickeil alexander-walker,ochai agbaji,udoka azubuike,simone fontecchio","anthony davis,lebron james,lonnie walker iv,patrick beverley,troy brown jr.,russell westbrook,austin reaves,juan toscano-anderson,wenyen gabriel,matt ryan,damian jones,kendrick nunn"
2022-11-06,4.83,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8,200.0,121.0,0.4,"darius garland,donovan mitchell,evan mobley,caris levert,jarrett allen,dean wade,kevin love,cedi osman,robin lopez,isaac okoro","lebron james,anthony davis,troy brown jr.,lonnie walker iv,kendrick nunn,russell westbrook,austin reaves,matt ryan,wenyen gabriel,juan toscano-anderson"
2022-11-07,29.05,0,3.0,7.0,0.429,2.0,4.0,0.5,0.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,0.0,1.0,0.0,8.0,-16.0,0.571,0.571,0.571,0.0,4.3,0.0,2.2,9.4,3.2,0.0,12.5,11.9,115.0,134.0,-0.3,"jordan clarkson,lauri markkanen,mike conley,kelly olynyk,malik beasley,collin sexton,talen horton-tucker,walker kessler,rudy gay,nickeil alexander-walker,ochai agbaji,leandro bolmaro,simone fontecchio,udoka azubuike","austin reaves,anthony davis,kendrick nunn,troy brown jr.,wenyen gabriel,russell westbrook,matt ryan,damian jones,juan toscano-anderson,scotty pippen jr."
2022-11-09,14.47,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,1.0,2.0,3.0,-8.0,1.5,1.5,1.0,0.0,0.0,40.5,19.7,0.0,0.0,0.0,50.0,6.0,91.0,114.0,-3.4,"paul george,ivica zubac,marcus morris,luke kennard,reggie jackson,norman powell,john wall,terance mann,nicolas batum,moses brown,amir coffey","anthony davis,austin reaves,patrick beverley,lebron james,troy brown jr.,russell westbrook,kendrick nunn,wenyen gabriel,juan toscano-anderson,damian jones,matt ryan"
2022-11-11,16.72,1,2.0,5.0,0.4,2.0,5.0,0.4,1.0,2.0,0.5,0.0,4.0,4.0,1.0,1.0,0.0,0.0,1.0,7.0,8.0,0.595,0.6,1.0,0.4,0.0,31.0,14.2,7.9,2.9,0.0,0.0,14.9,135.0,119.0,3.8,"de'aaron fox,kevin huerter,domantas sabonis,harrison barnes,keegan murray,malik monk,davion mitchell,chimezie metu,trey lyles,terence davis","anthony davis,lonnie walker iv,patrick beverley,troy brown jr.,wenyen gabriel,russell westbrook,austin reaves,juan toscano-anderson,damian jones"
2022-11-13,20.65,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,51.0,24.3,0.0,0.0,0.0,0.0,2.1,0.0,103.0,-4.0,"kevin durant,royce o'neale,joe harris,edmond sumner,nic claxton,yuta watanabe,cam thomas,markieff morris,patty mills,david duke jr.,kessler edwards,day'ron sharpe","troy brown jr.,anthony davis,austin reaves,lonnie walker iv,patrick beverley,russell westbrook,wenyen gabriel,kendrick nunn,matt ryan,juan toscano-anderson"
2022-11-25,1.62,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,-6.0,"devin vassell,jeremy sochan,keldon johnson,tre jones,jakob poeltl,romeo langford,zach collins,malaki branham,isaiah roby,keita bates-diop,charles bassey,jordan hall","anthony davis,lonnie walker iv,lebron james,troy brown jr.,dennis schroder,austin reaves,russell westbrook,kendrick nunn,wenyen gabriel,juan toscano-anderson"
2022-11-30,18.67,1,1.0,6.0,0.167,1.0,5.0,0.2,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,8.0,0.25,0.25,0.833,0.0,0.0,5.5,2.8,5.7,0.0,0.0,0.0,13.4,69.0,119.0,-12.7,"anfernee simons,justise winslow,jerami grant,jusuf nurkic,trendon watford,shaedon sharpe,jabari walker,drew eubanks,greg brown iii,john butler","austin reaves,lebron james,anthony davis,dennis schroder,patrick beverley,russell westbrook,thomas bryant,kendrick nunn,wenyen gabriel,damian jones,matt ryan,juan toscano-anderson"
2022-12-07,13.35,0,2.0,5.0,0.4,1.0,3.0,0.333,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,1.0,5.0,4.0,0.5,0.5,0.6,0.0,0.0,20.4,10.8,0.0,0.0,0.0,16.7,18.4,82.0,120.0,-7.3,"og anunoby,pascal siakam,scottie barnes,fred vanvleet,christian koloko,gary trent jr.,chris boucher,thaddeus young,malachi flynn,dalano banton,justin champagnie,jeff dowtin","thomas bryant,austin reaves,dennis schroder,lonnie walker iv,juan toscano-anderson,russell westbrook,damian jones,troy brown jr.,kendrick nunn"
2022-12-16,15.93,1,2.0,5.0,0.4,2.0,3.0,0.667,0.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,1.0,0.0,1.0,6.0,14.0,0.6,0.6,0.6,0.0,14.7,7.0,10.8,0.0,0.0,5.6,0.0,13.0,139.0,110.0,3.2,"jamal murray,nikola jokic,bruce brown,aaron gordon,kentavious caldwell-pope,jeff green,davon reed,bones hyland,christian braun,deandre jordan,vlatko cancar,ish smith,zeke nnaji","lebron james,dennis schroder,patrick beverley,lonnie walker iv,anthony davis,austin reaves,russell westbrook,thomas bryant,troy brown jr.,damian jones,kendrick nunn"
2022-12-18,23.67,1,3.0,6.0,0.5,2.0,5.0,0.4,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,1.0,0.0,0.0,8.0,-2.0,0.667,0.667,0.833,0.0,0.0,17.3,8.9,0.0,0.0,3.6,0.0,11.0,122.0,114.0,0.9,"kyle kuzma,kristaps porzingis,bradley beal,monte morris,deni avdija,daniel gafford,will barton,jordan goodwin,corey kispert,taj gibson","lebron james,lonnie walker iv,austin reaves,thomas bryant,dennis schroder,russell westbrook,damian jones,troy brown jr."
2022-12-19,27.05,0,1.0,9.0,0.111,0.0,3.0,0.0,0.0,0.0,0.0,2.0,4.0,6.0,1.0,0.0,0.0,1.0,0.0,2.0,-17.0,0.111,0.111,0.333,0.0,7.7,16.5,12.0,4.8,0.0,0.0,10.0,16.4,43.0,140.0,-17.5,"damion lee,chris paul,torrey craig,mikal bridges,deandre ayton,landry shamet,ish wainright,bismack biyombo,josh okogie,dario saric","lonnie walker iv,dennis schroder,thomas bryant,patrick beverley,troy brown jr.,wenyen gabriel,damian jones,kendrick nunn,scotty pippen jr."
