date,mp,home,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opponent,team
2020-12-29,12.0,1,3.0,5.0,0.6,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,-7.0,0.7,0.7,0.6,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,18.5,133.0,149.0,0.3,"jrue holiday,khris middleton,giannis antetokounmpo,donte divincenzo,brook lopez,bobby portis,thanasis antetokounmpo,bryn forbes,pat connaughton,jordan nwora,d.j. wilson,sam merrill","tyler herro,bam adebayo,duncan robinson,maurice harkless,meyers leonard,kendrick nunn,kz okpala,kelly olynyk,precious achiuwa,goran dragic,chris silva"
2021-01-12,23.78,0,3.0,7.0,0.429,2.0,6.0,0.333,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,8.0,1.0,0.571,0.571,0.857,0.0,0.0,4.6,2.3,5.4,0.0,0.0,0.0,11.8,126.0,129.0,-4.4,"danny green,joel embiid,tyrese maxey,ben simmons,isaiah joe,dakota mathias","duncan robinson,kelly olynyk,tyler herro,gabe vincent,precious achiuwa,andre iguodala,chris silva"
2021-01-14,27.75,0,4.0,8.0,0.5,2.0,6.0,0.333,1.0,3.0,0.333,1.0,6.0,7.0,1.0,1.0,0.0,0.0,3.0,11.0,-5.0,0.59,0.625,0.75,0.375,4.4,28.0,15.9,5.2,1.7,0.0,0.0,14.3,123.0,119.0,-0.6,"ben simmons,tobias harris,tyrese maxey,danny green,joel embiid,shake milton,isaiah joe,matisse thybulle,dakota mathias,paul reed,tony bradley","kelly olynyk,gabe vincent,duncan robinson,tyler herro,precious achiuwa,andre iguodala,chris silva"
2021-01-16,8.35,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,238.0,133.0,-5.5,"jerami grant,blake griffin,mason plumlee,delon wright,josh jackson,derrick rose,isaiah stewart,sekou doumbouya,saddiq bey,svi mykhailiuk,saben lee,deividas sirvydis","duncan robinson,bam adebayo,kz okpala,kelly olynyk,gabe vincent,goran dragic,kendrick nunn,andre iguodala,precious achiuwa,chris silva"
2021-01-20,10.8,0,1.0,4.0,0.25,1.0,3.0,0.333,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,0.375,0.375,0.75,0.0,0.0,17.8,10.2,0.0,0.0,0.0,0.0,16.9,77.0,111.0,-13.0,"og anunoby,fred vanvleet,pascal siakam,kyle lowry,terence davis,chris boucher,norman powell,stanley johnson","duncan robinson,bam adebayo,goran dragic,kelly olynyk,gabe vincent,kendrick nunn,andre iguodala,precious achiuwa"
2021-01-22,15.47,0,1.0,5.0,0.2,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,-11.0,0.2,0.2,0.8,0.0,0.0,7.8,4.0,10.4,0.0,0.0,16.7,18.5,41.0,117.0,-15.9,"fred vanvleet,og anunoby,pascal siakam,norman powell,chris boucher,terence davis,malachi flynn,stanley johnson,yuta watanabe,deandre' bembry,jalen harris","duncan robinson,bam adebayo,goran dragic,gabe vincent,kelly olynyk,kendrick nunn,andre iguodala,precious achiuwa,maurice harkless,kz okpala"
2021-01-25,0.9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,-8.7,"kyrie irving,kevin durant,joe harris,james harden,deandre jordan,jeff green,bruce brown,timothe luwawu-cabarrot,reggie perry","duncan robinson,bam adebayo,goran dragic,kz okpala,kelly olynyk,kendrick nunn,andre iguodala,gabe vincent,precious achiuwa"
2021-01-27,16.55,1,1.0,5.0,0.2,1.0,5.0,0.2,2.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,5.0,-22.0,0.425,0.3,1.0,0.4,0.0,6.6,3.3,10.7,0.0,0.0,0.0,16.9,95.0,123.0,-8.2,"jamal murray,gary harris,nikola jokic,will barton,michael porter jr.,jamychal green,monte morris,facundo campazzo,r.j. hampton,zeke nnaji,bol bol,vlatko cancar","kendrick nunn,duncan robinson,bam adebayo,kz okpala,kelly olynyk,precious achiuwa,andre iguodala,gabe vincent"
2021-01-28,20.73,1,4.0,6.0,0.667,4.0,6.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,12.0,-1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.3,14.8,142.0,122.0,3.6,"reggie jackson,nicolas batum,luke kennard,terance mann,serge ibaka,marcus morris,ivica zubac,amir coffey","bam adebayo,kendrick nunn,duncan robinson,tyler herro,kelly olynyk,gabe vincent,kz okpala,precious achiuwa"
2021-01-30,13.42,1,3.0,4.0,0.75,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,-3.0,0.875,0.875,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.8,161.0,121.0,3.3,"harrison barnes,buddy hield,de'aaron fox,richaun holmes,marvin bagley iii,tyrese haliburton,kyle guy,cory joseph","tyler herro,bam adebayo,duncan robinson,jimmy butler,kz okpala,andre iguodala,kelly olynyk,precious achiuwa,gabe vincent"
2021-02-01,19.88,1,7.0,11.0,0.636,5.0,9.0,0.556,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,4.0,19.0,7.0,0.864,0.864,0.818,0.0,0.0,10.5,5.8,0.0,2.6,0.0,8.3,27.3,137.0,126.0,10.7,"gordon hayward,devonte' graham,cody zeller,lamelo ball,p.j. washington,malik monk,miles bridges,caleb martin","bam adebayo,jimmy butler,tyler herro,duncan robinson,kelly olynyk,andre iguodala,goran dragic,precious achiuwa"
2021-02-03,3.1,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.7,0.0,120.0,-21.8,"bradley beal,rui hachimura,deni avdija,ish smith,robin lopez,alex len,davis bertans,troy brown jr.,garrison mathews","jimmy butler,bam adebayo,tyler herro,duncan robinson,kelly olynyk,goran dragic,andre iguodala,precious achiuwa"
2021-02-05,7.85,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,-13.0,1.5,1.5,1.0,0.0,0.0,24.0,13.9,0.0,0.0,0.0,0.0,5.5,300.0,97.0,7.3,"bradley beal,rui hachimura,russell westbrook,robin lopez,deni avdija,ish smith,alex len,jerome robinson,davis bertans,troy brown jr.,garrison mathews,moritz wagner","bam adebayo,duncan robinson,jimmy butler,goran dragic,kelly olynyk,kendrick nunn,tyler herro,andre iguodala,precious achiuwa,kz okpala,gabe vincent"
2021-02-11,25.17,0,6.0,9.0,0.667,5.0,8.0,0.625,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,21.0,-8.0,0.976,0.944,0.889,0.444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,182.0,107.0,14.3,"john wall,jae'sean tate,demarcus cousins,p.j. tucker,victor oladipo,danuel house jr.,eric gordon,sterling brown,david nwaba","kendrick nunn,jimmy butler,bam adebayo,kelly olynyk,duncan robinson,andre iguodala,gabe vincent,precious achiuwa"
