date,mp,home,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opponent,team
2020-12-25,19.8,1,3.0,5.0,0.6,3.0,5.0,0.6,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,5.0,9.0,1.0,0.9,0.9,1.0,0.0,0.0,11.5,6.4,7.9,0.0,0.0,16.7,14.2,125.0,108.0,0.6,"zion williamson,brandon ingram,lonzo ball,steven adams,josh hart,jaxson hayes","tyler herro,duncan robinson,bam adebayo,jimmy butler,goran dragic,andre iguodala,precious achiuwa,maurice harkless,kz okpala,chris silva"
2020-12-29,2.03,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,0.0,0.0,1.0,0.0,0.0,63.8,31.5,0.0,0.0,0.0,0.0,21.9,0.0,135.0,-25.9,"jrue holiday,khris middleton,giannis antetokounmpo,donte divincenzo,brook lopez,bobby portis,thanasis antetokounmpo,bryn forbes,pat connaughton,jordan nwora,d.j. wilson,sam merrill","tyler herro,bam adebayo,duncan robinson,maurice harkless,kendrick nunn,kz okpala,kelly olynyk,precious achiuwa,max strus,goran dragic,chris silva"
2021-01-09,7.55,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,0.5,0.0,4.0,4.0,1.0,0.0,0.0,1.0,0.0,1.0,5.0,0.266,0.0,1.0,2.0,0.0,43.8,25.4,13.8,0.0,0.0,34.7,15.2,57.0,113.0,-9.0,"deni avdija,rui hachimura,jerome robinson,raul neto,thomas bryant,ish smith,garrison mathews,troy brown jr.,davis bertans,robin lopez,moritz wagner","tyler herro,jimmy butler,duncan robinson,kelly olynyk,bam adebayo,goran dragic,andre iguodala,precious achiuwa,kz okpala"
2023-02-24,14.88,1,1.0,3.0,0.333,1.0,2.0,0.5,2.0,2.0,1.0,2.0,4.0,6.0,0.0,1.0,0.0,1.0,3.0,5.0,0.0,0.644,0.5,0.667,0.667,14.0,23.0,19.0,0.0,3.1,0.0,20.5,13.5,124.0,90.0,-0.7,"tyler herro,bam adebayo,gabe vincent,kevin love,jimmy butler,max strus,caleb martin,duncan robinson,victor oladipo,cody zeller,haywood highsmith,jamal cain","jevon carter,jrue holiday,grayson allen,brook lopez,giannis antetokounmpo,bobby portis,a.j. green,joe ingles,khris middleton,jae crowder,marjon beauchamp,thanasis antetokounmpo"
2023-02-26,5.28,1,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.75,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.9,150.0,117.0,8.4,"chris paul,devin booker,deandre ayton,josh okogie,torrey craig,ish wainright,terrence ross,damion lee,jock landale,cameron payne","brook lopez,jrue holiday,grayson allen,jevon carter,bobby portis,joe ingles,khris middleton,jae crowder,pat connaughton"
2023-02-28,2.12,0,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,0.75,0.75,1.0,0.0,0.0,48.2,24.4,0.0,0.0,0.0,0.0,36.5,133.0,98.0,18.1,"mikal bridges,spencer dinwiddie,nic claxton,dorian finney-smith,cameron johnson,royce o'neale,cam thomas,day'ron sharpe,joe harris,seth curry,david duke jr.,dru smith","jrue holiday,giannis antetokounmpo,brook lopez,grayson allen,pat connaughton,khris middleton,jevon carter,joe ingles,bobby portis,jae crowder,marjon beauchamp,a.j. green,thanasis antetokounmpo"
2023-03-01,4.55,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,21.1,11.0,0.0,0.0,0.0,0.0,9.6,0.0,113.0,-14.2,"markelle fultz,paolo banchero,franz wagner,wendell carter jr.,gary harris,cole anthony,jalen suggs,bol bol,moritz wagner,goga bitadze,chuma okeke,admiral schofield,caleb houstan","jrue holiday,giannis antetokounmpo,grayson allen,brook lopez,pat connaughton,joe ingles,jae crowder,a.j. green,jevon carter,bobby portis,marjon beauchamp,thanasis antetokounmpo"
2023-03-07,7.6,0,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,3.0,-6.0,0.75,0.75,1.0,0.0,0.0,28.1,16.6,0.0,0.0,0.0,33.3,17.4,82.0,115.0,-7.7,"franz wagner,paolo banchero,markelle fultz,jalen suggs,moritz wagner,cole anthony,caleb houstan,goga bitadze,bol bol,chuma okeke","jevon carter,brook lopez,bobby portis,khris middleton,grayson allen,joe ingles,jae crowder,pat connaughton,lindell wigginton"
2023-03-16,16.32,1,4.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,10.0,-4.0,1.025,1.125,0.25,0.5,0.0,20.5,10.3,0.0,0.0,0.0,0.0,12.8,199.0,139.0,4.7,"buddy hield,jordan nwora,aaron nesmith,andrew nembhard,myles turner,t.j. mcconnell,george hill,jalen smith,oshae brissett,isaiah jackson","bobby portis,khris middleton,jrue holiday,pat connaughton,giannis antetokounmpo,joe ingles,jevon carter,wesley matthews,a.j. green,lindell wigginton,marjon beauchamp"
2023-04-05,6.52,1,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,-9.0,0.0,0.0,0.5,0.0,32.0,0.0,16.2,0.0,0.0,0.0,0.0,13.5,64.0,104.0,-21.5,"zach lavine,demar derozan,nikola vucevic,patrick williams,patrick beverley,coby white,derrick jones jr.,ayo dosunmu,andre drummond,dalen terry,carlik jones,marko simonovic","bobby portis,brook lopez,jrue holiday,jevon carter,khris middleton,wesley matthews,joe ingles,jae crowder,a.j. green,thanasis antetokounmpo,marjon beauchamp"
2023-04-07,25.88,1,3.0,9.0,0.333,1.0,5.0,0.2,2.0,2.0,1.0,3.0,4.0,7.0,0.0,0.0,0.0,3.0,4.0,9.0,-4.0,0.455,0.389,0.556,0.222,12.6,19.5,15.8,0.0,0.0,0.0,23.3,21.0,83.0,140.0,-17.6,"luke kennard,desmond bane,dillon brooks,jaren jackson jr.,ja morant,john konchar,tyus jones,xavier tillman sr.,david roddy,kenneth lofton jr.,vince williams jr.,kennedy chandler","marjon beauchamp,lindell wigginton,jae crowder,a.j. green,thanasis antetokounmpo,goran dragic,jevon carter,wesley matthews"
2023-04-09,30.58,0,3.0,4.0,0.75,1.0,2.0,0.5,3.0,3.0,1.0,5.0,7.0,12.0,1.0,1.0,0.0,1.0,3.0,10.0,-10.0,0.94,0.875,0.5,0.75,17.4,28.9,22.7,4.7,1.6,0.0,15.8,9.4,172.0,120.0,0.1,"malachi flynn,precious achiuwa,gary trent jr.,scottie barnes,jakob poeltl,christian koloko,ron harper jr.,chris boucher,dalano banton,joe wieskamp,will barton","marjon beauchamp,jae crowder,jevon carter,bobby portis,thanasis antetokounmpo,lindell wigginton,wesley matthews,goran dragic,joe ingles"
2023-04-19,1.27,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.4,0.0,126.0,-46.0,"max strus,jimmy butler,duncan robinson,bam adebayo,gabe vincent,caleb martin,victor oladipo,kyle lowry,cody zeller,haywood highsmith,kevin love","brook lopez,jrue holiday,grayson allen,bobby portis,khris middleton,pat connaughton,joe ingles,jae crowder,jevon carter,goran dragic,thanasis antetokounmpo,marjon beauchamp"
2023-04-22,3.93,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,33.0,15.1,0.0,0.0,0.0,0.0,0.0,0.0,127.0,-6.0,"bam adebayo,jimmy butler,max strus,kevin love,gabe vincent,caleb martin,kyle lowry,duncan robinson,victor oladipo,cody zeller,haywood highsmith,omer yurtseven,udonis haslem","jrue holiday,khris middleton,brook lopez,grayson allen,bobby portis,pat connaughton,joe ingles,jae crowder,jevon carter,marjon beauchamp,goran dragic,thanasis antetokounmpo"
