date,mp,home,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opponent,team
2020-12-23,29.6,1,9.0,15.0,0.6,3.0,7.0,0.429,3.0,3.0,1.0,1.0,4.0,5.0,2.0,2.0,3.0,2.0,3.0,24.0,0.0,0.735,0.7,0.467,0.2,3.9,13.3,9.0,11.6,3.3,7.6,10.9,26.5,130.0,106.0,13.5,"harrison barnes,buddy hield,de'aaron fox,marvin bagley iii,richaun holmes,tyrese haliburton,cory joseph","nikola jokic,gary harris,jamal murray,will barton,monte morris,pj dozier,isaiah hartenstein,facundo campazzo"
2020-12-25,23.33,1,4.0,9.0,0.444,2.0,6.0,0.333,0.0,0.0,0.0,0.0,3.0,3.0,2.0,2.0,0.0,0.0,2.0,10.0,-14.0,0.556,0.556,0.667,0.0,0.0,19.9,8.8,14.3,4.4,0.0,0.0,17.2,121.0,123.0,5.1,"paul george,nicolas batum,kawhi leonard,patrick beverley,serge ibaka,luke kennard,ivica zubac,reggie jackson,terance mann,mfiondu kabengele,amir coffey,daniel oturu","nikola jokic,jamal murray,gary harris,monte morris,will barton,pj dozier,isaiah hartenstein,bol bol,facundo campazzo"
2020-12-28,23.63,1,5.0,11.0,0.455,2.0,6.0,0.333,2.0,3.0,0.667,0.0,9.0,9.0,2.0,0.0,1.0,0.0,2.0,14.0,2.0,0.568,0.545,0.545,0.273,0.0,39.7,20.3,11.3,0.0,4.3,0.0,21.7,123.0,106.0,1.6,"christian wood,david nwaba,james harden,danuel house jr.,p.j. tucker,sterling brown,jae'sean tate,bruno caboclo,brodric thomas","nikola jokic,jamal murray,gary harris,monte morris,will barton,pj dozier,isaiah hartenstein,facundo campazzo,bol bol,r.j. hampton,vlatko cancar,zeke nnaji"
2020-12-29,40.33,0,12.0,18.0,0.667,4.0,7.0,0.571,2.0,2.0,1.0,4.0,6.0,10.0,1.0,0.0,2.0,0.0,4.0,30.0,-9.0,0.794,0.778,0.389,0.111,14.9,16.2,15.7,4.0,0.0,3.9,0.0,20.7,163.0,128.0,7.4,"de'aaron fox,buddy hield,harrison barnes,richaun holmes,marvin bagley iii,tyrese haliburton,cory joseph","nikola jokic,monte morris,gary harris,will barton,pj dozier,facundo campazzo,isaiah hartenstein,bol bol,r.j. hampton,zeke nnaji"
2021-01-22,19.55,0,3.0,7.0,0.429,1.0,4.0,0.25,0.0,0.0,0.0,0.0,6.0,6.0,2.0,1.0,0.0,0.0,1.0,7.0,9.0,0.5,0.5,0.571,0.0,0.0,38.7,18.5,12.1,2.5,0.0,0.0,15.8,111.0,114.0,1.8,"mikal bridges,devin booker,chris paul,deandre ayton,cameron johnson,jae crowder,cameron payne,frank kaminsky,jevon carter","jamal murray,nikola jokic,gary harris,will barton,monte morris,jamychal green,pj dozier,facundo campazzo"
2021-01-23,35.07,0,5.0,9.0,0.556,3.0,4.0,0.75,1.0,1.0,1.0,2.0,9.0,11.0,0.0,1.0,1.0,3.0,2.0,14.0,19.0,0.742,0.722,0.444,0.111,6.0,24.8,15.8,0.0,1.5,3.4,24.1,16.2,109.0,96.0,4.2,"jae crowder,chris paul,deandre ayton,mikal bridges,cameron johnson,frank kaminsky,jevon carter,cameron payne,jalen smith,langston galloway","jamal murray,nikola jokic,gary harris,will barton,monte morris,jamychal green,pj dozier,facundo campazzo"
2021-01-25,27.62,0,10.0,18.0,0.556,6.0,10.0,0.6,4.0,5.0,0.8,3.0,5.0,8.0,0.0,2.0,0.0,1.0,2.0,30.0,10.0,0.743,0.722,0.556,0.278,13.0,20.2,16.8,0.0,3.7,0.0,4.7,34.3,148.0,116.0,14.2,"luka doncic,tim hardaway jr.,kristaps porzingis,jalen brunson,willie cauley-stein,james johnson,trey burke,wes iwundu,boban marjanovic","nikola jokic,gary harris,will barton,jamal murray,monte morris,jamychal green,facundo campazzo,pj dozier,r.j. hampton"
2021-01-27,24.98,0,7.0,12.0,0.583,3.0,7.0,0.429,0.0,0.0,0.0,0.0,5.0,5.0,1.0,4.0,0.0,3.0,3.0,17.0,8.0,0.708,0.708,0.583,0.0,0.0,22.3,11.0,6.7,8.2,0.0,20.0,26.2,102.0,76.0,8.2,"kendrick nunn,duncan robinson,bam adebayo,kz okpala,kelly olynyk,precious achiuwa,max strus,andre iguodala,gabe vincent","jamal murray,gary harris,nikola jokic,will barton,jamychal green,monte morris,facundo campazzo,r.j. hampton,zeke nnaji,bol bol,vlatko cancar"
2021-01-29,18.87,0,3.0,5.0,0.6,2.0,2.0,1.0,1.0,2.0,0.5,1.0,3.0,4.0,0.0,0.0,2.0,3.0,1.0,9.0,-16.0,0.765,0.8,0.4,0.4,6.5,19.6,13.0,0.0,0.0,8.8,33.8,22.2,92.0,123.0,-3.5,"demar derozan,keldon johnson,dejounte murray,lonnie walker iv,patty mills,jakob poeltl,devin vassell,rudy gay,keita bates-diop,tre jones,quinndary weatherspoon","nikola jokic,jamal murray,gary harris,will barton,monte morris,jamychal green,facundo campazzo,isaiah hartenstein,r.j. hampton,vlatko cancar,zeke nnaji"
2021-01-31,19.5,1,4.0,7.0,0.571,1.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,4.0,0.0,0.0,0.0,1.0,5.0,11.0,8.0,0.698,0.643,0.143,0.286,7.0,17.6,12.8,0.0,0.0,0.0,11.3,21.1,127.0,129.0,-6.5,"bojan bogdanovic,donovan mitchell,mike conley,royce o'neale,rudy gobert,joe ingles,jordan clarkson,derrick favors,georges niang,shaquille harrison,miye oni,jarrell brantley,juwan morgan","will barton,nikola jokic,jamal murray,gary harris,monte morris,jamychal green,facundo campazzo,r.j. hampton,bol bol,vlatko cancar,zeke nnaji"
