date,mp,home,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opponent,team
2020-12-23,35.95,1,5.0,11.0,0.455,4.0,7.0,0.571,4.0,4.0,1.0,2.0,5.0,7.0,0.0,0.0,2.0,0.0,2.0,18.0,9.0,0.705,0.636,0.636,0.364,6.8,13.9,10.7,0.0,0.0,5.6,0.0,15.6,145.0,103.0,7.4,"josh richardson,luka doncic,dorian finney-smith,tim hardaway jr.,dwight powell,maxi kleber,trey burke,jalen brunson,james johnson,willie cauley-stein,josh green","devin booker,chris paul,jae crowder,deandre ayton,cameron johnson,cameron payne,jalen smith,jevon carter,langston galloway,damian jones"
2020-12-26,26.82,0,4.0,8.0,0.5,1.0,5.0,0.2,0.0,0.0,0.0,1.0,2.0,3.0,1.0,1.0,3.0,0.0,2.0,9.0,2.0,0.563,0.563,0.625,0.0,3.5,8.0,5.6,5.3,1.8,8.5,0.0,12.5,119.0,103.0,4.7,"de'aaron fox,buddy hield,harrison barnes,richaun holmes,marvin bagley iii,tyrese haliburton,cory joseph","devin booker,chris paul,jae crowder,deandre ayton,cameron johnson,damian jones,cameron payne,langston galloway,jevon carter,jalen smith,frank kaminsky"
2020-12-27,36.3,0,9.0,15.0,0.6,4.0,8.0,0.5,0.0,0.0,0.0,1.0,6.0,7.0,1.0,0.0,1.0,0.0,3.0,22.0,17.0,0.733,0.733,0.533,0.0,3.0,20.3,11.2,3.9,0.0,2.5,0.0,18.4,139.0,103.0,5.5,"buddy hield,harrison barnes,marvin bagley iii,de'aaron fox,richaun holmes,tyrese haliburton,cory joseph,kyle guy,jahmi'us ramsey,robert woodard ii,justin james","devin booker,deandre ayton,chris paul,jae crowder,cameron johnson,cameron payne,frank kaminsky,langston galloway,jevon carter,ty-shon alexander,damian jones"
2020-12-29,30.05,1,4.0,7.0,0.571,1.0,2.0,0.5,4.0,4.0,1.0,2.0,5.0,7.0,0.0,2.0,0.0,0.0,1.0,13.0,31.0,0.742,0.643,0.286,0.571,6.9,21.0,13.3,0.0,3.5,0.0,0.0,13.7,163.0,92.0,7.8,"zion williamson,brandon ingram,steven adams,lonzo ball,josh hart,nickeil alexander-walker,jaxson hayes,kira lewis jr.,willy hernangomez","deandre ayton,devin booker,chris paul,jae crowder,cameron payne,cameron johnson,jevon carter,dario saric,langston galloway,frank kaminsky,damian jones,ty-shon alexander"
2020-12-31,36.53,0,6.0,9.0,0.667,4.0,6.0,0.667,0.0,0.0,0.0,1.0,5.0,6.0,0.0,2.0,1.0,0.0,0.0,16.0,-2.0,0.889,0.889,0.667,0.0,3.2,14.3,9.1,0.0,2.8,2.6,0.0,11.4,163.0,97.0,12.1,"donovan mitchell,mike conley,royce o'neale,rudy gobert,bojan bogdanovic,joe ingles,jordan clarkson,derrick favors,georges niang","jae crowder,devin booker,chris paul,deandre ayton,cameron payne,dario saric,cameron johnson,jevon carter,langston galloway,frank kaminsky"
2021-01-01,36.27,0,4.0,10.0,0.4,4.0,8.0,0.5,2.0,2.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,3.0,14.0,-3.0,0.643,0.6,0.8,0.2,0.0,3.6,1.8,8.3,0.0,2.3,0.0,14.1,135.0,115.0,3.8,"jamal murray,will barton,gary harris,nikola jokic,monte morris,pj dozier,jamychal green,isaiah hartenstein,facundo campazzo,r.j. hampton","deandre ayton,devin booker,chris paul,jae crowder,cameron johnson,cameron payne,jevon carter,frank kaminsky,langston galloway"
2021-01-03,36.18,1,1.0,7.0,0.143,1.0,5.0,0.2,4.0,5.0,0.8,0.0,8.0,8.0,2.0,0.0,2.0,1.0,2.0,7.0,8.0,0.38,0.214,0.714,0.714,0.0,25.9,13.8,7.4,0.0,4.9,9.8,13.5,85.0,119.0,-3.1,"paul george,kawhi leonard,nicolas batum,patrick beverley,serge ibaka,luke kennard,ivica zubac,reggie jackson","devin booker,chris paul,jae crowder,deandre ayton,cameron johnson,dario saric,cameron payne,langston galloway,jevon carter"
2021-01-06,29.15,1,3.0,10.0,0.3,3.0,7.0,0.429,4.0,4.0,1.0,3.0,1.0,4.0,3.0,0.0,1.0,1.0,4.0,13.0,4.0,0.553,0.45,0.7,0.4,12.3,3.8,7.9,14.1,0.0,3.7,7.8,20.3,128.0,126.0,-1.2,"fred vanvleet,kyle lowry,pascal siakam,og anunoby,norman powell,yuta watanabe,chris boucher,alex len,malachi flynn,deandre' bembry","jae crowder,devin booker,chris paul,deandre ayton,cameron johnson,jevon carter,dario saric,cameron payne,langston galloway"
2021-01-08,32.57,0,3.0,9.0,0.333,0.0,4.0,0.0,0.0,2.0,0.0,3.0,5.0,8.0,1.0,1.0,1.0,1.0,1.0,6.0,-23.0,0.304,0.333,0.444,0.222,10.6,16.3,13.6,4.5,1.5,2.9,9.2,15.0,75.0,105.0,-5.2,"jerami grant,blake griffin,delon wright,mason plumlee,josh jackson,saddiq bey,derrick rose,svi mykhailiuk,jahlil okafor,frank jackson,isaiah stewart,sekou doumbouya","devin booker,chris paul,deandre ayton,jae crowder,dario saric,cameron johnson,cameron payne,jevon carter,langston galloway"
2021-01-09,35.38,0,12.0,18.0,0.667,6.0,8.0,0.75,4.0,4.0,1.0,0.0,3.0,3.0,2.0,0.0,1.0,0.0,0.0,34.0,5.0,0.86,0.833,0.444,0.222,0.0,8.3,4.4,9.1,0.0,2.2,0.0,25.9,159.0,123.0,13.8,"domantas sabonis,malcolm brogdon,myles turner,victor oladipo,aaron holiday,justin holiday,doug mcdermott,edmond sumner,cassius stanley","devin booker,deandre ayton,chris paul,jae crowder,cameron johnson,dario saric,jevon carter,langston galloway"
