date,mp,home,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opponent,team
2020-12-23,21.17,0,1.0,2.0,0.5,0.0,0.0,0,1.0,2.0,0.5,2.0,4.0,6.0,0.0,0.0,3.0,0.0,3.0,3.0,-17.0,0.521,0.5,0.0,1.0,10.1,20.2,15.1,0.0,0.0,11.3,0.0,5.9,132.0,110.0,-2.6,"domantas sabonis,malcolm brogdon,myles turner,victor oladipo,t.j. warren,doug mcdermott,justin holiday,t.j. mcconnell,aaron holiday","julius randle,rj barrett,reggie bullock,elfrid payton,alec burks,obi toppin,kevin knox,immanuel quickley,nerlens noel,frank ntilikina,theo pinson"
2020-12-26,24.98,1,5.0,8.0,0.625,0.0,0.0,0,1.0,2.0,0.5,5.0,4.0,9.0,0.0,1.0,2.0,0.0,3.0,11.0,-19.0,0.619,0.625,0.0,0.25,20.0,18.3,19.2,0.0,2.0,6.7,0.0,15.6,139.0,110.0,6.2,"ben simmons,joel embiid,tobias harris,seth curry,danny green,shake milton,furkan korkmaz,tyrese maxey,matisse thybulle","rj barrett,julius randle,reggie bullock,elfrid payton,alec burks,kevin knox,dennis smith jr.,nerlens noel,frank ntilikina,theo pinson"
2020-12-27,34.67,1,4.0,6.0,0.667,0.0,0.0,0,1.0,1.0,1.0,0.0,6.0,6.0,1.0,2.0,1.0,1.0,2.0,9.0,16.0,0.699,0.667,0.0,0.167,0.0,15.1,9.2,3.4,2.8,2.4,13.4,9.2,123.0,105.0,2.1,"khris middleton,giannis antetokounmpo,jrue holiday,donte divincenzo,brook lopez,bobby portis,bryn forbes,pat connaughton,jordan nwora,sam merrill,d.j. wilson,thanasis antetokounmpo,torrey craig","rj barrett,julius randle,elfrid payton,reggie bullock,kevin knox,alec burks,frank ntilikina,nerlens noel,theo pinson,ignas brazdeikis"
2020-12-29,31.57,0,4.0,9.0,0.444,0.0,0.0,0,1.0,2.0,0.5,4.0,6.0,10.0,0.0,1.0,2.0,1.0,4.0,9.0,8.0,0.455,0.444,0.0,0.222,14.1,16.6,15.5,0.0,1.6,5.4,9.2,14.6,100.0,88.0,-2.6,"larry nance jr.,collin sexton,darius garland,andre drummond,cedi osman,javale mcgee,dean wade","julius randle,reggie bullock,rj barrett,elfrid payton,nerlens noel,kevin knox,frank ntilikina"
2020-12-31,25.22,0,2.0,4.0,0.5,0.0,0.0,0,0.0,0.0,0.0,2.0,5.0,7.0,0.0,2.0,0.0,1.0,4.0,4.0,0.0,0.5,0.5,0.0,0.0,7.2,19.8,13.2,0.0,3.8,0.0,20.0,8.5,89.0,94.0,-3.2,"kyle lowry,fred vanvleet,og anunoby,norman powell,chris boucher,terence davis,stanley johnson,alex len,yuta watanabe,deandre' bembry,malachi flynn","reggie bullock,julius randle,rj barrett,elfrid payton,kevin knox,austin rivers,nerlens noel,theo pinson,ignas brazdeikis"
2021-01-02,29.15,0,8.0,10.0,0.8,0.0,0.0,0,0.0,0.0,0.0,6.0,3.0,9.0,1.0,0.0,2.0,0.0,3.0,16.0,10.0,0.8,0.8,0.0,0.0,26.7,10.7,17.9,5.7,0.0,9.7,0.0,15.9,175.0,108.0,8.4,"malcolm brogdon,domantas sabonis,victor oladipo,myles turner,aaron holiday,justin holiday,doug mcdermott,t.j. mcconnell,kelan martin","rj barrett,julius randle,elfrid payton,reggie bullock,austin rivers,nerlens noel,kevin knox,immanuel quickley"
2021-01-04,28.28,0,4.0,7.0,0.571,0.0,0.0,0,0.0,0.0,0.0,4.0,3.0,7.0,0.0,4.0,2.0,1.0,3.0,8.0,-5.0,0.571,0.571,0.0,0.0,16.6,11.6,14.0,0.0,7.0,6.1,12.5,12.2,119.0,98.0,2.9,"trae young,de'andre hunter,john collins,clint capela,cam reddish,kevin huerter,bogdan bogdanovic,brandon goodwin","rj barrett,julius randle,elfrid payton,reggie bullock,austin rivers,immanuel quickley,kevin knox"
2021-01-06,41.43,1,4.0,6.0,0.667,0.0,0.0,0,1.0,2.0,0.5,4.0,10.0,14.0,2.0,2.0,3.0,3.0,2.0,9.0,12.0,0.654,0.667,0.0,0.333,10.8,24.6,18.0,5.7,2.4,7.4,30.4,10.7,110.0,97.0,2.5,"donovan mitchell,rudy gobert,royce o'neale,mike conley,bojan bogdanovic,joe ingles,jordan clarkson,derrick favors,georges niang","elfrid payton,julius randle,rj barrett,reggie bullock,austin rivers,kevin knox,immanuel quickley"
2021-01-08,26.72,1,3.0,4.0,0.75,0.0,0.0,0,0.0,2.0,0.0,3.0,2.0,5.0,1.0,2.0,3.0,1.0,3.0,6.0,6.0,0.615,0.75,0.0,0.5,8.7,7.3,8.1,6.3,3.8,10.2,17.0,9.7,113.0,98.0,0.4,"shai gilgeous-alexander,luguentz dort,al horford,george hill,darius bazley,hamidou diallo,theo maledon,aleksej pokusevski,mike muscala,kenrich williams,isaiah roby","rj barrett,julius randle,elfrid payton,reggie bullock,austin rivers,kevin knox,immanuel quickley,nerlens noel"
2021-01-10,34.38,1,5.0,5.0,1.0,0.0,0.0,0,1.0,2.0,0.5,2.0,3.0,5.0,0.0,1.0,1.0,0.0,0.0,11.0,-7.0,0.935,1.0,0.0,0.4,6.5,11.6,8.8,0.0,1.5,2.8,0.0,8.1,189.0,122.0,4.6,"gary harris,nikola jokic,jamal murray,will barton,jamychal green,monte morris,pj dozier,facundo campazzo,isaiah hartenstein,bol bol,r.j. hampton,zeke nnaji,vlatko cancar","julius randle,rj barrett,elfrid payton,reggie bullock,austin rivers,kevin knox,immanuel quickley,nerlens noel,dennis smith jr.,theo pinson,ignas brazdeikis"
2021-01-11,33.05,0,5.0,5.0,1.0,0.0,0.0,0,2.0,4.0,0.5,7.0,4.0,11.0,0.0,2.0,2.0,1.0,1.0,12.0,-27.0,0.888,1.0,0.0,0.8,20.7,15.7,18.6,0.0,3.2,6.3,12.9,10.2,158.0,113.0,7.0,"devonte' graham,gordon hayward,terry rozier,p.j. washington,bismack biyombo,lamelo ball,miles bridges,caleb martin,cody martin,vernon carey jr.,jalen mcdaniels,nick richards","austin rivers,rj barrett,elfrid payton,julius randle,kevin knox,immanuel quickley,nerlens noel"
2021-01-13,33.18,1,5.0,9.0,0.556,0.0,0.0,0,0.0,0.0,0.0,8.0,4.0,12.0,2.0,0.0,2.0,1.0,2.0,10.0,5.0,0.556,0.556,0.0,0.0,25.2,13.5,19.5,7.9,0.0,5.7,10.0,13.6,136.0,127.0,-0.6,"jeff green,kevin durant,bruce brown,deandre jordan,joe harris,timothe luwawu-cabarrot,chris chiozza,landry shamet,reggie perry","julius randle,rj barrett,austin rivers,elfrid payton,kevin knox,immanuel quickley,nerlens noel,obi toppin"
2021-01-15,28.02,0,2.0,5.0,0.4,0.0,0.0,0,1.0,2.0,0.5,2.0,4.0,6.0,0.0,3.0,1.0,0.0,4.0,5.0,-19.0,0.425,0.4,0.0,0.4,8.4,14.9,11.8,0.0,5.5,3.3,0.0,10.0,106.0,105.0,-4.6,"larry nance jr.,isaac okoro,andre drummond,cedi osman,lamar stevens,javale mcgee,dean wade","julius randle,rj barrett,reggie bullock,elfrid payton,immanuel quickley,kevin knox,nerlens noel,austin rivers,obi toppin"
2021-01-17,24.22,0,4.0,5.0,0.8,0.0,0.0,0,0.0,0.0,0.0,4.0,3.0,7.0,0.0,0.0,2.0,1.0,4.0,8.0,28.0,0.8,0.8,0.0,0.0,20.3,10.4,14.5,0.0,0.0,10.4,16.7,11.3,145.0,83.0,1.6,"jaylen brown,marcus smart,tristan thompson,grant williams,kemba walker,daniel theis,javonte green,payton pritchard,aaron nesmith,tremont waters","julius randle,rj barrett,reggie bullock,elfrid payton,nerlens noel,immanuel quickley,obi toppin,austin rivers,kevin knox,dennis smith jr.,theo pinson,ignas brazdeikis"
