date,mp,home,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opponent,team
2020-12-23,3.85,0,1.0,2.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,-2.0,0.75,0.75,0.5,0.0,0.0,23.5,12.6,40.8,0.0,0.0,0.0,22.0,169.0,103.0,23.8,"cj mccollum,damian lillard,derrick jones jr.,jusuf nurkic,robert covington,gary trent jr.,cj elleby","bojan bogdanovic,donovan mitchell,mike conley,rudy gobert,royce o'neale,joe ingles,jordan clarkson,derrick favors,georges niang,udoka azubuike,elijah hughes,juwan morgan,shaquille harrison"
2020-12-28,1.67,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,-5.2,"shai gilgeous-alexander,darius bazley,luguentz dort,al horford,george hill,hamidou diallo,theo maledon,mike muscala,aleksej pokusevski,kenrich williams","rudy gobert,donovan mitchell,bojan bogdanovic,royce o'neale,mike conley,jordan clarkson,joe ingles,derrick favors,georges niang"
2021-01-03,6.28,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,1.0,1.0,3.0,0.0,-6.0,0.0,0.0,0.0,0.0,19.1,24.6,22.5,0.0,0.0,8.9,50.0,13.1,40.0,94.0,-14.5,"keldon johnson,demar derozan,dejounte murray,jakob poeltl,lonnie walker iv,rudy gay,devin vassell,patty mills,trey lyles,drew eubanks,tre jones,luka samanic","royce o'neale,donovan mitchell,rudy gobert,bojan bogdanovic,mike conley,jordan clarkson,joe ingles,derrick favors,georges niang,shaquille harrison,udoka azubuike,elijah hughes,juwan morgan"
2021-01-05,11.25,0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,-8.0,0.0,0.0,1.0,0.0,0.0,10.7,4.6,12.9,0.0,0.0,0.0,7.6,27.0,131.0,-10.7,"jarrett allen,kyrie irving,bruce brown,taurean prince,jeff green,timothe luwawu-cabarrot,joe harris,caris levert,deandre jordan,reggie perry,landry shamet,chris chiozza","donovan mitchell,rudy gobert,mike conley,bojan bogdanovic,royce o'neale,joe ingles,jordan clarkson,derrick favors,elijah hughes,udoka azubuike,trent forrest,shaquille harrison,georges niang"
2021-01-08,4.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,23.3,12.0,23.3,0.0,0.0,0.0,0.0,251.0,115.0,1.3,"khris middleton,jrue holiday,giannis antetokounmpo,brook lopez,donte divincenzo,bobby portis,bryn forbes,thanasis antetokounmpo,jordan nwora,sam merrill","royce o'neale,rudy gobert,donovan mitchell,bojan bogdanovic,mike conley,jordan clarkson,derrick favors,georges niang,udoka azubuike,trent forrest,shaquille harrison,elijah hughes"
2021-01-12,17.9,0,2.0,4.0,0.5,2.0,4.0,0.5,0.0,0.0,0.0,0.0,3.0,3.0,2.0,0.0,3.0,0.0,3.0,6.0,8.0,0.75,0.75,1.0,0.0,0.0,16.1,9.1,14.6,0.0,13.6,0.0,10.2,169.0,89.0,11.0,"cedi osman,isaac okoro,larry nance jr.,javale mcgee,lamar stevens,dean wade,marques bolden","donovan mitchell,royce o'neale,bojan bogdanovic,mike conley,rudy gobert,jordan clarkson,derrick favors,georges niang,udoka azubuike,jarrell brantley,shaquille harrison,elijah hughes"
2021-01-15,18.52,1,2.0,6.0,0.333,2.0,5.0,0.4,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,6.0,10.0,0.5,0.5,0.833,0.0,5.8,0.0,2.8,0.0,0.0,0.0,0.0,13.3,113.0,98.0,-2.3,"de'andre hunter,cam reddish,clint capela,john collins,trae young,kevin huerter,brandon goodwin,onyeka okongwu,bruno fernando","royce o'neale,donovan mitchell,rudy gobert,mike conley,bojan bogdanovic,jordan clarkson,georges niang,derrick favors,udoka azubuike,elijah hughes,shaquille harrison"
2021-01-17,11.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,16.1,9.5,0.0,0.0,0.0,0.0,0.0,0.0,120.0,-4.8,"jamal murray,nikola jokic,will barton,gary harris,pj dozier,monte morris,jamychal green,facundo campazzo,isaiah hartenstein","donovan mitchell,royce o'neale,bojan bogdanovic,rudy gobert,mike conley,jordan clarkson,derrick favors,georges niang"
2021-01-19,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.3,26.1,0.0,0.0,0.0,0.0,0.0,0.0,102.0,0.2,"zion williamson,brandon ingram,steven adams,lonzo ball,nickeil alexander-walker,josh hart,jaxson hayes,kira lewis jr.,willy hernangomez,naji marshall","royce o'neale,donovan mitchell,rudy gobert,bojan bogdanovic,mike conley,jordan clarkson,joe ingles,derrick favors,georges niang,shaquille harrison,udoka azubuike,jarrell brantley"
2021-01-21,1.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.0,-12.4,"zion williamson,brandon ingram,steven adams,lonzo ball,josh hart,nickeil alexander-walker,jaxson hayes,willy hernangomez,naji marshall,kira lewis jr.","donovan mitchell,royce o'neale,mike conley,rudy gobert,bojan bogdanovic,jordan clarkson,joe ingles,derrick favors,georges niang,udoka azubuike,shaquille harrison,juwan morgan"
2021-01-23,11.22,1,0.0,3.0,0.0,0.0,3.0,0.0,1.0,2.0,0.5,0.0,3.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,-19.0,0.129,0.0,1.0,0.667,0.0,27.3,14.0,0.0,0.0,0.0,20.5,17.4,25.0,107.0,-19.6,"stephen curry,andrew wiggins,james wiseman,draymond green,kelly oubre jr.,jordan poole,damion lee,eric paschall,kevon looney,mychal mulder,nico mannion,kent bazemore,juan toscano-anderson","donovan mitchell,mike conley,royce o'neale,bojan bogdanovic,rudy gobert,jordan clarkson,georges niang,joe ingles,derrick favors,udoka azubuike,juwan morgan,shaquille harrison"
2021-01-26,1.07,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,41.8,0.0,114.0,-55.0,"rj barrett,julius randle,mitchell robinson,alec burks,elfrid payton,austin rivers,immanuel quickley,nerlens noel,obi toppin,kevin knox,theo pinson","royce o'neale,donovan mitchell,mike conley,rudy gobert,bojan bogdanovic,joe ingles,jordan clarkson,derrick favors,georges niang,udoka azubuike,shaquille harrison,juwan morgan"
2021-01-27,10.52,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.6,42.5,26.5,0.0,0.0,0.0,0.0,0.0,232.0,111.0,-1.9,"tim hardaway jr.,luka doncic,kristaps porzingis,dorian finney-smith,josh richardson,james johnson,jalen brunson,trey burke,dwight powell,wes iwundu,willie cauley-stein,nate hinton,tyrell terry,josh green,boban marjanovic","rudy gobert,bojan bogdanovic,royce o'neale,joe ingles,mike conley,jordan clarkson,georges niang,juwan morgan,udoka azubuike,jarrell brantley,shaquille harrison"
2021-01-29,10.73,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,1.0,0.0,0.0,1.0,1.0,0.0,-3.0,0.0,0.0,1.0,0.0,27.4,9.5,18.6,11.8,0.0,0.0,50.0,7.9,96.0,111.0,-4.2,"luka doncic,tim hardaway jr.,josh richardson,kristaps porzingis,dorian finney-smith,jalen brunson,james johnson,trey burke,dwight powell,willie cauley-stein,josh green,wes iwundu,boban marjanovic,tyrell terry","royce o'neale,mike conley,bojan bogdanovic,joe ingles,rudy gobert,jordan clarkson,juwan morgan,georges niang,jarrell brantley,udoka azubuike,shaquille harrison"
2021-01-31,3.08,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,1.5,1.5,1.0,0.0,0.0,89.0,40.4,0.0,0.0,0.0,0.0,14.7,300.0,128.0,32.7,"will barton,nikola jokic,jamal murray,gary harris,monte morris,jamychal green,michael porter jr.,facundo campazzo,r.j. hampton,bol bol,vlatko cancar,zeke nnaji","bojan bogdanovic,donovan mitchell,mike conley,royce o'neale,rudy gobert,joe ingles,jordan clarkson,derrick favors,georges niang,shaquille harrison,jarrell brantley,juwan morgan"
2021-02-04,5.38,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,30.7,17.7,0.0,0.0,0.0,0.0,8.1,0.0,89.0,-11.0,"kevin huerter,john collins,cam reddish,clint capela,brandon goodwin,danilo gallinari,nathan knight,bruno fernando,skylar mays","donovan mitchell,bojan bogdanovic,royce o'neale,rudy gobert,mike conley,joe ingles,jordan clarkson,derrick favors,georges niang,jarrell brantley,juwan morgan,shaquille harrison"
2021-02-05,4.42,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,-10.0,1.5,1.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.8,300.0,128.0,11.1,"lamelo ball,gordon hayward,terry rozier,cody zeller,devonte' graham,malik monk,caleb martin,bismack biyombo,miles bridges,cody martin,nick richards","bojan bogdanovic,royce o'neale,donovan mitchell,rudy gobert,mike conley,joe ingles,jordan clarkson,derrick favors,georges niang"
2021-02-07,8.17,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,22.6,11.2,0.0,0.0,0.0,0.0,0.0,0.0,96.0,-8.2,"malcolm brogdon,domantas sabonis,justin holiday,myles turner,jeremy lamb,doug mcdermott,t.j. mcconnell,aaron holiday,goga bitadze","donovan mitchell,bojan bogdanovic,royce o'neale,joe ingles,rudy gobert,jordan clarkson,derrick favors,georges niang"
2021-02-09,9.03,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,15.6,38.0,28.0,0.0,5.9,0.0,50.0,10.0,40.0,103.0,-5.2,"jayson tatum,jaylen brown,kemba walker,daniel theis,tristan thompson,grant williams,payton pritchard,robert williams","royce o'neale,rudy gobert,joe ingles,donovan mitchell,bojan bogdanovic,jordan clarkson,georges niang,derrick favors"
2021-02-12,3.25,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,13.0,0.0,116.0,-14.1,"giannis antetokounmpo,khris middleton,brook lopez,donte divincenzo,bryn forbes,pat connaughton,bobby portis,torrey craig,thanasis antetokounmpo","donovan mitchell,royce o'neale,bojan bogdanovic,rudy gobert,joe ingles,jordan clarkson,derrick favors,georges niang"
2021-02-13,13.37,1,0.0,4.0,0.0,0.0,3.0,0.0,4.0,4.0,1.0,3.0,0.0,3.0,0.0,1.0,0.0,1.0,4.0,4.0,2.0,0.347,0.0,0.75,1.0,23.9,0.0,11.8,0.0,3.6,0.0,14.8,21.5,91.0,96.0,-10.8,"bam adebayo,kendrick nunn,jimmy butler,kelly olynyk,duncan robinson,tyler herro,max strus,andre iguodala,precious achiuwa,kz okpala,gabe vincent","joe ingles,donovan mitchell,royce o'neale,bojan bogdanovic,rudy gobert,jordan clarkson,georges niang,derrick favors,jarrell brantley,juwan morgan,trent forrest,shaquille harrison"
2021-02-15,10.58,1,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,9.0,0.75,0.75,1.0,0.0,12.3,11.1,11.6,0.0,4.5,0.0,0.0,8.2,167.0,118.0,7.7,"ben simmons,tobias harris,seth curry,danny green,furkan korkmaz,matisse thybulle,tyrese maxey,isaiah joe","royce o'neale,donovan mitchell,bojan bogdanovic,joe ingles,rudy gobert,jordan clarkson,derrick favors,georges niang"
2021-02-17,15.12,0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,5.0,8.0,1.25,1.25,0.5,0.0,5.8,0.0,3.2,0.0,0.0,0.0,0.0,5.3,246.0,106.0,2.6,"marcus morris,reggie jackson,patrick beverley,serge ibaka,terance mann,amir coffey,ivica zubac,mfiondu kabengele","royce o'neale,donovan mitchell,rudy gobert,joe ingles,bojan bogdanovic,jordan clarkson,georges niang,derrick favors,jarrell brantley,trent forrest,juwan morgan,shaquille harrison"
2021-02-22,1.3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0,-3.0,"lamelo ball,terry rozier,p.j. washington,gordon hayward,cody zeller,miles bridges,jalen mcdaniels,malik monk,bismack biyombo,cody martin","donovan mitchell,rudy gobert,mike conley,royce o'neale,bojan bogdanovic,joe ingles,jordan clarkson,derrick favors,georges niang,trent forrest,shaquille harrison,juwan morgan"
2021-02-24,5.12,1,2.0,3.0,0.667,2.0,3.0,0.667,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,6.0,-1.0,1.0,1.0,1.0,0.0,0.0,36.8,19.1,0.0,0.0,0.0,0.0,26.7,174.0,91.0,26.9,"talen horton-tucker,lebron james,markieff morris,kentavious caldwell-pope,kyle kuzma,montrezl harrell,wesley matthews,alex caruso,alfonzo mckinnie,devontae cacok,kostas antetokounmpo","royce o'neale,donovan mitchell,rudy gobert,mike conley,bojan bogdanovic,jordan clarkson,joe ingles,georges niang,derrick favors,trent forrest,jarrell brantley,juwan morgan"
2021-02-27,14.53,0,2.0,4.0,0.5,2.0,4.0,0.5,0.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,6.0,7.0,0.75,0.75,1.0,0.0,16.5,6.7,11.1,0.0,0.0,0.0,0.0,12.3,162.0,119.0,1.8,"nikola vucevic,evan fournier,michael carter-williams,terrence ross,chasson randle,chuma okeke,mo bamba,gary clark","donovan mitchell,royce o'neale,joe ingles,rudy gobert,bojan bogdanovic,jordan clarkson,georges niang,derrick favors,jarrell brantley,trent forrest,juwan morgan"
2021-03-12,1.62,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,-4.5,"kevin porter jr.,sterling brown,jae'sean tate,kenyon martin jr.,anthony lamb,david nwaba,mason jones","donovan mitchell,rudy gobert,bojan bogdanovic,mike conley,royce o'neale,joe ingles,jordan clarkson,derrick favors,georges niang"
2021-03-18,12.82,0,2.0,4.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,5.0,-7.0,0.625,0.625,0.5,0.0,0.0,8.7,4.2,0.0,0.0,0.0,0.0,12.0,128.0,126.0,-3.3,"bradley beal,rui hachimura,russell westbrook,garrison mathews,alex len,robin lopez,deni avdija,raul neto,davis bertans","donovan mitchell,royce o'neale,rudy gobert,joe ingles,bojan bogdanovic,jordan clarkson,georges niang,derrick favors,jarrell brantley,trent forrest,elijah hughes,juwan morgan"
2021-03-22,3.67,0,2.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,3.0,1.5,1.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.3,300.0,111.0,44.8,"zach lavine,patrick williams,thaddeus young,lauri markkanen,coby white,otto porter jr.,wendell carter jr.,denzel valentine,daniel gafford,ryan arcidiacono,adam mokoka,luke kornet","rudy gobert,bojan bogdanovic,donovan mitchell,mike conley,royce o'neale,joe ingles,jordan clarkson,georges niang,derrick favors,trent forrest,jarrell brantley,juwan morgan"
2021-03-24,9.17,1,1.0,4.0,0.25,1.0,4.0,0.25,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,3.0,-3.0,0.375,0.375,1.0,0.0,0.0,9.0,5.0,29.3,0.0,8.4,0.0,19.4,109.0,93.0,4.4,"bruce brown,timothe luwawu-cabarrot,jeff green,joe harris,alize johnson,chris chiozza,reggie perry,nic claxton,deandre jordan","donovan mitchell,royce o'neale,mike conley,bojan bogdanovic,rudy gobert,joe ingles,jordan clarkson,derrick favors,georges niang,trent forrest,elijah hughes,juwan morgan,jarrell brantley"
2021-03-27,15.77,1,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,11.1,6.2,6.6,2.9,0.0,0.0,12.5,19.0,104.0,-13.6,"ja morant,grayson allen,kyle anderson,jonas valanciunas,dillon brooks,brandon clarke,desmond bane,justise winslow,de'anthony melton,tyus jones,jontay porter,sean mcdermott,john konchar,killian tillie,xavier tillman sr.","joe ingles,donovan mitchell,bojan bogdanovic,royce o'neale,rudy gobert,jordan clarkson,georges niang,derrick favors,trent forrest,juwan morgan,jarrell brantley,elijah hughes"
2021-03-29,12.0,1,2.0,3.0,0.667,2.0,3.0,0.667,0.0,0.0,0.0,0.0,4.0,4.0,0.0,1.0,0.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,0.0,0.0,30.8,16.8,0.0,4.3,0.0,25.0,15.4,107.0,73.0,11.3,"darius garland,collin sexton,dean wade,isaac okoro,isaiah hartenstein,brodric thomas,lamar stevens,taurean prince","rudy gobert,mike conley,donovan mitchell,bojan bogdanovic,royce o'neale,jordan clarkson,joe ingles,georges niang,trent forrest,derrick favors,jarrell brantley,elijah hughes"
2021-03-31,13.93,0,1.0,3.0,0.333,1.0,3.0,0.333,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,2.0,3.0,8.0,0.5,0.5,1.0,0.0,7.5,0.0,3.7,10.0,0.0,9.6,0.0,9.1,131.0,110.0,4.7,"ja morant,desmond bane,jonas valanciunas,kyle anderson,dillon brooks,de'anthony melton,tyus jones,killian tillie,xavier tillman sr.,sean mcdermott","rudy gobert,mike conley,joe ingles,royce o'neale,bojan bogdanovic,jordan clarkson,georges niang,derrick favors"
2021-04-02,1.4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,-3.1,"patrick williams,thaddeus young,zach lavine,nikola vucevic,coby white,lauri markkanen,denzel valentine,daniel theis","donovan mitchell,bojan bogdanovic,rudy gobert,mike conley,royce o'neale,jordan clarkson,joe ingles,derrick favors,georges niang"
2021-04-03,25.92,1,2.0,5.0,0.4,1.0,4.0,0.25,0.0,0.0,0.0,1.0,3.0,4.0,0.0,0.0,0.0,3.0,1.0,5.0,18.0,0.5,0.5,0.8,0.0,5.0,10.7,8.3,0.0,0.0,0.0,37.5,13.7,67.0,99.0,-11.6,"wendell carter jr.,chuma okeke,chasson randle,r.j. hampton,terrence ross,mo bamba","bojan bogdanovic,joe ingles,donovan mitchell,rudy gobert,royce o'neale,jordan clarkson,trent forrest,georges niang,derrick favors,jarrell brantley"
2021-04-08,16.03,1,2.0,4.0,0.5,1.0,3.0,0.333,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,5.0,6.0,0.625,0.625,0.75,0.0,6.5,11.3,9.1,0.0,0.0,0.0,0.0,10.5,142.0,110.0,0.8,"cj mccollum,damian lillard,norman powell,robert covington,jusuf nurkic,derrick jones jr.,anfernee simons,nassir little,cj elleby","donovan mitchell,rudy gobert,royce o'neale,bojan bogdanovic,mike conley,joe ingles,georges niang,derrick favors,jarrell brantley,trent forrest,elijah hughes"
2021-04-10,12.22,1,1.0,7.0,0.143,1.0,7.0,0.143,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,5.0,0.214,0.214,1.0,0.0,0.0,0.0,0.0,10.9,0.0,0.0,0.0,24.3,59.0,118.0,-16.4,"de'aaron fox,harrison barnes,buddy hield,richaun holmes,maurice harkless,tyrese haliburton,terence davis,delon wright,chimezie metu","royce o'neale,donovan mitchell,mike conley,rudy gobert,bojan bogdanovic,joe ingles,georges niang,derrick favors"
