date,mp,home,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opponent,team
2020-12-22,32.25,1,6.0,7.0,0.857,0.0,0.0,0.0,5.0,7.0,0.714,4.0,6.0,10.0,3.0,0.0,1.0,1.0,1.0,17.0,-3.0,0.843,0.857,0.0,1.0,16.1,18.6,17.5,15.4,0.0,2.8,9.0,14.5,166.0,112.0,10.7,"paul george,kawhi leonard,nicolas batum,patrick beverley,serge ibaka,ivica zubac,luke kennard,reggie jackson,terance mann,amir coffey,mfiondu kabengele","anthony davis,lebron james,dennis schroder,kentavious caldwell-pope,kyle kuzma,markieff morris,alex caruso,wesley matthews,talen horton-tucker"
2020-12-25,28.43,1,10.0,13.0,0.769,0.0,1.0,0.0,2.0,5.0,0.4,5.0,2.0,7.0,2.0,1.0,0.0,2.0,4.0,22.0,15.0,0.724,0.769,0.077,0.385,20.6,8.7,14.8,9.9,1.7,0.0,11.6,24.7,140.0,119.0,1.4,"luka doncic,dorian finney-smith,tim hardaway jr.,josh richardson,dwight powell,trey burke,maxi kleber,willie cauley-stein,jalen brunson,james johnson,boban marjanovic,wes iwundu,josh green,tyrell terry","lebron james,anthony davis,dennis schroder,kentavious caldwell-pope,kyle kuzma,wesley matthews,markieff morris,alex caruso,talen horton-tucker,alfonzo mckinnie"
2020-12-27,19.68,1,6.0,10.0,0.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,12.0,12.0,0.6,0.6,0.1,0.0,0.0,4.2,2.6,13.8,2.3,3.6,9.1,23.3,109.0,89.0,0.6,"naz reid,malik beasley,d'angelo russell,jake layman,josh okogie,jarrett culver,anthony edwards,ricky rubio,jordan mclaughlin,jarred vanderbilt,juancho hernangomez,jaden mcdaniels","kyle kuzma,lebron james,dennis schroder,kentavious caldwell-pope,talen horton-tucker,wesley matthews,markieff morris,alex caruso,alfonzo mckinnie,kostas antetokounmpo"
2020-12-28,27.27,1,3.0,5.0,0.6,0.0,0.0,0.0,3.0,3.0,1.0,2.0,4.0,6.0,1.0,0.0,0.0,1.0,1.0,9.0,-20.0,0.712,0.6,0.0,0.6,8.0,16.8,12.3,4.9,0.0,0.0,13.7,11.8,136.0,120.0,-1.2,"robert covington,cj mccollum,derrick jones jr.,damian lillard,jusuf nurkic,gary trent jr.,anfernee simons","anthony davis,dennis schroder,lebron james,kentavious caldwell-pope,kyle kuzma,wesley matthews,talen horton-tucker,markieff morris"
2020-12-30,23.4,0,2.0,5.0,0.4,0.0,0.0,0.0,6.0,8.0,0.75,3.0,6.0,9.0,1.0,0.0,0.0,2.0,3.0,10.0,6.0,0.587,0.4,0.0,1.6,15.8,26.2,21.5,4.9,0.0,0.0,19.0,20.0,117.0,109.0,-4.7,"demar derozan,dejounte murray,lonnie walker iv,keldon johnson,jakob poeltl,rudy gay,drew eubanks,patty mills,devin vassell,tre jones,keita bates-diop,luka samanic","lebron james,dennis schroder,anthony davis,kentavious caldwell-pope,kyle kuzma,wesley matthews,markieff morris,alfonzo mckinnie"
2021-01-01,23.43,0,2.0,6.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,11.0,1.0,1.0,0.0,2.0,1.0,4.0,0.0,0.333,0.333,0.0,0.0,7.7,36.9,21.9,5.6,2.0,0.0,25.0,13.5,69.0,99.0,-8.0,"demar derozan,keldon johnson,dejounte murray,lonnie walker iv,jakob poeltl,patty mills,rudy gay,drew eubanks,derrick white","lebron james,anthony davis,dennis schroder,kentavious caldwell-pope,wesley matthews,kyle kuzma,talen horton-tucker,markieff morris"
2021-01-03,20.83,0,7.0,11.0,0.636,0.0,0.0,0.0,2.0,2.0,1.0,4.0,5.0,9.0,0.0,2.0,0.0,1.0,2.0,16.0,12.0,0.673,0.636,0.0,0.182,19.2,22.6,20.9,0.0,4.9,0.0,7.8,27.6,133.0,92.0,9.1,"kyle anderson,tyus jones,dillon brooks,brandon clarke,jonas valanciunas,desmond bane,gorgui dieng,xavier tillman sr.,john konchar,grayson allen,sean mcdermott","anthony davis,lebron james,dennis schroder,kyle kuzma,wesley matthews,talen horton-tucker,markieff morris,alfonzo mckinnie"
2021-01-05,20.15,0,4.0,9.0,0.444,0.0,1.0,0.0,1.0,1.0,1.0,3.0,4.0,7.0,1.0,1.0,0.0,1.0,2.0,9.0,-13.0,0.477,0.444,0.111,0.111,17.0,19.9,18.5,8.4,2.4,0.0,9.6,22.8,102.0,94.0,-0.5,"tyus jones,dillon brooks,kyle anderson,brandon clarke,jonas valanciunas,desmond bane,gorgui dieng,xavier tillman sr.,de'anthony melton,grayson allen","dennis schroder,anthony davis,lebron james,kyle kuzma,wesley matthews,talen horton-tucker,markieff morris"
2021-01-07,18.23,1,5.0,7.0,0.714,0.0,0.0,0.0,0.0,1.0,0.0,2.0,4.0,6.0,0.0,0.0,0.0,0.0,1.0,10.0,-1.0,0.672,0.714,0.0,0.143,12.2,23.4,17.9,0.0,0.0,0.0,0.0,18.1,140.0,122.0,2.1,"demar derozan,dejounte murray,keldon johnson,lonnie walker iv,patty mills,rudy gay,jakob poeltl,devin vassell,keita bates-diop,tre jones,trey lyles,luka samanic","lebron james,anthony davis,kyle kuzma,dennis schroder,wesley matthews,talen horton-tucker,alex caruso,markieff morris,alfonzo mckinnie"
2021-01-08,29.3,1,7.0,13.0,0.538,0.0,0.0,0.0,3.0,3.0,1.0,7.0,7.0,14.0,0.0,0.0,1.0,2.0,2.0,17.0,-11.0,0.594,0.538,0.0,0.231,27.3,28.0,27.6,0.0,0.0,2.5,12.3,24.8,125.0,117.0,-2.5,"zach lavine,patrick williams,coby white,wendell carter jr.,otto porter jr.,thaddeus young,garrett temple,denzel valentine,daniel gafford,adam mokoka","dennis schroder,lebron james,wesley matthews,markieff morris,talen horton-tucker,kyle kuzma,alex caruso"
2021-01-10,23.25,0,7.0,11.0,0.636,0.0,0.0,0.0,2.0,2.0,1.0,2.0,6.0,8.0,0.0,1.0,1.0,2.0,3.0,16.0,15.0,0.673,0.636,0.0,0.182,10.3,23.8,18.0,0.0,2.0,4.2,14.4,24.4,117.0,94.0,0.7,"james harden,john wall,christian wood,p.j. tucker,david nwaba,eric gordon,jae'sean tate,sterling brown,demarcus cousins,mason jones,bruno caboclo,kenyon martin jr.","dennis schroder,lebron james,anthony davis,kentavious caldwell-pope,kyle kuzma,alex caruso,talen horton-tucker,alfonzo mckinnie,markieff morris"
