date,mp,home,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opponent,team
2021-01-15,3.37,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,28.5,15.7,34.8,0.0,0.0,0.0,0.0,222.0,115.0,7.1,"anthony davis,lebron james,dennis schroder,kentavious caldwell-pope,kyle kuzma,montrezl harrell,alex caruso,markieff morris,wesley matthews,talen horton-tucker,alfonzo mckinnie","brandon ingram,zion williamson,steven adams,josh hart,nickeil alexander-walker,kira lewis jr.,jaxson hayes"
2021-01-19,2.95,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.8,0.0,133.0,-20.5,"royce o'neale,donovan mitchell,rudy gobert,bojan bogdanovic,mike conley,jordan clarkson,joe ingles,derrick favors,georges niang,miye oni,shaquille harrison,udoka azubuike,jarrell brantley","zion williamson,brandon ingram,steven adams,lonzo ball,nickeil alexander-walker,josh hart,jaxson hayes,kira lewis jr.,willy hernangomez"
2021-01-21,1.98,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.266,0.0,0.0,2.0,0.0,62.1,30.3,0.0,0.0,0.0,0.0,39.5,62.0,122.0,-22.0,"donovan mitchell,royce o'neale,mike conley,rudy gobert,bojan bogdanovic,jordan clarkson,joe ingles,derrick favors,georges niang,udoka azubuike,shaquille harrison,juwan morgan,miye oni","zion williamson,brandon ingram,steven adams,lonzo ball,josh hart,nickeil alexander-walker,jaxson hayes,willy hernangomez,kira lewis jr."
2021-03-12,4.62,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,22.1,0.0,18.6,0.0,8.5,61.0,73.0,1.6,"jarrett allen,collin sexton,isaac okoro,larry nance jr.,kevin love,cedi osman,dylan windler,dean wade,javale mcgee,brodric thomas,lamar stevens","brandon ingram,lonzo ball,steven adams,zion williamson,nickeil alexander-walker,kira lewis jr.,josh hart,jaxson hayes,willy hernangomez,wenyen gabriel"
2021-03-14,4.07,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,-8.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,21.8,69.0,121.0,-9.4,"kawhi leonard,reggie jackson,paul george,nicolas batum,serge ibaka,terance mann,marcus morris,luke kennard,ivica zubac,amir coffey,daniel oturu","zion williamson,lonzo ball,brandon ingram,steven adams,kira lewis jr.,josh hart,jaxson hayes,nickeil alexander-walker,willy hernangomez"
2021-03-23,3.27,1,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.7,0.0,117.0,-34.0,"dennis schroder,kyle kuzma,markieff morris,kentavious caldwell-pope,devontae cacok,montrezl harrell,alex caruso,wesley matthews,talen horton-tucker,alfonzo mckinnie,kostas antetokounmpo","brandon ingram,nickeil alexander-walker,zion williamson,steven adams,josh hart,kira lewis jr.,jaxson hayes,wenyen gabriel"
2021-03-27,2.85,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.0,-14.2,"jalen brunson,dorian finney-smith,josh richardson,maxi kleber,boban marjanovic,tim hardaway jr.,dwight powell,trey burke","zion williamson,brandon ingram,nickeil alexander-walker,steven adams,josh hart,kira lewis jr.,willy hernangomez"
2021-04-02,30.42,1,3.0,8.0,0.375,1.0,4.0,0.25,2.0,2.0,1.0,0.0,5.0,5.0,1.0,3.0,0.0,1.0,4.0,9.0,-23.0,0.507,0.438,0.5,0.25,0.0,22.5,10.4,4.7,4.5,0.0,10.1,13.8,93.0,115.0,-4.4,"kevin huerter,bogdan bogdanovic,clint capela,brandon goodwin,onyeka okongwu,skylar mays,nathan knight,bruno fernando","nickeil alexander-walker,james johnson,jaxson hayes,wes iwundu,kira lewis jr.,willy hernangomez,wenyen gabriel"
2021-04-04,23.77,0,3.0,6.0,0.5,1.0,1.0,1.0,5.0,7.0,0.714,1.0,3.0,4.0,5.0,0.0,1.0,2.0,2.0,12.0,2.0,0.661,0.583,0.167,1.167,3.7,12.6,7.8,28.1,0.0,4.1,18.1,18.4,130.0,115.0,1.7,"christian wood,kevin porter jr.,sterling brown,jae'sean tate,danuel house jr.,kelly olynyk,kenyon martin jr.,d.j. wilson","lonzo ball,james johnson,jaxson hayes,steven adams,willy hernangomez,wes iwundu,nickeil alexander-walker"
2021-04-06,28.22,0,2.0,10.0,0.2,0.0,4.0,0.0,4.0,6.0,0.667,0.0,9.0,9.0,3.0,0.0,1.0,0.0,3.0,8.0,-5.0,0.316,0.2,0.4,0.6,0.0,35.6,16.8,15.2,0.0,3.0,0.0,18.3,89.0,125.0,-9.1,"trae young,bogdan bogdanovic,clint capela,kevin huerter,danilo gallinari,onyeka okongwu,nathan knight,brandon goodwin,skylar mays,bruno fernando","zion williamson,lonzo ball,james johnson,steven adams,jaxson hayes,wes iwundu,willy hernangomez,wenyen gabriel"
