date,mp,home,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opponent,team
2021-01-07,7.78,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,-6.0,1.0,1.0,0.0,0.0,0.0,11.6,6.7,0.0,0.0,11.9,50.0,10.7,81.0,110.0,-4.3,"d'angelo russell,malik beasley,juancho hernangomez,jarrett culver,anthony edwards,ricky rubio,jarred vanderbilt,naz reid,jake layman,jaden mcdaniels,jaylen nowell","damian lillard,cj mccollum,robert covington,jusuf nurkic,derrick jones jr.,gary trent jr.,anfernee simons,cj elleby"
2021-01-09,5.55,0,1.0,2.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,-2.0,0.75,0.75,0.5,0.0,17.3,18.4,17.8,0.0,0.0,0.0,0.0,14.6,156.0,100.0,4.3,"harrison barnes,tyrese haliburton,buddy hield,de'aaron fox,marvin bagley iii,cory joseph,justin james,chimezie metu,jahmi'us ramsey,robert woodard ii","damian lillard,cj mccollum,robert covington,jusuf nurkic,derrick jones jr.,gary trent jr.,anfernee simons,cj elleby"
2021-01-14,4.17,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,10.5,0.0,127.0,-20.1,"domantas sabonis,myles turner,malcolm brogdon,justin holiday,edmond sumner,doug mcdermott,t.j. mcconnell,aaron holiday,kelan martin,cassius stanley","damian lillard,cj mccollum,robert covington,derrick jones jr.,jusuf nurkic,gary trent jr.,anfernee simons,cj elleby"
2021-01-18,8.92,1,0.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,0.5,1.0,3.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,-11.0,0.174,0.0,0.5,1.0,12.2,42.5,26.3,0.0,0.0,0.0,0.0,13.9,62.0,127.0,-16.4,"demar derozan,dejounte murray,lonnie walker iv,keldon johnson,devin vassell,patty mills,rudy gay,jakob poeltl,tre jones,trey lyles","damian lillard,derrick jones jr.,robert covington,gary trent jr.,anfernee simons"
2021-01-24,5.92,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,18.9,9.4,20.8,0.0,0.0,0.0,0.0,244.0,124.0,1.4,"julius randle,alec burks,mitchell robinson,elfrid payton,rj barrett,austin rivers,immanuel quickley,nerlens noel,kevin knox,obi toppin","damian lillard,derrick jones jr.,robert covington,anfernee simons,gary trent jr."
2021-01-25,21.55,1,1.0,5.0,0.2,0.0,2.0,0.0,2.0,2.0,1.0,1.0,3.0,4.0,0.0,0.0,1.0,1.0,2.0,4.0,4.0,0.34,0.2,0.4,0.4,4.5,15.2,9.6,0.0,0.0,5.1,14.5,13.3,76.0,129.0,-12.6,"shai gilgeous-alexander,luguentz dort,darius bazley,isaiah roby,theo maledon,kenrich williams,hamidou diallo,mike muscala,aleksej pokusevski,justin jackson","gary trent jr.,damian lillard,derrick jones jr.,anfernee simons"
2021-01-28,4.02,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,10.7,0.0,115.0,-24.0,"victor oladipo,christian wood,p.j. tucker,john wall,jae'sean tate,eric gordon,sterling brown,danuel house jr.,david nwaba,demarcus cousins","gary trent jr.,damian lillard,derrick jones jr.,anfernee simons"
2021-01-30,13.62,0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,5.0,6.0,1.33,1.5,1.0,2.0,17.2,9.5,13.6,0.0,3.8,0.0,0.0,6.4,258.0,130.0,8.7,"lauri markkanen,zach lavine,coby white,patrick williams,daniel gafford,thaddeus young,garrett temple,otto porter jr.,denzel valentine","gary trent jr.,damian lillard,robert covington,anfernee simons"
2021-02-01,29.65,0,11.0,18.0,0.611,5.0,7.0,0.714,3.0,3.0,1.0,5.0,1.0,6.0,1.0,1.0,2.0,1.0,2.0,30.0,-10.0,0.776,0.75,0.389,0.167,14.0,4.0,9.9,7.6,1.6,6.0,4.9,27.2,153.0,129.0,16.3,"jrue holiday,giannis antetokounmpo,khris middleton,donte divincenzo,brook lopez,bobby portis,bryn forbes,pat connaughton,torrey craig,jordan nwora,sam merrill,d.j. wilson,thanasis antetokounmpo","gary trent jr.,robert covington,damian lillard,anfernee simons,cj elleby"
2021-02-12,13.78,1,1.0,3.0,0.333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.333,0.333,0.333,0.0,0.0,7.6,4.0,0.0,0.0,0.0,0.0,9.4,73.0,114.0,-8.3,"collin sexton,darius garland,isaac okoro,taurean prince,andre drummond,lamar stevens,jarrett allen,dylan windler,cedi osman,dean wade","gary trent jr.,damian lillard,robert covington,derrick jones jr.,anfernee simons,cj elleby"
2021-02-14,5.0,0,1.0,2.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.75,0.75,0.5,0.0,0.0,26.7,13.5,0.0,0.0,0.0,33.3,26.6,95.0,129.0,-2.0,"luka doncic,dorian finney-smith,kristaps porzingis,maxi kleber,josh richardson,jalen brunson,tim hardaway jr.,willie cauley-stein,trey burke","robert covington,damian lillard,gary trent jr.,derrick jones jr.,anfernee simons"
2021-02-16,16.57,0,5.0,5.0,1.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,1.0,2.0,13.0,5.0,1.3,1.3,0.6,0.0,0.0,18.9,8.7,10.5,0.0,0.0,16.7,15.3,184.0,111.0,13.8,"luguentz dort,darius bazley,al horford,theo maledon,kenrich williams,hamidou diallo,isaiah roby,mike muscala,justin jackson","gary trent jr.,damian lillard,robert covington,derrick jones jr.,anfernee simons,cj elleby"
2021-02-17,4.52,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.9,0.0,143.0,-19.7,"lonzo ball,zion williamson,brandon ingram,steven adams,josh hart,willy hernangomez,kira lewis jr.,jaxson hayes","robert covington,damian lillard,gary trent jr.,derrick jones jr.,anfernee simons"
2021-02-20,4.97,1,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.3,105.0,122.0,-6.8,"russell westbrook,rui hachimura,bradley beal,garrison mathews,moritz wagner,davis bertans,robin lopez,raul neto,deni avdija,alex len","damian lillard,gary trent jr.,robert covington,derrick jones jr.,anfernee simons"
2021-02-22,16.05,0,4.0,7.0,0.571,3.0,6.0,0.5,7.0,8.0,0.875,1.0,4.0,5.0,0.0,1.0,1.0,2.0,2.0,18.0,-3.0,0.856,0.786,0.857,1.143,7.0,26.0,16.8,0.0,3.1,4.5,16.0,34.6,148.0,128.0,16.9,"devin booker,deandre ayton,chris paul,mikal bridges,frank kaminsky,jae crowder,dario saric,cameron payne,cameron johnson,langston galloway,jevon carter,damian jones","gary trent jr.,damian lillard,robert covington,derrick jones jr.,anfernee simons,cj elleby"
2021-02-23,14.43,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,-7.0,0.0,0.0,1.0,0.0,9.0,20.0,15.3,8.1,0.0,0.0,0.0,3.3,102.0,124.0,-5.1,"michael porter jr.,jamal murray,nikola jokic,monte morris,will barton,facundo campazzo,zeke nnaji,isaiah hartenstein","damian lillard,gary trent jr.,derrick jones jr.,robert covington,anfernee simons"
2021-02-26,11.7,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,1.0,0.0,8.7,16.4,12.7,0.0,0.0,0.0,0.0,3.8,59.0,112.0,-10.5,"lebron james,dennis schroder,kentavious caldwell-pope,markieff morris,alex caruso,montrezl harrell,kyle kuzma,talen horton-tucker,wesley matthews","damian lillard,robert covington,derrick jones jr.,gary trent jr.,anfernee simons"
2021-03-01,19.85,1,4.0,7.0,0.571,2.0,4.0,0.5,1.0,2.0,0.5,0.0,2.0,2.0,2.0,0.0,0.0,1.0,3.0,11.0,10.0,0.698,0.714,0.571,0.286,0.0,11.8,6.4,13.3,0.0,0.0,11.3,20.4,131.0,122.0,-3.8,"terry rozier,lamelo ball,p.j. washington,bismack biyombo,cody martin,miles bridges,malik monk,caleb martin,jalen mcdaniels","robert covington,damian lillard,gary trent jr.,derrick jones jr.,anfernee simons"
