date,mp,home,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opponent,team
2020-12-23,5.07,0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,2.0,2.0,0.0,-12.0,0.0,0.0,0.0,0.0,51.2,20.6,34.2,0.0,0.0,0.0,50.0,33.3,40.0,103.0,-39.4,"patrick williams,coby white,lauri markkanen,wendell carter jr.,zach lavine,otto porter jr.,ryan arcidiacono,chandler hutchison,daniel gafford,adam mokoka","trae young,de'andre hunter,danilo gallinari,cam reddish,john collins,kevin huerter,bogdan bogdanovic,bruno fernando,brandon goodwin,skylar mays"
2020-12-26,8.58,0,4.0,5.0,0.8,2.0,3.0,0.667,4.0,5.0,0.8,1.0,2.0,3.0,0.0,0.0,0.0,1.0,1.0,14.0,-4.0,0.972,1.0,0.6,1.0,11.2,22.4,16.8,0.0,0.0,0.0,12.2,38.0,159.0,109.0,26.1,"kyle anderson,ja morant,dillon brooks,grayson allen,jonas valanciunas,desmond bane,brandon clarke,tyus jones,john konchar,gorgui dieng","trae young,de'andre hunter,cam reddish,bogdan bogdanovic,john collins,kevin huerter,bruno fernando,brandon goodwin"
2021-01-01,0.9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,-5.5,"kevin durant,kyrie irving,joe harris,timothe luwawu-cabarrot,deandre jordan,caris levert,jarrett allen,landry shamet,taurean prince,jeff green,bruce brown,chris chiozza,reggie perry","trae young,cam reddish,de'andre hunter,clint capela,john collins,bogdan bogdanovic,kevin huerter,brandon goodwin,bruno fernando,skylar mays"
2021-01-06,2.75,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.9,0.0,109.0,-23.9,"gordon hayward,devonte' graham,p.j. washington,terry rozier,bismack biyombo,lamelo ball,miles bridges,caleb martin,cody martin","trae young,de'andre hunter,john collins,cam reddish,clint capela,kevin huerter,brandon goodwin,bogdan bogdanovic"
2021-01-09,2.12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,43.6,0.0,25.8,0.0,0.0,51.5,0.0,0.0,234.0,88.0,6.9,"p.j. washington,gordon hayward,terry rozier,devonte' graham,bismack biyombo,lamelo ball,miles bridges,caleb martin,cody martin","trae young,de'andre hunter,john collins,clint capela,bogdan bogdanovic,cam reddish,kevin huerter,brandon goodwin"
2021-01-11,15.62,1,1.0,7.0,0.143,1.0,3.0,0.333,0.0,0.0,0.0,2.0,1.0,3.0,1.0,0.0,2.0,0.0,0.0,3.0,-8.0,0.214,0.214,0.429,0.0,11.2,5.8,8.5,9.1,0.0,11.0,0.0,18.1,74.0,94.0,-4.5,"dakota mathias,tyrese maxey,danny green,joel embiid,isaiah joe,paul reed,tony bradley","clint capela,trae young,john collins,cam reddish,de'andre hunter,kevin huerter,brandon goodwin,bruno fernando,skylar mays"
2021-01-20,5.25,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,21.5,9.6,0.0,0.0,0.0,100.0,7.8,0.0,112.0,-17.7,"jerami grant,blake griffin,mason plumlee,delon wright,derrick rose,josh jackson,isaiah stewart,svi mykhailiuk,jahlil okafor,saddiq bey,sekou doumbouya","trae young,john collins,kevin huerter,clint capela,onyeka okongwu,brandon goodwin"
2021-02-04,3.75,1,2.0,3.0,0.667,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,5.0,4.0,0.727,0.667,0.0,0.333,22.1,0.0,12.7,0.0,13.4,0.0,0.0,37.5,155.0,95.0,32.8,"donovan mitchell,bojan bogdanovic,royce o'neale,rudy gobert,mike conley,joe ingles,jordan clarkson,derrick favors,georges niang,miye oni,jarrell brantley,juwan morgan,shaquille harrison","kevin huerter,john collins,cam reddish,clint capela,brandon goodwin,danilo gallinari,bruno fernando,skylar mays"
2021-02-12,9.63,1,2.0,4.0,0.5,0.0,2.0,0.0,2.0,2.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,6.0,24.0,0.615,0.5,0.5,0.5,10.4,12.8,11.5,0.0,4.9,0.0,0.0,20.9,136.0,118.0,3.8,"jakob poeltl,keldon johnson,demar derozan,dejounte murray,derrick white,patty mills,drew eubanks,lonnie walker iv,rudy gay,devin vassell,quinndary weatherspoon,trey lyles,keita bates-diop","kevin huerter,trae young,john collins,clint capela,cam reddish,skylar mays,danilo gallinari,onyeka okongwu,brandon goodwin,bruno fernando"
2021-02-24,3.87,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-7.0,0.0,0.0,0.0,0.0,0.0,27.6,15.3,0.0,0.0,0.0,50.0,22.7,0.0,118.0,-28.8,"jayson tatum,jaylen brown,tristan thompson,daniel theis,grant williams,payton pritchard,robert williams,aaron nesmith,javonte green,carsen edwards,tremont waters","trae young,kevin huerter,john collins,clint capela,danilo gallinari,skylar mays,onyeka okongwu,brandon goodwin,bruno fernando"
