date,mp,home,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opponent,team
2020-12-23,17.57,1,2.0,5.0,0.4,0.0,1.0,0.0,4.0,6.0,0.667,2.0,3.0,5.0,1.0,0.0,3.0,0.0,0.0,8.0,-1.0,0.524,0.4,0.2,1.2,11.2,19.1,14.9,8.4,0.0,14.1,0.0,18.8,128.0,95.0,5.0,"blake griffin,mason plumlee,jerami grant,killian hayes,delon wright,josh jackson,derrick rose,svi mykhailiuk,jahlil okafor,sekou doumbouya","josh okogie,karl-anthony towns,malik beasley,ricky rubio,jake layman,d'angelo russell,anthony edwards,jarrett culver,juancho hernangomez"
2020-12-26,17.6,0,3.0,8.0,0.375,2.0,4.0,0.5,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0,8.0,-9.0,0.5,0.5,0.5,0.0,0.0,11.6,5.6,14.8,2.7,0.0,11.1,20.8,100.0,109.0,2.8,"donovan mitchell,royce o'neale,bojan bogdanovic,mike conley,rudy gobert,joe ingles,jordan clarkson,derrick favors,georges niang,juwan morgan","malik beasley,d'angelo russell,josh okogie,karl-anthony towns,jake layman,ricky rubio,anthony edwards,jarrett culver,juancho hernangomez"
2020-12-27,27.8,0,5.0,13.0,0.385,1.0,4.0,0.25,0.0,0.0,0.0,1.0,4.0,5.0,4.0,2.0,0.0,1.0,5.0,11.0,-21.0,0.423,0.423,0.308,0.0,3.0,19.2,9.2,23.5,3.2,0.0,7.1,19.2,95.0,118.0,-1.5,"kyle kuzma,lebron james,dennis schroder,kentavious caldwell-pope,talen horton-tucker,montrezl harrell,wesley matthews,markieff morris,alex caruso,alfonzo mckinnie,kostas antetokounmpo","malik beasley,d'angelo russell,jake layman,josh okogie,jarrett culver,anthony edwards,ricky rubio,jordan mclaughlin,jarred vanderbilt,juancho hernangomez,jaden mcdaniels"
2020-12-29,19.9,0,4.0,6.0,0.667,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,0.0,0.0,0.0,3.0,11.0,-12.0,0.799,0.75,0.167,0.333,9.6,6.9,8.5,8.8,0.0,0.0,0.0,15.0,170.0,133.0,1.7,"paul george,luke kennard,nicolas batum,patrick beverley,serge ibaka,reggie jackson,terance mann,ivica zubac,amir coffey,mfiondu kabengele,daniel oturu","d'angelo russell,malik beasley,ricky rubio,jarrett culver,anthony edwards,juancho hernangomez,jordan mclaughlin,jarred vanderbilt,jake layman,jaden mcdaniels"
2021-01-01,24.3,1,7.0,10.0,0.7,1.0,3.0,0.333,2.0,3.0,0.667,1.0,5.0,6.0,1.0,1.0,2.0,2.0,4.0,17.0,4.0,0.751,0.75,0.3,0.3,4.3,24.7,13.8,7.0,1.9,7.1,15.0,22.4,129.0,117.0,4.1,"bradley beal,deni avdija,raul neto,thomas bryant,rui hachimura,jerome robinson,ish smith,robin lopez,davis bertans,troy brown jr.,garrison mathews,anthony gill","malik beasley,d'angelo russell,ricky rubio,jarrett culver,anthony edwards,jordan mclaughlin,jake layman,juancho hernangomez,jarred vanderbilt,jaden mcdaniels"
2021-01-03,23.03,1,6.0,9.0,0.667,0.0,2.0,0.0,1.0,2.0,0.5,0.0,4.0,4.0,1.0,0.0,1.0,2.0,5.0,13.0,0.0,0.658,0.667,0.222,0.222,0.0,20.8,10.6,6.6,0.0,4.4,16.8,23.3,104.0,129.0,-8.8,"jamal murray,nikola jokic,gary harris,will barton,monte morris,jamychal green,facundo campazzo,pj dozier,vlatko cancar,r.j. hampton,zeke nnaji","malik beasley,d'angelo russell,jarrett culver,juancho hernangomez,anthony edwards,jake layman,ricky rubio,jordan mclaughlin,jaden mcdaniels,jarred vanderbilt"
2021-01-05,10.2,0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,2.0,-13.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,16.1,45.0,126.0,-25.1,"nikola jokic,will barton,gary harris,jamal murray,facundo campazzo,monte morris,jamychal green,pj dozier,r.j. hampton","malik beasley,d'angelo russell,juancho hernangomez,jarrett culver,anthony edwards,jarred vanderbilt,ricky rubio,jake layman"
2021-01-07,16.02,0,4.0,7.0,0.571,1.0,3.0,0.333,4.0,7.0,0.571,2.0,3.0,5.0,1.0,0.0,1.0,0.0,4.0,13.0,-2.0,0.645,0.643,0.429,1.0,11.3,23.1,16.3,11.1,0.0,6.1,0.0,24.5,142.0,127.0,3.0,"damian lillard,cj mccollum,robert covington,jusuf nurkic,derrick jones jr.,gary trent jr.,anfernee simons,nassir little,cj elleby","d'angelo russell,malik beasley,juancho hernangomez,jarrett culver,anthony edwards,ricky rubio,jarred vanderbilt,jake layman,jaden mcdaniels,jaylen nowell"
2021-01-09,16.0,1,6.0,8.0,0.75,3.0,4.0,0.75,1.0,2.0,0.5,1.0,6.0,7.0,1.0,0.0,3.0,2.0,1.0,16.0,5.0,0.901,0.938,0.5,0.25,7.0,36.8,23.0,11.8,0.0,14.4,18.4,30.2,130.0,102.0,22.1,"demar derozan,keldon johnson,dejounte murray,lonnie walker iv,patty mills,rudy gay,jakob poeltl,devin vassell","malik beasley,d'angelo russell,karl-anthony towns,jarrett culver,juancho hernangomez,ricky rubio,anthony edwards,jarred vanderbilt,jake layman"
2021-01-10,29.4,1,3.0,7.0,0.429,1.0,4.0,0.25,4.0,4.0,1.0,1.0,6.0,7.0,1.0,0.0,1.0,3.0,3.0,11.0,-4.0,0.628,0.5,0.571,0.571,3.6,18.8,11.8,5.6,0.0,2.6,25.5,18.4,99.0,92.0,-3.6,"dejounte murray,trey lyles,keldon johnson,lonnie walker iv,patty mills,rudy gay,jakob poeltl,devin vassell","malik beasley,d'angelo russell,juancho hernangomez,jarrett culver,ricky rubio,josh okogie,jarred vanderbilt,anthony edwards"
2021-01-13,13.58,1,3.0,6.0,0.5,1.0,3.0,0.333,2.0,2.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,2.0,2.0,9.0,-16.0,0.654,0.583,0.5,0.333,8.2,13.6,11.2,0.0,0.0,0.0,22.5,27.9,101.0,121.0,-6.5,"brandon clarke,jonas valanciunas,dillon brooks,tyus jones,kyle anderson,grayson allen,de'anthony melton,xavier tillman sr.,desmond bane","d'angelo russell,karl-anthony towns,malik beasley,juancho hernangomez,josh okogie,ricky rubio,anthony edwards,jarred vanderbilt,jarrett culver"
2021-01-18,27.83,0,4.0,9.0,0.444,1.0,2.0,0.5,0.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,9.0,-7.0,0.5,0.5,0.222,0.0,0.0,9.3,4.0,5.9,3.3,3.4,18.2,16.3,81.0,103.0,-4.9,"kevin huerter,clint capela,de'andre hunter,john collins,trae young,brandon goodwin","malik beasley,d'angelo russell,jarred vanderbilt,josh okogie,anthony edwards,jarrett culver,jordan mclaughlin,jaden mcdaniels"
2021-01-20,29.17,1,5.0,8.0,0.625,2.0,4.0,0.5,2.0,2.0,1.0,0.0,3.0,3.0,1.0,0.0,3.0,1.0,1.0,14.0,-4.0,0.788,0.75,0.5,0.25,0.0,10.3,5.4,5.9,0.0,8.1,10.1,15.6,135.0,105.0,4.3,"nikola vucevic,aaron gordon,evan fournier,cole anthony,khem birch,terrence ross,gary clark","malik beasley,d'angelo russell,josh okogie,jarred vanderbilt,jaden mcdaniels,anthony edwards,jordan mclaughlin,jarrett culver"
2021-01-22,25.1,1,6.0,7.0,0.857,1.0,2.0,0.5,0.0,0.0,0.0,0.0,8.0,8.0,2.0,1.0,4.0,0.0,3.0,13.0,-1.0,0.929,0.929,0.286,0.0,0.0,35.6,16.1,13.4,1.9,15.9,0.0,12.0,179.0,107.0,11.6,"kevin huerter,trae young,clint capela,john collins,de'andre hunter,cam reddish,danilo gallinari,brandon goodwin,onyeka okongwu,bruno fernando","jarred vanderbilt,malik beasley,d'angelo russell,josh okogie,anthony edwards,jaden mcdaniels,jarrett culver,ricky rubio,jordan mclaughlin,jake layman,jaylen nowell"
2021-01-23,27.38,1,5.0,10.0,0.5,2.0,4.0,0.5,8.0,8.0,1.0,1.0,3.0,4.0,2.0,0.0,1.0,1.0,4.0,20.0,8.0,0.74,0.6,0.4,0.8,3.8,11.4,7.6,11.6,0.0,3.2,6.9,21.5,153.0,111.0,4.8,"zion williamson,brandon ingram,lonzo ball,steven adams,josh hart,nickeil alexander-walker,jaxson hayes","malik beasley,ricky rubio,josh okogie,jarred vanderbilt,jarrett culver,anthony edwards,jaden mcdaniels,jordan mclaughlin"
2021-01-25,24.03,0,5.0,16.0,0.313,1.0,6.0,0.167,0.0,0.0,0.0,4.0,6.0,10.0,1.0,0.0,2.0,2.0,6.0,11.0,-11.0,0.344,0.344,0.375,0.0,17.0,26.1,21.5,6.9,0.0,6.8,11.1,29.2,80.0,122.0,-12.7,"stephen curry,draymond green,andrew wiggins,kelly oubre jr.,kevon looney,damion lee,james wiseman,mychal mulder,kent bazemore,eric paschall,jordan poole,nico mannion","malik beasley,ricky rubio,jarred vanderbilt,josh okogie,anthony edwards,jaden mcdaniels,jordan mclaughlin,jarrett culver,jake layman,ashton hagans"
2021-01-27,27.4,0,6.0,10.0,0.6,1.0,2.0,0.5,6.0,9.0,0.667,4.0,3.0,7.0,1.0,3.0,5.0,3.0,3.0,19.0,-17.0,0.681,0.65,0.2,0.9,15.2,13.5,14.4,6.6,5.1,17.2,17.7,25.1,120.0,104.0,8.6,"stephen curry,andrew wiggins,draymond green,kelly oubre jr.,kevon looney,james wiseman,damion lee,mychal mulder,eric paschall,kent bazemore,nico mannion,jordan poole","malik beasley,jarred vanderbilt,ricky rubio,josh okogie,anthony edwards,jordan mclaughlin,jake layman,jaylen nowell,jaden mcdaniels,ashton hagans"
2021-02-01,13.23,0,5.0,11.0,0.455,2.0,3.0,0.667,0.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,5.0,12.0,5.0,0.545,0.545,0.273,0.0,14.0,8.1,11.2,0.0,0.0,0.0,0.0,34.7,117.0,111.0,2.4,"collin sexton,darius garland,jarrett allen,isaac okoro,taurean prince,cedi osman,lamar stevens,javale mcgee,dylan windler","malik beasley,anthony edwards,d'angelo russell,josh okogie,jaden mcdaniels,ricky rubio,jarred vanderbilt,jaylen nowell,jake layman"
