date,mp,home,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opponent,team
2021-02-23,13.77,1,1.0,2.0,0.5,0.0,0.0,0.0,3.0,4.0,0.75,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,5.0,-3.0,0.665,0.5,0.0,2.0,0.0,9.7,4.4,8.6,0.0,6.2,21.0,15.0,116.0,117.0,-2.6,"de'aaron fox,harrison barnes,buddy hield,marvin bagley iii,richaun holmes,tyrese haliburton,cory joseph,daquan jeffries","james harden,kyrie irving,deandre jordan,joe harris,bruce brown,landry shamet"
2021-02-25,15.15,1,4.0,7.0,0.571,0.0,0.0,0.0,2.0,3.0,0.667,0.0,3.0,3.0,1.0,4.0,2.0,0.0,1.0,10.0,16.0,0.601,0.571,0.0,0.429,0.0,19.8,11.1,8.7,12.2,12.4,0.0,23.7,126.0,56.0,16.2,"nikola vucevic,evan fournier,michael carter-williams,terrence ross,chasson randle,chuma okeke,mo bamba,gary clark,khem birch","james harden,kyrie irving,deandre jordan,bruce brown,joe harris,landry shamet,timothe luwawu-cabarrot,chris chiozza,tyler cook"
2021-02-27,12.95,1,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,2.0,2.0,-4.0,0.333,0.333,0.0,0.0,8.4,9.5,8.9,11.8,0.0,7.4,25.0,13.1,76.0,120.0,-8.9,"dorian finney-smith,luka doncic,maxi kleber,josh richardson,kristaps porzingis,jalen brunson,tim hardaway jr.,willie cauley-stein,trey burke,dwight powell,wes iwundu,james johnson,boban marjanovic","james harden,bruce brown,joe harris,timothe luwawu-cabarrot,jeff green,landry shamet,chris chiozza,deandre jordan,tyler cook"
2021-03-01,17.3,0,7.0,9.0,0.778,0.0,1.0,0.0,3.0,3.0,1.0,0.0,3.0,3.0,1.0,1.0,3.0,0.0,2.0,17.0,8.0,0.824,0.778,0.111,0.333,0.0,19.6,9.3,12.0,3.1,14.8,0.0,28.1,167.0,98.0,19.4,"demar derozan,lonnie walker iv,dejounte murray,jakob poeltl,trey lyles,patty mills,keita bates-diop,luka samanic,drew eubanks,tre jones","james harden,kyrie irving,joe harris,deandre jordan,bruce brown,landry shamet,tyler cook"
2021-03-03,16.42,0,7.0,8.0,0.875,0.0,0.0,0.0,2.0,4.0,0.5,3.0,5.0,8.0,1.0,0.0,0.0,0.0,3.0,16.0,4.0,0.82,0.875,0.0,0.5,25.1,26.6,26.0,10.2,0.0,0.0,0.0,26.0,172.0,114.0,8.1,"john wall,victor oladipo,sterling brown,jae'sean tate,p.j. tucker,mason jones","james harden,kyrie irving,deandre jordan,bruce brown,joe harris,landry shamet,chris chiozza,tyler cook"
2021-03-11,17.67,1,2.0,3.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,1.0,0.0,3.0,4.0,10.0,0.667,0.667,0.0,0.0,0.0,24.2,12.9,0.0,0.0,5.3,0.0,7.3,137.0,108.0,-1.3,"jaylen brown,jayson tatum,kemba walker,daniel theis,tristan thompson,marcus smart,robert williams,grant williams,payton pritchard","james harden,kyrie irving,joe harris,deandre jordan,bruce brown,landry shamet,jeff green"
2021-03-13,17.73,1,3.0,6.0,0.5,0.0,1.0,0.0,2.0,5.0,0.4,1.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,8.0,7.0,0.488,0.5,0.167,0.833,6.9,12.9,10.0,17.5,2.9,9.5,19.6,27.2,89.0,96.0,1.1,"jerami grant,delon wright,saddiq bey,mason plumlee,rodney mcgruder,josh jackson,isaiah stewart,saben lee,sekou doumbouya","james harden,kyrie irving,joe harris,deandre jordan,bruce brown,jeff green,landry shamet"
2021-03-15,16.28,1,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,1.0,2.0,1.0,2.0,6.0,11.0,1.0,1.0,0.0,0.0,0.0,23.1,14.6,8.4,3.1,11.8,25.0,11.7,140.0,102.0,9.5,"reggie bullock,julius randle,rj barrett,immanuel quickley,nerlens noel,alec burks,taj gibson,frank ntilikina,obi toppin","james harden,kyrie irving,jeff green,joe harris,deandre jordan,landry shamet,bruce brown,timothe luwawu-cabarrot"
2021-03-17,22.55,0,5.0,10.0,0.5,0.0,0.0,0.0,1.0,2.0,0.5,2.0,6.0,8.0,1.0,0.0,2.0,0.0,3.0,11.0,24.0,0.506,0.5,0.0,0.2,9.5,32.7,20.3,6.8,0.0,8.2,0.0,19.2,122.0,107.0,0.0,"domantas sabonis,malcolm brogdon,justin holiday,caris levert,myles turner,doug mcdermott,t.j. mcconnell,edmond sumner,aaron holiday,goga bitadze","james harden,joe harris,landry shamet,bruce brown,deandre jordan,jeff green,timothe luwawu-cabarrot"
2021-03-19,22.62,0,3.0,6.0,0.5,0.0,0.0,0.0,1.0,2.0,0.5,0.0,4.0,4.0,2.0,1.0,1.0,0.0,1.0,7.0,6.0,0.509,0.5,0.0,0.333,0.0,22.3,10.2,11.6,2.1,4.8,0.0,13.4,114.0,118.0,0.3,"nikola vucevic,aaron gordon,evan fournier,chasson randle,khem birch,chuma okeke,mo bamba","kyrie irving,james harden,joe harris,jeff green,deandre jordan,bruce brown,landry shamet"
