date,mp,home,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opponent,team
2021-01-04,7.78,1,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.5,0.0,0.0,22.0,12.3,24.2,0.0,0.0,0.0,10.8,63.0,98.0,-12.8,"de'aaron fox,buddy hield,harrison barnes,marvin bagley iii,richaun holmes,cory joseph,kyle guy,justin james,chimezie metu,robert woodard ii,jahmi'us ramsey","stephen curry,andrew wiggins,kelly oubre jr.,draymond green,james wiseman,eric paschall,damion lee,kent bazemore,mychal mulder,kevon looney,jordan poole"
2021-01-21,8.1,1,0.0,2.0,0.0,0.0,2.0,0.0,1.0,2.0,0.5,0.0,1.0,1.0,4.0,0.0,0.0,1.0,1.0,1.0,-7.0,0.174,0.0,1.0,1.0,0.0,12.3,5.9,71.8,0.0,0.0,25.8,20.3,67.0,122.0,-9.2,"elfrid payton,rj barrett,julius randle,mitchell robinson,reggie bullock,alec burks,nerlens noel,obi toppin,kevin knox,immanuel quickley","stephen curry,andrew wiggins,kelly oubre jr.,james wiseman,draymond green,eric paschall,damion lee,kent bazemore,kevon looney,jordan poole,mychal mulder"
2021-01-23,9.62,0,3.0,5.0,0.6,2.0,3.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,8.0,21.0,0.8,0.8,0.6,0.0,0.0,0.0,0.0,73.9,4.8,0.0,0.0,22.6,167.0,121.0,25.7,"donovan mitchell,mike conley,royce o'neale,bojan bogdanovic,rudy gobert,jordan clarkson,georges niang,joe ingles,derrick favors,miye oni,udoka azubuike,juwan morgan,shaquille harrison","stephen curry,andrew wiggins,james wiseman,draymond green,kelly oubre jr.,jordan poole,damion lee,eric paschall,kevon looney,mychal mulder,kent bazemore,juan toscano-anderson"
2021-01-25,2.45,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.1,0.0,100.0,16.3,0.0,76.0,-10.0,"malik beasley,ricky rubio,jarred vanderbilt,naz reid,josh okogie,anthony edwards,jaden mcdaniels,jordan mclaughlin,jarrett culver,jake layman,ashton hagans","stephen curry,draymond green,andrew wiggins,kelly oubre jr.,kevon looney,damion lee,james wiseman,mychal mulder,kent bazemore,eric paschall,jordan poole"
2021-01-27,2.48,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,42.0,22.7,0.0,0.0,0.0,0.0,14.6,0.0,106.0,-21.1,"malik beasley,naz reid,jarred vanderbilt,ricky rubio,josh okogie,anthony edwards,jordan mclaughlin,jake layman,jaylen nowell,jaden mcdaniels,ashton hagans","stephen curry,andrew wiggins,draymond green,kelly oubre jr.,kevon looney,james wiseman,damion lee,mychal mulder,eric paschall,kent bazemore,jordan poole"
2021-01-28,5.63,0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.75,0.0,0.0,75.7,32.5,44.8,0.0,0.0,0.0,29.5,27.0,103.0,-21.9,"mikal bridges,cameron johnson,jae crowder,chris paul,deandre ayton,frank kaminsky,langston galloway,jalen smith,jevon carter","stephen curry,andrew wiggins,kelly oubre jr.,draymond green,kevon looney,eric paschall,james wiseman,damion lee,mychal mulder,kent bazemore,jordan poole"
2021-03-04,31.27,0,3.0,10.0,0.3,3.0,5.0,0.6,0.0,0.0,0.0,0.0,4.0,4.0,6.0,1.0,0.0,5.0,3.0,9.0,-7.0,0.45,0.45,0.5,0.0,0.0,14.3,6.7,27.6,1.5,0.0,33.3,20.6,74.0,119.0,-8.8,"devin booker,mikal bridges,jae crowder,deandre ayton,chris paul,cameron payne,frank kaminsky,dario saric,jevon carter,jalen smith","james wiseman,juan toscano-anderson,andrew wiggins,damion lee,jordan poole,eric paschall,kevon looney,kent bazemore,mychal mulder"
2021-03-11,21.33,0,3.0,7.0,0.429,1.0,3.0,0.333,3.0,4.0,0.75,0.0,3.0,3.0,2.0,1.0,0.0,4.0,3.0,10.0,-7.0,0.571,0.5,0.429,0.571,0.0,13.5,6.8,14.4,2.1,0.0,31.3,24.8,81.0,121.0,-7.5,"kawhi leonard,paul george,serge ibaka,nicolas batum,patrick beverley,reggie jackson,marcus morris,terance mann,ivica zubac,luke kennard,amir coffey,mfiondu kabengele","kelly oubre jr.,andrew wiggins,stephen curry,draymond green,kevon looney,jordan poole,juan toscano-anderson,eric paschall,kent bazemore,james wiseman,damion lee"
2021-03-14,12.37,1,2.0,3.0,0.667,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,5.0,-7.0,0.833,0.833,0.333,0.0,0.0,14.6,8.5,18.4,7.6,0.0,25.0,14.1,128.0,104.0,8.6,"donovan mitchell,rudy gobert,mike conley,royce o'neale,bojan bogdanovic,joe ingles,jordan clarkson,derrick favors,georges niang","andrew wiggins,stephen curry,draymond green,kelly oubre jr.,kevon looney,james wiseman,jordan poole,eric paschall,juan toscano-anderson,kent bazemore"
2021-03-15,18.78,1,3.0,7.0,0.429,2.0,6.0,0.333,2.0,2.0,1.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,3.0,10.0,-19.0,0.635,0.571,0.857,0.286,5.3,0.0,3.4,38.8,0.0,0.0,0.0,18.1,147.0,134.0,4.0,"lebron james,dennis schroder,damian jones,kentavious caldwell-pope,markieff morris,kyle kuzma,talen horton-tucker,montrezl harrell,wesley matthews,alfonzo mckinnie,devontae cacok","stephen curry,draymond green,kelly oubre jr.,andrew wiggins,kevon looney,james wiseman,jordan poole,eric paschall,kent bazemore,damion lee,juan toscano-anderson,alen smailagic"
