date,mp,home,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opponent,team
2021-10-21,8.25,1,4.0,6.0,0.667,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,0.621,0.667,0.0,0.167,0.0,33.6,18.2,0.0,0.0,0.0,0.0,31.1,116.0,92.0,4.4,"grayson allen,pat connaughton,khris middleton,giannis antetokounmpo,george hill,justin robinson,sandro mamukelashvili,jordan nwora,thanasis antetokounmpo","jimmy butler,kyle lowry,duncan robinson,bam adebayo,p.j. tucker,tyler herro,max strus,markieff morris,dewayne dedmon,gabe vincent,caleb martin,kz okpala,marcus garrett"
2021-10-25,1.63,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,-6.8,"cole anthony,mo bamba,jalen suggs,wendell carter jr.,franz wagner,r.j. hampton,terrence ross,gary harris,moritz wagner,robin lopez,ignas brazdeikis","jimmy butler,kyle lowry,bam adebayo,duncan robinson,p.j. tucker,tyler herro,markieff morris,max strus,dewayne dedmon,marcus garrett,kz okpala,gabe vincent"
2021-10-27,0.85,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,-4.0,"kevin durant,james harden,bruce brown,joe harris,blake griffin,patty mills,deandre' bembry,jevon carter,day'ron sharpe,cam thomas","jimmy butler,kyle lowry,p.j. tucker,duncan robinson,bam adebayo,tyler herro,dewayne dedmon,markieff morris,max strus,caleb martin,kz okpala,gabe vincent"
2021-10-30,3.48,0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,-1.0,0.5,0.5,0.0,0.0,39.4,29.3,33.6,0.0,0.0,0.0,33.3,36.1,81.0,106.0,-17.7,"ja morant,de'anthony melton,desmond bane,jaren jackson jr.,steven adams,kyle anderson,sam merrill,xavier tillman sr.,ziaire williams,tyus jones,john konchar,santi aldama,brandon clarke,killian tillie","jimmy butler,kyle lowry,duncan robinson,p.j. tucker,dewayne dedmon,tyler herro,caleb martin,markieff morris,max strus,kz okpala,gabe vincent,udonis haslem"
2021-11-02,1.73,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,-1.0,1.0,1.0,0.0,0.0,71.0,58.9,64.4,0.0,0.0,0.0,0.0,27.1,213.0,109.0,27.0,"luka doncic,tim hardaway jr.,dorian finney-smith,jalen brunson,dwight powell,reggie bullock,willie cauley-stein,frank ntilikina,sterling brown,josh green,boban marjanovic,moses brown,eugene omoruyi,jaquori mclaughlin","kyle lowry,jimmy butler,bam adebayo,p.j. tucker,duncan robinson,tyler herro,caleb martin,markieff morris,dewayne dedmon,gabe vincent,udonis haslem"
2021-11-04,3.73,1,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,99.0,116.0,0.9,"marcus smart,al horford,jayson tatum,jaylen brown,robert williams,dennis schroder,romeo langford,aaron nesmith,grant williams,payton pritchard,bruno fernando,juancho hernangomez","jimmy butler,duncan robinson,p.j. tucker,bam adebayo,kyle lowry,tyler herro,markieff morris,dewayne dedmon,caleb martin,gabe vincent"
2021-11-08,2.65,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.8,0.0,127.0,-21.8,"aaron gordon,will barton,jeff green,nikola jokic,monte morris,pj dozier,bones hyland,austin rivers,jamychal green,zeke nnaji,facundo campazzo,bol bol","jimmy butler,kyle lowry,bam adebayo,duncan robinson,p.j. tucker,tyler herro,markieff morris,dewayne dedmon,caleb martin,gabe vincent,kz okpala"
2021-11-10,4.38,0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,1.042,1.0,0.0,1.0,0.0,26.9,12.5,0.0,0.0,0.0,0.0,13.9,221.0,113.0,10.1,"anthony davis,russell westbrook,kent bazemore,deandre jordan,malik monk","kyle lowry,duncan robinson,p.j. tucker,bam adebayo,jimmy butler,tyler herro,caleb martin,gabe vincent,dewayne dedmon,udonis haslem"
2021-11-15,4.63,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,-14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.7,66.7,29.7,0.0,90.0,-33.3,"shai gilgeous-alexander,josh giddey,luguentz dort,jeremiah robinson-earl,darius bazley,aaron wiggins,kenrich williams,aleksej pokusevski,ty jerome,isaiah roby,mike muscala,tre mann","tyler herro,kyle lowry,duncan robinson,p.j. tucker,dewayne dedmon,max strus,gabe vincent,caleb martin,kz okpala"
2021-11-17,2.83,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.3,0.0,0.0,0.0,0.0,236.0,115.0,5.4,"josh hart,brandon ingram,devonte' graham,jonas valanciunas,nickeil alexander-walker,herbert jones,garrett temple,jaxson hayes,trey murphy iii","tyler herro,jimmy butler,duncan robinson,dewayne dedmon,p.j. tucker,gabe vincent,caleb martin,max strus,kz okpala,udonis haslem,marcus garrett"
2021-11-18,1.37,1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-1.0,1.136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.4,250.0,114.0,28.0,"kyle kuzma,montrezl harrell,bradley beal,kentavious caldwell-pope,aaron holiday,corey kispert,deni avdija,raul neto,anthony gill,isaiah todd,joel ayayi","kyle lowry,jimmy butler,p.j. tucker,bam adebayo,duncan robinson,gabe vincent,caleb martin,max strus,dewayne dedmon,marcus garrett,kz okpala"
2021-11-29,1.67,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,100.0,77.8,0.0,0.0,0.0,0.0,0.0,0.0,118.0,2.6,"aaron gordon,will barton,nikola jokic,jeff green,monte morris,facundo campazzo,bones hyland,austin rivers,zeke nnaji,vlatko cancar,bol bol","kyle lowry,bam adebayo,caleb martin,p.j. tucker,duncan robinson,max strus,gabe vincent,dewayne dedmon,kz okpala"
2021-12-01,3.65,1,1.0,4.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.25,0.25,0.0,0.0,26.8,52.6,35.5,0.0,0.0,35.5,0.0,51.7,64.0,103.0,-8.5,"darius garland,evan mobley,jarrett allen,isaac okoro,lauri markkanen,ricky rubio,lamar stevens,kevin love,denzel valentine,dylan windler","tyler herro,dewayne dedmon,kyle lowry,p.j. tucker,duncan robinson,max strus,caleb martin,gabe vincent,kz okpala"
2021-12-03,19.3,0,6.0,8.0,0.75,0.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,0.0,0.0,2.0,1.0,3.0,12.0,1.0,0.75,0.75,0.125,0.0,13.8,18.2,16.1,0.0,0.0,11.3,11.1,22.4,135.0,112.0,1.3,"malcolm brogdon,caris levert,chris duarte,myles turner,torrey craig,domantas sabonis,oshae brissett,kelan martin,jeremy lamb","kyle lowry,tyler herro,p.j. tucker,duncan robinson,dewayne dedmon,gabe vincent,caleb martin,max strus,udonis haslem"
2021-12-04,23.48,0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,6.0,0.667,0.0,4.0,4.0,2.0,0.0,1.0,1.0,3.0,4.0,-1.0,0.355,0.0,0.0,2.0,0.0,16.7,8.5,12.0,0.0,4.3,15.1,12.5,81.0,127.0,-10.6,"jrue holiday,khris middleton,bobby portis,pat connaughton,sandro mamukelashvili,javonte smart,thanasis antetokounmpo,wesley matthews,demarcus cousins,jordan nwora","tyler herro,kyle lowry,duncan robinson,dewayne dedmon,p.j. tucker,caleb martin,gabe vincent,max strus,kz okpala"
2021-12-06,16.58,1,3.0,6.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,2.0,1.0,2.0,0.0,2.0,6.0,2.0,0.5,0.5,0.167,0.0,7.6,19.3,13.9,22.0,3.0,10.3,0.0,16.3,115.0,100.0,7.7,"dillon brooks,jaren jackson jr.,tyus jones,desmond bane,steven adams,de'anthony melton,john konchar,xavier tillman sr.,santi aldama,ziaire williams,jarrett culver,yves pons,killian tillie","kyle lowry,jimmy butler,p.j. tucker,duncan robinson,dewayne dedmon,caleb martin,tyler herro,gabe vincent,max strus,kz okpala"
2021-12-08,4.33,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,-7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.7,32.5,39.0,114.0,-27.9,"jrue holiday,khris middleton,giannis antetokounmpo,bobby portis,grayson allen,pat connaughton,demarcus cousins,wesley matthews,javonte smart","kyle lowry,p.j. tucker,caleb martin,duncan robinson,dewayne dedmon,kz okpala,tyler herro,max strus,gabe vincent"
2021-12-11,7.05,1,1.0,2.0,0.5,0.0,1.0,0.0,2.0,2.0,1.0,1.0,5.0,6.0,0.0,0.0,1.0,0.0,2.0,4.0,-4.0,0.694,0.5,0.5,1.0,17.5,75.7,48.6,0.0,0.0,15.8,0.0,18.7,165.0,77.0,4.4,"lonzo ball,zach lavine,troy brown jr.,nikola vucevic,alex caruso,alfonzo mckinnie,devon dotson,tony bradley,marko simonovic,tyler cook,alize johnson","p.j. tucker,gabe vincent,kyle lowry,dewayne dedmon,duncan robinson,tyler herro,kz okpala,max strus,marcus garrett"
2021-12-13,19.92,0,3.0,7.0,0.429,0.0,1.0,0.0,2.0,4.0,0.5,3.0,4.0,7.0,1.0,0.0,1.0,0.0,0.0,8.0,-1.0,0.457,0.429,0.143,0.571,16.1,26.8,20.8,7.8,0.0,5.4,0.0,20.5,114.0,115.0,0.0,"darius garland,isaac okoro,evan mobley,jarrett allen,lauri markkanen,ricky rubio,kevin love,lamar stevens,cedi osman","kyle lowry,p.j. tucker,gabe vincent,duncan robinson,dewayne dedmon,tyler herro,kz okpala,max strus"
2021-12-15,11.83,0,2.0,3.0,0.667,0.0,0.0,0.0,1.0,2.0,0.5,2.0,1.0,3.0,4.0,1.0,0.0,1.0,0.0,5.0,-3.0,0.644,0.667,0.0,0.667,20.3,10.4,15.4,60.3,4.4,0.0,20.5,19.5,143.0,100.0,18.6,"tyrese maxey,joel embiid,tobias harris,seth curry,matisse thybulle,danny green,shake milton,isaiah joe,andre drummond,paul reed","duncan robinson,kyle lowry,p.j. tucker,gabe vincent,dewayne dedmon,max strus,kz okpala,marcus garrett"
2021-12-17,21.27,0,2.0,8.0,0.25,0.0,0.0,0.0,1.0,2.0,0.5,5.0,7.0,12.0,0.0,0.0,0.0,1.0,1.0,5.0,8.0,0.282,0.25,0.0,0.25,27.5,38.5,33.0,0.0,0.0,0.0,10.1,21.2,89.0,113.0,-16.3,"chuma okeke,gary harris,franz wagner,robin lopez,wendell carter jr.,hassani gravett,mychal mulder,admiral schofield,aleem ford","gabe vincent,kyle lowry,p.j. tucker,dewayne dedmon,duncan robinson,max strus,kz okpala,marcus garrett"
2021-12-19,18.32,0,2.0,5.0,0.4,0.0,0.0,0.0,2.0,4.0,0.5,1.0,11.0,12.0,0.0,0.0,2.0,2.0,4.0,6.0,-8.0,0.444,0.4,0.0,0.8,5.3,77.9,36.6,0.0,0.0,12.2,22.8,22.6,72.0,93.0,-6.9,"saddiq bey,cade cunningham,isaiah stewart,hamidou diallo,killian hayes,cory joseph,frank jackson,trey lyles,saben lee,luka garza,rodney mcgruder","kyle lowry,duncan robinson,gabe vincent,dewayne dedmon,p.j. tucker,max strus,marcus garrett,kz okpala"
2021-12-21,22.25,1,3.0,7.0,0.429,0.0,1.0,0.0,2.0,2.0,1.0,6.0,7.0,13.0,1.0,2.0,2.0,2.0,6.0,8.0,20.0,0.508,0.429,0.143,0.286,28.1,30.8,29.5,5.3,4.6,7.7,20.2,19.2,119.0,83.0,-2.1,"caris levert,domantas sabonis,justin holiday,myles turner,malcolm brogdon,oshae brissett,chris duarte,torrey craig,jeremy lamb,isaiah jackson,kelan martin,goga bitadze","max strus,gabe vincent,kyle lowry,duncan robinson,dewayne dedmon,kz okpala,tyler herro,marcus garrett,udonis haslem"
2021-12-23,24.58,1,4.0,8.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,12.0,1.0,1.0,0.0,5.0,4.0,8.0,16.0,0.5,0.5,0.0,0.0,9.1,45.4,27.2,5.5,1.9,0.0,38.5,23.2,70.0,104.0,-10.1,"saddiq bey,cory joseph,frank jackson,trey lyles,hamidou diallo,josh jackson,jamorko pickett,luka garza,cheick diallo","max strus,kyle lowry,gabe vincent,duncan robinson,dewayne dedmon,tyler herro,marcus garrett,udonis haslem,kz okpala"
2021-12-26,33.1,1,8.0,15.0,0.533,0.0,0.0,0.0,0.0,2.0,0.0,6.0,9.0,15.0,1.0,0.0,0.0,3.0,4.0,16.0,1.0,0.504,0.533,0.0,0.133,15.8,33.5,23.1,5.9,0.0,0.0,15.9,24.9,94.0,94.0,-4.9,"gary harris,hassani gravett,franz wagner,admiral schofield,wendell carter jr.,r.j. hampton,aleem ford,robin lopez","max strus,jimmy butler,gabe vincent,duncan robinson,caleb martin,tyler herro,marcus garrett,udonis haslem"
2021-12-28,32.48,1,4.0,12.0,0.333,0.0,0.0,0.0,2.0,2.0,1.0,7.0,7.0,14.0,1.0,3.0,0.0,0.0,4.0,10.0,-2.0,0.388,0.333,0.0,0.167,21.5,25.2,23.2,4.2,4.8,0.0,0.0,17.4,118.0,113.0,-8.3,"spencer dinwiddie,corey kispert,daniel gafford,kyle kuzma,deni avdija,davis bertans,craig sword,isaiah todd,alize johnson,jordan goodwin","jimmy butler,duncan robinson,gabe vincent,caleb martin,tyler herro,marcus garrett,kz okpala"
