date,mp,home,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opponent,team
2020-12-26,42.52,0,3.0,10.0,0.3,1.0,4.0,0.25,0.0,2.0,0.0,3.0,8.0,11.0,1.0,1.0,1.0,4.0,3.0,7.0,-6.0,0.322,0.35,0.4,0.2,8.5,23.2,15.8,3.0,1.2,2.2,26.9,15.8,64.0,117.0,-9.7,"cj mccollum,damian lillard,robert covington,derrick jones jr.,jusuf nurkic,anfernee simons,gary trent jr.","christian wood,james harden,danuel house jr.,david nwaba,jae'sean tate,sterling brown,brodric thomas,bruno caboclo"
2020-12-28,26.98,0,3.0,4.0,0.75,3.0,4.0,0.75,0.0,0.0,0.0,0.0,3.0,3.0,4.0,2.0,0.0,0.0,2.0,9.0,-9.0,1.125,1.125,1.0,0.0,0.0,12.1,5.9,21.1,3.4,0.0,0.0,6.4,214.0,117.0,11.5,"nikola jokic,jamal murray,gary harris,michael porter jr.,monte morris,will barton,pj dozier,isaiah hartenstein,facundo campazzo,bol bol,r.j. hampton,vlatko cancar,zeke nnaji","christian wood,david nwaba,james harden,danuel house jr.,sterling brown,jae'sean tate,bruno caboclo,brodric thomas"
2020-12-31,32.43,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,6.0,0.0,3.0,2.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,7.2,12.1,9.9,0.0,4.3,4.7,0.0,0.0,224.0,108.0,0.8,"buddy hield,harrison barnes,richaun holmes,de'aaron fox,marvin bagley iii,tyrese haliburton,cory joseph","james harden,john wall,christian wood,danuel house jr.,eric gordon,jae'sean tate,demarcus cousins,sterling brown"
2021-01-02,33.18,1,2.0,3.0,0.667,1.0,2.0,0.5,0.0,0.0,0.0,0.0,4.0,4.0,1.0,0.0,0.0,3.0,4.0,5.0,-1.0,0.833,0.833,0.667,0.0,0.0,10.3,6.1,4.4,0.0,0.0,50.0,8.3,79.0,105.0,-8.5,"harrison barnes,buddy hield,de'aaron fox,richaun holmes,marvin bagley iii,cory joseph,kyle guy","john wall,danuel house jr.,christian wood,eric gordon,sterling brown,jae'sean tate,demarcus cousins,david nwaba"
2021-01-04,35.27,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,0.0,0.0,0.0,2.0,3.0,0.0,-18.0,0.0,0.0,1.0,0.0,2.8,10.7,6.3,0.0,0.0,0.0,66.7,3.9,25.0,125.0,-10.1,"luka doncic,dorian finney-smith,josh richardson,willie cauley-stein,maxi kleber,tim hardaway jr.,james johnson,jalen brunson,dwight powell,trey burke,wes iwundu","james harden,john wall,christian wood,david nwaba,eric gordon,jae'sean tate,sterling brown,demarcus cousins,bruno caboclo,brodric thomas"
2021-01-06,32.6,0,3.0,4.0,0.75,2.0,2.0,1.0,2.0,2.0,1.0,1.0,5.0,6.0,0.0,1.0,1.0,2.0,6.0,10.0,3.0,1.025,1.0,0.5,0.5,4.1,18.0,11.5,0.0,1.5,2.2,29.1,9.3,137.0,115.0,0.0,"malcolm brogdon,domantas sabonis,victor oladipo,myles turner,aaron holiday,justin holiday,t.j. mcconnell,doug mcdermott","james harden,david nwaba,john wall,demarcus cousins,eric gordon,jae'sean tate,sterling brown"
2021-01-08,28.55,1,5.0,7.0,0.714,5.0,7.0,0.714,0.0,0.0,0.0,1.0,3.0,4.0,5.0,0.0,2.0,0.0,3.0,15.0,24.0,1.071,1.071,1.0,0.0,4.2,9.9,7.4,19.7,0.0,5.6,0.0,11.3,209.0,96.0,16.2,"gary clark,nikola vucevic,cole anthony,jordan bone,khem birch,karim mane,terrence ross,mo bamba","james harden,john wall,christian wood,david nwaba,eric gordon,sterling brown,demarcus cousins,jae'sean tate,mason jones,kenyon martin jr.,bruno caboclo"
2021-01-10,29.58,1,1.0,4.0,0.25,1.0,4.0,0.25,1.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,3.0,4.0,-18.0,0.45,0.375,1.0,0.25,0.0,4.1,1.8,0.0,3.1,2.6,18.4,7.3,77.0,113.0,-3.3,"dennis schroder,lebron james,anthony davis,kentavious caldwell-pope,kyle kuzma,montrezl harrell,alex caruso,talen horton-tucker,alfonzo mckinnie,markieff morris","james harden,john wall,christian wood,david nwaba,eric gordon,jae'sean tate,sterling brown,demarcus cousins,mason jones,bruno caboclo,kenyon martin jr."
2021-01-12,22.88,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,2.0,0.0,-19.0,0.0,0.0,1.0,0.0,0.0,4.9,2.2,5.5,4.0,4.0,0.0,1.8,49.0,110.0,-3.7,"lebron james,anthony davis,dennis schroder,kentavious caldwell-pope,kyle kuzma,montrezl harrell,alex caruso,talen horton-tucker,markieff morris,alfonzo mckinnie","james harden,john wall,christian wood,david nwaba,jae'sean tate,eric gordon,sterling brown,demarcus cousins,mason jones,kenyon martin jr.,bruno caboclo"
2021-01-14,35.13,0,3.0,4.0,0.75,2.0,2.0,1.0,2.0,2.0,1.0,0.0,6.0,6.0,2.0,1.0,0.0,1.0,4.0,10.0,6.0,1.025,1.0,0.5,0.5,0.0,16.7,9.1,7.2,1.4,0.0,17.0,7.1,166.0,107.0,1.7,"dejounte murray,demar derozan,keldon johnson,lonnie walker iv,patty mills,devin vassell,rudy gay,jakob poeltl","sterling brown,christian wood,jae'sean tate,david nwaba,demarcus cousins,kenyon martin jr.,mason jones"
