date,mp,home,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opponent,team
2020-12-23,13.65,0,3.0,4.0,0.75,0.0,0.0,0.0,2.0,4.0,0.5,1.0,2.0,3.0,0.0,0.0,0.0,0.0,2.0,8.0,6.0,0.694,0.75,0.0,1.0,9.5,15.0,12.6,0.0,0.0,0.0,0.0,17.9,142.0,112.0,-0.4,"nikola vucevic,evan fournier,markelle fultz,aaron gordon,terrence ross,chuma okeke,cole anthony,michael carter-williams,khem birch","jimmy butler,bam adebayo,tyler herro,duncan robinson,maurice harkless,goran dragic,kelly olynyk,andre iguodala,kendrick nunn"
2020-12-25,19.47,1,5.0,7.0,0.714,0.0,0.0,0.0,1.0,2.0,0.5,1.0,2.0,3.0,2.0,0.0,1.0,1.0,6.0,11.0,4.0,0.698,0.714,0.0,0.286,7.3,11.7,9.7,19.2,0.0,5.7,11.3,21.4,128.0,105.0,-0.9,"zion williamson,brandon ingram,lonzo ball,steven adams,josh hart,jaxson hayes","tyler herro,duncan robinson,bam adebayo,meyers leonard,jimmy butler,goran dragic,andre iguodala,maurice harkless,kz okpala,chris silva"
2020-12-29,17.63,1,5.0,8.0,0.625,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,4.0,0.0,1.0,0.0,2.0,3.0,10.0,-15.0,0.563,0.625,0.0,0.25,0.0,29.4,14.5,0.0,2.6,0.0,18.4,27.4,78.0,136.0,-11.1,"jrue holiday,khris middleton,giannis antetokounmpo,donte divincenzo,brook lopez,bobby portis,thanasis antetokounmpo,bryn forbes,pat connaughton,jordan nwora,d.j. wilson,sam merrill","tyler herro,bam adebayo,duncan robinson,maurice harkless,meyers leonard,kendrick nunn,kz okpala,kelly olynyk,max strus,goran dragic,chris silva"
2020-12-30,12.02,1,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,5.0,0.0,0.0,1.0,3.0,2.0,0.0,-2.0,0.0,0.0,0.0,0.0,29.2,13.8,20.2,0.0,0.0,6.5,60.0,17.1,41.0,105.0,-19.1,"giannis antetokounmpo,khris middleton,jrue holiday,donte divincenzo,brook lopez,bobby portis,pat connaughton,bryn forbes,thanasis antetokounmpo","tyler herro,bam adebayo,duncan robinson,andre iguodala,kelly olynyk,goran dragic,gabe vincent,kendrick nunn,maurice harkless"
2021-01-01,11.98,0,3.0,4.0,0.75,0.0,0.0,0.0,4.0,6.0,0.667,2.0,4.0,6.0,1.0,0.0,0.0,1.0,0.0,10.0,-5.0,0.753,0.75,0.0,1.5,16.0,40.1,26.7,23.6,0.0,0.0,13.1,29.7,136.0,98.0,15.9,"tim hardaway jr.,luka doncic,josh richardson,dwight powell,dorian finney-smith,maxi kleber,trey burke,james johnson,jalen brunson,willie cauley-stein","bam adebayo,duncan robinson,tyler herro,jimmy butler,andre iguodala,kelly olynyk,goran dragic,maurice harkless,kendrick nunn"
2021-01-04,19.6,1,2.0,5.0,0.4,0.0,0.0,0.0,2.0,5.0,0.4,2.0,5.0,7.0,0.0,1.0,0.0,1.0,3.0,6.0,3.0,0.417,0.4,0.0,1.0,13.6,25.0,20.2,0.0,2.5,0.0,12.2,19.5,89.0,87.0,-9.8,"shai gilgeous-alexander,darius bazley,luguentz dort,george hill,al horford,isaiah roby,justin jackson,theo maledon,hamidou diallo,mike muscala,kenrich williams,josh hall,moses brown","duncan robinson,tyler herro,bam adebayo,kelly olynyk,jimmy butler,goran dragic,andre iguodala,kendrick nunn,kz okpala,maurice harkless,chris silva"
2021-01-06,14.23,1,2.0,5.0,0.4,0.0,0.0,0.0,2.0,2.0,1.0,3.0,2.0,5.0,3.0,0.0,1.0,1.0,1.0,6.0,7.0,0.51,0.4,0.0,0.4,23.5,13.0,17.7,35.8,0.0,5.3,14.5,23.1,123.0,116.0,4.1,"jayson tatum,jaylen brown,marcus smart,daniel theis,tristan thompson,grant williams,payton pritchard,robert williams,carsen edwards","tyler herro,bam adebayo,jimmy butler,duncan robinson,kelly olynyk,goran dragic,andre iguodala"
2021-01-09,12.67,0,3.0,4.0,0.75,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,4.0,7.0,5.0,0.788,0.75,0.0,0.25,0.0,13.1,7.6,0.0,0.0,0.0,31.1,20.3,94.0,117.0,-12.0,"deni avdija,rui hachimura,jerome robinson,raul neto,thomas bryant,ish smith,garrison mathews,troy brown jr.,davis bertans,robin lopez,moritz wagner","tyler herro,jimmy butler,duncan robinson,kelly olynyk,bam adebayo,goran dragic,andre iguodala,meyers leonard,kz okpala"
2021-01-12,35.67,0,7.0,10.0,0.7,0.0,0.0,0.0,3.0,4.0,0.75,6.0,7.0,13.0,3.0,0.0,1.0,3.0,4.0,17.0,-6.0,0.723,0.7,0.0,0.4,17.8,21.7,19.7,11.9,0.0,3.2,20.3,16.5,134.0,121.0,0.2,"danny green,joel embiid,tyrese maxey,ben simmons,isaiah joe,dakota mathias","duncan robinson,kelly olynyk,tyler herro,gabe vincent,max strus,andre iguodala,chris silva"
2021-01-14,27.4,0,4.0,6.0,0.667,0.0,0.0,0.0,2.0,6.0,0.333,5.0,6.0,11.0,2.0,0.0,0.0,2.0,1.0,10.0,-18.0,0.579,0.667,0.0,1.0,22.5,28.4,25.4,10.6,0.0,0.0,18.8,16.6,114.0,123.0,-2.4,"ben simmons,tobias harris,tyrese maxey,danny green,joel embiid,shake milton,isaiah joe,matisse thybulle,dakota mathias,paul reed,tony bradley","kelly olynyk,gabe vincent,duncan robinson,tyler herro,max strus,andre iguodala,chris silva"
