date,mp,home,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opponent,team
2021-10-20,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.6,"jaylen brown,marcus smart,robert williams,jayson tatum,grant williams,dennis schroder,romeo langford,aaron nesmith,payton pritchard","rj barrett,julius randle,evan fournier,kemba walker,mitchell robinson,obi toppin,derrick rose,alec burks,immanuel quickley,jericho sims"
2021-10-22,4.57,0,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-7.0,0.75,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.7,124.0,111.0,3.0,"mo bamba,franz wagner,jalen suggs,cole anthony,wendell carter jr.,terrence ross,r.j. hampton,moritz wagner,robin lopez,ignas brazdeikis","julius randle,mitchell robinson,evan fournier,rj barrett,kemba walker,derrick rose,obi toppin,immanuel quickley,alec burks,jericho sims,kevin knox,miles mcbride"
2021-11-05,1.38,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.6,0.0,113.0,-34.1,"grayson allen,giannis antetokounmpo,pat connaughton,george hill,thanasis antetokounmpo,bobby portis,jordan nwora,jrue holiday,justin robinson","rj barrett,julius randle,evan fournier,mitchell robinson,kemba walker,derrick rose,nerlens noel,immanuel quickley,obi toppin,alec burks,jericho sims,kevin knox,miles mcbride"
2021-11-07,12.0,1,2.0,3.0,0.667,2.0,3.0,0.667,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,-3.0,1.0,1.0,1.0,0.0,0.0,11.1,5.0,0.0,0.0,0.0,0.0,11.4,181.0,139.0,4.2,"evan mobley,darius garland,jarrett allen,dean wade,collin sexton,ricky rubio,cedi osman,dylan windler,lamar stevens,denzel valentine","julius randle,rj barrett,evan fournier,derrick rose,mitchell robinson,nerlens noel,alec burks,immanuel quickley,obi toppin,miles mcbride,kevin knox,jericho sims"
2021-11-21,0.43,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,-7.3,"demar derozan,zach lavine,lonzo ball,alex caruso,tony bradley,derrick jones jr.,coby white,ayo dosunmu,javonte green,alize johnson","julius randle,rj barrett,nerlens noel,evan fournier,kemba walker,derrick rose,alec burks,immanuel quickley,obi toppin,jericho sims"
2021-11-23,4.78,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,17.3,9.8,0.0,0.0,0.0,0.0,0.0,0.0,103.0,-9.3,"russell westbrook,anthony davis,talen horton-tucker,deandre jordan,malik monk","evan fournier,nerlens noel,julius randle,rj barrett,kemba walker,alec burks,immanuel quickley,obi toppin"
2021-11-26,17.02,1,1.0,6.0,0.167,1.0,5.0,0.2,0.0,0.0,0.0,2.0,2.0,4.0,0.0,0.0,0.0,2.0,3.0,3.0,-6.0,0.25,0.25,0.833,0.0,11.1,16.1,13.1,0.0,0.0,0.0,25.0,19.3,54.0,126.0,-15.6,"mikal bridges,devin booker,deandre ayton,chris paul,jae crowder,cameron johnson,landry shamet,cameron payne,javale mcgee,jalen smith,ish wainright","julius randle,rj barrett,evan fournier,kemba walker,mitchell robinson,alec burks,immanuel quickley,nerlens noel,obi toppin,kevin knox,miles mcbride,jericho sims"
2021-11-27,14.85,0,1.0,3.0,0.333,1.0,2.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,8.0,0.5,0.5,0.667,0.0,0.0,5.9,3.2,9.9,0.0,0.0,25.0,12.7,81.0,105.0,-5.1,"john collins,trae young,kevin huerter,clint capela,bogdan bogdanovic,danilo gallinari,timothe luwawu-cabarrot,delon wright,cam reddish","alec burks,julius randle,rj barrett,evan fournier,mitchell robinson,immanuel quickley,jericho sims,obi toppin"
2021-11-30,2.55,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.0,-7.7,"kevin durant,james harden,deandre' bembry,patty mills,cam thomas,james johnson,bruce brown,jevon carter","julius randle,alec burks,mitchell robinson,evan fournier,rj barrett,immanuel quickley,derrick rose,nerlens noel,obi toppin"
2021-12-02,5.65,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,20.2,10.9,0.0,0.0,0.0,0.0,0.0,0.0,126.0,-5.1,"demar derozan,zach lavine,lonzo ball,nikola vucevic,javonte green,alex caruso,ayo dosunmu,derrick jones jr.,troy brown jr.","alec burks,julius randle,immanuel quickley,evan fournier,mitchell robinson,derrick rose,obi toppin,kevin knox,taj gibson"
