date,mp,home,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opponent,team
2020-12-23,25.63,0,4.0,10.0,0.4,3.0,8.0,0.375,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,3.0,11.0,-16.0,0.55,0.55,0.8,0.0,0.0,4.2,2.1,11.9,1.8,0.0,0.0,16.9,109.0,118.0,-1.0,"domantas sabonis,malcolm brogdon,myles turner,victor oladipo,t.j. warren,doug mcdermott,justin holiday,t.j. mcconnell,aaron holiday","julius randle,rj barrett,elfrid payton,mitchell robinson,alec burks,obi toppin,kevin knox,immanuel quickley,nerlens noel,frank ntilikina,theo pinson"
2020-12-26,27.38,1,2.0,7.0,0.286,1.0,4.0,0.25,1.0,2.0,0.5,0.0,3.0,3.0,2.0,0.0,0.0,0.0,4.0,6.0,-13.0,0.381,0.357,0.571,0.286,0.0,12.5,5.8,12.3,0.0,0.0,0.0,12.7,94.0,120.0,-6.3,"ben simmons,joel embiid,tobias harris,seth curry,danny green,shake milton,furkan korkmaz,tyrese maxey,matisse thybulle","rj barrett,julius randle,mitchell robinson,elfrid payton,alec burks,kevin knox,dennis smith jr.,nerlens noel,frank ntilikina,theo pinson"
2020-12-27,16.88,1,2.0,5.0,0.4,1.0,2.0,0.5,2.0,2.0,1.0,0.0,3.0,3.0,1.0,0.0,0.0,1.0,2.0,7.0,1.0,0.595,0.5,0.4,0.4,0.0,15.5,9.5,7.1,0.0,0.0,14.5,17.5,111.0,111.0,-4.8,"khris middleton,giannis antetokounmpo,jrue holiday,donte divincenzo,brook lopez,bobby portis,bryn forbes,pat connaughton,jordan nwora,sam merrill,d.j. wilson,thanasis antetokounmpo,torrey craig","rj barrett,julius randle,mitchell robinson,elfrid payton,kevin knox,alec burks,frank ntilikina,nerlens noel,theo pinson,ignas brazdeikis"
2020-12-29,40.98,0,6.0,13.0,0.462,5.0,9.0,0.556,0.0,0.0,0.0,1.0,6.0,7.0,0.0,1.0,1.0,3.0,3.0,17.0,4.0,0.654,0.654,0.692,0.0,2.7,12.8,8.4,0.0,1.2,2.1,18.8,16.5,103.0,93.0,1.3,"larry nance jr.,collin sexton,darius garland,andre drummond,cedi osman,javale mcgee,dean wade","julius randle,rj barrett,elfrid payton,mitchell robinson,nerlens noel,kevin knox,frank ntilikina"
2020-12-31,38.08,0,3.0,15.0,0.2,0.0,9.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,3.0,1.0,1.0,1.0,5.0,6.0,-9.0,0.2,0.2,0.6,0.0,0.0,13.1,6.2,13.4,1.3,4.1,6.3,18.0,46.0,101.0,-9.2,"kyle lowry,fred vanvleet,og anunoby,norman powell,chris boucher,terence davis,stanley johnson,alex len,yuta watanabe,deandre' bembry,malachi flynn","julius randle,rj barrett,mitchell robinson,elfrid payton,kevin knox,austin rivers,nerlens noel,theo pinson,ignas brazdeikis"
2021-01-02,33.33,0,2.0,6.0,0.333,2.0,5.0,0.4,0.0,1.0,0.0,0.0,7.0,7.0,1.0,1.0,0.0,1.0,4.0,6.0,6.0,0.466,0.5,0.833,0.167,0.0,21.9,12.1,3.7,1.6,0.0,13.4,10.3,88.0,109.0,-5.1,"malcolm brogdon,domantas sabonis,victor oladipo,myles turner,aaron holiday,justin holiday,doug mcdermott,t.j. mcconnell,kelan martin","rj barrett,julius randle,elfrid payton,mitchell robinson,austin rivers,nerlens noel,kevin knox,immanuel quickley"
2021-01-04,25.85,0,3.0,6.0,0.5,0.0,2.0,0.0,1.0,2.0,0.5,0.0,3.0,3.0,3.0,0.0,0.0,2.0,1.0,7.0,-2.0,0.509,0.5,0.333,0.333,0.0,12.7,6.6,14.9,0.0,0.0,22.5,14.9,91.0,118.0,-6.6,"trae young,de'andre hunter,john collins,clint capela,cam reddish,kevin huerter,bogdan bogdanovic,brandon goodwin","rj barrett,julius randle,elfrid payton,mitchell robinson,austin rivers,immanuel quickley,kevin knox"
2021-01-06,29.57,1,5.0,8.0,0.625,2.0,3.0,0.667,0.0,0.0,0.0,3.0,4.0,7.0,0.0,1.0,0.0,0.0,2.0,12.0,13.0,0.75,0.75,0.375,0.0,11.3,13.8,12.6,0.0,1.7,0.0,0.0,12.1,160.0,106.0,4.6,"donovan mitchell,rudy gobert,royce o'neale,mike conley,bojan bogdanovic,joe ingles,jordan clarkson,derrick favors,georges niang","elfrid payton,mitchell robinson,julius randle,rj barrett,austin rivers,kevin knox,immanuel quickley"
2021-01-08,24.4,1,3.0,8.0,0.375,0.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,1.0,0.0,0.0,2.0,6.0,-1.0,0.375,0.375,0.25,0.0,0.0,28.1,12.4,0.0,2.1,0.0,0.0,14.5,75.0,103.0,-8.2,"shai gilgeous-alexander,luguentz dort,al horford,george hill,darius bazley,hamidou diallo,theo maledon,aleksej pokusevski,mike muscala,kenrich williams,isaiah roby","rj barrett,julius randle,elfrid payton,mitchell robinson,austin rivers,kevin knox,immanuel quickley,nerlens noel"
2021-01-10,24.85,1,3.0,8.0,0.375,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,1.0,2.0,7.0,-2.0,0.438,0.438,0.125,0.0,0.0,16.1,7.3,7.4,0.0,0.0,11.1,17.2,80.0,127.0,-8.1,"gary harris,nikola jokic,jamal murray,will barton,jamychal green,monte morris,pj dozier,facundo campazzo,isaiah hartenstein,bol bol,r.j. hampton,zeke nnaji,vlatko cancar","julius randle,mitchell robinson,rj barrett,elfrid payton,austin rivers,kevin knox,immanuel quickley,nerlens noel,dennis smith jr.,theo pinson,ignas brazdeikis"
