date,mp,home,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opponent,team
2020-12-23,22.98,0,3.0,6.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,9.0,1.0,0.0,1.0,1.0,6.0,6.0,1.0,0.5,0.5,0.0,0.0,25.6,15.0,20.8,6.1,0.0,3.3,14.3,12.5,122.0,112.0,-5.6,"nikola jokic,gary harris,jamal murray,michael porter jr.,will barton,monte morris,pj dozier,isaiah hartenstein,facundo campazzo","harrison barnes,buddy hield,de'aaron fox,marvin bagley iii,tyrese haliburton,cory joseph"
2020-12-26,24.03,1,3.0,5.0,0.6,0.0,0.0,0.0,5.0,5.0,1.0,3.0,6.0,9.0,1.0,1.0,0.0,4.0,4.0,11.0,-1.0,0.764,0.6,0.0,1.0,13.3,23.5,18.7,6.1,2.0,0.0,35.7,18.9,109.0,99.0,-0.9,"devin booker,chris paul,jae crowder,deandre ayton,mikal bridges,cameron johnson,damian jones,cameron payne,langston galloway,jevon carter,jalen smith,frank kaminsky","de'aaron fox,buddy hield,harrison barnes,marvin bagley iii,tyrese haliburton,cory joseph"
2020-12-27,24.88,1,3.0,5.0,0.6,0.0,0.0,0.0,2.0,2.0,1.0,2.0,9.0,11.0,0.0,2.0,1.0,2.0,4.0,8.0,2.0,0.68,0.6,0.0,0.4,9.9,39.5,25.6,0.0,3.9,3.3,25.4,14.9,108.0,106.0,-0.5,"mikal bridges,devin booker,deandre ayton,chris paul,jae crowder,cameron johnson,cameron payne,frank kaminsky,langston galloway,jevon carter,ty-shon alexander,damian jones","buddy hield,harrison barnes,marvin bagley iii,de'aaron fox,tyrese haliburton,cory joseph,kyle guy,jahmi'us ramsey,robert woodard ii,justin james"
2020-12-29,32.0,1,10.0,13.0,0.769,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,5.0,3.0,2.0,1.0,1.0,2.0,20.0,16.0,0.744,0.769,0.0,0.077,6.8,14.1,9.9,14.5,3.0,2.8,6.9,19.1,143.0,112.0,7.0,"michael porter jr.,nikola jokic,monte morris,gary harris,will barton,pj dozier,facundo campazzo,isaiah hartenstein,bol bol,r.j. hampton,zeke nnaji","de'aaron fox,buddy hield,harrison barnes,marvin bagley iii,tyrese haliburton,cory joseph"
2020-12-31,35.97,0,10.0,13.0,0.769,0.0,0.0,0.0,2.0,2.0,1.0,4.0,9.0,13.0,2.0,2.0,1.0,1.0,5.0,22.0,-2.0,0.793,0.769,0.0,0.154,10.9,29.3,19.3,8.4,2.6,2.7,6.7,16.3,157.0,113.0,6.0,"james harden,john wall,p.j. tucker,christian wood,danuel house jr.,eric gordon,jae'sean tate,demarcus cousins,sterling brown","buddy hield,harrison barnes,de'aaron fox,marvin bagley iii,tyrese haliburton,cory joseph"
2021-01-02,33.03,0,4.0,8.0,0.5,0.0,0.0,0.0,3.0,3.0,1.0,3.0,6.0,9.0,0.0,0.0,2.0,0.0,3.0,11.0,5.0,0.59,0.5,0.0,0.375,7.8,22.4,13.8,0.0,0.0,7.3,0.0,12.0,136.0,104.0,-0.1,"john wall,danuel house jr.,christian wood,p.j. tucker,eric gordon,sterling brown,jae'sean tate,demarcus cousins,david nwaba","harrison barnes,buddy hield,de'aaron fox,marvin bagley iii,cory joseph,kyle guy"
2021-01-04,18.75,0,2.0,4.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,1.0,0.0,1.0,5.0,4.0,-9.0,0.5,0.5,0.0,0.0,4.6,11.6,7.7,0.0,2.3,0.0,20.0,10.6,85.0,125.0,-12.6,"stephen curry,andrew wiggins,kelly oubre jr.,draymond green,james wiseman,eric paschall,damion lee,kent bazemore,mychal mulder,kevon looney,jordan poole,nico mannion","de'aaron fox,buddy hield,harrison barnes,marvin bagley iii,cory joseph,kyle guy,justin james,chimezie metu,robert woodard ii,jahmi'us ramsey"
2021-01-06,29.68,1,10.0,11.0,0.909,0.0,1.0,0.0,4.0,6.0,0.667,3.0,5.0,8.0,5.0,1.0,0.0,1.0,5.0,24.0,10.0,0.88,0.909,0.091,0.545,10.8,21.9,15.8,26.2,1.6,0.0,6.8,21.5,173.0,125.0,10.3,"coby white,zach lavine,wendell carter jr.,otto porter jr.,patrick williams,garrett temple,denzel valentine,thaddeus young,daniel gafford","harrison barnes,buddy hield,marvin bagley iii,de'aaron fox,tyrese haliburton,cory joseph"
2021-01-08,23.57,1,5.0,7.0,0.714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,4.0,10.0,-4.0,0.714,0.714,0.0,0.0,0.0,0.0,0.0,11.4,2.1,11.8,0.0,13.7,142.0,143.0,-2.6,"fred vanvleet,pascal siakam,og anunoby,norman powell,alex len,chris boucher,terence davis,yuta watanabe,malachi flynn,stanley johnson,deandre' bembry,jalen harris","buddy hield,harrison barnes,marvin bagley iii,de'aaron fox,tyrese haliburton,cory joseph,kyle guy,justin james,jahmi'us ramsey,robert woodard ii"
2021-01-11,35.85,1,6.0,11.0,0.545,1.0,1.0,1.0,3.0,4.0,0.75,6.0,4.0,10.0,3.0,1.0,6.0,3.0,5.0,16.0,12.0,0.627,0.591,0.091,0.364,23.6,11.4,16.5,10.3,1.3,13.9,19.0,18.8,125.0,110.0,1.4,"domantas sabonis,malcolm brogdon,victor oladipo,justin holiday,myles turner,doug mcdermott,aaron holiday,edmond sumner","de'aaron fox,harrison barnes,buddy hield,marvin bagley iii,tyrese haliburton,cory joseph"
