date,mp,home,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opponent,team
2020-12-23,25.42,1,1.0,4.0,0.25,0.0,1.0,0.0,1.0,2.0,0.5,0.0,1.0,1.0,3.0,2.0,0.0,1.0,3.0,3.0,17.0,0.307,0.25,0.25,0.5,0.0,4.4,2.1,15.7,3.8,0.0,17.0,10.0,77.0,100.0,-8.6,"blake griffin,mason plumlee,jerami grant,killian hayes,delon wright,josh jackson,derrick rose,svi mykhailiuk,jahlil okafor,sekou doumbouya","josh okogie,karl-anthony towns,malik beasley,jake layman,d'angelo russell,anthony edwards,jarrett culver,naz reid,juancho hernangomez"
2020-12-26,26.7,0,3.0,8.0,0.375,1.0,3.0,0.333,2.0,2.0,1.0,0.0,4.0,4.0,6.0,1.0,0.0,1.0,4.0,9.0,6.0,0.507,0.438,0.375,0.25,0.0,15.3,7.4,27.2,1.8,0.0,10.1,15.1,118.0,108.0,-0.9,"donovan mitchell,royce o'neale,bojan bogdanovic,mike conley,rudy gobert,joe ingles,jordan clarkson,derrick favors,georges niang,juwan morgan","malik beasley,d'angelo russell,josh okogie,karl-anthony towns,jake layman,anthony edwards,jarrett culver,naz reid,juancho hernangomez"
2020-12-27,18.1,0,4.0,8.0,0.5,1.0,4.0,0.25,0.0,0.0,0.0,1.0,3.0,4.0,4.0,0.0,0.0,0.0,1.0,9.0,-9.0,0.563,0.563,0.5,0.0,4.6,22.1,11.3,38.7,0.0,0.0,0.0,16.8,133.0,125.0,2.8,"kyle kuzma,lebron james,dennis schroder,kentavious caldwell-pope,talen horton-tucker,montrezl harrell,wesley matthews,markieff morris,alex caruso,alfonzo mckinnie,kostas antetokounmpo","naz reid,malik beasley,d'angelo russell,jake layman,josh okogie,jarrett culver,anthony edwards,jordan mclaughlin,jarred vanderbilt,juancho hernangomez,jaden mcdaniels"
2020-12-29,25.55,0,6.0,8.0,0.75,2.0,3.0,0.667,3.0,3.0,1.0,0.0,0.0,0.0,5.0,1.0,0.0,3.0,3.0,17.0,-13.0,0.912,0.875,0.375,0.375,0.0,0.0,0.0,36.5,1.9,0.0,24.4,20.9,139.0,130.0,4.4,"paul george,luke kennard,nicolas batum,patrick beverley,serge ibaka,reggie jackson,terance mann,ivica zubac,amir coffey,mfiondu kabengele,daniel oturu","d'angelo russell,malik beasley,jarrett culver,naz reid,anthony edwards,juancho hernangomez,jordan mclaughlin,jarred vanderbilt,jake layman,jaden mcdaniels"
2021-01-01,25.25,1,1.0,4.0,0.25,1.0,2.0,0.5,0.0,0.0,0.0,1.0,1.0,2.0,5.0,2.0,0.0,3.0,2.0,3.0,-22.0,0.375,0.375,0.5,0.0,4.1,4.8,4.4,23.7,3.6,0.0,42.9,11.4,82.0,122.0,-7.0,"bradley beal,deni avdija,raul neto,thomas bryant,rui hachimura,jerome robinson,ish smith,robin lopez,davis bertans,troy brown jr.,garrison mathews,anthony gill","malik beasley,d'angelo russell,naz reid,jarrett culver,anthony edwards,jordan mclaughlin,jake layman,juancho hernangomez,jarred vanderbilt,jaden mcdaniels"
2021-01-03,17.92,1,3.0,7.0,0.429,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,0.0,0.0,1.0,1.0,6.0,-3.0,0.429,0.429,0.429,0.0,0.0,13.4,6.8,29.8,0.0,0.0,12.5,20.2,98.0,134.0,-11.9,"jamal murray,nikola jokic,gary harris,will barton,monte morris,jamychal green,facundo campazzo,pj dozier,vlatko cancar,r.j. hampton,zeke nnaji","malik beasley,d'angelo russell,jarrett culver,juancho hernangomez,naz reid,anthony edwards,jake layman,jordan mclaughlin,jaden mcdaniels,jarred vanderbilt"
2021-01-05,21.37,0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,1.0,0.0,2.0,5.0,0.0,-18.0,0.0,0.0,0.333,0.0,0.0,21.4,10.7,10.7,2.2,0.0,40.0,9.6,24.0,118.0,-17.1,"nikola jokic,will barton,gary harris,jamal murray,facundo campazzo,monte morris,jamychal green,pj dozier,r.j. hampton","malik beasley,d'angelo russell,juancho hernangomez,jarrett culver,anthony edwards,jarred vanderbilt,jake layman,naz reid"
2021-01-07,28.55,0,0.0,4.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,1.0,4.0,5.0,10.0,5.0,0.0,2.0,2.0,2.0,-4.0,0.205,0.0,0.25,0.5,3.2,17.2,9.1,43.1,7.9,0.0,29.1,9.4,99.0,114.0,0.8,"damian lillard,cj mccollum,robert covington,jusuf nurkic,derrick jones jr.,gary trent jr.,anfernee simons,nassir little,cj elleby","d'angelo russell,malik beasley,juancho hernangomez,jarrett culver,anthony edwards,jarred vanderbilt,naz reid,jake layman,jaden mcdaniels,jaylen nowell"
2021-01-09,33.53,1,3.0,7.0,0.429,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,8.0,0.0,0.0,2.0,2.0,6.0,-5.0,0.429,0.429,0.0,0.0,3.4,11.7,7.8,29.2,0.0,0.0,22.2,11.9,109.0,122.0,-6.6,"demar derozan,keldon johnson,dejounte murray,lonnie walker iv,patty mills,rudy gay,jakob poeltl,devin vassell","malik beasley,d'angelo russell,karl-anthony towns,jarrett culver,juancho hernangomez,anthony edwards,naz reid,jarred vanderbilt,jake layman"
2021-01-10,21.97,1,2.0,5.0,0.4,0.0,1.0,0.0,4.0,4.0,1.0,0.0,2.0,2.0,6.0,3.0,0.0,0.0,1.0,8.0,0.0,0.592,0.4,0.2,0.8,0.0,8.4,4.5,44.2,6.8,0.0,0.0,14.2,148.0,83.0,12.3,"dejounte murray,trey lyles,keldon johnson,lonnie walker iv,patty mills,rudy gay,jakob poeltl,devin vassell","malik beasley,d'angelo russell,juancho hernangomez,jarrett culver,naz reid,josh okogie,jarred vanderbilt,anthony edwards"
