date,mp,home,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opponent,team
2020-12-23,36.3,0,9.0,22.0,0.409,0.0,2.0,0.0,3.0,5.0,0.6,2.0,9.0,11.0,15.0,0.0,0.0,6.0,3.0,21.0,10.0,0.434,0.409,0.091,0.227,6.3,26.4,16.7,73.2,0.0,0.0,19.9,35.0,95.0,109.0,0.1,"joel embiid,ben simmons,seth curry,tobias harris,danny green,shake milton,furkan korkmaz,tyrese maxey,matisse thybulle","bradley beal,deni avdija,thomas bryant,ish smith,troy brown jr.,davis bertans,robin lopez,raul neto,moritz wagner"
2020-12-26,35.98,1,6.0,19.0,0.316,0.0,4.0,0.0,3.0,4.0,0.75,2.0,13.0,15.0,12.0,2.0,0.0,5.0,3.0,15.0,2.0,0.361,0.316,0.211,0.211,5.3,36.9,20.6,42.1,2.4,0.0,19.4,28.3,86.0,111.0,-3.8,"nikola vucevic,markelle fultz,aaron gordon,evan fournier,terrence ross,michael carter-williams,chuma okeke,cole anthony,khem birch","bradley beal,thomas bryant,deni avdija,ish smith,davis bertans,jerome robinson,robin lopez,troy brown jr.,raul neto"
2020-12-29,37.73,1,9.0,17.0,0.529,1.0,4.0,0.25,2.0,2.0,1.0,0.0,15.0,15.0,11.0,1.0,0.0,6.0,3.0,21.0,3.0,0.587,0.559,0.235,0.118,0.0,43.4,22.7,54.8,1.2,0.0,25.1,26.5,102.0,107.0,2.5,"zach lavine,coby white,wendell carter jr.,patrick williams,lauri markkanen,otto porter jr.,garrett temple,daniel gafford,chandler hutchison","bradley beal,thomas bryant,deni avdija,davis bertans,ish smith,raul neto,robin lopez,troy brown jr.,anthony gill,garrison mathews"
2020-12-31,39.32,1,8.0,18.0,0.444,3.0,5.0,0.6,3.0,6.0,0.5,2.0,8.0,10.0,11.0,1.0,0.0,5.0,4.0,22.0,-10.0,0.533,0.528,0.278,0.333,5.5,26.4,15.1,41.7,1.2,0.0,19.5,27.0,108.0,126.0,-1.4,"coby white,zach lavine,otto porter jr.,wendell carter jr.,patrick williams,garrett temple,thaddeus young,daniel gafford,denzel valentine","bradley beal,thomas bryant,rui hachimura,deni avdija,raul neto,davis bertans,troy brown jr.,ish smith,moritz wagner,robin lopez"
2021-01-03,37.97,0,7.0,25.0,0.28,1.0,7.0,0.143,9.0,12.0,0.75,1.0,4.0,5.0,10.0,2.0,0.0,2.0,2.0,24.0,0.0,0.396,0.3,0.28,0.48,2.2,11.8,6.3,37.0,2.3,0.0,6.2,32.4,96.0,113.0,0.2,"kyrie irving,kevin durant,joe harris,timothe luwawu-cabarrot,deandre jordan,caris levert,jarrett allen,landry shamet,jeff green,taurean prince","bradley beal,rui hachimura,thomas bryant,deni avdija,davis bertans,robin lopez,raul neto,jerome robinson,ish smith"
2021-01-06,38.95,0,8.0,18.0,0.444,3.0,6.0,0.5,1.0,4.0,0.25,0.0,8.0,8.0,12.0,3.0,1.0,6.0,4.0,20.0,-4.0,0.506,0.528,0.333,0.222,0.0,36.5,14.1,39.8,3.4,2.4,23.3,25.9,98.0,123.0,1.2,"tobias harris,joel embiid,seth curry,ben simmons,danny green,shake milton,matisse thybulle,tyrese maxey","bradley beal,thomas bryant,rui hachimura,deni avdija,davis bertans,ish smith,robin lopez,raul neto,jerome robinson,anthony gill"
2021-01-08,33.48,0,4.0,16.0,0.25,2.0,5.0,0.4,2.0,2.0,1.0,0.0,4.0,4.0,8.0,0.0,1.0,7.0,4.0,12.0,-17.0,0.355,0.313,0.313,0.125,0.0,13.7,6.6,32.5,0.0,2.7,29.3,30.6,67.0,114.0,-12.1,"jaylen brown,marcus smart,jayson tatum,daniel theis,payton pritchard,javonte green","bradley beal,rui hachimura,thomas bryant,deni avdija,davis bertans,ish smith,moritz wagner,garrison mathews,robin lopez,raul neto"
2021-01-24,25.28,0,3.0,11.0,0.273,1.0,3.0,0.333,2.0,4.0,0.5,3.0,5.0,8.0,6.0,0.0,0.0,4.0,1.0,9.0,-20.0,0.353,0.318,0.273,0.364,11.2,22.1,16.2,34.2,0.0,0.0,23.9,28.4,81.0,124.0,-10.2,"dejounte murray,lonnie walker iv,keldon johnson,demar derozan,devin vassell,rudy gay,jakob poeltl,patty mills,tre jones,keita bates-diop,trey lyles,luka samanic","jerome robinson,bradley beal,robin lopez,garrison mathews,cassius winston,alex len,anthony gill,jordan bell"
2021-01-26,28.43,0,7.0,17.0,0.412,1.0,4.0,0.25,4.0,8.0,0.5,2.0,9.0,11.0,7.0,0.0,0.0,6.0,3.0,19.0,-13.0,0.463,0.441,0.235,0.471,7.0,33.0,19.8,55.8,0.0,0.0,22.6,38.9,85.0,105.0,-1.6,"victor oladipo,p.j. tucker,demarcus cousins,jae'sean tate,john wall,eric gordon,david nwaba,sterling brown,danuel house jr.","bradley beal,robin lopez,anthony gill,jerome robinson,garrison mathews,raul neto,jordan bell,alex len,cassius winston"
2021-01-29,27.1,1,8.0,18.0,0.444,3.0,5.0,0.6,7.0,8.0,0.875,0.0,6.0,6.0,4.0,0.0,1.0,3.0,2.0,26.0,-9.0,0.604,0.528,0.278,0.444,0.0,23.1,11.3,42.1,0.0,3.5,12.2,38.2,117.0,117.0,11.4,"trae young,john collins,kevin huerter,clint capela,de'andre hunter,cam reddish,danilo gallinari,onyeka okongwu,brandon goodwin,bruno fernando","bradley beal,jerome robinson,rui hachimura,robin lopez,davis bertans,garrison mathews,raul neto,alex len,moritz wagner,cassius winston,anthony gill"
2021-01-31,34.6,1,16.0,28.0,0.571,4.0,7.0,0.571,5.0,7.0,0.714,4.0,6.0,10.0,8.0,2.0,1.0,3.0,4.0,41.0,7.0,0.66,0.643,0.25,0.25,11.3,23.8,16.5,32.8,2.5,2.7,8.8,36.6,135.0,126.0,14.3,"kyrie irving,kevin durant,bruce brown,joe harris,deandre jordan,jeff green,landry shamet,timothe luwawu-cabarrot,reggie perry","bradley beal,rui hachimura,robin lopez,deni avdija,davis bertans,garrison mathews,ish smith,moritz wagner,alex len"
2021-02-02,32.85,1,7.0,15.0,0.467,1.0,3.0,0.333,2.0,2.0,1.0,1.0,11.0,12.0,10.0,0.0,0.0,4.0,4.0,17.0,-14.0,0.535,0.5,0.2,0.133,4.1,34.2,21.1,40.8,0.0,0.0,20.1,28.1,111.0,131.0,-5.0,"gary trent jr.,damian lillard,robert covington,anfernee simons,cj elleby","bradley beal,rui hachimura,deni avdija,robin lopez,davis bertans,ish smith,moritz wagner,garrison mathews,alex len,cassius winston"
