date,mp,home,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opponent,team
2020-12-23,19.58,1,2.0,6.0,0.333,1.0,4.0,0.25,0.0,0.0,0.0,0.0,3.0,3.0,2.0,1.0,0.0,0.0,2.0,5.0,6.0,0.417,0.417,0.667,0.0,0.0,19.9,8.9,15.8,2.4,0.0,0.0,12.9,96.0,118.0,-3.8,"trae young,de'andre hunter,danilo gallinari,cam reddish,john collins,kevin huerter,bogdan bogdanovic,bruno fernando,brandon goodwin,nathan knight,skylar mays","patrick williams,coby white,lauri markkanen,wendell carter jr.,zach lavine,otto porter jr.,chandler hutchison,daniel gafford,adam mokoka"
2020-12-26,8.43,1,1.0,3.0,0.333,0.0,1.0,0.0,3.0,3.0,1.0,0.0,3.0,3.0,2.0,1.0,0.0,0.0,0.0,5.0,3.0,0.579,0.333,0.333,1.0,0.0,46.1,19.0,40.2,5.4,0.0,0.0,20.2,144.0,107.0,12.8,"domantas sabonis,malcolm brogdon,t.j. warren,myles turner,victor oladipo,justin holiday,doug mcdermott,t.j. mcconnell,aaron holiday,kelan martin,cassius stanley,jalen lecque","zach lavine,wendell carter jr.,lauri markkanen,coby white,patrick williams,garrett temple,otto porter jr.,denzel valentine,daniel gafford,chandler hutchison,adam mokoka"
2021-01-17,16.92,0,1.0,3.0,0.333,1.0,3.0,0.333,1.0,2.0,0.5,0.0,4.0,4.0,5.0,0.0,0.0,2.0,2.0,4.0,15.0,0.515,0.5,1.0,0.667,0.0,21.0,12.1,35.3,0.0,0.0,34.0,14.8,94.0,102.0,-2.8,"luka doncic,kristaps porzingis,josh green,wes iwundu,willie cauley-stein,trey burke,james johnson,tyrell terry,boban marjanovic,nate hinton,tyler bey","lauri markkanen,zach lavine,wendell carter jr.,coby white,patrick williams,garrett temple,otto porter jr.,thaddeus young,daniel gafford"
2021-01-18,16.72,1,3.0,7.0,0.429,3.0,4.0,0.75,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,3.0,9.0,10.0,0.643,0.643,0.571,0.0,0.0,14.7,6.9,16.7,0.0,0.0,0.0,17.0,141.0,116.0,0.3,"eric gordon,p.j. tucker,victor oladipo,christian wood,david nwaba,jae'sean tate,demarcus cousins,mason jones","zach lavine,lauri markkanen,garrett temple,coby white,wendell carter jr.,thaddeus young,denzel valentine,daniel gafford,adam mokoka"
2021-01-23,2.9,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,8.0,1.5,1.5,1.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,14.8,285.0,105.0,44.0,"lebron james,anthony davis,dennis schroder,kentavious caldwell-pope,montrezl harrell,kyle kuzma,talen horton-tucker,wesley matthews,alex caruso,alfonzo mckinnie","zach lavine,lauri markkanen,coby white,patrick williams,daniel gafford,thaddeus young,garrett temple,denzel valentine,chandler hutchison"
2021-02-06,12.72,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,22.2,12.0,16.1,4.0,0.0,0.0,0.0,232.0,91.0,2.3,"gary clark,cole anthony,nikola vucevic,chuma okeke,terrence ross,khem birch,mo bamba","denzel valentine,patrick williams,zach lavine,coby white,daniel gafford,thaddeus young,garrett temple,luke kornet"
2021-02-08,6.05,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0,-10.3,"davis bertans,rui hachimura,bradley beal,alex len,raul neto,ish smith,deni avdija,robin lopez,garrison mathews","zach lavine,patrick williams,coby white,denzel valentine,daniel gafford,garrett temple,thaddeus young"
2021-02-10,8.12,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,-8.0,0.0,0.0,0.0,0.0,17.9,16.0,16.9,0.0,0.0,0.0,0.0,0.0,248.0,128.0,-6.6,"brandon ingram,zion williamson,lonzo ball,steven adams,josh hart,kira lewis jr.,willy hernangomez,nickeil alexander-walker","zach lavine,patrick williams,coby white,denzel valentine,daniel gafford,garrett temple,thaddeus young,luke kornet"
2021-02-12,4.27,1,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,30.4,14.4,0.0,0.0,0.0,0.0,21.5,0.0,132.0,-31.5,"kawhi leonard,nicolas batum,reggie jackson,serge ibaka,patrick beverley,terance mann,marcus morris,luke kennard,ivica zubac,mfiondu kabengele","patrick williams,zach lavine,coby white,garrett temple,daniel gafford,thaddeus young,denzel valentine,luke kornet,adam mokoka"
2021-02-15,4.28,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,23.1,28.1,0.0,0.0,0.0,0.0,230.0,95.0,5.0,"domantas sabonis,t.j. mcconnell,malcolm brogdon,justin holiday,myles turner,jeremy lamb,aaron holiday,edmond sumner,goga bitadze","coby white,garrett temple,zach lavine,patrick williams,wendell carter jr.,denzel valentine,thaddeus young,luke kornet"
