date,mp,home,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opponent,team
2022-10-18,1.87,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,55.9,26.8,57.1,0.0,0.0,0.0,20.2,59.0,91.0,-21.4,"anthony davis,lebron james,russell westbrook,lonnie walker iv,patrick beverley,kendrick nunn,matt ryan,austin reaves,juan toscano-anderson,wenyen gabriel,max christie,scotty pippen jr.,cole swider","stephen curry,andrew wiggins,draymond green,kevon looney,klay thompson,jordan poole,jamychal green,donte divincenzo,james wiseman,jonathan kuminga,moses moody"
2022-10-23,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0,-6.1,"de'aaron fox,kevin huerter,domantas sabonis,harrison barnes,kz okpala,keegan murray,malik monk,richaun holmes,terence davis,davion mitchell,chimezie metu,trey lyles","andrew wiggins,stephen curry,draymond green,klay thompson,kevon looney,jordan poole,james wiseman,moses moody,jamychal green,donte divincenzo,jonathan kuminga"
2022-10-30,0.77,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,53.5,0.0,137.0,-69.8,"cade cunningham,bojan bogdanovic,saddiq bey,isaiah stewart,jaden ivey,killian hayes,isaiah livers,jalen duren,hamidou diallo,cory joseph","jordan poole,stephen curry,draymond green,andrew wiggins,kevon looney,moses moody,jonathan kuminga,jamychal green,ty jerome,james wiseman,anthony lamb,patrick baldwin jr."
2022-11-04,9.08,0,2.0,4.0,0.5,1.0,2.0,0.5,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,7.0,-20.0,0.717,0.625,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,45.0,45.1,68.0,123.0,-20.3,"brandon ingram,cj mccollum,herbert jones,zion williamson,jonas valanciunas,larry nance jr.,trey murphy iii,jose alvarado,devonte' graham,naji marshall","jordan poole,jonathan kuminga,anthony lamb,moses moody,kevon looney,ty jerome,james wiseman,jamychal green,patrick baldwin jr."
2022-11-14,8.07,1,2.0,3.0,0.667,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,2.0,2.0,5.0,4.0,0.833,0.833,0.333,0.0,0.0,20.9,12.8,17.0,0.0,0.0,40.0,27.8,89.0,94.0,-8.1,"keita bates-diop,devin vassell,jeremy sochan,jakob poeltl,keldon johnson,josh richardson,isaiah roby,charles bassey,doug mcdermott,jordan hall,gorgui dieng","jordan poole,stephen curry,draymond green,andrew wiggins,kevon looney,moses moody,jonathan kuminga,anthony lamb,jamychal green,james wiseman,donte divincenzo"
2022-11-21,16.75,0,1.0,4.0,0.25,1.0,3.0,0.333,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,5.0,3.0,3.0,-3.0,0.375,0.375,0.75,0.0,0.0,21.0,10.2,0.0,0.0,0.0,55.6,23.8,30.0,129.0,-24.4,"brandon ingram,zion williamson,jonas valanciunas,cj mccollum,herbert jones,naji marshall,devonte' graham,dyson daniels,larry nance jr.,jose alvarado,willy hernangomez,jaxson hayes,garrett temple","jonathan kuminga,anthony lamb,jordan poole,donte divincenzo,kevon looney,moses moody,ty jerome,jamychal green,patrick baldwin jr."
2022-11-23,5.03,1,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-10.0,0.0,0.0,0.667,0.0,21.2,0.0,10.8,19.9,0.0,0.0,0.0,24.7,52.0,116.0,-23.5,"amir coffey,terance mann,marcus morris,ivica zubac,reggie jackson,norman powell,robert covington,john wall,moses brown,nicolas batum","draymond green,andrew wiggins,stephen curry,klay thompson,kevon looney,jordan poole,anthony lamb,donte divincenzo,jonathan kuminga,jamychal green,moses moody,patrick baldwin jr."
2022-12-16,1.33,0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.532,0.0,0.0,2.0,70.6,78.3,74.2,0.0,0.0,76.6,34.7,88.8,90.0,59.0,24.5,"de'anthony melton,james harden,joel embiid,p.j. tucker,matisse thybulle,shake milton,georges niang,danuel house jr.,montrezl harrell,paul reed","jordan poole,klay thompson,donte divincenzo,jonathan kuminga,kevon looney,anthony lamb,ty jerome,moses moody,james wiseman,jamychal green,patrick baldwin jr."
2022-12-18,2.35,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,-5.8,"pascal siakam,fred vanvleet,scottie barnes,juancho hernangomez,christian koloko,malachi flynn,chris boucher,thaddeus young,dalano banton,khem birch","draymond green,jordan poole,klay thompson,donte divincenzo,kevon looney,ty jerome,jamychal green,anthony lamb,moses moody,jonathan kuminga,patrick baldwin jr.,james wiseman"
2022-12-20,7.67,0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,-13.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,25.4,0.0,146.0,-35.7,"quentin grimes,rj barrett,julius randle,jalen brunson,mitchell robinson,immanuel quickley,miles mcbride,isaiah hartenstein,jericho sims,svi mykhailiuk,ryan arcidiacono","moses moody,jordan poole,klay thompson,draymond green,kevon looney,jonathan kuminga,ty jerome,james wiseman,anthony lamb,patrick baldwin jr."
