date,mp,home,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opponent,team
2020-12-23,13.5,0,3.0,8.0,0.375,0.0,2.0,0.0,0.0,1.0,0.0,2.0,7.0,9.0,1.0,0.0,0.0,0.0,1.0,6.0,5.0,0.355,0.375,0.25,0.125,16.5,50.8,34.8,10.4,0.0,0.0,0.0,27.7,88.0,104.0,-5.6,"josh okogie,karl-anthony towns,malik beasley,ricky rubio,jake layman,d'angelo russell,anthony edwards,jarrett culver,naz reid,juancho hernangomez","blake griffin,mason plumlee,jerami grant,killian hayes,delon wright,josh jackson,derrick rose,svi mykhailiuk,jahlil okafor"
2020-12-26,8.8,1,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-18.0,0.0,0.0,0.2,0.0,12.2,12.2,12.2,0.0,0.0,0.0,0.0,24.6,15.0,111.0,-25.9,"collin sexton,darius garland,andre drummond,isaac okoro,kevin love,cedi osman,larry nance jr.,javale mcgee","blake griffin,jerami grant,delon wright,mason plumlee,killian hayes,derrick rose,svi mykhailiuk,josh jackson,jahlil okafor,saddiq bey"
2020-12-28,10.37,0,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,-4.0,0.333,0.333,0.0,0.0,8.6,0.0,5.0,0.0,4.7,0.0,0.0,11.9,94.0,127.0,-5.8,"trae young,de'andre hunter,cam reddish,john collins,clint capela,bogdan bogdanovic,kevin huerter,bruno fernando","jerami grant,mason plumlee,saddiq bey,killian hayes,josh jackson,delon wright,isaiah stewart,svi mykhailiuk"
2020-12-29,10.07,1,2.0,4.0,0.5,1.0,1.0,1.0,4.0,4.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,9.0,-3.0,0.781,0.625,0.25,1.0,9.2,14.4,11.2,0.0,0.0,0.0,0.0,22.9,173.0,119.0,10.9,"andrew wiggins,stephen curry,kelly oubre jr.,juan toscano-anderson,james wiseman,kevon looney,damion lee,eric paschall,mychal mulder,jordan poole","jerami grant,josh jackson,mason plumlee,blake griffin,killian hayes,delon wright,derrick rose,isaiah stewart,saddiq bey,svi mykhailiuk"
2021-01-01,10.98,1,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,2.0,0.0,0.0,1.0,1.0,0.0,-2.0,0.0,0.0,0.667,0.0,8.9,40.7,23.8,24.3,0.0,0.0,25.0,15.1,41.0,93.0,-8.2,"marcus smart,jaylen brown,jayson tatum,tristan thompson,daniel theis,grant williams,payton pritchard,robert williams,carsen edwards","jerami grant,saddiq bey,mason plumlee,josh jackson,killian hayes,derrick rose,delon wright,isaiah stewart,svi mykhailiuk"
2021-01-03,14.27,1,3.0,3.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,8.0,-8.0,1.333,1.333,0.667,0.0,0.0,0.0,0.0,0.0,3.5,6.2,0.0,9.5,267.0,125.0,13.7,"jayson tatum,jaylen brown,marcus smart,tristan thompson,daniel theis,payton pritchard,robert williams","jerami grant,blake griffin,mason plumlee,killian hayes,josh jackson,derrick rose,saddiq bey,delon wright,isaiah stewart,svi mykhailiuk,jahlil okafor"
2021-01-04,23.45,0,4.0,13.0,0.308,3.0,6.0,0.5,2.0,2.0,1.0,0.0,2.0,2.0,1.0,2.0,0.0,0.0,3.0,13.0,-4.0,0.468,0.423,0.462,0.154,0.0,12.8,5.1,5.9,4.0,0.0,0.0,25.5,95.0,119.0,-3.4,"giannis antetokounmpo,khris middleton,jrue holiday,brook lopez,donte divincenzo,bobby portis,bryn forbes,jordan nwora,thanasis antetokounmpo","jerami grant,saddiq bey,mason plumlee,killian hayes,svi mykhailiuk,derrick rose,isaiah stewart,delon wright,rodney mcgruder,jahlil okafor"
2021-01-06,12.9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,3.0,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,18.2,7.9,9.8,0.0,7.9,0.0,0.0,234.0,125.0,-4.4,"khris middleton,jrue holiday,giannis antetokounmpo,brook lopez,donte divincenzo,bobby portis,bryn forbes,jordan nwora,thanasis antetokounmpo","jerami grant,blake griffin,delon wright,mason plumlee,saddiq bey,isaiah stewart,svi mykhailiuk,saben lee,jahlil okafor,derrick rose,rodney mcgruder,deividas sirvydis"
2021-01-08,5.18,1,1.0,2.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,-9.0,0.75,0.75,0.5,0.0,0.0,22.2,10.7,0.0,0.0,0.0,0.0,17.5,133.0,105.0,8.4,"devin booker,chris paul,deandre ayton,mikal bridges,jae crowder,dario saric,cameron johnson,cameron payne,jevon carter,langston galloway","jerami grant,blake griffin,delon wright,mason plumlee,josh jackson,saddiq bey,derrick rose,svi mykhailiuk,jahlil okafor,frank jackson,isaiah stewart"
2021-01-10,4.88,1,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,-1.0,0.532,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,34.7,27.4,73.0,122.0,-19.0,"donovan mitchell,rudy gobert,royce o'neale,mike conley,bojan bogdanovic,jordan clarkson,joe ingles,derrick favors,georges niang","jerami grant,delon wright,blake griffin,mason plumlee,josh jackson,saddiq bey,svi mykhailiuk,isaiah stewart,frank jackson,jahlil okafor"
