date,mp,home,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opponent,team
2022-10-19,16.3,0,4.0,6.0,0.667,3.0,3.0,1.0,1.0,2.0,0.5,0.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,12.0,8.0,0.872,0.917,0.5,0.333,0.0,15.9,6.9,10.8,0.0,0.0,0.0,17.8,170.0,113.0,10.8,"de'aaron fox,domantas sabonis,harrison barnes,kevin huerter,kz okpala,davion mitchell,terence davis,malik monk,trey lyles,richaun holmes","josh hart,damian lillard,anfernee simons,jerami grant,jusuf nurkic,justise winslow,drew eubanks,nassir little"
2022-10-21,11.95,1,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,4.0,0.0,7.0,0.0,0.0,0.5,0.0,0.0,20.2,10.0,0.0,0.0,0.0,33.3,11.5,0.0,109.0,-21.1,"devin booker,deandre ayton,mikal bridges,chris paul,cameron johnson,damion lee,cameron payne,jock landale,josh okogie,torrey craig,bismack biyombo","damian lillard,anfernee simons,josh hart,jerami grant,jusuf nurkic,justise winslow,drew eubanks,nassir little"
2022-10-23,16.27,0,2.0,6.0,0.333,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,4.0,8.0,0.333,0.333,0.167,0.0,20.6,6.0,12.8,9.5,2.9,5.0,14.3,18.0,88.0,100.0,-1.7,"lebron james,anthony davis,lonnie walker iv,patrick beverley,russell westbrook,troy brown jr.,juan toscano-anderson,austin reaves,kendrick nunn,damian jones","josh hart,anfernee simons,jerami grant,damian lillard,jusuf nurkic,justise winslow,nassir little,drew eubanks"
2022-10-24,16.12,1,4.0,6.0,0.667,1.0,2.0,0.5,2.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,11.0,7.0,0.799,0.75,0.333,0.333,8.0,0.0,3.6,0.0,0.0,0.0,12.7,22.4,143.0,123.0,-1.6,"kentavious caldwell-pope,aaron gordon,nikola jokic,jamal murray,michael porter jr.,bruce brown,jeff green,bones hyland,christian braun,deandre jordan,davon reed,zeke nnaji,ish smith,peyton watson","anfernee simons,jerami grant,jusuf nurkic,damian lillard,josh hart,nassir little,drew eubanks,keon johnson,greg brown iii,jabari walker"
2022-10-26,21.4,1,5.0,12.0,0.417,2.0,5.0,0.4,3.0,5.0,0.6,3.0,5.0,8.0,0.0,1.0,0.0,2.0,2.0,15.0,-9.0,0.528,0.5,0.417,0.417,16.0,26.7,21.4,0.0,2.4,0.0,12.3,33.5,101.0,120.0,-2.8,"caleb martin,tyler herro,bam adebayo,jimmy butler,kyle lowry,max strus,gabe vincent,duncan robinson,nikola jovic,haywood highsmith,dru smith,dewayne dedmon,udonis haslem","josh hart,anfernee simons,jerami grant,damian lillard,jusuf nurkic,justise winslow,nassir little,drew eubanks,keon johnson,greg brown iii,jabari walker"
2022-10-28,29.43,1,7.0,12.0,0.583,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,4.0,14.0,-1.0,0.583,0.583,0.167,0.0,4.4,0.0,1.9,8.9,0.0,0.0,0.0,17.2,131.0,121.0,-7.3,"kevin porter jr.,eric gordon,jabari smith jr.,jalen green,alperen sengun,jae'sean tate,kenyon martin jr.,tari eason,garrison mathews,daishen nix,usman garuba,josh christopher","anfernee simons,jerami grant,josh hart,jusuf nurkic,justise winslow,keon johnson,nassir little,drew eubanks,greg brown iii,jabari walker"
2022-11-02,24.13,1,1.0,6.0,0.167,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,1.0,0.0,1.0,2.0,-6.0,0.167,0.167,0.167,0.0,0.0,9.9,4.3,0.0,4.0,3.6,0.0,9.9,41.0,106.0,-6.8,"desmond bane,steven adams,ja morant,dillon brooks,santi aldama,tyus jones,john konchar,david roddy,brandon clarke","anfernee simons,josh hart,jerami grant,jusuf nurkic,justise winslow,keon johnson,nassir little,drew eubanks"
2022-11-04,27.57,0,4.0,8.0,0.5,2.0,3.0,0.667,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,10.0,-10.0,0.625,0.625,0.375,0.0,0.0,4.0,2.1,4.8,0.0,0.0,0.0,12.8,131.0,121.0,-3.6,"devin booker,mikal bridges,chris paul,deandre ayton,cameron johnson,torrey craig,damion lee,landry shamet,jock landale,dario saric,josh okogie,bismack biyombo","jerami grant,josh hart,justise winslow,jusuf nurkic,nassir little,keon johnson,drew eubanks,jabari walker"
2022-11-05,26.92,0,6.0,12.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,1.0,2.0,2.0,13.0,-4.0,0.542,0.542,0.167,0.0,0.0,16.6,8.5,0.0,0.0,3.4,14.3,23.4,84.0,109.0,-4.3,"devin booker,mikal bridges,chris paul,torrey craig,deandre ayton,damion lee,dario saric,landry shamet,jock landale,josh okogie,bismack biyombo,duane washington jr.","josh hart,jerami grant,jusuf nurkic,justise winslow,keon johnson,drew eubanks,jabari walker,trendon watford,nassir little,greg brown iii,john butler"
2022-11-07,11.98,0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,-4.0,1.25,1.25,0.5,0.0,12.9,0.0,5.8,0.0,0.0,0.0,33.3,12.1,138.0,121.0,2.5,"kyle lowry,caleb martin,bam adebayo,jimmy butler,max strus,gabe vincent,duncan robinson,dewayne dedmon","josh hart,jerami grant,damian lillard,anfernee simons,jusuf nurkic,justise winslow,drew eubanks,trendon watford,nassir little"
