date,mp,home,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opponent,team
2020-12-26,34.37,0,8.0,20.0,0.4,1.0,6.0,0.167,7.0,10.0,0.7,2.0,5.0,7.0,9.0,0.0,1.0,5.0,4.0,24.0,14.0,0.492,0.425,0.3,0.5,6.5,12.0,9.7,43.6,0.0,2.3,17.0,35.8,99.0,107.0,-1.9,"gordon hayward,devonte' graham,terry rozier,bismack biyombo,p.j. washington,miles bridges,cody martin,caleb martin,lamelo ball,jalen mcdaniels","luguentz dort,darius bazley,al horford,george hill,theo maledon,hamidou diallo,mike muscala,kenrich williams,aleksej pokusevski"
2020-12-28,36.42,1,9.0,21.0,0.429,1.0,7.0,0.143,4.0,4.0,1.0,0.0,3.0,3.0,7.0,1.0,1.0,4.0,3.0,23.0,4.0,0.505,0.452,0.333,0.19,0.0,10.4,4.9,32.8,1.3,2.6,14.9,32.3,99.0,113.0,-1.6,"rudy gobert,donovan mitchell,bojan bogdanovic,royce o'neale,mike conley,jordan clarkson,joe ingles,derrick favors,georges niang,miye oni","darius bazley,luguentz dort,al horford,george hill,hamidou diallo,theo maledon,mike muscala,aleksej pokusevski,kenrich williams"
2020-12-29,33.33,1,8.0,10.0,0.8,3.0,3.0,1.0,4.0,5.0,0.8,0.0,7.0,7.0,7.0,0.0,0.0,5.0,1.0,23.0,-8.0,0.943,0.95,0.3,0.5,0.0,20.6,10.8,32.0,0.0,0.0,29.1,21.5,137.0,117.0,7.2,"nikola vucevic,evan fournier,markelle fultz,aaron gordon,terrence ross,michael carter-williams,chuma okeke,cole anthony,khem birch","justin jackson,luguentz dort,darius bazley,isaiah roby,hamidou diallo,theo maledon,mike muscala,aleksej pokusevski,kenrich williams,josh hall"
2020-12-31,28.5,1,3.0,10.0,0.3,2.0,6.0,0.333,0.0,2.0,0.0,1.0,3.0,4.0,4.0,2.0,0.0,2.0,2.0,8.0,-14.0,0.368,0.4,0.6,0.2,3.3,10.8,6.9,27.0,3.5,0.0,15.5,20.5,75.0,113.0,-4.4,"lonzo ball,steven adams,brandon ingram,zion williamson,josh hart,nickeil alexander-walker,jaxson hayes,kira lewis jr.","darius bazley,al horford,george hill,luguentz dort,theo maledon,aleksej pokusevski,isaiah roby,hamidou diallo,mike muscala,josh hall,kenrich williams,moses brown"
2021-01-02,34.77,0,5.0,17.0,0.294,2.0,9.0,0.222,4.0,5.0,0.8,0.0,4.0,4.0,7.0,0.0,1.0,1.0,3.0,16.0,1.0,0.417,0.353,0.529,0.294,0.0,9.1,5.2,31.1,0.0,2.0,5.0,26.5,96.0,105.0,-3.8,"nikola vucevic,markelle fultz,michael carter-williams,aaron gordon,terrence ross,gary clark,cole anthony,khem birch","darius bazley,luguentz dort,al horford,george hill,mike muscala,theo maledon,hamidou diallo,kenrich williams,aleksej pokusevski"
2021-01-04,27.85,0,7.0,15.0,0.467,2.0,6.0,0.333,2.0,2.0,1.0,0.0,2.0,2.0,4.0,0.0,0.0,2.0,2.0,18.0,-21.0,0.567,0.533,0.4,0.133,0.0,9.6,4.1,40.7,0.0,0.0,11.2,29.1,103.0,125.0,-0.5,"duncan robinson,tyler herro,bam adebayo,kelly olynyk,jimmy butler,goran dragic,precious achiuwa,andre iguodala,kendrick nunn,kz okpala,maurice harkless,chris silva","darius bazley,luguentz dort,george hill,al horford,isaiah roby,justin jackson,theo maledon,hamidou diallo,mike muscala,kenrich williams,josh hall,moses brown"
2021-01-06,36.5,0,7.0,17.0,0.412,2.0,7.0,0.286,5.0,6.0,0.833,0.0,5.0,5.0,9.0,5.0,0.0,2.0,2.0,21.0,-4.0,0.535,0.471,0.412,0.353,0.0,15.3,7.3,38.4,6.4,0.0,9.2,26.3,113.0,99.0,7.3,"brandon ingram,lonzo ball,steven adams,zion williamson,josh hart,nickeil alexander-walker,jaxson hayes","darius bazley,luguentz dort,george hill,al horford,mike muscala,hamidou diallo,theo maledon,kenrich williams,isaiah roby"
2021-01-08,34.48,0,9.0,14.0,0.643,3.0,3.0,1.0,4.0,6.0,0.667,4.0,6.0,10.0,7.0,0.0,1.0,3.0,2.0,25.0,3.0,0.751,0.75,0.214,0.429,11.4,13.5,12.5,38.3,0.0,2.0,15.3,25.5,142.0,95.0,15.9,"rj barrett,julius randle,elfrid payton,mitchell robinson,reggie bullock,austin rivers,kevin knox,immanuel quickley,nerlens noel","luguentz dort,al horford,george hill,darius bazley,hamidou diallo,theo maledon,aleksej pokusevski,mike muscala,kenrich williams,isaiah roby"
2021-01-10,36.02,0,11.0,16.0,0.688,2.0,4.0,0.5,7.0,8.0,0.875,1.0,5.0,6.0,7.0,2.0,1.0,2.0,3.0,31.0,1.0,0.794,0.75,0.25,0.5,3.3,18.0,10.4,27.2,2.6,2.6,9.3,26.7,153.0,110.0,11.6,"kevin durant,caris levert,jarrett allen,joe harris,jeff green,taurean prince,timothe luwawu-cabarrot,landry shamet,deandre jordan,bruce brown","darius bazley,george hill,al horford,luguentz dort,hamidou diallo,isaiah roby,theo maledon,aleksej pokusevski,kenrich williams,moses brown"
2021-01-12,33.48,1,7.0,10.0,0.7,0.0,0.0,0.0,6.0,9.0,0.667,2.0,7.0,9.0,2.0,0.0,0.0,2.0,2.0,20.0,0.0,0.716,0.7,0.0,0.9,6.2,19.3,13.2,11.0,0.0,0.0,12.5,21.0,131.0,114.0,2.2,"keldon johnson,lonnie walker iv,dejounte murray,trey lyles,patty mills,devin vassell,rudy gay,jakob poeltl","darius bazley,al horford,george hill,luguentz dort,hamidou diallo,mike muscala,aleksej pokusevski,theo maledon,isaiah roby,justin jackson,kenrich williams"
